	3598
!	1133
#	889
$	1068
%	969
&	667
'	1520
(	1892
)	2197
*	1180
+	1269
,	1719
.	3234
0	3767
1	4115
2	3863
3	3681
4	3768
5	3515
6	3427
7	3539
8	3553
9	3497
:	1522
;	1323
<	990
=	1290
>	1059
?	1044
@	657
A	3776
B	2273
C	2524
D	2370
E	4454
F	2091
G	2141
H	2345
I	3738
J	1838
K	2122
L	2769
M	2337
N	2722
O	4147
P	2488
Q	1926
R	2963
S	3266
T	3260
U	2743
V	1875
W	2088
X	1718
Y	2113
Z	1996
[	721
\"	1771
\@	4755
\\	366
]	759
^	523
_	614
`	296
a	11294
b	3338
c	4672
d	5884
e	16614
f	3783
g	4304
h	6521
i	10318
j	2183
k	3383
l	7895
m	4343
n	10216
o	10852
p	4617
q	2534
r	9038
s	8664
t	10336
u	6115
v	2594
w	3722
x	2069
y	3745
z	2464
{	672
|	706
}	665
~	494
