2#app#app07#app0702/W  -0.876 0.243  -0.868 0.403  -0.812 0.483  -0.900 0.403  -0.956 0.291  -0.956 0.123  -0.956 -0.045  -0.956 -0.213  -0.956 -0.381  -0.956 -0.549  -0.956 -0.717  -0.951 -0.883  -0.814 -0.957  -0.646 -0.957  -0.636 -0.799  -0.556 -0.664  -0.513 -0.514  -0.476 -0.361  -0.396 -0.226  -0.387 -0.060  -0.316 0.091  -0.316 0.259  -0.259 0.323  -0.316 0.212  -0.231 0.079  -0.156 -0.058  -0.107 -0.206  -0.045 -0.348  0.074 -0.467  0.193 -0.586  0.335 -0.648  0.475 -0.717  0.643 -0.717  0.731 -0.637  0.871 -0.571  0.951 -0.424  1.045 -0.292  1.124 -0.157  1.125 0.011  1.125 0.179  1.125 0.347  1.111 0.511  1.030 0.658  0.965 0.799  0.906 0.942  0.823 1.087  0.718 1.216  0.645 1.366  0.604 1.525  0.645 1.604
2#app#app07#app0702/I  0.367 1.326  0.367 1.401  0.367 1.475  0.367 1.463  0.367 1.389  0.367 1.314  0.367 1.240  0.367 1.165  0.328 1.107  0.275 1.054  0.222 1.001  0.186 0.942  0.186 0.867  0.186 0.793  0.139 0.738  0.086 0.685  0.034 0.632  0.006 0.569  0.006 0.495  0.006 0.420  0.006 0.346  0.006 0.271  -0.027 0.210  -0.080 0.158  -0.133 0.105  -0.175 0.048  -0.175 -0.027  -0.175 -0.101  -0.175 -0.176  -0.175 -0.250  -0.175 -0.325  -0.175 -0.399  -0.175 -0.474  -0.175 -0.549  -0.175 -0.623  -0.175 -0.698  -0.175 -0.772  -0.175 -0.847  -0.175 -0.921  -0.175 -0.996  -0.175 -1.070  -0.175 -1.145  -0.175 -1.219  -0.175 -1.294  -0.175 -1.368  -0.175 -1.443  -0.175 -1.518  -0.175 -1.592  -0.175 -1.667  -0.175 -1.741
2#app#app07#app0702/T  0.427 0.411  0.421 0.277  0.293 0.264  0.279 0.128  0.179 0.029  0.158 -0.103  0.075 -0.210  0.024 -0.330  -0.029 -0.448  -0.110 -0.556  -0.110 -0.697  -0.110 -0.837  -0.110 -0.978  -0.110 -1.119  -0.110 -1.260  -0.045 -1.336  0.024 -1.408  -0.019 -1.406  -0.097 -1.288  -0.176 -1.171  -0.254 -1.054  -0.332 -0.937  -0.410 -0.819  -0.488 -0.702  -0.566 -0.585  -0.645 -0.468  -0.723 -0.350  -0.782 -0.228  -0.782 -0.087  -0.782 0.054  -0.745 0.180  -0.645 0.279  -0.546 0.379  -0.514 0.506  -0.441 0.618  -0.326 0.680  -0.185 0.680  -0.064 0.726  0.041 0.814  0.175 0.831  0.274 0.930  0.374 1.030  0.493 1.083  0.634 1.083  0.752 1.139  0.860 1.217  1.001 1.217  1.142 1.217  1.268 1.252  1.368 1.352
2#app#app07#app0702/H  0.001 1.243  -0.143 1.094  -0.193 0.906  -0.286 0.736  -0.387 0.569  -0.433 0.380  -0.573 0.229  -0.627 0.042  -0.716 -0.129  -0.718 -0.337  -0.811 -0.524  -0.860 -0.721  -0.860 -0.930  -0.860 -1.139  -0.853 -1.344  -0.716 -1.465  -0.635 -1.338  -0.541 -1.195  -0.496 -0.991  -0.451 -0.787  -0.405 -0.584  -0.360 -0.380  -0.315 -0.176  -0.210 -0.047  -0.001 -0.047  0.147 0.099  0.295 0.247  0.438 0.397  0.531 0.584  0.654 0.749  0.718 0.932  0.861 0.997  0.861 1.206  0.833 1.387  0.625 1.387  0.574 1.228  0.518 1.043  0.431 0.870  0.324 0.706  0.287 0.513  0.287 0.304  0.287 0.095  0.287 -0.113  0.287 -0.322  0.287 -0.531  0.372 -0.705  0.431 -0.889  0.574 -0.954  0.674 -1.101  0.861 -1.194
2#app#app07#app0702/A  -0.234 -0.761  -0.234 -0.984  -0.234 -1.208  -0.237 -1.428  -0.330 -1.298  -0.330 -1.074  -0.330 -0.851  -0.330 -0.627  -0.330 -0.404  -0.283 -0.191  -0.234 0.021  -0.234 0.244  -0.234 0.467  -0.225 0.689  -0.129 0.890  -0.058 1.102  -0.044 1.323  0.050 1.525  0.061 1.746  0.132 1.958  0.243 1.927  0.243 1.703  0.243 1.480  0.243 1.256  0.243 1.033  0.243 0.809  0.243 0.586  0.243 0.362  0.243 0.139  0.243 -0.084  0.243 -0.308  0.243 -0.531  0.243 -0.755  0.329 -0.942  0.338 -1.162  0.390 -1.333  0.466 -1.275  0.301 -1.124  0.136 -0.973  -0.028 -0.822  -0.193 -0.671  -0.358 -0.520  -0.522 -0.370  -0.547 -0.215  -0.375 -0.093  -0.247 0.002  -0.057 0.084  0.129 0.175  0.343 0.198  0.529 0.288
2#app#app07#app0702/Q  -0.163 0.760  -0.354 0.760  -0.509 0.671  -0.592 0.514  -0.658 0.350  -0.751 0.184  -0.837 0.013  -0.884 -0.168  -0.935 -0.347  -0.935 -0.539  -0.935 -0.730  -0.849 -0.886  -0.727 -0.955  -0.535 -0.955  -0.384 -0.851  -0.220 -0.755  -0.064 -0.648  0.087 -0.534  0.233 -0.414  0.393 -0.313  0.529 -0.178  0.679 -0.063  0.815 0.058  0.921 0.214  1.018 0.378  1.038 0.564  1.038 0.756  1.038 0.947  0.952 1.103  0.877 1.264  0.726 1.360  0.534 1.360  0.370 1.293  0.227 1.169  0.094 1.060  0.070 0.870  0.038 0.681  0.007 0.493  -0.025 0.304  -0.056 0.115  -0.077 -0.075  -0.136 -0.242  -0.163 -0.422  -0.163 -0.614  -0.163 -0.805  -0.163 -0.997  -0.163 -1.188  -0.163 -1.380  -0.091 -1.541  0.009 -1.641
2#app#app07#app0702/U  -0.143 1.496  -0.273 1.366  -0.297 1.192  -0.426 1.062  -0.556 0.932  -0.653 0.778  -0.735 0.614  -0.751 0.435  -0.881 0.305  -1.011 0.175  -1.049 0.007  -1.049 -0.177  -1.049 -0.360  -1.049 -0.544  -0.972 -0.695  -0.898 -0.849  -0.786 -0.920  -0.747 -1.065  -0.569 -1.071  -0.403 -1.028  -0.264 -0.920  -0.143 -0.857  -0.048 -0.769  0.007 -0.641  0.121 -0.504  0.251 -0.374  0.309 -0.215  0.309 -0.031  0.427 0.104  0.460 0.274  0.460 0.458  0.460 0.641  0.460 0.825  0.460 1.009  0.460 1.192  0.460 1.011  0.460 0.828  0.460 0.644  0.460 0.460  0.460 0.277  0.460 0.093  0.515 -0.068  0.611 -0.212  0.611 -0.396  0.724 -0.467  0.865 -0.570  0.913 -0.733  1.018 -0.873  1.182 -0.920  1.366 -0.920
2#app#app07#app0702/A  -0.324 -0.713  -0.324 -0.940  -0.374 -1.156  -0.522 -1.284  -0.553 -1.087  -0.553 -0.860  -0.553 -0.632  -0.497 -0.428  -0.336 -0.267  -0.324 -0.044  -0.258 0.172  -0.176 0.384  -0.095 0.592  -0.024 0.803  0.019 1.020  0.078 1.234  0.179 1.437  0.247 1.649  0.362 1.829  0.476 1.891  0.476 1.663  0.476 1.436  0.415 1.223  0.362 1.008  0.362 0.781  0.362 0.553  0.329 0.331  0.257 0.115  0.247 -0.111  0.247 -0.338  0.247 -0.566  0.247 -0.793  0.247 -1.020  0.362 -1.201  0.476 -1.314  0.569 -1.379  0.401 -1.226  0.233 -1.073  0.064 -0.920  -0.104 -0.767  -0.272 -0.614  -0.441 -0.461  -0.609 -0.308  -0.667 -0.106  -0.553 0.007  -0.415 0.110  -0.255 0.271  -0.046 0.316  0.167 0.350  0.362 0.430
2#app#app07#app0702/L  0.053 1.801  0.132 1.723  0.199 1.640  0.199 1.529  0.157 1.428  0.108 1.329  0.058 1.230  0.053 1.121  0.007 1.029  -0.071 0.951  -0.092 0.848  -0.092 0.738  -0.101 0.631  -0.179 0.553  -0.257 0.474  -0.336 0.396  -0.382 0.304  -0.390 0.197  -0.468 0.119  -0.527 0.032  -0.527 -0.078  -0.600 -0.159  -0.672 -0.240  -0.672 -0.350  -0.672 -0.461  -0.672 -0.572  -0.672 -0.682  -0.672 -0.793  -0.672 -0.904  -0.614 -0.956  -0.503 -0.956  -0.393 -0.956  -0.282 -0.956  -0.191 -0.910  -0.112 -0.832  -0.010 -0.811  0.087 -0.778  0.165 -0.700  0.262 -0.666  0.373 -0.666  0.483 -0.666  0.563 -0.592  0.645 -0.521  0.755 -0.521  0.841 -0.459  0.919 -0.381  1.027 -0.376  1.138 -0.376  1.249 -0.376  1.360 -0.376
2#app#app07#app0702/M  -1.042 -0.060  -1.042 -0.231  -1.121 -0.369  -1.157 -0.524  -1.199 -0.677  -1.273 -0.817  -1.273 -0.988  -1.210 -1.096  -1.156 -0.979  -1.038 -0.857  -0.962 -0.704  -0.927 -0.542  -0.822 -0.415  -0.783 -0.261  -0.662 -0.140  -0.542 -0.020  -0.438 0.113  -0.362 0.265  -0.328 0.424  -0.208 0.544  -0.087 0.665  -0.007 0.689  -0.007 0.518  -0.007 0.348  -0.083 0.209  -0.122 0.055  -0.122 -0.116  -0.122 -0.286  0.030 -0.254  0.150 -0.134  0.271 -0.013  0.391 0.107  0.454 0.252  0.470 0.416  0.590 0.536  0.711 0.657  0.799 0.791  0.900 0.860  0.955 0.975  1.029 0.879  1.029 0.709  1.029 0.538  1.029 0.368  1.029 0.197  1.029 0.027  1.029 -0.144  1.144 -0.199  1.200 -0.347  1.337 -0.444  1.490 -0.521
2#app#app07#app0702/T  0.156 0.325  0.094 0.200  0.064 0.067  0.010 -0.059  -0.027 -0.190  -0.027 -0.329  -0.027 -0.468  -0.027 -0.608  -0.027 -0.747  -0.013 -0.880  0.064 -0.988  0.064 -1.127  0.153 -1.230  0.125 -1.293  0.026 -1.194  -0.072 -1.096  -0.171 -0.997  -0.269 -0.899  -0.368 -0.800  -0.466 -0.702  -0.565 -0.603  -0.663 -0.505  -0.762 -0.406  -0.860 -0.308  -0.959 -0.209  -1.057 -0.111  -1.084 -0.042  -0.971 0.022  -0.937 0.147  -0.833 0.233  -0.694 0.233  -0.567 0.284  -0.451 0.359  -0.353 0.457  -0.241 0.538  -0.116 0.599  0.023 0.599  0.160 0.604  0.259 0.702  0.365 0.788  0.501 0.815  0.638 0.842  0.774 0.870  0.907 0.911  1.040 0.955  1.166 1.013  1.295 1.057  1.434 1.057  1.574 1.057  1.713 1.057
