2#app#app32#app3258/!  -0.086 1.758  -0.086 1.684  -0.086 1.610  -0.086 1.536  -0.086 1.462  -0.086 1.388  -0.086 1.314  -0.086 1.241  -0.086 1.167  -0.086 1.093  -0.086 1.019  -0.086 0.945  -0.086 0.871  -0.086 0.797  -0.086 0.723  -0.086 0.650  -0.086 0.576  -0.086 0.502  -0.086 0.428  -0.086 0.354  -0.086 0.280  -0.076 0.207  -0.063 0.135  -0.050 0.062  -0.037 -0.011  -0.023 -0.083  -0.010 -0.156  0.003 -0.229  0.016 -0.301  0.029 -0.374  0.043 -0.447  0.056 -0.519  0.069 -0.592  0.082 -0.665  0.095 -0.738  0.109 -0.810  0.122 -0.883  0.135 -0.956  0.148 -1.028  0.162 -1.101  0.175 -1.174  0.188 -1.246  0.201 -1.319  0.208 -1.386  0.134 -1.386  0.064 -1.382  0.064 -1.308  0.062 -1.236  -0.012 -1.236  -0.086 -1.236
2#app#app32#app3258/@  0.054 -0.095  0.054 0.101  0.164 0.252  0.164 0.448  0.108 0.289  -0.031 0.150  -0.056 -0.035  -0.083 -0.205  -0.164 -0.315  0.033 -0.315  0.177 -0.191  0.274 -0.155  0.310 -0.315  0.506 -0.315  0.604 -0.216  0.714 -0.066  0.795 0.097  0.824 0.281  0.824 0.477  0.775 0.662  0.714 0.843  0.714 1.040  0.660 1.223  0.533 1.335  0.337 1.335  0.140 1.335  -0.056 1.335  -0.227 1.274  -0.366 1.136  -0.504 0.997  -0.623 0.846  -0.685 0.660  -0.759 0.479  -0.847 0.303  -0.935 0.128  -0.936 -0.068  -0.936 -0.264  -0.936 -0.460  -0.850 -0.621  -0.789 -0.792  -0.651 -0.931  -0.512 -1.069  -0.341 -1.163  -0.189 -1.283  -0.002 -1.305  0.153 -1.405  0.345 -1.415  0.541 -1.415  0.580 -1.305  0.384 -1.305
2#app#app32#app3258/#  -0.314 1.307  -0.314 0.916  -0.314 0.524  -0.314 0.133  -0.314 -0.258  -0.314 -0.649  -0.314 -1.041  -0.314 -1.432  -0.096 -1.410  0.034 -1.041  0.164 -0.672  0.294 -0.303  0.425 0.066  0.555 0.435  0.685 0.804  0.815 1.173  0.925 1.423  0.826 1.130  0.748 0.817  0.748 0.426  0.748 0.034  0.923 -0.284  0.715 -0.433  0.328 -0.378  -0.059 -0.322  -0.447 -0.267  -0.834 -0.212  -1.222 -0.156  -1.553 -0.052  -1.355 0.245  -1.141 0.422  -0.777 0.490  -0.438 0.626  -0.098 0.815  0.236 0.953  0.627 0.953  1.019 0.953  0.884 0.735  0.608 0.458  0.331 0.182  0.054 -0.095  -0.222 -0.372  -0.499 -0.648  -0.776 -0.925  -0.978 -1.171  -0.611 -1.114  -0.274 -0.974  0.069 -0.788  0.379 -0.559  0.748 -0.463
2#app#app32#app3258/$  0.536 0.713  0.160 0.713  -0.144 0.514  -0.446 0.298  -0.653 0.091  -0.630 -0.138  -0.254 -0.138  0.123 -0.138  0.499 -0.138  0.536 -0.478  0.305 -0.706  0.110 -0.887  -0.164 -0.989  -0.481 -1.131  -0.340 -1.131  -0.333 -0.781  -0.351 -0.405  -0.370 -0.029  -0.389 0.347  -0.408 0.722  -0.427 1.098  -0.445 1.474  -0.599 1.703  -0.599 1.327  -0.599 0.951  -0.599 0.575  -0.599 0.199  -0.457 -0.144  -0.457 -0.520  -0.372 -0.876  -0.315 -1.239  -0.173 -1.557  -0.116 -1.471  -0.025 -1.106  0.066 -0.741  0.157 -0.377  0.248 -0.012  0.340 0.353  0.431 0.718  0.522 1.083  0.613 1.448  0.678 1.595  0.678 1.218  0.678 0.842  0.678 0.466  0.678 0.090  0.678 -0.286  0.678 -0.663  0.678 -1.039  0.678 -1.415
2#app#app32#app3258/%  -0.475 1.114  -0.682 1.114  -0.779 0.938  -0.908 0.781  -0.908 0.574  -0.908 0.367  -0.819 0.249  -0.691 0.328  -0.583 0.426  -0.583 0.633  -0.548 0.825  -0.475 1.002  -0.367 1.164  -0.259 1.262  -0.129 1.352  0.042 1.439  0.195 1.309  0.282 1.139  0.282 0.932  0.282 0.725  0.169 0.564  0.077 0.379  0.066 0.175  -0.042 0.013  -0.049 -0.191  -0.195 -0.337  -0.259 -0.517  -0.335 -0.693  -0.405 -0.871  -0.475 -1.048  -0.475 -1.255  -0.322 -1.143  -0.160 -1.014  0.001 -0.885  0.163 -0.755  0.324 -0.626  0.485 -0.497  0.570 -0.437  0.499 -0.614  0.403 -0.725  0.390 -0.919  0.467 -1.049  0.674 -1.049  0.772 -0.941  0.931 -0.893  1.039 -0.794  1.039 -0.588  1.039 -0.381  0.922 -0.292  0.715 -0.292
2#app#app32#app3258/^  -1.436 -1.162  -1.349 -1.075  -1.262 -0.988  -1.175 -0.901  -1.135 -0.794  -1.135 -0.671  -1.122 -0.562  -1.000 -0.562  -0.877 -0.562  -0.835 -0.480  -0.835 -0.357  -0.816 -0.242  -0.729 -0.155  -0.642 -0.068  -0.555 0.019  -0.441 0.038  -0.318 0.038  -0.207 0.067  -0.120 0.154  -0.033 0.241  0.054 0.328  0.065 0.446  0.065 0.569  0.103 0.676  0.189 0.763  0.276 0.850  0.363 0.937  0.450 1.024  0.537 1.111  0.624 1.198  0.665 1.173  0.665 1.051  0.665 0.928  0.665 0.805  0.665 0.682  0.665 0.559  0.665 0.436  0.665 0.313  0.665 0.190  0.665 0.067  0.665 -0.056  0.665 -0.178  0.665 -0.301  0.665 -0.424  0.665 -0.547  0.665 -0.670  0.665 -0.793  0.665 -0.916  0.665 -1.039  0.665 -1.162
2#app#app32#app3258/&  0.433 1.921  0.433 1.795  0.433 1.669  0.433 1.543  0.433 1.417  0.433 1.291  0.433 1.165  0.399 1.052  0.310 0.963  0.221 0.874  0.132 0.785  0.115 0.669  -0.011 0.669  -0.089 0.621  -0.159 0.565  -0.258 0.500  -0.347 0.411  -0.402 0.307  -0.331 0.252  -0.205 0.252  -0.089 0.242  -0.058 0.147  0.068 0.147  0.194 0.147  0.321 0.147  0.315 0.043  0.199 0.018  0.106 -0.061  0.016 -0.097  -0.042 -0.166  -0.145 -0.222  -0.234 -0.311  -0.334 -0.374  -0.402 -0.432  -0.402 -0.558  -0.301 -0.583  -0.211 -0.670  -0.092 -0.687  0.016 -0.706  -0.013 -0.820  -0.089 -0.915  -0.130 -1.000  -0.186 -1.062  -0.172 -1.188  -0.158 -1.313  -0.144 -1.438  -0.131 -1.563  -0.117 -1.689  -0.103 -1.814  -0.089 -1.939
2#app#app32#app3258/*  0.168 1.481  0.328 1.395  0.328 1.148  0.328 0.902  0.328 0.656  0.328 0.409  0.328 0.163  0.328 -0.084  0.328 -0.330  0.328 -0.577  0.371 -0.805  0.488 -1.003  0.347 -0.993  0.140 -0.861  -0.068 -0.729  -0.276 -0.596  -0.484 -0.464  -0.692 -0.332  -0.900 -0.199  -1.108 -0.067  -1.225 0.039  -0.979 0.039  -0.732 0.039  -0.633 0.186  -0.400 0.199  -0.153 0.199  0.067 0.309  0.302 0.359  0.548 0.359  0.795 0.359  0.969 0.525  0.969 0.772  0.969 1.018  0.969 1.265  0.834 1.186  0.773 0.965  0.599 0.791  0.425 0.616  0.279 0.422  0.169 0.201  -0.005 0.027  -0.169 -0.155  -0.280 -0.375  -0.435 -0.563  -0.495 -0.785  -0.656 -0.968  -0.767 -1.189  -0.805 -1.426  -0.915 -1.647  -0.954 -1.884
2#app#app32#app3258/(  0.407 1.626  0.407 1.553  0.407 1.481  0.407 1.409  0.406 1.337  0.355 1.286  0.304 1.235  0.257 1.181  0.225 1.117  0.192 1.052  0.160 0.988  0.128 0.923  0.081 0.869  0.030 0.818  -0.021 0.767  -0.023 0.696  -0.023 0.623  -0.023 0.551  -0.023 0.479  -0.023 0.407  -0.023 0.335  -0.046 0.266  -0.069 0.198  -0.091 0.129  -0.114 0.061  -0.137 -0.008  -0.160 -0.076  -0.167 -0.147  -0.167 -0.220  -0.167 -0.292  -0.167 -0.364  -0.167 -0.436  -0.167 -0.508  -0.167 -0.581  -0.167 -0.653  -0.167 -0.725  -0.167 -0.797  -0.167 -0.869  -0.167 -0.942  -0.167 -1.014  -0.167 -1.086  -0.167 -1.158  -0.167 -1.230  -0.127 -1.286  -0.076 -1.337  -0.024 -1.388  -0.023 -1.460  -0.023 -1.532  -0.023 -1.604  -0.023 -1.676
2#app#app32#app3258/)  -0.444 1.505  -0.368 1.505  -0.304 1.476  -0.250 1.422  -0.220 1.358  -0.220 1.282  -0.146 1.280  -0.108 1.242  -0.107 1.166  -0.073 1.098  -0.039 1.030  -0.005 0.962  0.044 0.904  0.098 0.850  0.116 0.782  0.116 0.706  0.116 0.630  0.116 0.553  0.122 0.478  0.146 0.406  0.170 0.334  0.194 0.261  0.218 0.189  0.228 0.115  0.228 0.039  0.228 -0.038  0.228 -0.114  0.228 -0.190  0.228 -0.266  0.228 -0.342  0.216 -0.413  0.162 -0.467  0.116 -0.524  0.116 -0.600  0.116 -0.677  0.116 -0.753  0.116 -0.829  0.076 -0.889  0.023 -0.942  0.004 -1.011  -0.006 -1.083  -0.060 -1.137  -0.108 -1.193  -0.108 -1.269  -0.142 -1.331  -0.196 -1.385  -0.250 -1.439  -0.304 -1.493  -0.332 -1.557  -0.332 -1.633
2#app#app32#app3258/`  -0.021 1.726  -0.021 1.655  -0.021 1.584  -0.021 1.512  -0.021 1.441  -0.021 1.370  -0.021 1.298  -0.021 1.227  -0.021 1.156  -0.021 1.084  -0.021 1.013  -0.021 0.942  -0.021 0.871  -0.021 0.799  -0.021 0.728  -0.021 0.657  -0.021 0.585  -0.021 0.514  -0.021 0.443  -0.021 0.371  -0.021 0.300  -0.021 0.229  -0.021 0.158  -0.021 0.086  -0.021 0.015  -0.021 -0.056  -0.021 -0.128  -0.021 -0.199  -0.021 -0.270  -0.021 -0.342  -0.021 -0.413  -0.021 -0.484  -0.021 -0.555  -0.021 -0.627  -0.021 -0.698  -0.021 -0.769  -0.021 -0.841  -0.021 -0.912  -0.021 -0.983  -0.021 -1.055  -0.021 -1.126  -0.021 -1.197  -0.021 -1.268  -0.021 -1.340  -0.021 -1.411  0.043 -1.418  0.115 -1.418  0.186 -1.418  0.257 -1.418  0.329 -1.418
