1b#tos#t1#t1078062/B  -0.462 1.501  -0.462 1.248  -0.462 0.996  -0.408 0.756  -0.408 0.503  -0.408 0.251  -0.408 -0.002  -0.408 -0.254  -0.408 -0.507  -0.408 -0.760  -0.408 -1.012  -0.408 -1.075  -0.408 -0.822  -0.408 -0.570  -0.408 -0.317  -0.408 -0.065  -0.408 0.188  -0.408 0.441  -0.408 0.693  -0.408 0.946  -0.515 1.092  -0.351 1.181  -0.099 1.181  0.154 1.181  0.393 1.167  0.605 1.127  0.714 0.983  0.808 0.790  0.729 0.609  0.591 0.401  0.385 0.326  0.186 0.272  0.031 0.112  -0.222 0.112  -0.021 0.112  0.231 0.112  0.464 0.041  0.675 -0.077  0.820 -0.245  0.927 -0.463  0.927 -0.716  0.919 -0.965  0.740 -1.143  0.553 -1.269  0.370 -1.368  0.121 -1.384  -0.131 -1.384  -0.384 -1.384  -0.568 -1.316  -0.729 -1.223
1b#tos#t1#t1078062/C  0.850 0.620  0.783 0.546  0.666 0.516  0.642 0.614  0.590 0.715  0.529 0.776  0.459 0.828  0.388 0.880  0.278 0.892  0.205 0.969  0.086 0.984  -0.036 0.984  -0.158 0.984  -0.280 0.984  -0.403 0.984  -0.483 0.916  -0.574 0.843  -0.657 0.792  -0.695 0.686  -0.790 0.620  -0.857 0.531  -0.865 0.411  -0.865 0.288  -0.865 0.166  -0.865 0.044  -0.865 -0.078  -0.782 -0.149  -0.709 -0.206  -0.709 -0.329  -0.687 -0.442  -0.605 -0.530  -0.583 -0.638  -0.470 -0.679  -0.362 -0.714  -0.252 -0.762  -0.187 -0.838  -0.085 -0.887  0.037 -0.887  0.159 -0.887  0.279 -0.904  0.395 -0.939  0.518 -0.939  0.640 -0.939  0.762 -0.939  0.884 -0.939  0.954 -0.887  1.058 -0.868  1.095 -0.783  1.164 -0.729  1.266 -0.679
1b#tos#t1#t1078062/D  -0.376 1.230  -0.573 1.222  -0.493 1.051  -0.475 0.854  -0.475 0.649  -0.475 0.444  -0.475 0.240  -0.475 0.035  -0.475 -0.170  -0.475 -0.374  -0.475 -0.579  -0.475 -0.784  -0.475 -0.988  -0.474 -1.180  -0.456 -0.976  -0.437 -0.772  -0.419 -0.568  -0.400 -0.365  -0.382 -0.161  -0.363 0.043  -0.344 0.247  -0.326 0.451  -0.307 0.654  -0.289 0.858  -0.357 0.983  -0.339 1.131  -0.134 1.131  0.071 1.131  0.226 1.082  0.431 1.082  0.610 1.056  0.683 0.897  0.810 0.778  0.864 0.589  0.906 0.426  0.955 0.241  0.955 0.037  0.955 -0.168  0.955 -0.373  0.955 -0.577  0.871 -0.721  0.709 -0.781  0.613 -0.891  0.508 -0.991  0.335 -1.088  0.130 -1.088  -0.034 -1.187  -0.235 -1.227  -0.435 -1.245  -0.623 -1.285
1b#tos#t1#t1078062/J  -0.531 0.955  -0.637 0.879  -0.756 0.820  -0.734 0.816  -0.604 0.806  -0.480 0.769  -0.348 0.769  -0.216 0.769  -0.083 0.769  0.049 0.769  0.182 0.769  0.304 0.814  0.436 0.816  0.564 0.845  0.695 0.862  0.827 0.862  0.866 0.862  0.734 0.862  0.601 0.862  0.469 0.862  0.337 0.862  0.214 0.831  0.121 0.748  0.121 0.616  0.121 0.483  0.121 0.351  0.168 0.229  0.168 0.097  0.168 -0.036  0.168 -0.168  0.208 -0.291  0.214 -0.422  0.214 -0.554  0.214 -0.687  0.214 -0.819  0.214 -0.952  0.214 -1.084  0.214 -1.216  0.195 -1.337  0.071 -1.374  -0.049 -1.404  -0.174 -1.420  -0.298 -1.390  -0.411 -1.327  -0.493 -1.272  -0.589 -1.182  -0.700 -1.112  -0.718 -0.986  -0.771 -0.908  -0.811 -0.815
1b#tos#t1#t1078062/K  -0.629 1.473  -0.826 1.419  -0.843 1.187  -0.843 0.937  -0.790 0.693  -0.790 0.443  -0.790 0.193  -0.790 -0.057  -0.790 -0.308  -0.790 -0.558  -0.790 -0.808  -0.790 -1.058  -0.790 -1.308  -0.634 -1.114  -0.478 -0.919  -0.322 -0.724  -0.165 -0.528  -0.009 -0.333  0.147 -0.138  0.303 0.058  0.460 0.253  0.616 0.448  0.772 0.644  0.928 0.839  1.085 1.034  1.029 1.038  0.868 0.911  0.705 0.723  0.491 0.614  0.284 0.510  0.120 0.350  -0.108 0.251  -0.272 0.089  -0.480 -0.050  -0.672 -0.207  -0.685 -0.171  -0.474 -0.036  -0.264 0.099  -0.054 0.234  -0.209 0.082  -0.116 -0.025  0.062 -0.157  0.229 -0.292  0.437 -0.396  0.614 -0.573  0.791 -0.749  0.986 -0.881  1.231 -0.913  1.417 -1.068  1.618 -1.148
1b#tos#t1#t1078062/L  -0.410 1.481  -0.499 1.481  -0.515 1.408  -0.515 1.318  -0.515 1.229  -0.515 1.139  -0.515 1.050  -0.530 0.963  -0.558 0.878  -0.568 0.790  -0.568 0.700  -0.568 0.611  -0.568 0.521  -0.583 0.434  -0.612 0.349  -0.620 0.261  -0.620 0.172  -0.620 0.082  -0.620 -0.007  -0.620 -0.097  -0.620 -0.186  -0.620 -0.276  -0.620 -0.365  -0.620 -0.455  -0.595 -0.519  -0.505 -0.519  -0.416 -0.519  -0.326 -0.519  -0.237 -0.519  -0.147 -0.519  -0.058 -0.519  0.032 -0.519  0.121 -0.519  0.211 -0.519  0.300 -0.519  0.390 -0.519  0.479 -0.519  0.569 -0.519  0.658 -0.519  0.748 -0.519  0.837 -0.519  0.927 -0.519  1.016 -0.519  1.106 -0.519  1.195 -0.519  1.285 -0.519  1.374 -0.519  1.464 -0.519  1.553 -0.519  1.643 -0.519
1b#tos#t1#t1078062/N  -0.705 0.873  -0.876 0.794  -0.876 0.579  -0.876 0.364  -0.876 0.149  -0.962 -0.039  -0.962 -0.254  -0.980 -0.466  -1.004 -0.677  -1.004 -0.891  -1.002 -1.081  -0.965 -0.869  -0.928 -0.658  -0.891 -0.446  -0.854 -0.234  -0.817 -0.023  -0.780 0.189  -0.743 0.400  -0.706 0.612  -0.915 0.617  -0.787 0.486  -0.601 0.382  -0.414 0.283  -0.262 0.131  -0.096 -0.003  0.071 -0.137  0.247 -0.260  0.436 -0.354  0.617 -0.465  0.767 -0.599  0.881 -0.732  0.923 -0.580  0.928 -0.365  0.933 -0.151  0.938 0.064  0.943 0.279  0.948 0.493  0.953 0.708  0.958 0.923  0.912 1.087  0.834 0.950  0.834 0.735  0.834 0.520  0.834 0.306  0.834 0.091  0.834 -0.124  0.834 -0.339  0.834 -0.553  0.876 -0.751  0.877 -0.965
1b#tos#t1#t1078062/Q  0.399 -0.951  0.295 -1.158  0.057 -1.158  -0.181 -1.158  -0.378 -1.118  -0.495 -0.989  -0.684 -0.850  -0.793 -0.680  -0.948 -0.537  -0.948 -0.299  -1.000 -0.070  -1.000 0.168  -0.990 0.396  -0.919 0.580  -0.844 0.799  -0.757 1.001  -0.651 1.173  -0.461 1.266  -0.262 1.328  -0.088 1.432  0.149 1.427  0.256 1.251  0.365 1.051  0.498 0.894  0.554 0.673  0.606 0.457  0.606 0.220  0.606 -0.018  0.569 -0.247  0.477 -0.458  0.312 -0.580  0.098 -0.640  -0.118 -0.692  -0.223 -0.559  -0.436 -0.531  -0.567 -0.348  -0.637 -0.139  -0.532 0.033  -0.346 0.085  -0.130 0.137  0.056 0.188  0.242 0.137  0.427 0.085  0.540 -0.071  0.701 -0.213  0.906 -0.298  1.136 -0.329  1.331 -0.287  1.508 -0.226  1.694 -0.174
1b#tos#t1#t1078062/S  0.736 0.708  0.736 0.660  0.736 0.803  0.665 0.914  0.546 0.993  0.456 1.062  0.328 1.126  0.199 1.185  0.056 1.185  -0.087 1.185  -0.230 1.185  -0.373 1.185  -0.504 1.173  -0.512 1.033  -0.619 0.946  -0.647 0.831  -0.638 0.690  -0.559 0.573  -0.515 0.470  -0.430 0.396  -0.297 0.369  -0.170 0.318  -0.077 0.233  0.021 0.159  0.093 0.088  0.164 0.016  0.278 -0.045  0.354 -0.147  0.443 -0.233  0.522 -0.329  0.545 -0.458  0.607 -0.562  0.688 -0.637  0.688 -0.780  0.636 -0.891  0.545 -0.959  0.450 -1.008  0.355 -1.055  0.226 -1.088  0.109 -1.151  -0.014 -1.198  -0.157 -1.198  -0.300 -1.198  -0.443 -1.198  -0.548 -1.106  -0.657 -1.035  -0.754 -0.960  -0.832 -0.870  -0.885 -0.750  -0.932 -0.626
1b#tos#t1#t1078062/X  -0.910 0.981  -1.097 0.954  -1.238 0.931  -1.085 0.830  -0.966 0.691  -0.796 0.637  -0.683 0.498  -0.607 0.325  -0.491 0.184  -0.345 0.065  -0.243 -0.093  -0.129 -0.244  0.020 -0.358  0.164 -0.472  0.292 -0.571  0.377 -0.741  0.489 -0.865  0.632 -0.973  0.784 -1.064  0.908 -1.173  0.933 -1.020  0.921 -0.831  0.908 -0.642  0.895 -0.453  0.883 -0.264  0.870 -0.076  0.858 0.113  0.845 0.302  0.833 0.491  0.820 0.680  0.807 0.869  0.795 1.058  0.643 1.065  0.588 0.931  0.499 0.831  0.342 0.730  0.192 0.623  0.111 0.458  -0.037 0.344  -0.159 0.228  -0.229 0.059  -0.362 -0.076  -0.474 -0.221  -0.627 -0.272  -0.740 -0.399  -0.861 -0.525  -0.907 -0.709  -1.041 -0.838  -1.172 -0.923  -1.211 -1.073
1b#tos#t1#t1078062/Z  -0.387 1.205  -0.516 1.205  -0.644 1.205  -0.761 1.193  -0.761 1.064  -0.632 1.064  -0.503 1.064  -0.381 1.038  -0.266 0.980  -0.139 0.971  -0.010 0.971  0.119 0.971  0.247 0.971  0.357 0.924  0.486 0.924  0.596 0.905  0.591 0.779  0.536 0.671  0.465 0.564  0.377 0.471  0.362 0.348  0.282 0.262  0.171 0.197  0.092 0.103  -0.006 0.023  -0.080 -0.074  -0.147 -0.173  -0.231 -0.262  -0.276 -0.382  -0.346 -0.486  -0.451 -0.559  -0.511 -0.664  -0.527 -0.790  -0.592 -0.854  -0.621 -0.954  -0.626 -0.995  -0.498 -0.995  -0.369 -0.995  -0.240 -0.995  -0.111 -0.995  0.018 -0.995  0.146 -0.995  0.275 -0.995  0.404 -0.995  0.533 -0.995  0.662 -0.995  0.790 -0.995  0.919 -0.995  1.048 -0.995  1.157 -0.948
