2#apa#apa15#app1553/t  -0.203 1.816  -0.203 1.637  -0.203 1.457  -0.203 1.278  -0.203 1.098  -0.186 0.920  -0.151 0.744  -0.116 0.568  -0.081 0.392  -0.045 0.216  -0.010 0.040  0.001 -0.139  0.001 -0.318  0.001 -0.498  0.001 -0.677  0.001 -0.857  0.001 -1.037  0.001 -1.216  0.001 -1.396  0.001 -1.575  0.050 -1.548  0.130 -1.388  0.210 -1.227  0.283 -1.063  0.356 -0.899  0.429 -0.735  0.502 -0.571  0.575 -0.406  0.647 -0.242  0.720 -0.078  0.793 0.086  0.866 0.250  0.939 0.414  1.012 0.578  0.905 0.480  0.762 0.391  0.583 0.391  0.403 0.391  0.224 0.391  0.044 0.391  -0.135 0.391  -0.315 0.391  -0.495 0.391  -0.663 0.355  -0.813 0.255  -0.962 0.156  -1.112 0.056  -1.269 -0.017  -1.449 -0.017  -1.628 -0.017
2#apa#apa15#app1553/h  -0.398 1.670  -0.540 1.670  -0.619 1.608  -0.619 1.466  -0.619 1.324  -0.619 1.182  -0.619 1.040  -0.593 0.902  -0.559 0.764  -0.524 0.627  -0.490 0.489  -0.455 0.352  -0.421 0.214  -0.398 0.075  -0.398 -0.067  -0.398 -0.208  -0.398 -0.350  -0.398 -0.492  -0.398 -0.634  -0.398 -0.776  -0.398 -0.917  -0.398 -1.059  -0.398 -1.201  -0.259 -1.204  -0.177 -1.144  -0.177 -1.002  -0.177 -0.860  -0.177 -0.718  -0.177 -0.576  -0.177 -0.435  -0.177 -0.293  -0.177 -0.151  -0.177 -0.009  -0.168 0.127  -0.042 0.191  0.085 0.254  0.212 0.317  0.348 0.344  0.488 0.341  0.589 0.241  0.689 0.141  0.789 0.041  0.889 -0.060  0.990 -0.160  1.090 -0.260  1.190 -0.360  1.290 -0.461  1.391 -0.561  1.491 -0.661  1.591 -0.761
2#apa#apa15#app1553/e  -1.430 -0.561  -1.262 -0.561  -1.094 -0.561  -0.927 -0.561  -0.759 -0.561  -0.592 -0.561  -0.441 -0.520  -0.323 -0.401  -0.204 -0.283  -0.086 -0.164  0.033 -0.046  0.151 0.073  0.226 0.223  0.300 0.373  0.375 0.523  0.450 0.673  0.601 0.701  0.768 0.701  0.780 0.857  0.780 1.025  0.780 1.192  0.753 1.333  0.586 1.333  0.418 1.333  0.251 1.333  0.102 1.286  -0.016 1.168  -0.135 1.049  -0.167 0.895  -0.167 0.727  -0.167 0.560  -0.167 0.392  -0.167 0.224  -0.176 0.061  -0.295 -0.058  -0.413 -0.176  -0.483 -0.315  -0.483 -0.483  -0.483 -0.651  -0.483 -0.818  -0.377 -0.903  -0.214 -0.944  -0.052 -0.985  0.111 -1.025  0.273 -1.066  0.436 -1.107  0.599 -1.147  0.761 -1.188  0.928 -1.193  1.096 -1.193
2#apa#apa15#app1553/i  0.016 0.612  -0.038 0.505  -0.092 0.397  -0.145 0.290  -0.165 0.174  -0.165 0.054  -0.165 -0.066  -0.165 -0.186  -0.165 -0.306  -0.165 -0.426  -0.165 -0.546  -0.165 -0.666  -0.165 -0.786  -0.165 -0.906  -0.165 -1.026  -0.165 -1.146  -0.165 -1.266  -0.165 -1.386  -0.165 -1.507  -0.136 -1.501  -0.082 -1.394  -0.028 -1.286  0.017 -1.177  0.023 -1.057  0.030 -0.937  0.037 -0.817  0.043 -0.697  0.050 -0.577  0.057 -0.457  0.063 -0.337  0.070 -0.218  0.077 -0.098  0.083 0.022  0.090 0.142  0.097 0.262  0.103 0.382  0.110 0.502  0.117 0.622  0.123 0.741  0.130 0.861  0.137 0.981  0.143 1.101  0.150 1.221  0.157 1.341  0.163 1.461  0.170 1.581  0.177 1.700  0.183 1.820  0.190 1.940  0.197 2.060
2#apa#apa15#app1553/c  0.519 1.169  0.427 1.169  0.336 1.169  0.267 1.224  0.203 1.288  0.138 1.353  0.073 1.316  0.009 1.251  -0.056 1.187  -0.120 1.122  -0.185 1.058  -0.249 0.993  -0.314 0.929  -0.379 0.864  -0.443 0.800  -0.468 0.718  -0.468 0.627  -0.468 0.536  -0.468 0.445  -0.468 0.353  -0.468 0.262  -0.468 0.171  -0.468 0.079  -0.468 -0.012  -0.468 -0.103  -0.468 -0.195  -0.468 -0.286  -0.468 -0.377  -0.468 -0.469  -0.468 -0.560  -0.431 -0.631  -0.355 -0.682  -0.279 -0.733  -0.203 -0.783  -0.127 -0.834  -0.051 -0.885  0.025 -0.935  0.101 -0.986  0.188 -1.001  0.279 -1.001  0.370 -1.001  0.462 -1.001  0.553 -1.001  0.644 -1.001  0.736 -1.001  0.827 -1.001  0.917 -0.998  0.981 -0.933  1.046 -0.868  1.111 -0.804
2#apa#apa15#app1553/o  -0.720 0.326  -0.720 0.478  -0.720 0.630  -0.720 0.782  -0.588 0.802  -0.482 0.848  -0.482 1.000  -0.370 1.041  -0.226 1.023  -0.118 0.915  -0.011 0.808  0.097 0.700  0.204 0.593  0.326 0.502  0.452 0.418  0.579 0.334  0.705 0.249  0.831 0.165  0.953 0.076  1.021 -0.060  1.089 -0.196  1.157 -0.332  1.185 -0.477  1.185 -0.629  1.185 -0.781  1.120 -0.886  0.975 -0.934  0.831 -0.982  0.687 -1.030  0.543 -1.078  0.395 -1.102  0.243 -1.102  0.115 -1.023  -0.012 -0.939  -0.138 -0.855  -0.265 -0.771  -0.391 -0.686  -0.506 -0.590  -0.590 -0.464  -0.674 -0.337  -0.759 -0.211  -0.843 -0.084  -0.927 0.042  -0.958 0.185  -0.958 0.337  -0.958 0.489  -0.889 0.599  -0.754 0.667  -0.618 0.735  -0.482 0.802
2#apa#apa15#app1553/n  -0.617 0.331  -0.617 0.194  -0.661 0.075  -0.758 -0.021  -0.828 -0.129  -0.828 -0.266  -0.828 -0.403  -0.816 -0.537  -0.755 -0.660  -0.694 -0.782  -0.632 -0.905  -0.617 -1.038  -0.617 -1.118  -0.617 -0.981  -0.617 -0.844  -0.617 -0.707  -0.617 -0.570  -0.617 -0.434  -0.617 -0.297  -0.617 -0.160  -0.617 -0.023  -0.617 0.114  -0.575 0.244  -0.532 0.374  -0.489 0.504  -0.446 0.634  -0.398 0.761  -0.301 0.858  -0.204 0.955  -0.071 0.964  0.061 0.942  0.183 0.881  0.306 0.819  0.428 0.758  0.564 0.753  0.701 0.753  0.838 0.753  0.897 0.645  0.940 0.515  0.983 0.385  1.026 0.255  1.070 0.125  1.113 -0.005  1.156 -0.134  1.200 -0.264  1.243 -0.394  1.283 -0.525  1.283 -0.662  1.283 -0.799  1.283 -0.935
2#apa#apa15#app1553/o  -0.245 0.422  -0.345 0.523  -0.446 0.623  -0.499 0.744  -0.499 0.886  -0.429 0.999  -0.329 1.100  -0.222 1.184  -0.080 1.184  0.047 1.146  0.147 1.046  0.248 0.945  0.330 0.829  0.409 0.711  0.488 0.593  0.566 0.475  0.645 0.356  0.724 0.238  0.789 0.113  0.834 -0.022  0.879 -0.156  0.924 -0.291  0.969 -0.426  1.014 -0.561  1.024 -0.701  1.024 -0.843  0.926 -0.945  0.826 -1.045  0.708 -1.085  0.571 -1.051  0.433 -1.016  0.295 -0.982  0.157 -0.947  0.019 -0.913  -0.119 -0.878  -0.256 -0.841  -0.383 -0.778  -0.510 -0.714  -0.637 -0.651  -0.758 -0.581  -0.822 -0.454  -0.885 -0.327  -0.949 -0.200  -1.006 -0.071  -1.006 0.071  -1.006 0.213  -1.006 0.355  -0.953 0.475  -0.853 0.576  -0.752 0.676
2#apa#apa15#app1553/g  -0.026 0.139  0.085 0.249  0.135 0.385  0.135 0.541  0.135 0.697  0.135 0.853  0.135 1.009  0.135 1.165  0.079 1.265  -0.077 1.265  -0.233 1.265  -0.371 1.231  -0.457 1.101  -0.544 0.971  -0.630 0.841  -0.697 0.701  -0.746 0.553  -0.795 0.405  -0.830 0.255  -0.830 0.099  -0.795 -0.022  -0.642 -0.008  -0.502 0.062  -0.363 0.131  -0.249 0.238  -0.139 0.348  -0.028 0.458  0.082 0.569  0.171 0.549  0.241 0.410  0.307 0.268  0.356 0.120  0.405 -0.028  0.455 -0.176  0.562 -0.288  0.653 -0.413  0.722 -0.553  0.779 -0.696  0.779 -0.852  0.779 -1.008  0.768 -1.159  0.657 -1.270  0.547 -1.380  0.428 -1.470  0.272 -1.470  0.116 -1.470  -0.040 -1.470  -0.196 -1.470  -0.352 -1.470  -0.509 -1.470
2#apa#apa15#app1553/r  -0.637 1.846  -0.637 1.719  -0.637 1.593  -0.637 1.466  -0.637 1.339  -0.637 1.213  -0.637 1.086  -0.621 0.963  -0.565 0.850  -0.508 0.737  -0.451 0.624  -0.395 0.511  -0.338 0.397  -0.282 0.284  -0.225 0.171  -0.189 0.050  -0.158 -0.073  -0.127 -0.195  -0.096 -0.318  -0.066 -0.441  -0.035 -0.564  -0.004 -0.687  0.026 -0.809  0.057 -0.932  0.088 -1.055  0.118 -1.178  0.149 -1.301  0.180 -1.423  0.211 -1.546  0.213 -1.436  0.213 -1.309  0.213 -1.182  0.213 -1.056  0.213 -0.929  0.213 -0.803  0.213 -0.676  0.213 -0.550  0.213 -0.423  0.213 -0.296  0.261 -0.181  0.318 -0.068  0.375 0.045  0.431 0.158  0.488 0.272  0.544 0.385  0.601 0.498  0.637 0.616  0.637 0.743  0.637 0.869  0.637 0.996
2#apa#apa15#app1553/a  -0.294 0.255  -0.184 0.365  -0.073 0.476  0.037 0.586  0.147 0.696  0.257 0.806  0.292 0.948  0.292 1.104  0.167 1.134  0.011 1.134  -0.145 1.134  -0.299 1.129  -0.410 1.019  -0.520 0.909  -0.630 0.798  -0.740 0.688  -0.851 0.578  -0.880 0.434  -0.880 0.278  -0.880 0.122  -0.880 -0.034  -0.880 -0.190  -0.880 -0.346  -0.880 -0.502  -0.852 -0.606  -0.723 -0.519  -0.593 -0.433  -0.463 -0.346  -0.333 -0.260  -0.203 -0.173  -0.074 -0.087  -0.001 0.030  -0.001 0.186  0.086 0.255  0.242 0.255  0.367 0.180  0.478 0.070  0.586 -0.042  0.636 -0.190  0.685 -0.338  0.734 -0.486  0.784 -0.634  0.833 -0.782  0.878 -0.930  0.878 -1.086  0.892 -1.239  0.962 -1.378  1.032 -1.518  1.102 -1.657  1.171 -1.797
