1b#apa#apa13#app1317/V  -1.196 0.880  -1.196 1.052  -1.183 1.192  -1.061 1.070  -1.011 0.915  -0.939 0.759  -0.885 0.596  -0.831 0.432  -0.790 0.267  -0.790 0.095  -0.744 -0.070  -0.690 -0.233  -0.636 -0.396  -0.627 -0.567  -0.558 -0.722  -0.546 -0.892  -0.436 -1.018  -0.372 -1.164  -0.265 -1.170  -0.178 -1.022  -0.091 -0.874  -0.004 -0.725  0.083 -0.577  0.170 -0.428  0.257 -0.280  0.344 -0.132  0.431 0.017  0.518 0.165  0.605 0.314  0.692 0.462  0.779 0.610  0.866 0.759  0.953 0.907  1.040 1.056  1.014 1.058  0.950 0.913  0.917 0.754  0.827 0.618  0.750 0.464  0.673 0.310  0.592 0.172  0.571 0.003  0.516 -0.160  0.442 -0.315  0.365 -0.469  0.288 -0.622  0.211 -0.776  0.134 -0.930  0.030 -1.064  0.023 -1.233
1b#apa#apa13#app1317/E  -0.583 0.935  -0.662 0.769  -0.669 0.524  -0.742 0.295  -0.744 0.049  -0.804 -0.190  -0.821 -0.434  -0.821 -0.680  -0.821 -0.927  -0.794 -1.162  -0.574 -1.205  -0.376 -1.087  -0.155 -1.026  0.037 -0.896  0.268 -0.829  0.511 -0.816  0.724 -0.896  0.935 -0.980  1.133 -1.098  1.160 -1.060  0.972 -0.901  0.784 -0.743  0.595 -0.584  0.407 -0.426  0.218 -0.267  0.030 -0.108  -0.158 0.050  -0.156 0.139  0.080 0.114  0.277 -0.004  0.484 -0.099  0.730 -0.099  0.589 -0.004  0.370 0.110  0.152 0.223  -0.066 0.337  -0.285 0.451  -0.503 0.565  -0.721 0.679  -0.940 0.793  -0.950 0.856  -0.704 0.856  -0.490 0.935  -0.273 1.006  -0.039 1.048  0.197 1.095  0.431 1.167  0.676 1.174  0.923 1.174  1.169 1.174
1b#apa#apa13#app1317/X  1.423 1.451  1.345 1.358  1.191 1.313  1.096 1.173  1.003 1.031  0.881 0.910  0.762 0.786  0.685 0.633  0.593 0.488  0.498 0.345  0.419 0.193  0.313 0.060  0.196 -0.065  0.119 -0.219  0.054 -0.378  -0.010 -0.537  -0.074 -0.697  -0.184 -0.826  -0.261 -0.979  -0.358 -1.112  -0.436 -1.251  -0.501 -1.126  -0.558 -0.964  -0.615 -0.802  -0.672 -0.639  -0.728 -0.477  -0.785 -0.315  -0.842 -0.153  -0.899 0.009  -0.955 0.171  -1.012 0.334  -1.069 0.496  -1.055 0.608  -0.977 0.701  -0.805 0.701  -0.635 0.697  -0.500 0.608  -0.364 0.520  -0.243 0.399  -0.140 0.264  -0.054 0.117  0.049 -0.018  0.125 -0.172  0.202 -0.326  0.354 -0.404  0.450 -0.539  0.550 -0.676  0.672 -0.797  0.800 -0.909  0.954 -0.986
1b#apa#apa13#app1317/I  0.226 1.063  0.226 0.836  0.226 0.609  0.145 0.401  0.145 0.175  0.145 -0.052  0.145 -0.279  0.168 -0.496  0.162 -0.645  -0.062 -0.680  -0.286 -0.716  -0.510 -0.751  -0.734 -0.786  -0.958 -0.822  -1.182 -0.857  -1.242 -0.809  -1.020 -0.796  -0.793 -0.796  -0.566 -0.796  -0.340 -0.796  -0.113 -0.796  0.114 -0.796  0.341 -0.796  0.567 -0.796  0.794 -0.796  1.021 -0.796  1.234 -0.737  1.129 -0.614  0.943 -0.485  0.756 -0.357  0.569 -0.228  0.382 -0.099  0.196 0.030  0.009 0.158  -0.178 0.287  -0.364 0.416  -0.551 0.545  -0.738 0.673  -0.924 0.802  -1.020 0.925  -0.809 0.990  -0.599 1.063  -0.373 1.063  -0.146 1.063  0.081 1.063  0.308 1.063  0.534 1.063  0.761 1.063  0.984 1.047  1.196 0.982
1b#apa#apa13#app1317/N  -0.681 0.969  -0.681 0.755  -0.681 0.542  -0.681 0.328  -0.713 0.122  -0.779 -0.075  -0.779 -0.289  -0.779 -0.502  -0.779 -0.716  -0.779 -0.929  -0.779 -1.143  -0.806 -1.014  -0.839 -0.803  -0.873 -0.592  -0.906 -0.381  -0.939 -0.170  -0.973 0.041  -1.006 0.251  -1.039 0.462  -1.073 0.673  -0.906 0.554  -0.703 0.487  -0.511 0.394  -0.326 0.320  -0.175 0.169  -0.006 0.044  0.143 -0.093  0.262 -0.268  0.406 -0.423  0.507 -0.611  0.610 -0.602  0.654 -0.393  0.698 -0.184  0.742 0.025  0.786 0.234  0.830 0.442  0.874 0.651  0.918 0.860  0.962 1.069  0.982 1.049  0.982 0.835  0.982 0.622  0.982 0.408  0.982 0.195  0.982 -0.019  0.982 -0.232  0.982 -0.446  0.982 -0.659  0.982 -0.873  0.982 -1.086
1b#apa#apa13#app1317/G  0.270 1.347  0.347 1.208  0.347 1.038  0.347 0.867  0.347 0.696  0.347 0.525  0.347 0.489  0.347 0.660  0.331 0.824  0.264 0.967  0.144 1.088  -0.016 1.116  -0.186 1.116  -0.348 1.077  -0.485 0.978  -0.567 0.830  -0.644 0.677  -0.784 0.589  -0.810 0.434  -0.881 0.280  -0.957 0.127  -1.034 -0.026  -1.041 -0.195  -1.041 -0.365  -1.018 -0.527  -0.952 -0.670  -0.831 -0.791  -0.701 -0.889  -0.533 -0.904  -0.371 -0.958  -0.202 -0.967  -0.063 -1.044  0.108 -1.044  0.279 -1.044  0.449 -1.044  0.608 -0.990  0.761 -0.938  0.904 -0.872  1.025 -0.751  1.107 -0.603  1.118 -0.434  1.057 -0.289  0.914 -0.223  0.755 -0.195  0.584 -0.195  0.413 -0.195  0.242 -0.195  0.072 -0.195  -0.099 -0.195  -0.270 -0.195
1b#apa#apa13#app1317/D  -0.306 0.716  -0.306 0.522  -0.306 0.329  -0.306 0.135  -0.306 -0.059  -0.306 -0.252  -0.306 -0.446  -0.306 -0.640  -0.306 -0.833  -0.207 -0.992  -0.219 -0.943  -0.290 -0.763  -0.361 -0.583  -0.432 -0.403  -0.503 -0.223  -0.574 -0.043  -0.645 0.138  -0.716 0.318  -0.787 0.498  -0.858 0.678  -0.929 0.858  -1.000 1.038  -0.911 1.110  -0.717 1.110  -0.524 1.110  -0.345 1.044  -0.152 1.044  0.026 0.978  0.220 0.978  0.404 0.917  0.577 0.832  0.746 0.737  0.892 0.617  1.017 0.481  1.131 0.336  1.204 0.159  1.204 -0.034  1.204 -0.228  1.204 -0.422  1.136 -0.599  0.999 -0.736  0.834 -0.814  0.679 -0.925  0.485 -0.925  0.298 -0.951  0.113 -0.991  -0.080 -0.991  -0.274 -0.991  -0.459 -0.969  -0.634 -0.925
1b#apa#apa13#app1317/A  0.269 1.508  0.075 1.360  -0.014 1.128  -0.132 0.889  -0.217 0.634  -0.342 0.398  -0.491 0.175  -0.583 -0.076  -0.694 -0.320  -0.781 -0.573  -0.893 -0.816  -0.960 -1.075  -0.993 -1.339  -0.956 -1.402  -0.862 -1.151  -0.768 -0.900  -0.673 -0.649  -0.579 -0.398  -0.485 -0.146  -0.391 0.105  -0.297 0.356  -0.203 0.607  -0.109 0.858  -0.014 1.109  0.080 1.360  0.176 1.601  0.297 1.383  0.418 1.165  0.554 0.937  0.560 0.670  0.603 0.409  0.657 0.150  0.657 -0.118  0.657 -0.386  0.676 -0.647  0.754 -0.882  0.851 -1.110  0.628 -0.969  0.402 -0.824  0.177 -0.679  -0.049 -0.534  -0.274 -0.389  -0.500 -0.244  -0.249 -0.239  0.015 -0.221  0.264 -0.142  0.532 -0.142  0.800 -0.142  1.068 -0.142  1.337 -0.142
1b#apa#apa13#app1317/F  -0.505 0.478  -0.505 0.252  -0.505 0.027  -0.505 -0.199  -0.505 -0.424  -0.505 -0.650  -0.505 -0.875  -0.505 -1.101  -0.505 -1.326  -0.505 -1.551  -0.533 -1.327  -0.561 -1.103  -0.589 -0.879  -0.617 -0.655  -0.645 -0.432  -0.673 -0.208  -0.701 0.016  -0.729 0.240  -0.757 0.464  -0.764 0.680  -0.577 0.775  -0.382 0.847  -0.174 0.920  0.048 0.939  0.259 0.998  0.477 1.031  0.702 1.035  0.906 1.124  1.132 1.124  1.346 1.075  1.496 1.009  1.318 0.870  1.140 0.731  0.963 0.592  0.785 0.453  0.607 0.314  0.430 0.175  0.252 0.036  0.075 -0.103  -0.103 -0.242  -0.281 -0.381  -0.458 -0.520  -0.548 -0.629  -0.322 -0.629  -0.108 -0.601  0.091 -0.537  0.307 -0.499  0.520 -0.444  0.745 -0.444  0.971 -0.444
1b#apa#apa13#app1317/T  -0.033 0.542  0.083 0.589  0.130 0.444  0.130 0.280  0.130 0.116  0.130 -0.049  0.130 -0.213  0.130 -0.377  0.130 -0.541  0.135 -0.705  0.175 -0.864  0.217 -1.023  0.291 -1.170  0.294 -1.334  0.375 -1.464  0.352 -1.548  0.262 -1.411  0.172 -1.274  0.082 -1.136  -0.008 -0.999  -0.099 -0.861  -0.189 -0.724  -0.279 -0.586  -0.369 -0.449  -0.459 -0.312  -0.549 -0.174  -0.639 -0.037  -0.729 0.101  -0.819 0.238  -0.909 0.375  -0.999 0.513  -1.089 0.650  -1.177 0.787  -1.013 0.787  -0.849 0.787  -0.685 0.787  -0.520 0.787  -0.356 0.787  -0.192 0.787  -0.027 0.787  0.132 0.759  0.288 0.707  0.452 0.705  0.616 0.705  0.781 0.705  0.945 0.705  1.109 0.705  1.274 0.705  1.438 0.705  1.602 0.705
1b#apa#apa13#app1317/J  0.184 0.635  0.332 0.635  0.337 0.493  0.337 0.346  0.375 0.214  0.414 0.082  0.414 -0.065  0.414 -0.212  0.414 -0.360  0.414 -0.507  0.368 -0.636  0.337 -0.771  0.268 -0.889  0.164 -0.994  0.059 -1.098  -0.076 -1.126  -0.194 -1.198  -0.339 -1.203  -0.487 -1.203  -0.619 -1.166  -0.750 -1.126  -0.811 -1.040  -0.811 -0.893  -0.811 -0.745  -0.811 -0.598  -0.811 -0.450  -0.811 -0.303  -0.811 -0.155  -0.811 -0.008  -0.811 0.140  -0.811 0.287  -0.811 0.435  -0.811 0.582  -0.717 0.635  -0.569 0.635  -0.422 0.635  -0.274 0.635  -0.127 0.635  0.006 0.699  0.144 0.749  0.285 0.788  0.433 0.788  0.580 0.788  0.719 0.826  0.857 0.865  1.004 0.865  1.152 0.865  1.299 0.865  1.436 0.838  1.563 0.788
