1d#tos#t1#t1052060/\"  -0.724 0.974  -0.779 0.817  -0.872 0.672  -0.768 0.603  -0.650 0.547  -0.569 0.455  -0.470 0.380  -0.313 0.340  -0.318 0.187  -0.353 0.019  -0.381 -0.150  -0.456 -0.287  -0.542 -0.409  -0.597 -0.573  -0.654 -0.736  -0.799 -0.832  -0.878 -0.964  -0.975 -1.109  -1.061 -1.259  -1.031 -1.252  -0.917 -1.121  -0.803 -0.991  -0.689 -0.860  -0.575 -0.729  -0.461 -0.598  -0.347 -0.467  -0.233 -0.336  -0.119 -0.205  -0.005 -0.074  0.109 0.056  0.223 0.187  0.337 0.318  0.451 0.449  0.565 0.580  0.679 0.711  0.793 0.842  0.907 0.973  0.787 0.853  0.716 0.752  0.890 0.752  0.978 0.613  1.145 0.603  1.280 0.564  1.280 0.390  1.269 0.221  1.146 0.099  1.128 -0.068  1.006 -0.190  0.883 -0.313  0.760 -0.436
1d#tos#t1#t1052060/#  -1.058 0.389  -1.377 0.243  -0.945 0.248  -0.520 0.292  -0.137 0.438  0.295 0.438  0.667 0.536  0.632 0.514  0.281 0.261  -0.069 0.008  -0.419 -0.245  -0.770 -0.498  -1.147 -0.680  -1.293 -0.831  -0.901 -0.733  -0.494 -0.611  -0.065 -0.587  0.327 -0.441  0.748 -0.392  1.180 -0.392  1.228 -0.223  0.935 0.095  0.642 0.413  0.350 0.730  0.057 1.048  -0.236 1.366  -0.447 1.316  -0.374 0.895  -0.374 0.463  -0.374 0.031  -0.353 -0.399  -0.326 -0.829  -0.277 -1.256  -0.249 -1.661  -0.150 -1.258  -0.067 -0.834  0.015 -0.409  0.097 0.015  0.180 0.439  0.262 0.863  0.344 1.288  0.309 1.603  0.356 1.275  0.407 0.854  0.407 0.422  0.456 -0.004  0.541 -0.416  0.553 -0.845  0.553 -1.278  0.602 -1.661
1d#tos#t1#t1052060/$  0.556 0.559  0.368 0.652  0.166 0.721  -0.085 0.762  -0.346 0.762  -0.558 0.701  -0.641 0.488  -0.660 0.238  -0.578 0.023  -0.430 -0.089  -0.214 -0.157  -0.006 -0.211  0.248 -0.251  0.387 -0.373  0.556 -0.488  0.637 -0.691  0.585 -0.900  0.486 -1.062  0.355 -1.221  0.137 -1.265  -0.124 -1.265  -0.344 -1.224  -0.494 -1.087  -0.516 -0.842  -0.458 -0.588  -0.401 -0.333  -0.344 -0.079  -0.286 0.176  -0.229 0.430  -0.172 0.684  -0.115 0.939  -0.057 1.193  0.000 1.447  0.057 1.702  0.111 1.918  0.070 1.697  0.070 1.437  0.093 1.180  0.111 0.922  0.111 0.661  0.111 0.400  0.111 0.139  0.151 -0.081  0.151 -0.342  0.232 -0.569  0.232 -0.829  0.232 -1.090  0.232 -1.351  0.232 -1.612  0.273 -1.832
1d#tos#t1#t1052060/%  -0.175 0.969  -0.414 0.969  -0.577 0.893  -0.769 0.779  -0.859 0.631  -0.782 0.469  -0.656 0.323  -0.417 0.323  -0.248 0.439  -0.175 0.633  -0.214 0.855  -0.153 0.945  0.047 1.075  0.247 1.206  0.447 1.337  0.647 1.467  0.649 1.365  0.499 1.183  0.395 0.970  0.285 0.762  0.168 0.555  0.000 0.385  -0.034 0.161  -0.188 -0.022  -0.275 -0.242  -0.380 -0.453  -0.522 -0.639  -0.627 -0.850  -0.715 -1.060  -0.821 -1.245  -0.881 -1.424  -0.791 -1.310  -0.603 -1.162  -0.416 -1.014  -0.229 -0.866  -0.041 -0.717  0.146 -0.569  0.333 -0.421  0.521 -0.273  0.687 -0.136  0.539 -0.284  0.462 -0.453  0.383 -0.664  0.356 -0.877  0.504 -0.968  0.711 -0.892  0.895 -0.782  1.040 -0.639  1.078 -0.409  0.926 -0.322
1d#tos#t1#t1052060/'  -0.387 1.304  -0.387 1.203  -0.454 1.131  -0.525 1.060  -0.596 0.988  -0.696 0.986  -0.705 0.894  -0.705 0.794  -0.624 0.774  -0.524 0.774  -0.423 0.774  -0.323 0.774  -0.228 0.748  -0.138 0.703  -0.046 0.668  0.055 0.668  0.155 0.668  0.256 0.668  0.356 0.668  0.457 0.668  0.529 0.600  0.614 0.562  0.673 0.520  0.673 0.420  0.673 0.319  0.650 0.233  0.560 0.188  0.470 0.143  0.432 0.053  0.401 -0.043  0.369 -0.138  0.337 -0.233  0.305 -0.329  0.273 -0.424  0.236 -0.517  0.180 -0.600  0.125 -0.684  0.069 -0.768  0.037 -0.859  0.016 -0.953  -0.040 -1.037  -0.095 -1.120  -0.151 -1.204  -0.201 -1.291  -0.246 -1.381  -0.281 -1.473  -0.281 -1.574  -0.281 -1.674  -0.281 -1.775  -0.281 -1.875
1d#tos#t1#t1052060/*  -0.144 1.874  -0.249 1.707  -0.207 1.420  -0.144 1.137  -0.144 0.840  -0.144 0.543  -0.062 0.311  -0.019 0.021  -0.019 -0.276  -0.017 -0.573  0.095 -0.847  0.106 -1.143  0.147 -1.423  0.098 -1.448  -0.052 -1.191  -0.202 -0.934  -0.352 -0.678  -0.501 -0.421  -0.651 -0.164  -0.801 0.092  -0.951 0.349  -1.100 0.606  -1.308 0.612  -1.147 0.434  -0.924 0.323  -0.682 0.183  -0.423 0.072  -0.229 -0.130  -0.009 -0.255  0.210 -0.380  0.430 -0.568  0.585 -0.734  0.736 -0.564  0.833 -0.283  0.930 -0.002  1.027 0.279  1.123 0.560  1.220 0.841  1.230 1.059  1.010 0.935  0.816 0.732  0.670 0.508  0.561 0.233  0.307 0.124  0.206 -0.137  -0.012 -0.333  -0.232 -0.531  -0.372 -0.769  -0.598 -0.881  -0.645 -1.131
1d#tos#t1#t1052060/+  -1.222 0.054  -1.390 0.014  -1.552 -0.051  -1.599 -0.148  -1.423 -0.148  -1.248 -0.148  -1.077 -0.138  -0.925 -0.081  -0.749 -0.081  -0.574 -0.081  -0.426 -0.013  -0.251 -0.013  -0.075 -0.013  0.100 -0.013  0.276 -0.013  0.451 -0.013  0.627 -0.013  0.803 -0.013  0.978 -0.013  1.154 -0.013  1.329 -0.013  1.228 0.097  1.101 0.218  0.973 0.338  0.846 0.459  0.718 0.580  0.591 0.701  0.463 0.821  0.336 0.942  0.209 1.063  0.081 1.183  -0.087 1.202  -0.141 1.081  -0.122 0.913  -0.074 0.758  -0.071 0.583  -0.037 0.410  -0.006 0.238  -0.006 0.062  0.061 -0.097  0.061 -0.273  0.061 -0.448  0.061 -0.624  0.061 -0.799  0.061 -0.975  0.061 -1.150  0.061 -1.326  0.061 -1.501  0.111 -1.665  0.129 -1.837
1d#tos#t1#t1052060/  -1.070 0.127  -1.151 0.127  -1.210 0.075  -1.267 0.018  -1.325 -0.039  -1.269 -0.050  -1.247 -0.108  -1.247 -0.087  -1.290 -0.050  -1.299 -0.050  -1.218 -0.050  -1.137 -0.050  -1.057 -0.050  -0.976 -0.050  -0.895 -0.050  -0.814 -0.050  -0.733 -0.050  -0.652 -0.050  -0.571 -0.050  -0.490 -0.050  -0.409 -0.050  -0.328 -0.050  -0.247 -0.050  -0.166 -0.050  -0.085 -0.050  -0.004 -0.050  0.077 -0.050  0.157 -0.050  0.238 -0.050  0.319 -0.050  0.400 -0.050  0.481 -0.050  0.562 -0.050  0.643 -0.050  0.724 -0.050  0.805 -0.050  0.886 -0.050  0.965 -0.048  0.965 0.033  0.965 0.114  1.033 0.127  1.114 0.127  1.195 0.127  1.275 0.127  1.356 0.127  1.437 0.127  1.518 0.127  1.599 0.127  1.680 0.127  1.761 0.127
1d#tos#t1#t1052060/.  0.525 1.978  0.525 1.739  0.525 1.500  0.525 1.261  0.525 1.022  0.525 0.783  0.525 0.545  0.465 0.320  0.358 0.106  0.251 -0.107  0.144 -0.321  0.037 -0.535  -0.069 -0.748  -0.176 -0.962  -0.333 -1.095  -0.572 -1.095  -0.811 -1.095  -0.973 -1.095  -0.734 -1.095  -0.495 -1.095  -0.256 -1.095  -0.017 -1.095  0.222 -1.095  0.461 -1.095  0.525 -0.921  0.525 -0.682  0.525 -0.443  0.403 -0.327  0.164 -0.327  -0.075 -0.327  -0.314 -0.327  -0.553 -0.327  -0.791 -0.327  -0.992 -0.327  -0.753 -0.327  -0.514 -0.327  -0.275 -0.327  -0.243 -0.121  -0.243 0.118  -0.243 0.357  -0.243 0.596  -0.243 0.835  -0.243 1.074  -0.140 1.210  0.099 1.210  0.338 1.210  0.525 1.158  0.525 0.919  0.525 0.680  0.525 0.441
1d#tos#t1#t1052060/=  -0.718 0.934  -0.881 0.893  -0.998 0.780  -1.115 0.690  -0.961 0.690  -0.789 0.690  -0.617 0.690  -0.445 0.690  -0.273 0.690  -0.101 0.690  0.071 0.690  0.244 0.690  0.416 0.690  0.588 0.690  0.760 0.690  0.932 0.690  1.104 0.690  1.192 0.669  1.040 0.587  0.888 0.506  0.737 0.424  0.585 0.342  0.434 0.261  0.282 0.179  0.131 0.098  -0.021 0.016  -0.172 -0.066  -0.324 -0.147  -0.476 -0.229  -0.627 -0.310  -0.779 -0.392  -0.906 -0.497  -1.001 -0.635  -1.144 -0.731  -1.107 -0.772  -0.935 -0.772  -0.763 -0.772  -0.591 -0.772  -0.418 -0.772  -0.246 -0.772  -0.074 -0.772  0.098 -0.772  0.270 -0.772  0.442 -0.772  0.614 -0.772  0.786 -0.772  0.959 -0.772  1.131 -0.772  1.303 -0.772  1.475 -0.772
1d#tos#t1#t1052060/[  0.859 1.190  0.770 1.190  0.684 1.180  0.621 1.117  0.558 1.054  0.480 1.025  0.390 1.025  0.301 1.025  0.211 1.025  0.122 1.025  0.032 1.025  -0.058 1.025  -0.147 1.025  -0.237 1.025  -0.297 0.996  -0.297 0.906  -0.297 0.816  -0.297 0.727  -0.242 0.692  -0.242 0.603  -0.242 0.513  -0.242 0.424  -0.242 0.334  -0.242 0.244  -0.242 0.155  -0.242 0.065  -0.242 -0.024  -0.242 -0.114  -0.242 -0.203  -0.242 -0.293  -0.242 -0.383  -0.242 -0.472  -0.242 -0.562  -0.242 -0.651  -0.242 -0.741  -0.242 -0.830  -0.242 -0.920  -0.242 -1.010  -0.242 -1.099  -0.242 -1.189  -0.196 -1.233  -0.107 -1.233  -0.017 -1.233  0.068 -1.250  0.149 -1.290  0.229 -1.330  0.315 -1.343  0.405 -1.343  0.494 -1.343  0.584 -1.343
