3#apa#apa16#app1600/b  -0.281 1.775  -0.444 1.775  -0.477 1.646  -0.477 1.483  -0.477 1.320  -0.477 1.158  -0.477 0.995  -0.477 0.833  -0.477 0.670  -0.477 0.508  -0.477 0.345  -0.477 0.182  -0.477 0.020  -0.477 -0.143  -0.477 -0.305  -0.477 -0.468  -0.477 -0.631  -0.477 -0.793  -0.477 -0.956  -0.634 -0.961  -0.672 -0.837  -0.672 -0.674  -0.654 -0.515  -0.603 -0.361  -0.551 -0.206  -0.500 -0.052  -0.477 0.107  -0.419 0.212  -0.259 0.223  -0.114 0.295  0.032 0.368  0.185 0.407  0.335 0.377  0.450 0.262  0.582 0.171  0.728 0.098  0.873 0.025  1.018 -0.047  1.164 -0.120  1.282 -0.209  1.282 -0.372  1.211 -0.518  1.138 -0.663  1.044 -0.787  0.898 -0.860  0.753 -0.933  0.597 -0.961  0.435 -0.961  0.272 -0.961  0.109 -0.961
3#apa#apa16#app1600/e  -1.592 -0.801  -1.592 -0.632  -1.524 -0.533  -1.356 -0.533  -1.187 -0.533  -1.023 -0.516  -0.873 -0.441  -0.723 -0.366  -0.572 -0.290  -0.522 -0.154  -0.511 0.008  -0.360 0.083  -0.210 0.158  -0.060 0.233  0.100 0.270  0.268 0.270  0.436 0.270  0.549 0.325  0.549 0.493  0.636 0.625  0.755 0.744  0.816 0.887  0.816 1.055  0.666 1.073  0.498 1.073  0.330 1.073  0.162 1.073  -0.000 1.059  -0.119 0.940  -0.238 0.821  -0.254 0.660  -0.275 0.496  -0.350 0.346  -0.425 0.196  -0.500 0.045  -0.437 -0.083  -0.318 -0.201  -0.199 -0.320  -0.080 -0.439  0.039 -0.558  0.158 -0.677  0.276 -0.796  0.443 -0.801  0.611 -0.801  0.779 -0.801  0.947 -0.801  1.115 -0.801  1.283 -0.801  1.451 -0.801  1.619 -0.801
3#apa#apa16#app1600/d  0.218 2.100  0.102 1.985  0.034 1.858  0.086 1.702  0.138 1.547  0.190 1.392  0.218 1.233  0.218 1.069  0.218 0.905  0.218 0.741  0.218 0.578  0.238 0.416  0.270 0.256  0.302 0.095  0.334 -0.065  0.366 -0.226  0.398 -0.386  0.416 -0.548  0.416 -0.712  0.421 -0.870  0.585 -0.870  0.614 -0.735  0.614 -0.572  0.614 -0.408  0.600 -0.248  0.526 -0.101  0.453 0.045  0.340 0.145  0.185 0.197  0.029 0.249  -0.126 0.301  -0.275 0.270  -0.422 0.196  -0.568 0.123  -0.685 0.009  -0.791 -0.114  -0.864 -0.260  -0.937 -0.407  -0.971 -0.563  -0.971 -0.726  -0.957 -0.884  -0.841 -1.000  -0.706 -1.068  -0.543 -1.060  -0.384 -1.021  -0.225 -0.981  -0.067 -0.941  0.092 -0.902  0.252 -0.870  0.416 -0.870
3#apa#apa16#app1600/.  0.218 2.100  0.102 1.985  0.034 1.858  0.086 1.702  0.138 1.547  0.190 1.392  0.218 1.233  0.218 1.069  0.218 0.905  0.218 0.741  0.218 0.578  0.238 0.416  0.270 0.256  0.302 0.095  0.334 -0.065  0.366 -0.226  0.398 -0.386  0.416 -0.548  0.416 -0.712  0.421 -0.870  0.585 -0.870  0.614 -0.735  0.614 -0.572  0.614 -0.408  0.600 -0.248  0.526 -0.101  0.453 0.045  0.340 0.145  0.185 0.197  0.029 0.249  -0.126 0.301  -0.275 0.270  -0.422 0.196  -0.568 0.123  -0.685 0.009  -0.791 -0.114  -0.864 -0.260  -0.937 -0.407  -0.971 -0.563  -0.971 -0.726  -0.957 -0.884  -0.841 -1.000  -0.706 -1.068  -0.543 -1.060  -0.384 -1.021  -0.225 -0.981  -0.067 -0.941  0.092 -0.902  0.252 -0.870  0.416 -0.870
3#apa#apa16#app1600/H  -0.839 1.253  -0.839 1.046  -0.839 0.839  -0.839 0.632  -0.839 0.425  -0.839 0.218  -0.839 0.011  -0.839 -0.196  -0.839 -0.403  -0.839 -0.610  -0.839 -0.817  -0.839 -1.024  -0.761 -1.153  -0.622 -1.049  -0.539 -0.859  -0.456 -0.670  -0.373 -0.480  -0.290 -0.290  -0.207 -0.101  -0.124 0.089  -0.041 0.279  0.042 0.468  0.125 0.658  0.208 0.847  0.291 1.037  0.374 1.227  0.457 1.416  0.535 1.586  0.535 1.379  0.535 1.172  0.535 0.965  0.535 0.758  0.535 0.551  0.535 0.344  0.535 0.137  0.535 -0.070  0.535 -0.277  0.596 -0.474  0.661 -0.670  0.707 -0.870  0.707 -1.077  0.707 -1.284  0.707 -1.158  0.707 -0.951  0.678 -0.751  0.586 -0.566  0.441 -0.465  0.241 -0.424  0.045 -0.359  -0.152 -0.294
3#apa#apa16#app1600/e  -0.521 -0.518  -0.415 -0.413  -0.310 -0.308  -0.261 -0.180  -0.261 -0.031  -0.179 0.083  -0.074 0.188  0.031 0.294  0.136 0.399  0.241 0.504  0.259 0.645  0.268 0.790  0.373 0.895  0.478 1.000  0.430 1.042  0.281 1.042  0.259 1.169  0.246 1.295  0.113 1.228  -0.020 1.162  -0.153 1.095  -0.281 1.022  -0.386 0.917  -0.491 0.811  -0.596 0.706  -0.701 0.601  -0.781 0.486  -0.781 0.337  -0.781 0.188  -0.781 0.040  -0.746 -0.103  -0.699 -0.244  -0.652 -0.385  -0.605 -0.526  -0.558 -0.667  -0.490 -0.786  -0.346 -0.822  -0.202 -0.858  -0.057 -0.894  0.087 -0.930  0.231 -0.966  0.375 -1.002  0.519 -1.038  0.668 -1.038  0.816 -1.038  0.965 -1.038  1.114 -1.038  1.262 -1.038  1.411 -1.038  1.559 -1.038
3#apa#apa16#app1600/h  -0.664 1.846  -0.608 1.735  -0.553 1.625  -0.497 1.514  -0.490 1.391  -0.490 1.267  -0.490 1.143  -0.490 1.019  -0.490 0.895  -0.490 0.771  -0.490 0.647  -0.490 0.523  -0.490 0.399  -0.490 0.275  -0.490 0.151  -0.490 0.027  -0.482 -0.095  -0.451 -0.216  -0.421 -0.336  -0.391 -0.456  -0.361 -0.577  -0.331 -0.697  -0.317 -0.819  -0.317 -0.943  -0.317 -1.067  -0.317 -1.010  -0.317 -0.886  -0.317 -0.762  -0.253 -0.657  -0.184 -0.554  -0.115 -0.451  -0.046 -0.348  0.022 -0.245  0.030 -0.123  0.073 -0.017  0.161 0.071  0.261 0.084  0.371 0.029  0.482 -0.027  0.590 -0.087  0.693 -0.156  0.797 -0.225  0.900 -0.294  1.003 -0.362  1.101 -0.438  1.188 -0.526  1.276 -0.613  1.364 -0.701  1.416 -0.803  1.416 -0.927
3#apa#apa16#app1600/o  -0.693 0.689  -0.589 0.793  -0.485 0.897  -0.363 0.958  -0.215 0.958  -0.068 0.958  0.079 0.958  0.194 0.880  0.298 0.775  0.402 0.671  0.507 0.567  0.611 0.463  0.715 0.359  0.819 0.255  0.923 0.150  1.027 0.046  1.132 -0.058  1.174 -0.177  1.127 -0.316  1.081 -0.456  1.034 -0.596  0.987 -0.736  0.941 -0.875  0.831 -0.927  0.684 -0.927  0.536 -0.927  0.389 -0.927  0.242 -0.927  0.094 -0.927  -0.053 -0.927  -0.198 -0.913  -0.338 -0.866  -0.477 -0.820  -0.617 -0.773  -0.757 -0.727  -0.897 -0.680  -0.962 -0.580  -0.962 -0.433  -0.962 -0.285  -0.962 -0.138  -0.922 0.003  -0.875 0.142  -0.828 0.282  -0.782 0.422  -0.735 0.562  -0.681 0.695  -0.549 0.761  -0.418 0.827  -0.286 0.892  -0.154 0.958
3#apa#apa16#app1600/p  -0.361 0.428  -0.361 0.253  -0.361 0.078  -0.361 -0.097  -0.333 -0.269  -0.291 -0.439  -0.248 -0.609  -0.206 -0.779  -0.166 -0.949  -0.166 -1.124  -0.166 -1.299  -0.166 -1.474  -0.166 -1.649  -0.201 -1.609  -0.257 -1.443  -0.312 -1.277  -0.361 -1.110  -0.361 -0.935  -0.361 -0.760  -0.361 -0.584  -0.361 -0.409  -0.444 -0.268  -0.556 -0.140  -0.556 0.035  -0.556 0.210  -0.556 0.386  -0.556 0.561  -0.556 0.736  -0.556 0.911  -0.490 1.045  -0.333 1.124  -0.177 1.202  -0.003 1.207  0.172 1.207  0.334 1.151  0.491 1.073  0.652 1.012  0.827 1.012  1.002 1.012  1.080 0.855  1.159 0.699  1.133 0.559  1.009 0.435  0.885 0.311  0.761 0.188  0.638 0.064  0.514 -0.060  0.379 -0.156  0.203 -0.156  0.028 -0.156
3#apa#apa16#app1600/e  -1.642 -0.934  -1.476 -0.934  -1.356 -0.887  -1.356 -0.720  -1.262 -0.647  -1.096 -0.647  -0.944 -0.584  -0.795 -0.510  -0.646 -0.435  -0.497 -0.361  -0.348 -0.286  -0.199 -0.212  -0.050 -0.137  0.099 -0.063  0.248 0.012  0.397 0.086  0.546 0.161  0.685 0.249  0.803 0.367  0.920 0.485  0.933 0.646  0.912 0.804  0.794 0.922  0.676 1.039  0.522 1.069  0.355 1.069  0.189 1.069  0.022 1.069  -0.144 1.069  -0.282 0.999  -0.400 0.881  -0.498 0.755  -0.498 0.589  -0.498 0.422  -0.498 0.256  -0.412 0.125  -0.294 0.007  -0.212 -0.126  -0.212 -0.292  -0.119 -0.392  0.039 -0.445  0.197 -0.498  0.355 -0.550  0.513 -0.603  0.672 -0.647  0.839 -0.647  1.005 -0.647  1.172 -0.647  1.338 -0.647  1.505 -0.647
3#apa#apa16#app1600/d  0.358 2.068  0.192 2.068  0.145 1.948  0.145 1.782  0.145 1.615  0.145 1.448  0.145 1.282  0.145 1.115  0.145 0.949  0.145 0.782  0.145 0.615  0.169 0.451  0.202 0.288  0.234 0.125  0.267 -0.039  0.300 -0.202  0.332 -0.366  0.358 -0.530  0.358 -0.696  0.358 -0.863  0.358 -1.029  0.358 -1.075  0.358 -0.908  0.358 -0.741  0.358 -0.575  0.358 -0.408  0.358 -0.242  0.358 -0.075  0.246 0.045  0.145 0.170  0.145 0.336  0.001 0.360  -0.165 0.360  -0.318 0.324  -0.435 0.207  -0.553 0.089  -0.671 -0.029  -0.789 -0.147  -0.907 -0.265  -0.859 -0.409  -0.785 -0.558  -0.710 -0.707  -0.710 -0.874  -0.604 -0.975  -0.455 -1.049  -0.306 -1.124  -0.142 -1.135  0.025 -1.135  0.192 -1.135  0.358 -1.135
