1c#apa#apa03#app0358/k  0.098 1.882  -0.025 1.778  -0.209 1.698  -0.283 1.501  -0.396 1.319  -0.473 1.110  -0.520 0.893  -0.643 0.716  -0.643 0.488  -0.655 0.265  -0.766 0.083  -0.766 -0.145  -0.776 -0.372  -0.849 -0.588  -0.890 -0.809  -0.890 -1.037  -0.831 -1.206  -0.736 -1.056  -0.564 -0.906  -0.393 -0.756  -0.221 -0.605  -0.050 -0.455  0.122 -0.305  0.294 -0.155  0.465 -0.005  0.637 0.145  0.808 0.295  0.980 0.446  1.151 0.596  1.086 0.620  0.957 0.518  0.778 0.400  0.674 0.276  0.453 0.260  0.291 0.099  0.092 0.029  -0.103 -0.049  -0.301 -0.123  -0.490 -0.218  -0.643 -0.292  -0.464 -0.341  -0.283 -0.455  -0.059 -0.465  0.162 -0.497  0.368 -0.588  0.595 -0.591  0.773 -0.712  0.963 -0.750  1.086 -0.854  1.086 -1.082
1c#apa#apa03#app0358/e  -0.410 0.066  -0.265 0.066  -0.120 0.066  0.025 0.066  0.148 0.117  0.251 0.220  0.376 0.290  0.506 0.355  0.629 0.429  0.731 0.531  0.833 0.634  0.936 0.736  0.941 0.879  0.861 0.990  0.753 1.079  0.608 1.079  0.463 1.079  0.318 1.079  0.200 1.014  0.098 0.911  -0.046 0.910  -0.191 0.910  -0.308 0.843  -0.410 0.740  -0.513 0.638  -0.615 0.536  -0.717 0.433  -0.793 0.312  -0.858 0.182  -0.916 0.051  -0.916 -0.094  -0.916 -0.239  -0.916 -0.383  -0.916 -0.528  -0.871 -0.654  -0.769 -0.757  -0.633 -0.778  -0.514 -0.842  -0.412 -0.944  -0.268 -0.947  -0.158 -1.030  -0.049 -1.116  0.096 -1.116  0.241 -1.116  0.386 -1.116  0.531 -1.116  0.675 -1.116  0.820 -1.116  0.965 -1.116  1.110 -1.116
1c#apa#apa03#app0358/e  -0.846 0.235  -0.846 0.063  -0.676 0.061  -0.671 -0.107  -0.506 -0.114  -0.334 -0.114  -0.162 -0.114  -0.037 -0.001  0.110 0.061  0.282 0.061  0.430 0.117  0.554 0.235  0.722 0.238  0.723 0.410  0.845 0.531  0.995 0.583  1.071 0.680  1.071 0.852  1.071 1.024  0.981 1.106  0.809 1.106  0.637 1.106  0.465 1.106  0.293 1.106  0.144 1.050  0.022 0.928  -0.099 0.807  -0.221 0.685  -0.343 0.564  -0.464 0.442  -0.586 0.320  -0.707 0.199  -0.829 0.077  -0.846 -0.088  -0.846 -0.260  -0.846 -0.432  -0.846 -0.604  -0.846 -0.776  -0.846 -0.948  -0.710 -0.985  -0.552 -1.044  -0.398 -1.121  -0.235 -1.159  -0.063 -1.159  0.109 -1.159  0.281 -1.159  0.453 -1.159  0.625 -1.159  0.775 -1.106  0.896 -0.985
1c#apa#apa03#app0358/p  -0.304 0.058  -0.427 -0.065  -0.428 -0.239  -0.497 -0.384  -0.553 -0.535  -0.553 -0.709  -0.553 -0.883  -0.636 -1.023  -0.677 -1.180  -0.677 -1.354  -0.741 -1.501  -0.802 -1.474  -0.802 -1.300  -0.758 -1.144  -0.650 -1.010  -0.572 -0.854  -0.549 -0.686  -0.428 -0.562  -0.415 -0.390  -0.373 -0.221  -0.331 -0.052  -0.260 0.101  -0.153 0.235  -0.075 0.391  0.003 0.546  0.070 0.705  0.070 0.879  0.125 1.040  0.213 1.179  0.320 1.247  0.436 1.304  0.611 1.304  0.785 1.304  0.917 1.204  0.956 1.055  1.067 0.991  1.067 0.817  1.067 0.643  1.028 0.478  0.950 0.323  0.818 0.275  0.760 0.125  0.614 0.058  0.441 0.055  0.318 -0.067  0.143 -0.067  0.070 -0.168  -0.080 -0.191  -0.254 -0.191  -0.304 -0.067
1c#apa#apa03#app0358/v  -0.927 1.028  -0.927 0.906  -0.927 0.785  -0.927 0.664  -0.927 0.542  -0.927 0.421  -0.895 0.312  -0.809 0.226  -0.756 0.127  -0.756 0.005  -0.672 -0.081  -0.586 -0.167  -0.585 -0.288  -0.585 -0.410  -0.585 -0.531  -0.585 -0.653  -0.585 -0.774  -0.542 -0.852  -0.420 -0.852  -0.414 -0.968  -0.348 -1.023  -0.227 -1.023  -0.105 -1.023  0.016 -1.023  0.099 -0.985  0.099 -0.863  0.209 -0.852  0.270 -0.791  0.281 -0.682  0.403 -0.682  0.441 -0.598  0.441 -0.476  0.441 -0.355  0.441 -0.233  0.481 -0.129  0.567 -0.043  0.612 0.060  0.612 0.182  0.612 0.303  0.637 0.420  0.676 0.536  0.714 0.651  0.752 0.766  0.783 0.883  0.783 1.004  0.852 1.097  0.938 1.183  0.954 1.298  0.954 1.419  0.954 1.541
1c#apa#apa03#app0358/e  -0.436 0.300  -0.297 0.300  -0.263 0.405  -0.193 0.473  -0.054 0.473  0.085 0.473  0.224 0.473  0.362 0.473  0.479 0.525  0.577 0.623  0.707 0.646  0.845 0.646  0.945 0.685  0.945 0.824  0.945 0.962  0.835 0.991  0.696 0.991  0.557 0.991  0.419 0.991  0.280 0.991  0.174 0.911  0.075 0.815  -0.049 0.753  -0.173 0.691  -0.263 0.608  -0.266 0.470  -0.364 0.372  -0.473 0.300  -0.609 0.297  -0.609 0.158  -0.609 0.020  -0.661 -0.097  -0.759 -0.195  -0.781 -0.325  -0.781 -0.464  -0.781 -0.602  -0.777 -0.739  -0.679 -0.837  -0.581 -0.935  -0.483 -1.033  -0.371 -1.113  -0.247 -1.175  -0.123 -1.237  -0.018 -1.325  0.080 -1.424  0.217 -1.426  0.356 -1.426  0.495 -1.426  0.634 -1.426  0.772 -1.426
1c#apa#apa03#app0358/x  -1.011 0.751  -1.011 0.575  -0.892 0.448  -0.826 0.299  -0.774 0.144  -0.650 0.020  -0.641 -0.152  -0.487 -0.174  -0.353 -0.277  -0.271 -0.419  -0.220 -0.544  -0.056 -0.573  0.068 -0.698  0.231 -0.729  0.407 -0.729  0.583 -0.729  0.673 -0.626  0.704 -0.453  0.736 -0.280  0.767 -0.106  0.799 0.067  0.830 0.240  0.862 0.413  0.893 0.586  0.925 0.759  0.956 0.932  0.988 1.106  1.019 1.279  1.024 1.157  0.884 1.121  0.747 1.028  0.622 0.904  0.498 0.779  0.373 0.655  0.239 0.543  0.082 0.465  -0.075 0.386  -0.086 0.216  -0.155 0.057  -0.234 -0.101  -0.337 -0.241  -0.461 -0.365  -0.586 -0.489  -0.710 -0.614  -0.826 -0.742  -0.828 -0.917  -0.953 -1.041  -1.077 -1.166  -1.195 -1.293  -1.195 -1.469
1c#apa#apa03#app0358/i  0.002 -0.397  0.002 -0.491  0.002 -0.585  -0.029 -0.649  -0.123 -0.649  -0.166 -0.732  -0.208 -0.816  -0.250 -0.900  -0.250 -0.994  -0.250 -1.088  -0.250 -1.182  -0.250 -1.276  -0.250 -1.370  -0.241 -1.347  -0.225 -1.254  -0.210 -1.162  -0.194 -1.069  -0.179 -0.976  -0.163 -0.884  -0.148 -0.791  -0.133 -0.698  -0.117 -0.605  -0.102 -0.513  -0.086 -0.420  -0.071 -0.327  -0.055 -0.235  -0.040 -0.142  -0.024 -0.049  -0.009 0.044  0.007 0.136  0.022 0.229  0.037 0.322  0.053 0.415  0.068 0.507  0.084 0.600  0.099 0.693  0.115 0.785  0.130 0.878  0.146 0.971  0.161 1.064  0.177 1.156  0.192 1.249  0.207 1.342  0.223 1.434  0.238 1.527  0.255 1.618  0.349 1.618  0.443 1.618  0.505 1.650  0.505 1.744
1c#apa#apa03#app0358/n  -0.394 0.805  -0.499 0.701  -0.575 0.584  -0.575 0.436  -0.575 0.289  -0.575 0.141  -0.639 0.019  -0.743 -0.085  -0.755 -0.228  -0.755 -0.376  -0.821 -0.458  -0.936 -0.491  -0.936 -0.639  -0.936 -0.787  -0.936 -0.935  -0.936 -1.083  -0.936 -1.130  -0.923 -0.987  -0.819 -0.883  -0.755 -0.761  -0.737 -0.621  -0.632 -0.516  -0.528 -0.412  -0.423 -0.307  -0.319 -0.202  -0.214 -0.098  -0.214 0.050  -0.133 0.164  -0.028 0.269  0.076 0.373  0.181 0.478  0.286 0.582  0.328 0.713  0.383 0.805  0.531 0.805  0.679 0.805  0.827 0.805  0.975 0.805  1.123 0.805  1.231 0.765  1.231 0.617  1.231 0.469  1.231 0.322  1.231 0.174  1.231 0.026  1.213 -0.115  1.108 -0.219  1.050 -0.343  1.050 -0.491  1.050 -0.639
1c#apa#apa03#app0358/g  0.149 0.823  0.262 0.886  0.262 1.062  0.186 1.162  0.017 1.144  -0.120 1.049  -0.191 0.944  -0.343 0.897  -0.468 0.773  -0.530 0.622  -0.643 0.559  -0.643 0.383  -0.757 0.254  -0.690 0.144  -0.514 0.144  -0.337 0.144  -0.161 0.144  0.015 0.144  0.146 0.254  0.274 0.370  0.375 0.445  0.488 0.509  0.576 0.597  0.639 0.710  0.714 0.811  0.714 0.885  0.601 0.822  0.601 0.646  0.587 0.484  0.488 0.407  0.488 0.230  0.488 0.054  0.488 -0.122  0.488 -0.298  0.375 -0.428  0.375 -0.604  0.375 -0.780  0.375 -0.956  0.343 -1.101  0.262 -1.196  0.149 -1.259  0.041 -1.327  -0.136 -1.327  -0.312 -1.327  -0.488 -1.327  -0.664 -1.327  -0.841 -1.327  -1.017 -1.327  -1.165 -1.258  -1.322 -1.214
1c#apa#apa03#app0358/m  -1.010 0.304  -1.010 0.117  -1.010 -0.071  -1.147 -0.122  -1.181 -0.293  -1.295 -0.434  -1.367 -0.549  -1.437 -0.667  -1.422 -0.534  -1.289 -0.402  -1.156 -0.269  -1.024 -0.136  -0.991 0.039  -0.855 0.162  -0.726 0.221  -0.652 0.378  -0.519 0.511  -0.386 0.644  -0.253 0.776  -0.106 0.873  0.082 0.873  0.270 0.873  0.270 0.686  0.230 0.508  0.146 0.340  0.128 0.156  0.092 -0.017  -0.041 -0.149  -0.157 -0.289  -0.086 -0.407  0.102 -0.407  0.242 -0.293  0.413 -0.259  0.464 -0.122  0.623 -0.054  0.756 0.079  0.910 0.162  1.063 0.244  1.196 0.377  1.355 0.447  1.313 0.351  1.266 0.183  1.124 0.138  1.124 -0.050  1.042 -0.204  0.982 -0.367  0.982 -0.555  0.982 -0.743  0.982 -0.930  0.982 -1.118
