2#apa#apa09#app0982/!  0.071 1.724  0.071 1.652  0.071 1.581  0.071 1.509  0.071 1.437  0.071 1.366  0.071 1.294  0.071 1.223  0.071 1.151  0.071 1.080  0.071 1.008  0.071 0.936  0.071 0.865  0.071 0.793  0.071 0.722  0.067 0.651  0.050 0.581  0.032 0.512  0.015 0.442  -0.002 0.373  -0.020 0.303  -0.037 0.234  -0.054 0.165  -0.072 0.095  -0.080 0.025  -0.080 -0.047  -0.080 -0.119  -0.080 -0.190  -0.080 -0.262  -0.080 -0.333  -0.079 -0.405  -0.069 -0.476  -0.058 -0.547  -0.048 -0.617  -0.038 -0.688  -0.028 -0.759  -0.018 -0.830  -0.008 -0.901  0.002 -0.972  0.012 -1.043  0.023 -1.113  0.033 -1.184  0.043 -1.255  0.053 -1.326  0.063 -1.397  0.055 -1.452  -0.017 -1.452  -0.088 -1.452  -0.160 -1.452  -0.232 -1.452
2#apa#apa09#app0982/@  0.237 0.009  0.265 0.144  0.410 0.009  0.611 0.009  0.723 0.098  0.633 0.262  0.462 0.334  0.301 0.236  0.159 0.094  0.075 -0.073  0.075 -0.274  0.218 -0.386  0.398 -0.476  0.597 -0.465  0.788 -0.401  0.978 -0.338  1.048 -0.187  0.885 -0.158  0.929 -0.315  1.130 -0.315  1.210 -0.193  1.159 -0.000  1.095 0.190  1.012 0.369  0.870 0.511  0.728 0.653  0.532 0.696  0.335 0.735  0.138 0.775  -0.059 0.814  -0.258 0.795  -0.457 0.767  -0.656 0.739  -0.855 0.710  -1.054 0.682  -1.239 0.631  -1.351 0.464  -1.462 0.297  -1.534 0.123  -1.485 -0.072  -1.436 -0.267  -1.387 -0.462  -1.224 -0.573  -1.052 -0.676  -0.879 -0.780  -0.707 -0.883  -0.528 -0.963  -0.327 -0.963  -0.126 -0.963  0.075 -0.963
2#apa#apa09#app0982/#  0.436 1.025  0.262 1.372  0.190 1.045  0.126 0.662  0.063 0.280  -0.110 -0.067  -0.211 -0.441  -0.305 -0.818  -0.311 -1.205  -0.396 -1.572  -0.437 -1.624  -0.293 -1.264  -0.149 -0.904  -0.005 -0.543  0.139 -0.183  0.283 0.177  0.427 0.537  0.571 0.897  0.715 1.257  0.859 1.617  0.996 1.938  0.983 1.552  0.839 1.192  0.695 0.832  0.584 0.462  0.508 0.081  0.428 -0.297  0.254 -0.644  0.130 -1.012  -0.030 -1.067  -0.235 -0.738  -0.441 -0.409  -0.646 -0.080  -0.852 0.249  -0.891 0.279  -0.503 0.279  -0.115 0.279  0.272 0.279  0.660 0.279  0.584 0.197  0.220 0.064  -0.145 -0.068  -0.509 -0.201  -0.874 -0.333  -1.238 -0.466  -1.256 -0.555  -0.891 -0.655  -0.504 -0.655  -0.127 -0.562  0.249 -0.468
2#apa#apa09#app0982/$  0.940 0.190  0.831 0.408  0.662 0.527  0.418 0.527  0.174 0.527  -0.069 0.527  -0.305 0.494  -0.523 0.385  -0.446 0.228  -0.238 0.105  -0.020 -0.004  0.197 -0.112  0.384 -0.265  0.556 -0.437  0.729 -0.609  0.772 -0.835  0.709 -1.052  0.537 -1.224  0.338 -1.346  0.099 -1.394  -0.140 -1.441  -0.379 -1.489  -0.622 -1.495  -0.744 -1.374  -0.682 -1.140  -0.605 -0.909  -0.532 -0.677  -0.460 -0.444  -0.388 -0.212  -0.317 0.021  -0.245 0.254  -0.174 0.487  -0.102 0.719  -0.030 0.952  0.041 1.185  0.098 1.420  0.098 1.663  -0.044 1.848  -0.070 1.669  -0.070 1.425  -0.070 1.182  -0.070 0.938  -0.070 0.695  -0.070 0.451  -0.070 0.208  -0.070 -0.036  -0.070 -0.280  -0.020 -0.517  0.039 -0.753  0.098 -0.989
2#apa#apa09#app0982/%  -0.136 0.766  -0.320 0.858  -0.492 0.869  -0.595 0.705  -0.595 0.498  -0.581 0.313  -0.396 0.406  -0.203 0.460  -0.073 0.585  0.017 0.770  0.017 0.977  -0.094 1.072  -0.252 0.956  -0.140 0.962  0.059 1.018  0.257 1.075  0.456 1.132  0.655 1.189  0.731 1.277  0.630 1.315  0.547 1.142  0.421 0.980  0.315 0.803  0.209 0.626  0.103 0.449  -0.001 0.270  -0.093 0.085  -0.186 -0.100  -0.278 -0.285  -0.418 -0.435  -0.564 -0.581  -0.595 -0.775  -0.595 -0.982  -0.482 -1.039  -0.283 -0.982  -0.085 -0.925  0.114 -0.868  0.313 -0.812  0.444 -0.781  0.260 -0.873  0.111 -1.007  -0.004 -1.179  -0.118 -1.351  -0.114 -1.530  0.093 -1.530  0.262 -1.439  0.408 -1.293  0.477 -1.115  0.470 -0.911  0.324 -0.765
2#apa#apa09#app0982/^  -0.501 0.164  -0.501 0.293  -0.501 0.422  -0.501 0.551  -0.530 0.610  -0.621 0.518  -0.712 0.427  -0.803 0.336  -0.894 0.245  -0.975 0.150  -0.975 0.021  -0.975 -0.108  -0.975 -0.236  -0.975 -0.365  -0.975 -0.494  -0.975 -0.623  -0.975 -0.752  -0.908 -0.716  -0.816 -0.625  -0.725 -0.534  -0.634 -0.443  -0.543 -0.352  -0.501 -0.241  -0.501 -0.112  -0.501 0.017  -0.501 0.146  -0.403 0.214  -0.287 0.271  -0.172 0.329  -0.057 0.386  0.058 0.444  0.174 0.502  0.289 0.559  0.404 0.617  0.504 0.582  0.595 0.491  0.686 0.400  0.777 0.309  0.868 0.218  0.960 0.126  1.051 0.035  1.142 -0.056  1.233 -0.147  1.324 -0.238  1.415 -0.329  1.506 -0.420  1.597 -0.511  1.688 -0.602  1.779 -0.693  1.870 -0.784
2#apa#apa09#app0982/&  0.504 -0.877  0.504 -1.061  0.504 -1.245  0.504 -1.429  0.440 -1.460  0.317 -1.324  0.215 -1.171  0.113 -1.018  0.014 -0.863  -0.044 -0.688  -0.102 -0.513  -0.143 -0.336  -0.143 -0.152  -0.143 0.033  -0.143 0.217  -0.143 0.401  -0.142 0.585  -0.112 0.767  -0.081 0.948  -0.051 1.130  -0.021 1.312  0.009 1.493  0.109 1.639  0.255 1.673  0.420 1.591  0.532 1.463  0.591 1.289  0.649 1.114  0.587 0.959  0.476 0.811  0.366 0.664  0.255 0.517  0.131 0.384  -0.022 0.282  -0.176 0.180  -0.328 0.076  -0.475 -0.034  -0.622 -0.145  -0.770 -0.255  -0.917 -0.366  -0.952 -0.533  -0.950 -0.715  -0.765 -0.715  -0.581 -0.715  -0.397 -0.715  -0.213 -0.715  -0.032 -0.687  0.146 -0.643  0.325 -0.598  0.504 -0.553
2#apa#apa09#app0982/*  0.060 1.227  0.060 1.441  0.060 1.225  0.062 1.009  0.158 0.816  0.255 0.622  0.352 0.429  0.448 0.236  0.529 0.036  0.597 -0.169  0.666 -0.375  0.770 -0.557  0.922 -0.711  1.018 -0.904  1.115 -1.098  1.085 -0.971  1.023 -0.764  0.961 -0.557  0.898 -0.350  0.836 -0.143  0.774 0.064  0.712 0.271  0.650 0.478  0.588 0.685  0.526 0.893  0.399 1.013  0.210 0.947  0.058 0.794  -0.039 0.600  -0.135 0.407  -0.232 0.214  -0.329 0.020  -0.409 -0.180  -0.478 -0.385  -0.546 -0.590  -0.651 -0.773  -0.804 -0.919  -0.984 -0.799  -1.164 -0.679  -1.344 -0.559  -1.512 -0.424  -1.652 -0.277  -1.436 -0.275  -1.222 -0.240  -1.009 -0.204  -0.796 -0.169  -0.583 -0.133  -0.369 -0.098  -0.156 -0.062  0.060 -0.062
2#apa#apa09#app0982/(  0.711 1.201  0.658 1.254  0.605 1.307  0.552 1.360  0.500 1.412  0.465 1.352  0.432 1.285  0.399 1.218  0.365 1.152  0.332 1.085  0.298 1.018  0.265 0.952  0.232 0.885  0.198 0.818  0.165 0.752  0.132 0.685  0.098 0.618  0.066 0.551  0.038 0.482  0.010 0.413  -0.017 0.343  -0.045 0.274  -0.073 0.205  -0.100 0.136  -0.128 0.066  -0.156 -0.003  -0.183 -0.072  -0.211 -0.141  -0.239 -0.211  -0.267 -0.280  -0.294 -0.349  -0.322 -0.418  -0.350 -0.487  -0.358 -0.560  -0.358 -0.635  -0.358 -0.710  -0.358 -0.784  -0.358 -0.859  -0.358 -0.933  -0.358 -1.008  -0.358 -1.082  -0.352 -1.155  -0.300 -1.207  -0.247 -1.260  -0.194 -1.313  -0.141 -1.366  -0.089 -1.418  -0.036 -1.471  0.017 -1.524  0.069 -1.577
2#apa#apa09#app0982/)  -0.070 0.915  -0.125 0.970  -0.180 1.026  -0.236 1.081  -0.291 1.137  -0.296 1.213  -0.296 1.291  -0.296 1.368  -0.240 1.313  -0.185 1.257  -0.130 1.202  -0.074 1.146  -0.070 1.070  -0.070 0.992  -0.070 0.913  -0.070 0.835  -0.070 0.757  -0.070 0.678  -0.070 0.600  -0.070 0.521  -0.066 0.443  -0.051 0.367  -0.035 0.290  -0.020 0.213  -0.005 0.136  0.011 0.059  0.026 -0.017  0.041 -0.094  0.057 -0.171  0.072 -0.248  0.088 -0.325  0.103 -0.402  0.118 -0.478  0.134 -0.555  0.149 -0.632  0.157 -0.710  0.157 -0.788  0.157 -0.866  0.157 -0.945  0.157 -1.023  0.157 -1.101  0.157 -1.180  0.157 -1.258  0.157 -1.336  0.157 -1.415  0.157 -1.493  0.157 -1.571  0.157 -1.650  0.157 -1.728  0.157 -1.806
2#apa#apa09#app0982/`  0.134 0.845  0.045 0.845  -0.044 0.845  -0.132 0.845  -0.221 0.845  -0.310 0.845  -0.399 0.845  -0.487 0.845  -0.576 0.845  -0.665 0.845  -0.754 0.845  -0.842 0.845  -0.931 0.845  -0.990 0.833  -0.927 0.770  -0.864 0.707  -0.801 0.644  -0.738 0.582  -0.676 0.519  -0.613 0.456  -0.550 0.393  -0.487 0.331  -0.425 0.268  -0.362 0.205  -0.299 0.142  -0.236 0.080  -0.174 0.017  -0.111 -0.046  -0.048 -0.109  0.015 -0.171  0.077 -0.234  0.140 -0.297  0.203 -0.360  0.266 -0.422  0.328 -0.485  0.391 -0.548  0.454 -0.611  0.517 -0.674  0.579 -0.736  0.642 -0.799  0.705 -0.862  0.768 -0.925  0.830 -0.987  0.893 -1.050  0.956 -1.113  1.019 -1.176  1.081 -1.238  1.144 -1.301  1.207 -1.364  1.270 -1.427
