1c#app#app40#app4087/f  0.767 0.507  0.926 0.507  0.958 0.634  0.958 0.793  0.958 0.952  0.927 1.080  0.768 1.080  0.767 1.238  0.642 1.271  0.483 1.271  0.324 1.271  0.165 1.271  0.006 1.271  0.003 1.115  -0.121 1.080  -0.188 0.988  -0.230 0.847  -0.343 0.734  -0.379 0.590  -0.433 0.454  -0.545 0.341  -0.570 0.193  -0.570 0.034  -0.510 -0.066  -0.379 -0.093  -0.379 -0.252  -0.379 -0.411  -0.292 -0.534  -0.188 -0.650  -0.188 -0.809  -0.188 -0.968  -0.113 -1.096  -0.000 -1.208  0.003 -1.366  0.003 -1.525  -0.037 -1.513  -0.108 -1.371  -0.179 -1.229  -0.250 -1.087  -0.321 -0.944  -0.392 -0.802  -0.464 -0.660  -0.535 -0.518  -0.489 -0.448  -0.330 -0.448  -0.176 -0.436  -0.064 -0.324  0.067 -0.257  0.226 -0.257  0.385 -0.257
1c#app#app40#app4087/y  -0.504 0.925  -0.504 0.774  -0.504 0.624  -0.504 0.473  -0.504 0.322  -0.463 0.213  -0.326 0.227  -0.326 0.378  -0.189 0.391  -0.148 0.501  -0.148 0.652  -0.148 0.802  -0.148 0.953  -0.147 1.103  0.004 1.103  0.030 1.227  0.030 1.378  0.100 1.459  0.208 1.417  0.208 1.266  0.208 1.115  0.208 0.965  0.208 0.814  0.208 0.663  0.233 0.519  0.301 0.384  0.368 0.249  0.386 0.103  0.386 -0.048  0.386 -0.199  0.406 -0.341  0.513 -0.448  0.564 -0.577  0.564 -0.728  0.564 -0.878  0.564 -1.029  0.460 -1.137  0.354 -1.243  0.247 -1.350  0.113 -1.389  -0.038 -1.389  -0.189 -1.389  -0.339 -1.389  -0.490 -1.389  -0.504 -1.252  -0.504 -1.102  -0.422 -1.033  -0.326 -0.978  -0.299 -0.855  -0.148 -0.855
1c#app#app40#app4087/a  0.434 1.035  0.434 1.221  0.434 1.406  0.301 1.460  0.116 1.460  -0.070 1.460  -0.255 1.460  -0.416 1.435  -0.416 1.249  -0.416 1.063  -0.416 0.878  -0.416 0.692  -0.489 0.537  -0.620 0.406  -0.752 0.275  -0.841 0.126  -0.841 -0.060  -0.841 -0.245  -0.841 -0.431  -0.841 -0.617  -0.841 -0.802  -0.841 -0.988  -0.755 -1.088  -0.570 -1.088  -0.384 -1.088  -0.199 -1.088  -0.013 -1.088  0.009 -0.925  0.009 -0.739  0.119 -0.664  0.305 -0.664  0.434 -0.607  0.434 -0.421  0.434 -0.236  0.434 -0.050  0.434 0.135  0.434 0.321  0.434 0.507  0.434 0.529  0.434 0.343  0.434 0.157  0.434 -0.028  0.434 -0.214  0.434 -0.399  0.434 -0.585  0.541 -0.664  0.726 -0.664  0.858 -0.717  0.858 -0.903  0.858 -1.088
1c#app#app40#app4087/m  -1.411 0.304  -1.411 0.098  -1.411 -0.108  -1.411 -0.314  -1.411 -0.521  -1.411 -0.727  -1.208 -0.730  -1.152 -0.580  -1.054 -0.472  -0.894 -0.426  -0.894 -0.220  -0.694 -0.213  -0.635 -0.066  -0.541 0.046  -0.377 0.088  -0.377 0.294  -0.377 0.500  -0.233 0.563  -0.118 0.654  -0.118 0.783  -0.118 0.576  -0.254 0.427  -0.377 0.271  -0.377 0.065  -0.377 -0.141  -0.377 -0.347  -0.294 -0.472  -0.088 -0.472  0.118 -0.472  0.141 -0.288  0.272 -0.213  0.399 -0.134  0.426 0.046  0.632 0.046  0.785 0.173  0.931 0.319  1.077 0.465  1.223 0.610  1.368 0.756  1.434 0.708  1.372 0.563  1.175 0.554  1.175 0.348  1.060 0.189  0.916 0.042  0.916 -0.164  0.916 -0.370  0.916 -0.576  0.969 -0.730  1.175 -0.730
1c#app#app40#app4087/e  -0.919 0.085  -0.728 0.085  -0.610 0.013  -0.610 -0.178  -0.465 -0.224  -0.275 -0.224  -0.084 -0.224  0.107 -0.224  0.298 -0.224  0.438 -0.103  0.573 0.032  0.742 0.085  0.932 0.085  0.935 0.273  0.935 0.464  0.935 0.655  0.935 0.846  0.935 1.036  0.935 1.227  0.838 1.321  0.647 1.321  0.506 1.202  0.371 1.067  0.203 1.012  0.013 1.012  0.008 0.826  -0.060 0.703  -0.250 0.703  -0.301 0.563  -0.323 0.394  -0.514 0.394  -0.610 0.300  -0.610 0.109  -0.610 -0.081  -0.658 -0.224  -0.849 -0.224  -0.919 -0.345  -0.919 -0.535  -0.919 -0.726  -0.866 -0.895  -0.731 -1.030  -0.591 -1.151  -0.400 -1.151  -0.209 -1.151  -0.019 -1.151  0.172 -1.151  0.363 -1.151  0.553 -1.151  0.744 -1.151  0.935 -1.151
1c#app#app40#app4087/o  -0.014 0.894  -0.166 0.894  -0.319 0.894  -0.329 0.753  -0.329 0.601  -0.460 0.579  -0.612 0.579  -0.644 0.460  -0.644 0.308  -0.721 0.187  -0.829 0.080  -0.936 -0.028  -0.959 -0.170  -0.959 -0.322  -0.959 -0.474  -0.959 -0.626  -0.862 -0.681  -0.709 -0.681  -0.644 -0.768  -0.644 -0.920  -0.568 -0.996  -0.416 -0.996  -0.264 -0.996  -0.112 -0.996  0.040 -0.996  0.192 -0.996  0.344 -0.996  0.496 -0.996  0.639 -0.972  0.746 -0.865  0.854 -0.757  0.931 -0.637  0.931 -0.485  0.931 -0.333  0.931 -0.181  0.931 -0.029  0.931 0.123  0.931 0.275  0.931 0.427  0.930 0.579  0.778 0.579  0.626 0.579  0.516 0.679  0.408 0.787  0.301 0.894  0.193 1.002  0.085 1.109  -0.025 1.209  -0.177 1.209  -0.329 1.209
1c#app#app40#app4087/u  -1.331 0.939  -1.331 0.771  -1.331 0.603  -1.331 0.435  -1.331 0.267  -1.331 0.099  -1.331 -0.069  -1.220 -0.191  -1.101 -0.309  -0.991 -0.432  -0.991 -0.600  -0.982 -0.758  -0.814 -0.758  -0.646 -0.758  -0.478 -0.758  -0.310 -0.758  -0.142 -0.758  0.025 -0.758  0.027 -0.591  0.027 -0.424  0.190 -0.419  0.358 -0.419  0.479 -0.306  0.597 -0.187  0.705 -0.064  0.705 0.104  0.705 0.272  0.705 0.440  0.705 0.608  0.705 0.775  0.705 0.943  0.705 1.111  0.704 1.277  0.586 1.158  0.467 1.040  0.366 0.914  0.366 0.746  0.366 0.578  0.366 0.410  0.366 0.242  0.366 0.074  0.366 -0.094  0.366 -0.262  0.377 -0.419  0.545 -0.419  0.705 -0.426  0.705 -0.594  0.709 -0.758  0.877 -0.758  1.045 -0.758
1c#app#app40#app4087/r  0.225 0.998  0.225 0.838  0.225 0.678  0.225 0.517  0.225 0.357  0.225 0.197  0.220 0.041  0.060 0.041  -0.101 0.041  -0.254 0.034  -0.254 -0.126  -0.254 -0.286  -0.254 -0.447  -0.254 -0.607  -0.254 -0.767  -0.254 -0.927  -0.254 -1.088  -0.254 -1.248  -0.268 -1.394  -0.428 -1.394  -0.589 -1.394  -0.732 -1.377  -0.732 -1.217  -0.732 -1.057  -0.713 -0.915  -0.553 -0.915  -0.393 -0.915  -0.254 -0.894  -0.254 -0.734  -0.254 -0.574  -0.254 -0.413  -0.254 -0.253  -0.254 -0.093  -0.235 0.060  -0.122 0.173  -0.009 0.286  0.105 0.400  0.218 0.513  0.225 0.671  0.225 0.831  0.225 0.991  0.378 0.998  0.538 0.998  0.698 0.998  0.703 1.154  0.703 1.314  0.703 1.474  0.861 1.477  1.021 1.477  1.182 1.477
1c#app#app40#app4087/r  -0.300 0.115  -0.300 0.002  -0.300 -0.112  -0.300 -0.226  -0.370 -0.310  -0.450 -0.391  -0.531 -0.471  -0.611 -0.552  -0.656 -0.647  -0.656 -0.760  -0.656 -0.874  -0.656 -0.988  -0.656 -1.101  -0.656 -1.215  -0.656 -1.287  -0.656 -1.173  -0.656 -1.059  -0.656 -0.946  -0.656 -0.832  -0.656 -0.718  -0.656 -0.605  -0.581 -0.522  -0.501 -0.441  -0.421 -0.361  -0.340 -0.281  -0.260 -0.200  -0.179 -0.120  -0.099 -0.039  -0.019 0.041  0.064 0.115  0.178 0.115  0.291 0.115  0.405 0.115  0.411 0.223  0.411 0.336  0.411 0.450  0.477 0.537  0.557 0.617  0.638 0.697  0.718 0.778  0.767 0.871  0.767 0.985  0.767 1.098  0.797 1.183  0.910 1.183  1.024 1.183  1.123 1.197  1.123 1.311  1.123 1.425  1.123 1.538
1c#app#app40#app4087/i  0.589 0.149  0.589 0.031  0.589 -0.088  0.556 -0.172  0.438 -0.172  0.319 -0.172  0.221 -0.219  0.137 -0.303  0.054 -0.387  -0.030 -0.470  -0.113 -0.554  -0.197 -0.637  -0.280 -0.721  -0.364 -0.804  -0.374 -0.918  -0.374 -1.036  -0.374 -1.154  -0.374 -1.273  -0.374 -1.391  -0.364 -1.406  -0.341 -1.290  -0.318 -1.174  -0.295 -1.059  -0.272 -0.943  -0.248 -0.827  -0.225 -0.711  -0.202 -0.595  -0.179 -0.479  -0.156 -0.363  -0.132 -0.248  -0.109 -0.132  -0.086 -0.016  -0.063 0.100  -0.040 0.216  -0.017 0.332  0.007 0.447  0.030 0.563  0.053 0.679  0.076 0.795  0.099 0.911  0.122 1.027  0.146 1.143  0.169 1.258  0.192 1.374  0.215 1.490  0.238 1.606  0.261 1.722  0.268 1.839  0.268 1.957  0.268 2.076
1c#app#app40#app4087/e  -0.356 0.183  -0.220 0.183  -0.083 0.183  0.054 0.183  0.191 0.183  0.328 0.183  0.465 0.183  0.602 0.183  0.738 0.183  0.845 0.256  0.942 0.352  1.039 0.449  1.135 0.546  1.029 0.559  0.893 0.559  0.772 0.575  0.772 0.712  0.772 0.849  0.721 0.935  0.584 0.935  0.447 0.935  0.311 0.935  0.174 0.935  0.037 0.935  0.020 0.815  0.020 0.678  0.002 0.559  -0.134 0.559  -0.271 0.559  -0.356 0.507  -0.356 0.370  -0.356 0.233  -0.356 0.096  -0.356 -0.040  -0.356 -0.177  -0.442 -0.279  -0.538 -0.376  -0.635 -0.472  -0.732 -0.569  -0.733 -0.706  -0.733 -0.843  -0.733 -0.979  -0.733 -1.116  -0.733 -1.253  -0.733 -1.390  -0.733 -1.527  -0.733 -1.664  -0.630 -1.698  -0.493 -1.698  -0.356 -1.698
1c#app#app40#app4087/n  -0.852 0.208  -0.852 0.058  -0.852 -0.091  -0.852 -0.241  -0.852 -0.391  -0.852 -0.540  -0.852 -0.690  -0.896 -0.821  -1.001 -0.927  -1.107 -1.033  -1.135 -1.106  -0.985 -1.106  -0.852 -1.090  -0.852 -0.940  -0.852 -0.790  -0.755 -0.681  -0.649 -0.575  -0.544 -0.469  -0.438 -0.364  -0.332 -0.258  -0.226 -0.152  -0.120 -0.046  -0.015 0.060  0.091 0.165  0.197 0.271  0.303 0.377  0.408 0.483  0.514 0.589  0.620 0.694  0.726 0.800  0.791 0.923  0.791 1.072  0.819 1.193  0.969 1.193  1.118 1.193  1.014 1.088  0.908 0.982  0.802 0.877  0.791 0.732  0.791 0.582  0.717 0.463  0.612 0.357  0.506 0.251  0.462 0.120  0.462 -0.030  0.462 -0.179  0.462 -0.329  0.462 -0.478  0.462 -0.628  0.462 -0.778
1c#app#app40#app4087/d  0.198 -0.414  0.400 -0.414  0.297 -0.288  0.137 -0.189  -0.065 -0.189  -0.263 -0.200  -0.405 -0.342  -0.548 -0.485  -0.691 -0.628  -0.833 -0.770  -0.928 -0.933  -0.928 -1.135  -0.907 -1.315  -0.705 -1.315  -0.503 -1.315  -0.477 -1.139  -0.325 -1.090  -0.123 -1.090  -0.027 -0.984  -0.027 -0.783  0.032 -0.640  0.198 -0.604  0.207 -0.406  0.349 -0.263  0.424 -0.092  0.424 0.110  0.424 0.311  0.424 0.513  0.424 0.715  0.424 0.917  0.424 1.118  0.424 1.320  0.424 1.522  0.424 1.724  0.336 1.838  0.198 1.773  0.198 1.572  0.186 1.375  0.043 1.232  -0.027 1.060  -0.027 0.858  -0.027 0.656  -0.027 0.454  -0.027 0.252  -0.027 0.051  0.105 -0.096  0.198 -0.260  0.198 -0.461  0.198 -0.663  0.198 -0.865
