1d#tos#f2#f2051059/\"  -0.778 0.239  -0.908 0.229  -0.908 0.090  -0.908 -0.049  -0.908 -0.189  -0.908 -0.328  -0.908 -0.468  -0.908 -0.607  -0.908 -0.747  -0.908 -0.886  -0.908 -1.026  -0.908 -1.165  -0.908 -1.305  -0.840 -1.229  -0.760 -1.115  -0.680 -1.001  -0.600 -0.887  -0.520 -0.772  -0.440 -0.658  -0.361 -0.544  -0.281 -0.430  -0.201 -0.315  -0.121 -0.201  -0.041 -0.087  0.039 0.027  0.119 0.142  0.199 0.256  0.279 0.370  0.359 0.485  0.439 0.599  0.519 0.713  0.599 0.827  0.679 0.942  0.759 1.056  0.839 1.170  0.917 1.278  0.917 1.139  0.917 0.999  0.917 0.860  0.878 0.760  0.787 0.711  0.787 0.572  0.787 0.433  0.711 0.369  0.657 0.284  0.657 0.145  0.657 0.005  0.657 -0.134  0.657 -0.274  0.787 -0.283
1d#tos#f2#f2051059/$  0.777 0.574  0.819 0.671  0.734 0.871  0.485 0.959  0.270 1.087  -0.016 1.087  -0.296 1.065  -0.521 0.916  -0.734 0.732  -0.806 0.469  -0.760 0.216  -0.573 0.084  -0.322 -0.022  -0.069 -0.140  0.197 -0.203  0.460 -0.282  0.662 -0.423  0.691 -0.697  0.648 -0.965  0.389 -1.054  0.168 -1.163  -0.113 -1.180  -0.389 -1.145  -0.550 -0.952  -0.592 -0.966  -0.507 -1.217  -0.474 -1.203  -0.412 -0.924  -0.350 -0.645  -0.288 -0.366  -0.226 -0.087  -0.164 0.192  -0.102 0.471  -0.040 0.750  0.022 1.029  0.084 1.308  0.146 1.587  0.092 1.641  0.135 1.398  0.135 1.112  0.135 0.827  0.135 0.541  0.135 0.255  0.135 -0.031  0.135 -0.317  0.135 -0.603  0.135 -0.889  0.135 -1.175  0.135 -1.460  0.178 -1.736
1d#tos#f2#f2051059/&  0.821 0.642  0.706 0.508  0.574 0.379  0.507 0.177  0.358 0.024  0.299 -0.179  0.148 -0.328  0.046 -0.519  -0.110 -0.675  -0.265 -0.830  -0.422 -0.965  -0.567 -1.094  -0.671 -1.209  -0.891 -1.209  -1.030 -1.076  -1.069 -0.872  -1.069 -0.653  -1.063 -0.438  -0.914 -0.322  -0.718 -0.241  -0.525 -0.143  -0.336 -0.033  -0.169 0.108  0.000 0.234  0.149 0.394  0.290 0.563  0.454 0.705  0.551 0.892  0.654 1.027  0.706 1.231  0.706 1.451  0.564 1.529  0.344 1.529  0.130 1.492  0.011 1.336  -0.054 1.129  -0.104 0.921  -0.168 0.712  -0.220 0.500  -0.220 0.280  -0.220 0.060  -0.220 -0.160  -0.113 -0.326  0.018 -0.498  0.088 -0.706  0.275 -0.820  0.430 -0.967  0.571 -1.113  0.767 -1.201  0.976 -1.248
1d#tos#f2#f2051059/(  0.672 1.524  0.628 1.457  0.583 1.391  0.545 1.322  0.516 1.271  0.441 1.250  0.369 1.214  0.327 1.150  0.289 1.081  0.223 1.062  0.197 0.986  0.172 0.910  0.105 0.891  0.102 0.814  0.077 0.747  0.010 0.703  -0.057 0.658  -0.088 0.595  -0.114 0.521  -0.150 0.449  -0.176 0.373  -0.201 0.297  -0.232 0.223  -0.267 0.152  -0.303 0.080  -0.339 0.008  -0.341 -0.072  -0.341 -0.152  -0.341 -0.232  -0.341 -0.312  -0.341 -0.392  -0.341 -0.472  -0.341 -0.552  -0.341 -0.633  -0.341 -0.713  -0.341 -0.793  -0.303 -0.857  -0.258 -0.922  -0.222 -0.994  -0.214 -1.072  -0.158 -1.129  -0.101 -1.186  -0.027 -1.199  -0.010 -1.262  0.061 -1.285  0.118 -1.341  0.178 -1.389  0.258 -1.389  0.339 -1.389  0.419 -1.389
1d#tos#f2#f2051059/*  1.014 1.410  0.798 1.302  0.650 1.072  0.357 0.936  0.202 0.679  -0.016 0.489  -0.172 0.236  -0.285 -0.055  -0.474 -0.273  -0.612 -0.544  -0.789 -0.790  -0.944 -1.057  -0.935 -0.919  -0.856 -0.604  -0.777 -0.289  -0.698 0.026  -0.620 0.341  -0.541 0.656  -0.462 0.971  -0.555 0.954  -0.393 0.696  -0.340 0.384  -0.165 0.119  -0.042 -0.172  0.148 -0.401  0.271 -0.663  0.509 -0.845  0.684 -1.076  0.892 -1.282  0.993 -1.404  0.872 -1.125  0.775 -0.816  0.677 -0.506  0.580 -0.196  0.482 0.113  0.385 0.423  0.287 0.733  0.190 1.042  0.092 1.352  -0.014 1.422  -0.122 1.206  -0.068 0.890  -0.068 0.565  -0.068 0.241  -0.068 -0.084  -0.068 -0.409  -0.176 -0.701  -0.176 -1.025  -0.176 -1.350  -0.176 -1.675
1d#tos#f2#f2051059/,  0.611 1.549  0.611 1.454  0.611 1.359  0.611 1.264  0.611 1.169  0.611 1.074  0.611 0.978  0.611 0.883  0.611 0.788  0.542 0.763  0.446 0.763  0.351 0.763  0.268 0.734  0.201 0.667  0.131 0.606  0.036 0.606  -0.059 0.606  -0.154 0.606  -0.249 0.606  -0.331 0.594  -0.331 0.499  -0.286 0.449  -0.191 0.449  -0.174 0.370  -0.163 0.280  -0.096 0.213  -0.028 0.146  -0.017 0.055  -0.017 -0.040  -0.017 -0.135  -0.017 -0.230  -0.017 -0.325  -0.017 -0.420  -0.017 -0.515  -0.017 -0.610  -0.017 -0.705  -0.017 -0.800  -0.095 -0.847  -0.180 -0.890  -0.265 -0.932  -0.338 -0.985  -0.368 -1.075  -0.398 -1.165  -0.428 -1.256  -0.458 -1.346  -0.488 -1.436  -0.489 -1.531  -0.511 -1.617  -0.579 -1.684  -0.646 -1.751
1d#tos#f2#f2051059/;  -0.114 1.813  -0.180 1.793  -0.180 1.708  -0.180 1.622  -0.172 1.537  -0.163 1.452  -0.154 1.366  -0.145 1.281  -0.137 1.196  -0.128 1.111  -0.119 1.026  -0.110 0.941  -0.101 0.855  -0.092 0.770  -0.084 0.685  -0.075 0.600  -0.066 0.515  -0.057 0.429  -0.048 0.344  -0.040 0.259  -0.031 0.174  -0.022 0.089  -0.013 0.003  -0.004 -0.082  0.004 -0.167  0.013 -0.252  0.017 -0.338  -0.049 -0.358  -0.049 -0.443  -0.003 -0.483  0.064 -0.530  0.082 -0.608  0.161 -0.614  0.247 -0.614  0.279 -0.668  0.345 -0.688  0.345 -0.773  0.345 -0.859  0.277 -0.877  0.214 -0.899  0.200 -0.983  0.173 -1.064  0.142 -1.139  0.082 -1.165  0.082 -1.251  0.016 -1.270  -0.068 -1.280  -0.144 -1.318  -0.180 -1.381  -0.180 -1.467
1d#tos#f2#f2051059/<  0.248 1.575  0.316 1.551  0.363 1.506  0.385 1.436  0.320 1.371  0.277 1.290  0.230 1.212  0.164 1.147  0.105 1.078  0.076 0.991  0.047 0.904  -0.028 0.881  -0.028 0.789  -0.028 0.697  -0.098 0.656  -0.185 0.627  -0.253 0.574  -0.294 0.492  -0.362 0.434  -0.439 0.382  -0.510 0.329  -0.510 0.237  -0.547 0.160  -0.579 0.081  -0.579 -0.011  -0.557 -0.089  -0.475 -0.131  -0.441 -0.202  -0.369 -0.225  -0.340 -0.312  -0.311 -0.400  -0.243 -0.453  -0.162 -0.496  -0.097 -0.561  -0.032 -0.626  -0.000 -0.712  0.029 -0.799  0.094 -0.836  0.181 -0.843  0.210 -0.931  0.239 -1.018  0.248 -1.109  0.268 -1.180  0.360 -1.180  0.415 -1.240  0.459 -1.318  0.543 -1.338  0.592 -1.410  0.638 -1.456  0.661 -1.525
1d#tos#f2#f2051059/?  -0.183 1.388  -0.274 1.366  -0.365 1.343  -0.346 1.291  -0.253 1.291  -0.199 1.226  -0.125 1.193  -0.032 1.191  0.052 1.149  0.061 1.061  0.141 1.047  0.208 1.020  0.269 0.979  0.321 0.901  0.369 0.821  0.403 0.735  0.403 0.641  0.391 0.559  0.336 0.505  0.306 0.416  0.241 0.349  0.208 0.269  0.167 0.185  0.091 0.135  0.034 0.066  -0.008 -0.018  -0.036 -0.105  -0.111 -0.124  -0.193 -0.143  -0.232 -0.228  -0.232 -0.322  -0.274 -0.389  -0.329 -0.449  -0.329 -0.543  -0.329 -0.637  -0.314 -0.724  -0.234 -0.758  -0.141 -0.758  -0.103 -0.839  -0.069 -0.927  -0.035 -1.014  -0.002 -1.102  0.032 -1.189  0.066 -1.277  0.099 -1.364  0.110 -1.456  0.110 -1.550  0.110 -1.644  0.110 -1.738  0.110 -1.831
1d#tos#f2#f2051059/@  0.585 0.725  0.278 0.691  0.109 0.499  0.198 0.583  -0.022 0.488  -0.230 0.345  -0.394 0.145  -0.476 -0.130  -0.651 -0.325  -0.651 -0.640  -0.560 -0.891  -0.292 -0.843  -0.176 -0.609  -0.033 -0.371  0.014 -0.104  0.062 0.163  0.062 0.478  0.129 0.345  0.014 0.201  0.062 -0.066  0.062 -0.381  0.147 -0.625  0.396 -0.748  0.708 -0.735  0.870 -0.520  1.065 -0.321  1.174 -0.064  1.250 0.218  1.298 0.513  1.259 0.812  1.108 1.045  0.817 1.111  0.539 1.201  0.225 1.201  -0.081 1.210  -0.357 1.248  -0.571 1.107  -0.769 0.880  -0.841 0.601  -0.889 0.306  -0.985 0.043  -1.031 -0.247  -1.031 -0.562  -1.031 -0.876  -0.936 -1.096  -0.707 -1.205  -0.395 -1.224  -0.081 -1.224  0.223 -1.176  0.537 -1.176
1d#tos#f2#f2051059/[  0.320 1.585  0.320 1.486  0.320 1.388  0.345 1.315  0.427 1.299  0.427 1.201  0.377 1.153  0.280 1.140  0.187 1.109  0.128 1.039  0.059 0.991  -0.004 0.956  -0.023 0.865  -0.092 0.795  -0.175 0.744  -0.220 0.673  -0.261 0.585  -0.344 0.559  -0.425 0.517  -0.490 0.445  -0.490 0.347  -0.490 0.248  -0.458 0.182  -0.413 0.128  -0.382 0.061  -0.328 0.017  -0.328 -0.082  -0.274 -0.126  -0.220 -0.202  -0.220 -0.301  -0.220 -0.399  -0.220 -0.498  -0.198 -0.574  -0.166 -0.640  -0.166 -0.739  -0.166 -0.837  -0.166 -0.936  -0.166 -1.034  -0.166 -1.132  -0.103 -1.167  -0.004 -1.167  0.072 -1.221  0.170 -1.221  0.269 -1.221  0.367 -1.221  0.466 -1.221  0.564 -1.221  0.662 -1.221  0.761 -1.221  0.859 -1.221
