2#apb#apb27#app2729/a  0.785 0.636  0.727 0.719  0.590 0.785  0.467 0.915  0.339 1.043  0.167 1.085  -0.012 1.048  -0.187 0.996  -0.359 0.935  -0.531 0.875  -0.699 0.803  -0.859 0.716  -1.016 0.623  -1.151 0.508  -1.204 0.333  -1.298 0.177  -1.292 -0.001  -1.244 -0.177  -1.162 -0.339  -1.032 -0.462  -0.869 -0.519  -0.688 -0.499  -0.512 -0.451  -0.354 -0.362  -0.210 -0.252  -0.087 -0.117  0.042 0.012  0.177 0.134  0.292 0.276  0.329 0.446  0.371 0.585  0.329 0.415  0.268 0.245  0.215 0.070  0.130 -0.090  0.051 -0.254  -0.007 -0.427  -0.037 -0.607  -0.044 -0.789  -0.008 -0.966  0.163 -0.982  0.345 -0.971  0.525 -0.947  0.706 -0.922  0.880 -0.865  1.052 -0.805  1.222 -0.738  1.389 -0.665  1.561 -0.606  1.740 -0.567
2#apb#apb27#app2729/b  0.465 1.804  0.306 1.893  0.195 1.925  0.124 1.743  0.082 1.552  0.048 1.359  -0.003 1.170  -0.061 0.982  -0.118 0.794  -0.167 0.604  -0.217 0.414  -0.263 0.223  -0.303 0.031  -0.344 -0.161  -0.387 -0.353  -0.435 -0.543  -0.501 -0.728  -0.572 -0.910  -0.609 -1.102  -0.646 -0.918  -0.618 -0.724  -0.557 -0.540  -0.415 -0.415  -0.286 -0.267  -0.150 -0.125  -0.041 0.038  0.054 0.210  0.156 0.376  0.292 0.517  0.432 0.641  0.628 0.641  0.762 0.539  0.882 0.385  0.931 0.201  0.953 0.006  0.931 -0.188  0.872 -0.373  0.778 -0.545  0.632 -0.676  0.487 -0.808  0.341 -0.940  0.166 -1.022  -0.024 -1.060  -0.218 -1.046  -0.400 -0.973  -0.564 -0.866  -0.718 -0.745  -0.808 -0.590  -0.639 -0.684  -0.452 -0.746
2#apb#apb27#app2729/c  0.695 0.638  0.683 0.638  0.713 0.736  0.807 0.806  0.855 0.909  0.845 1.023  0.745 1.059  0.628 1.044  0.516 1.010  0.407 0.967  0.297 0.924  0.186 0.887  0.074 0.850  -0.035 0.805  -0.136 0.746  -0.238 0.687  -0.341 0.629  -0.448 0.581  -0.556 0.534  -0.646 0.459  -0.736 0.382  -0.801 0.285  -0.861 0.184  -0.919 0.081  -0.962 -0.028  -1.006 -0.137  -1.017 -0.253  -1.017 -0.371  -0.988 -0.483  -0.947 -0.594  -0.860 -0.666  -0.759 -0.726  -0.656 -0.782  -0.539 -0.797  -0.422 -0.813  -0.306 -0.828  -0.188 -0.833  -0.071 -0.833  0.047 -0.833  0.165 -0.833  0.282 -0.824  0.399 -0.809  0.516 -0.793  0.631 -0.773  0.739 -0.725  0.846 -0.677  0.963 -0.672  1.021 -0.593  1.139 -0.593  1.256 -0.593
2#apb#apb27#app2729/d  0.647 1.548  0.601 1.513  0.601 1.341  0.601 1.169  0.601 0.997  0.601 0.824  0.601 0.652  0.585 0.481  0.563 0.311  0.534 0.141  0.500 -0.028  0.487 -0.198  0.484 -0.370  0.464 -0.541  0.468 -0.617  0.561 -0.496  0.623 -0.346  0.670 -0.193  0.689 -0.022  0.674 0.148  0.629 0.314  0.563 0.472  0.467 0.614  0.337 0.718  0.178 0.764  0.011 0.722  -0.155 0.676  -0.317 0.619  -0.465 0.533  -0.609 0.439  -0.745 0.334  -0.874 0.220  -1.001 0.104  -1.115 -0.025  -1.200 -0.173  -1.280 -0.324  -1.355 -0.470  -1.300 -0.623  -1.163 -0.726  -1.008 -0.801  -0.852 -0.873  -0.685 -0.912  -0.515 -0.939  -0.346 -0.967  -0.177 -1.001  -0.008 -1.029  0.164 -1.029  0.326 -0.984  0.453 -1.006  0.487 -0.960
2#apb#apb27#app2729/e  -0.369 -0.008  -0.297 0.021  -0.171 0.078  -0.029 0.017  0.123 0.048  0.271 0.093  0.417 0.146  0.559 0.208  0.696 0.280  0.825 0.366  0.925 0.483  0.989 0.617  0.989 0.773  0.937 0.917  0.810 1.007  0.671 1.075  0.521 1.089  0.366 1.076  0.215 1.042  0.065 1.003  -0.066 0.920  -0.198 0.837  -0.334 0.763  -0.465 0.681  -0.581 0.578  -0.699 0.478  -0.829 0.392  -0.941 0.286  -1.041 0.168  -1.119 0.033  -1.129 -0.119  -1.129 -0.274  -1.129 -0.430  -1.030 -0.544  -0.920 -0.654  -0.799 -0.751  -0.675 -0.843  -0.529 -0.895  -0.383 -0.947  -0.231 -0.978  -0.078 -1.006  0.075 -1.008  0.228 -0.983  0.383 -0.975  0.531 -0.947  0.665 -0.870  0.805 -0.814  0.945 -0.759  1.079 -0.789  1.081 -0.883
2#apb#apb27#app2729/f  1.423 0.710  1.520 0.849  1.487 0.976  1.353 1.070  1.187 1.105  1.026 1.135  0.859 1.084  0.690 1.042  0.520 1.003  0.354 0.952  0.190 0.892  0.040 0.805  -0.104 0.708  -0.228 0.585  -0.335 0.449  -0.419 0.297  -0.490 0.137  -0.519 -0.031  -0.519 -0.205  -0.505 -0.379  -0.484 -0.550  -0.394 -0.700  -0.311 -0.853  -0.252 -1.017  -0.183 -1.176  -0.091 -1.323  0.054 -1.417  0.074 -1.336  -0.032 -1.199  -0.143 -1.064  -0.253 -0.929  -0.364 -0.794  -0.474 -0.659  -0.585 -0.525  -0.695 -0.390  -0.806 -0.255  -0.916 -0.120  -1.027 0.015  -1.008 0.070  -0.835 0.046  -0.662 0.059  -0.488 0.072  -0.313 0.072  -0.139 0.072  0.035 0.072  0.209 0.072  0.381 0.094  0.551 0.133  0.723 0.163  0.896 0.183
2#apb#apb27#app2729/g  0.843 0.660  0.901 0.806  0.811 0.918  0.673 0.982  0.514 0.982  0.355 0.986  0.197 1.001  0.042 0.968  -0.113 0.935  -0.271 0.912  -0.421 0.867  -0.566 0.801  -0.697 0.720  -0.756 0.572  -0.757 0.432  -0.635 0.332  -0.490 0.265  -0.344 0.205  -0.191 0.160  -0.038 0.117  0.120 0.126  0.279 0.134  0.436 0.160  0.592 0.191  0.743 0.238  0.886 0.301  0.995 0.416  0.979 0.504  0.831 0.449  0.708 0.348  0.589 0.243  0.481 0.127  0.373 0.010  0.274 -0.114  0.176 -0.239  0.078 -0.364  -0.020 -0.490  -0.116 -0.616  -0.212 -0.743  -0.308 -0.870  -0.404 -0.996  -0.502 -1.121  -0.601 -1.246  -0.703 -1.367  -0.822 -1.473  -0.912 -1.601  -0.923 -1.569  -0.811 -1.456  -0.692 -1.351  -0.567 -1.253
2#apb#apb27#app2729/h  -0.071 1.449  -0.141 1.448  -0.187 1.302  -0.228 1.143  -0.260 0.982  -0.291 0.820  -0.335 0.662  -0.390 0.507  -0.445 0.352  -0.506 0.199  -0.567 0.046  -0.628 -0.107  -0.688 -0.260  -0.748 -0.414  -0.814 -0.563  -0.903 -0.702  -0.976 -0.848  -1.061 -0.984  -1.030 -0.897  -0.974 -0.742  -0.923 -0.586  -0.872 -0.430  -0.803 -0.280  -0.728 -0.134  -0.627 -0.004  -0.513 0.114  -0.389 0.222  -0.259 0.323  -0.116 0.395  0.042 0.438  0.182 0.525  0.340 0.523  0.477 0.481  0.481 0.318  0.447 0.157  0.399 -0.000  0.336 -0.152  0.295 -0.311  0.278 -0.474  0.411 -0.558  0.573 -0.586  0.735 -0.580  0.896 -0.546  1.053 -0.500  1.208 -0.442  1.362 -0.385  1.521 -0.342  1.671 -0.278  1.811 -0.191  1.954 -0.110
2#apb#apb27#app2729/i  0.344 0.216  0.344 0.354  0.303 0.474  0.248 0.467  0.145 0.378  0.052 0.284  -0.012 0.162  -0.077 0.041  -0.122 -0.087  -0.151 -0.221  -0.175 -0.357  -0.210 -0.489  -0.239 -0.623  -0.247 -0.760  -0.253 -0.897  -0.246 -1.028  -0.235 -1.128  -0.289 -1.189  -0.328 -1.206  -0.410 -1.291  -0.460 -1.393  -0.370 -1.434  -0.278 -1.430  -0.250 -1.295  -0.222 -1.161  -0.193 -1.026  -0.165 -0.892  -0.137 -0.757  -0.109 -0.623  -0.080 -0.489  -0.052 -0.354  -0.024 -0.220  0.004 -0.085  0.033 0.049  0.061 0.184  0.089 0.318  0.117 0.453  0.146 0.587  0.174 0.721  0.202 0.856  0.230 0.990  0.259 1.125  0.287 1.259  0.315 1.394  0.343 1.528  0.372 1.663  0.366 1.796  0.337 1.843  0.303 1.711  0.262 1.581
2#apb#apb27#app2729/j  0.149 0.356  0.023 0.355  0.000 0.378  0.077 0.269  0.130 0.149  0.187 0.029  0.249 -0.088  0.284 -0.213  0.294 -0.345  0.304 -0.477  0.314 -0.609  0.273 -0.735  0.229 -0.860  0.142 -0.958  0.047 -1.051  -0.055 -1.134  -0.160 -1.215  -0.281 -1.270  -0.407 -1.300  -0.538 -1.296  -0.654 -1.230  -0.749 -1.138  -0.820 -1.029  -0.850 -0.909  -0.784 -0.794  -0.712 -0.683  -0.641 -0.571  -0.569 -0.459  -0.497 -0.348  -0.426 -0.236  -0.354 -0.125  -0.283 -0.013  -0.211 0.099  -0.140 0.210  -0.068 0.322  0.004 0.433  0.075 0.545  0.147 0.657  0.218 0.768  0.290 0.880  0.361 0.992  0.433 1.103  0.505 1.215  0.576 1.326  0.648 1.438  0.719 1.550  0.693 1.608  0.591 1.577  0.573 1.460  0.664 1.368
2#apb#apb27#app2729/k  -0.378 1.475  -0.313 1.658  -0.225 1.718  -0.244 1.511  -0.310 1.298  -0.375 1.085  -0.438 0.872  -0.502 0.659  -0.572 0.448  -0.642 0.237  -0.713 0.026  -0.783 -0.185  -0.853 -0.396  -0.921 -0.607  -0.982 -0.821  -1.032 -1.038  -1.057 -1.258  -0.885 -1.147  -0.780 -0.958  -0.607 -0.829  -0.416 -0.714  -0.226 -0.599  -0.035 -0.485  0.155 -0.370  0.345 -0.255  0.536 -0.140  0.726 -0.026  0.917 0.089  1.107 0.204  1.298 0.319  1.345 0.469  1.167 0.473  0.964 0.383  0.750 0.320  0.538 0.254  0.332 0.172  0.121 0.102  -0.097 0.059  -0.314 0.013  -0.534 -0.013  -0.368 0.060  -0.159 0.101  0.044 0.011  0.240 -0.096  0.409 -0.235  0.554 -0.404  0.677 -0.588  0.760 -0.794  0.823 -1.002  0.953 -1.057
