1c#app#app32#app3209/p  0.319 0.708  0.234 0.815  0.212 0.646  0.108 0.497  0.104 0.307  0.065 0.131  -0.003 -0.033  -0.026 -0.221  -0.087 -0.403  -0.115 -0.589  -0.201 -0.761  -0.239 -0.944  -0.324 -1.115  -0.325 -1.307  -0.432 -1.455  -0.432 -1.646  -0.539 -1.731  -0.647 -1.705  -0.647 -1.513  -0.647 -1.321  -0.647 -1.130  -0.647 -0.938  -0.577 -0.762  -0.539 -0.580  -0.513 -0.392  -0.452 -0.210  -0.374 -0.035  -0.289 0.136  -0.203 0.308  -0.117 0.480  -0.031 0.651  0.088 0.799  0.224 0.934  0.359 1.070  0.495 1.206  0.631 1.341  0.774 1.459  0.855 1.349  0.855 1.157  0.791 1.030  0.748 0.880  0.659 0.726  0.599 0.559  0.463 0.423  0.305 0.357  0.219 0.186  0.104 0.103  -0.048 0.064  -0.110 0.194  -0.003 0.278
1c#app#app32#app3209/i  0.276 0.407  0.188 0.319  0.112 0.227  0.112 0.102  0.112 -0.022  0.069 -0.128  -0.019 -0.216  -0.052 -0.326  -0.052 -0.450  -0.052 -0.574  -0.052 -0.699  -0.052 -0.823  -0.082 -0.934  -0.169 -1.022  -0.216 -1.127  -0.216 -1.251  -0.216 -1.375  -0.143 -1.469  -0.055 -1.557  -0.045 -1.441  -0.038 -1.317  -0.030 -1.193  -0.023 -1.069  -0.016 -0.945  -0.008 -0.822  -0.001 -0.698  0.006 -0.574  0.014 -0.450  0.021 -0.326  0.028 -0.202  0.035 -0.078  0.043 0.046  0.050 0.170  0.057 0.294  0.065 0.418  0.072 0.542  0.079 0.665  0.086 0.789  0.094 0.913  0.101 1.037  0.108 1.161  0.112 1.285  0.093 1.390  -0.031 1.390  -0.052 1.494  -0.097 1.599  -0.184 1.687  -0.136 1.718  -0.012 1.718  0.112 1.718
1c#app#app32#app3209/n  -0.712 -0.081  -0.712 0.066  -0.712 0.213  -0.712 0.360  -0.851 0.369  -0.937 0.307  -0.937 0.160  -0.937 0.013  -0.937 -0.134  -0.937 -0.281  -0.937 -0.429  -0.937 -0.486  -0.937 -0.339  -0.937 -0.192  -0.911 -0.055  -0.807 0.049  -0.702 0.153  -0.598 0.257  -0.494 0.361  -0.487 0.505  -0.445 0.635  -0.341 0.739  -0.237 0.843  -0.133 0.947  -0.025 1.043  0.122 1.043  0.188 0.962  0.191 0.818  0.339 0.818  0.413 0.746  0.413 0.598  0.413 0.451  0.413 0.304  0.413 0.157  0.547 0.144  0.638 0.087  0.638 -0.060  0.638 -0.207  0.638 -0.354  0.638 -0.502  0.721 -0.614  0.825 -0.718  0.863 -0.850  0.879 -0.981  1.026 -0.981  1.088 -1.067  1.096 -1.206  1.243 -1.206  1.390 -1.206  1.537 -1.206
1c#app#app32#app3209/k  -0.031 1.598  -0.031 1.789  -0.031 1.980  -0.133 2.069  -0.133 1.954  -0.133 1.763  -0.133 1.572  -0.133 1.381  -0.133 1.190  -0.133 0.999  -0.133 0.807  -0.133 0.616  -0.202 0.442  -0.235 0.258  -0.235 0.067  -0.235 -0.124  -0.235 -0.315  -0.235 -0.506  -0.235 -0.697  -0.235 -0.888  -0.235 -1.079  -0.235 -1.271  -0.236 -1.454  -0.273 -1.267  -0.311 -1.079  -0.337 -0.891  -0.305 -0.713  -0.235 -0.551  -0.096 -0.439  0.058 -0.350  0.202 -0.235  0.286 -0.122  0.421 0.014  0.580 0.079  0.678 0.172  0.768 0.274  0.654 0.156  0.513 0.027  0.371 -0.101  0.230 -0.230  0.088 -0.358  -0.053 -0.487  -0.194 -0.615  -0.336 -0.744  -0.173 -0.683  0.002 -0.643  0.172 -0.663  0.280 -0.750  0.376 -0.901  0.478 -1.050
1c#app#app32#app3209/i  0.526 -0.688  0.526 -0.545  0.526 -0.401  0.526 -0.258  0.526 -0.114  0.526 0.029  0.496 0.142  0.352 0.142  0.319 0.252  0.319 0.304  0.319 0.161  0.319 0.017  0.275 -0.109  0.174 -0.210  0.111 -0.327  0.111 -0.471  0.111 -0.615  0.111 -0.758  0.111 -0.902  0.111 -1.045  0.111 -1.189  0.096 -1.326  -0.005 -1.427  -0.098 -1.504  -0.110 -1.361  -0.122 -1.218  -0.134 -1.075  -0.146 -0.932  -0.157 -0.789  -0.169 -0.646  -0.181 -0.503  -0.193 -0.360  -0.205 -0.217  -0.217 -0.074  -0.229 0.069  -0.241 0.212  -0.253 0.355  -0.265 0.498  -0.277 0.641  -0.289 0.784  -0.300 0.927  -0.304 1.071  -0.304 1.214  -0.304 1.358  -0.304 1.501  -0.304 1.645  -0.304 1.788  -0.304 1.932  -0.368 2.011  -0.512 2.011
1c#app#app32#app3209/s  0.489 1.604  0.489 1.440  0.443 1.295  0.328 1.179  0.212 1.063  0.096 0.947  -0.020 0.832  -0.176 0.814  -0.301 0.775  -0.301 0.611  -0.405 0.551  -0.567 0.548  -0.683 0.432  -0.799 0.316  -0.705 0.287  -0.541 0.287  -0.377 0.287  -0.213 0.287  -0.049 0.287  0.115 0.287  0.263 0.250  0.379 0.134  0.497 0.024  0.661 0.024  0.825 0.024  0.988 0.024  1.152 0.024  1.279 -0.013  1.279 -0.177  1.177 -0.239  1.014 -0.241  0.898 -0.357  0.782 -0.473  0.631 -0.503  0.467 -0.503  0.304 -0.503  0.165 -0.564  0.049 -0.679  -0.079 -0.766  -0.243 -0.766  -0.407 -0.766  -0.570 -0.766  -0.734 -0.766  -0.898 -0.766  -1.062 -0.766  -1.091 -0.901  -1.126 -1.029  -1.290 -1.029  -1.255 -1.029  -1.091 -1.029
1c#app#app32#app3209/t  0.131 2.006  0.131 1.854  0.131 1.701  0.107 1.554  0.039 1.417  -0.004 1.275  -0.004 1.123  -0.004 0.970  -0.004 0.817  -0.004 0.665  -0.004 0.512  -0.004 0.360  -0.004 0.207  -0.004 0.054  -0.004 -0.098  -0.004 -0.251  -0.004 -0.403  0.088 -0.518  0.131 -0.652  0.131 -0.805  0.131 -0.958  0.131 -1.110  0.150 -1.255  0.257 -1.363  0.270 -1.510  0.378 -1.618  0.336 -1.540  0.254 -1.411  0.173 -1.283  0.091 -1.154  0.009 -1.025  -0.073 -0.896  -0.155 -0.768  -0.237 -0.639  -0.319 -0.510  -0.401 -0.381  -0.483 -0.253  -0.545 -0.118  -0.545 0.034  -0.545 0.187  -0.482 0.313  -0.410 0.436  -0.341 0.520  -0.214 0.581  -0.092 0.655  0.061 0.655  0.213 0.655  0.366 0.655  0.518 0.655  0.671 0.655
1c#app#app32#app3209/h  -0.237 2.135  -0.237 2.015  -0.237 1.894  -0.237 1.773  -0.237 1.652  -0.237 1.531  -0.237 1.410  -0.237 1.289  -0.237 1.168  -0.237 1.047  -0.237 0.926  -0.237 0.806  -0.237 0.685  -0.237 0.564  -0.237 0.443  -0.237 0.322  -0.237 0.201  -0.237 0.080  -0.237 -0.041  -0.237 -0.162  -0.237 -0.283  -0.237 -0.403  -0.237 -0.524  -0.237 -0.645  -0.237 -0.766  -0.237 -0.887  -0.237 -1.008  -0.167 -1.059  -0.119 -0.987  -0.119 -0.866  -0.064 -0.768  0.021 -0.682  0.107 -0.597  0.118 -0.480  0.118 -0.359  0.118 -0.238  0.198 -0.151  0.303 -0.113  0.354 -0.182  0.354 -0.303  0.354 -0.424  0.354 -0.545  0.354 -0.666  0.354 -0.787  0.439 -0.822  0.535 -0.884  0.591 -0.982  0.635 -1.059  0.742 -1.092  0.828 -1.177
1c#app#app32#app3209/e  -1.154 -0.497  -1.154 -0.329  -1.056 -0.259  -0.897 -0.240  -0.778 -0.121  -0.652 -0.021  -0.484 -0.021  -0.329 0.035  -0.179 0.110  -0.029 0.185  0.131 0.217  0.299 0.217  0.467 0.217  0.512 0.340  0.564 0.455  0.732 0.455  0.750 0.605  0.830 0.693  0.988 0.703  0.988 0.871  0.988 1.038  0.950 1.169  0.782 1.169  0.615 1.169  0.512 1.104  0.512 0.936  0.349 0.931  0.208 0.866  0.090 0.747  -0.029 0.628  -0.147 0.510  -0.266 0.391  -0.385 0.272  -0.503 0.154  -0.622 0.035  -0.678 -0.109  -0.678 -0.277  -0.678 -0.445  -0.678 -0.613  -0.646 -0.767  -0.527 -0.886  -0.409 -1.004  -0.290 -1.123  -0.159 -1.211  0.009 -1.211  0.136 -1.311  0.254 -1.429  0.414 -1.449  0.582 -1.449  0.750 -1.449
1c#app#app32#app3209/r  -0.209 -0.686  -0.209 -0.778  -0.209 -0.869  -0.227 -0.943  -0.319 -0.943  -0.411 -0.943  -0.492 -0.969  -0.557 -1.034  -0.622 -1.098  -0.687 -1.163  -0.724 -1.161  -0.724 -1.069  -0.724 -0.977  -0.683 -0.902  -0.618 -0.837  -0.553 -0.772  -0.488 -0.707  -0.466 -0.625  -0.466 -0.533  -0.466 -0.441  -0.410 -0.372  -0.345 -0.307  -0.280 -0.243  -0.216 -0.178  -0.209 -0.088  -0.209 0.003  -0.203 0.092  -0.138 0.157  -0.073 0.222  -0.008 0.287  0.057 0.352  0.122 0.417  0.187 0.482  0.252 0.547  0.305 0.616  0.305 0.708  0.305 0.800  0.329 0.882  0.394 0.947  0.459 1.012  0.524 1.077  0.600 1.115  0.692 1.115  0.784 1.115  0.875 1.115  0.967 1.115  1.059 1.115  1.151 1.115  1.243 1.115  1.334 1.115
1c#app#app32#app3209/e  -0.288 -0.189  -0.288 -0.042  -0.288 0.104  -0.220 0.182  -0.073 0.182  0.074 0.182  0.180 0.280  0.284 0.383  0.388 0.487  0.507 0.553  0.640 0.567  0.640 0.714  0.640 0.861  0.640 1.008  0.596 1.110  0.449 1.110  0.302 1.110  0.156 1.110  0.009 1.110  -0.128 1.086  -0.231 0.982  -0.335 0.878  -0.439 0.774  -0.571 0.739  -0.660 0.681  -0.673 0.540  -0.777 0.436  -0.845 0.318  -0.845 0.171  -0.845 0.025  -0.845 -0.122  -0.845 -0.269  -0.816 -0.404  -0.713 -0.507  -0.609 -0.611  -0.505 -0.715  -0.401 -0.819  -0.298 -0.922  -0.155 -0.932  -0.036 -0.999  0.068 -1.102  0.209 -1.117  0.355 -1.117  0.502 -1.117  0.649 -1.117  0.795 -1.117  0.942 -1.117  1.089 -1.117  1.236 -1.117  1.382 -1.117
