2#apb#apb14#app1458/H  -1.175 0.769  -1.132 1.019  -1.017 0.796  -0.955 0.547  -0.906 0.294  -0.857 0.041  -0.801 -0.210  -0.752 -0.463  -0.713 -0.716  -0.845 -0.926  -0.613 -0.833  -0.374 -0.736  -0.136 -0.639  0.102 -0.541  0.341 -0.444  0.579 -0.347  0.818 -0.249  1.056 -0.152  1.294 -0.055  1.533 0.042  1.731 0.139  1.475 0.129  1.221 0.090  0.967 0.049  0.711 0.023  0.455 -0.003  0.200 -0.040  -0.055 -0.077  -0.312 -0.088  -0.569 -0.097  -0.826 -0.108  -1.084 -0.120  -1.339 -0.152  -1.309 -0.128  -1.100 0.022  -0.891 0.172  -0.681 0.322  -0.472 0.472  -0.263 0.622  -0.054 0.772  0.154 0.923  0.329 0.924  0.458 0.701  0.568 0.469  0.676 0.235  0.782 0.001  0.875 -0.239  0.960 -0.482  0.992 -0.737  0.955 -0.989
2#apb#apb14#app1458/a  0.176 0.971  0.082 1.026  -0.013 1.080  -0.118 1.093  -0.228 1.093  -0.337 1.093  -0.427 1.034  -0.516 0.971  -0.606 0.909  -0.676 0.829  -0.730 0.734  -0.784 0.639  -0.838 0.545  -0.891 0.449  -0.909 0.342  -0.927 0.234  -0.945 0.127  -0.951 0.018  -0.951 -0.091  -0.920 -0.187  -0.843 -0.264  -0.766 -0.342  -0.689 -0.419  -0.598 -0.461  -0.489 -0.458  -0.396 -0.402  -0.306 -0.341  -0.221 -0.273  -0.140 -0.199  -0.063 -0.122  0.016 -0.047  0.101 0.021  0.198 0.057  0.298 0.023  0.392 -0.031  0.477 -0.097  0.545 -0.183  0.613 -0.268  0.681 -0.353  0.757 -0.432  0.834 -0.509  0.911 -0.586  0.985 -0.666  1.056 -0.748  1.128 -0.830  1.213 -0.898  1.304 -0.959  1.401 -1.006  1.503 -1.044  1.609 -1.071
2#apb#apb14#app1458/w  -1.436 0.670  -1.400 0.654  -1.385 0.556  -1.370 0.459  -1.342 0.365  -1.314 0.271  -1.277 0.180  -1.233 0.092  -1.182 0.008  -1.128 -0.074  -1.062 -0.146  -0.993 -0.216  -0.902 -0.243  -0.804 -0.255  -0.707 -0.266  -0.610 -0.247  -0.519 -0.218  -0.445 -0.153  -0.373 -0.087  -0.303 -0.017  -0.242 0.059  -0.179 0.133  -0.132 0.071  -0.081 -0.014  -0.029 -0.096  0.025 -0.179  0.080 -0.260  0.145 -0.333  0.215 -0.403  0.290 -0.466  0.380 -0.495  0.478 -0.504  0.576 -0.504  0.672 -0.489  0.767 -0.461  0.849 -0.409  0.926 -0.349  0.992 -0.276  1.053 -0.199  1.106 -0.117  1.153 -0.031  1.200 0.056  1.211 0.153  1.222 0.251  1.233 0.349  1.222 0.446  1.207 0.543  1.181 0.638  1.148 0.730  1.115 0.823
2#apb#apb14#app1458/a  0.521 0.722  0.470 0.841  0.400 0.941  0.278 0.986  0.155 1.013  0.026 1.003  -0.104 0.994  -0.223 0.959  -0.327 0.881  -0.431 0.804  -0.534 0.726  -0.638 0.648  -0.718 0.548  -0.794 0.443  -0.869 0.337  -0.944 0.232  -1.012 0.122  -1.078 0.011  -1.128 -0.105  -1.128 -0.235  -1.120 -0.363  -1.079 -0.486  -0.990 -0.574  -0.870 -0.603  -0.745 -0.580  -0.624 -0.535  -0.510 -0.475  -0.402 -0.403  -0.296 -0.329  -0.210 -0.232  -0.124 -0.136  -0.041 -0.036  0.037 0.067  0.118 0.163  0.247 0.154  0.374 0.132  0.449 0.027  0.525 -0.079  0.596 -0.186  0.668 -0.294  0.747 -0.396  0.832 -0.495  0.920 -0.590  1.011 -0.681  1.121 -0.744  1.243 -0.785  1.367 -0.824  1.492 -0.859  1.617 -0.892  1.728 -0.838
2#apb#apb14#app1458/i  -0.140 0.093  -0.083 0.073  -0.083 -0.042  -0.083 -0.157  -0.083 -0.273  -0.083 -0.388  -0.083 -0.503  -0.083 -0.619  -0.083 -0.734  -0.071 -0.849  -0.054 -0.963  -0.040 -1.077  -0.029 -1.192  0.003 -1.303  0.011 -1.417  0.055 -1.515  0.142 -1.488  0.134 -1.373  0.126 -1.258  0.118 -1.143  0.110 -1.028  0.102 -0.913  0.094 -0.797  0.086 -0.682  0.078 -0.567  0.070 -0.452  0.062 -0.337  0.054 -0.222  0.046 -0.107  0.038 0.008  0.030 0.123  0.022 0.238  0.014 0.354  0.006 0.469  -0.002 0.584  -0.010 0.699  -0.018 0.814  -0.026 0.929  -0.034 1.044  -0.042 1.159  -0.050 1.274  -0.058 1.389  -0.066 1.505  -0.074 1.620  -0.082 1.735  -0.065 1.670  -0.036 1.559  -0.003 1.449  0.044 1.344  0.125 1.266
2#apb#apb14#app1458/i  -0.347 1.519  -0.312 1.439  -0.263 1.365  -0.198 1.304  -0.131 1.246  -0.047 1.221  0.039 1.199  0.125 1.175  0.212 1.166  0.277 1.152  0.235 1.073  0.193 0.995  0.151 0.917  0.109 0.839  0.067 0.760  0.025 0.682  -0.017 0.604  -0.059 0.526  -0.101 0.447  -0.143 0.369  -0.185 0.291  -0.227 0.212  -0.269 0.134  -0.311 0.056  -0.353 -0.022  -0.395 -0.101  -0.345 -0.075  -0.278 -0.029  -0.209 -0.068  -0.151 -0.135  -0.109 -0.213  -0.066 -0.290  -0.032 -0.372  -0.004 -0.457  0.024 -0.541  0.049 -0.626  0.067 -0.713  0.085 -0.800  0.104 -0.887  0.125 -0.973  0.155 -1.056  0.185 -1.140  0.213 -1.224  0.233 -1.310  0.253 -1.397  0.276 -1.483  0.304 -1.567  0.331 -1.652  0.355 -1.737  0.359 -1.825
2#apb#apb14#app1458/N  -0.987 0.702  -0.924 0.563  -0.880 0.417  -0.856 0.266  -0.828 0.116  -0.775 -0.028  -0.722 -0.171  -0.689 -0.321  -0.653 -0.470  -0.605 -0.615  -0.552 -0.757  -0.620 -0.691  -0.708 -0.566  -0.767 -0.426  -0.821 -0.282  -0.850 -0.133  -0.869 0.019  -0.874 0.172  -0.874 0.325  -0.863 0.478  -0.812 0.613  -0.682 0.560  -0.581 0.446  -0.484 0.327  -0.388 0.208  -0.293 0.088  -0.198 -0.032  -0.104 -0.153  -0.013 -0.276  0.079 -0.398  0.182 -0.512  0.286 -0.625  0.410 -0.712  0.542 -0.790  0.680 -0.838  0.809 -0.759  0.915 -0.651  0.984 -0.514  1.038 -0.371  1.089 -0.227  1.128 -0.079  1.160 0.070  1.189 0.221  1.209 0.373  1.229 0.525  1.247 0.677  1.261 0.829  1.275 0.982  1.280 1.135  1.280 1.288
2#apb#apb14#app1458/o  -0.154 1.108  -0.268 1.065  -0.382 1.022  -0.470 0.944  -0.545 0.848  -0.620 0.752  -0.687 0.651  -0.747 0.545  -0.808 0.440  -0.868 0.334  -0.922 0.226  -0.931 0.105  -0.939 -0.016  -0.948 -0.138  -0.941 -0.256  -0.891 -0.368  -0.842 -0.479  -0.778 -0.581  -0.703 -0.677  -0.628 -0.774  -0.539 -0.853  -0.432 -0.912  -0.326 -0.971  -0.212 -1.009  -0.093 -1.035  0.026 -1.055  0.142 -1.020  0.259 -0.985  0.369 -0.938  0.462 -0.859  0.554 -0.780  0.635 -0.689  0.711 -0.594  0.787 -0.499  0.847 -0.398  0.856 -0.277  0.864 -0.155  0.872 -0.034  0.878 0.088  0.870 0.209  0.862 0.331  0.854 0.452  0.846 0.574  0.788 0.681  0.731 0.788  0.673 0.895  0.615 1.002  0.505 1.051  0.392 1.096  0.279 1.141
2#apb#apb14#app1458/r  -0.882 -0.135  -0.882 -0.229  -0.882 -0.322  -0.882 -0.415  -0.882 -0.509  -0.882 -0.602  -0.882 -0.695  -0.864 -0.787  -0.846 -0.878  -0.830 -0.970  -0.828 -1.052  -0.786 -0.969  -0.764 -0.878  -0.746 -0.787  -0.727 -0.696  -0.693 -0.609  -0.660 -0.521  -0.626 -0.434  -0.590 -0.349  -0.542 -0.269  -0.494 -0.189  -0.446 -0.109  -0.398 -0.029  -0.345 0.047  -0.284 0.118  -0.223 0.189  -0.162 0.260  -0.102 0.331  -0.037 0.398  0.035 0.457  0.106 0.517  0.178 0.577  0.251 0.634  0.343 0.648  0.435 0.662  0.527 0.676  0.620 0.684  0.713 0.684  0.807 0.684  0.900 0.684  0.986 0.655  1.066 0.608  1.147 0.561  1.227 0.514  1.306 0.464  1.383 0.412  1.461 0.360  1.512 0.284  1.557 0.202  1.602 0.121
2#apb#apb14#app1458/t  -0.715 1.739  -0.607 1.634  -0.530 1.481  -0.470 1.319  -0.413 1.157  -0.356 0.995  -0.310 0.829  -0.265 0.663  -0.219 0.497  -0.173 0.331  -0.123 0.167  -0.074 0.002  -0.025 -0.163  0.064 -0.310  0.157 -0.454  0.248 -0.601  0.329 -0.752  0.411 -0.904  0.483 -1.060  0.547 -1.219  0.584 -1.369  0.443 -1.270  0.303 -1.171  0.162 -1.072  0.022 -0.973  -0.119 -0.874  -0.260 -0.775  -0.400 -0.676  -0.541 -0.576  -0.681 -0.477  -0.822 -0.378  -0.963 -0.279  -1.103 -0.180  -1.006 -0.047  -0.849 0.022  -0.689 0.086  -0.522 0.126  -0.353 0.160  -0.187 0.201  -0.025 0.258  0.138 0.316  0.304 0.352  0.476 0.361  0.648 0.371  0.819 0.384  0.990 0.405  1.160 0.427  1.332 0.432  1.504 0.432  1.676 0.432
2#apb#apb14#app1458/h  -0.794 1.754  -0.731 1.670  -0.711 1.554  -0.692 1.438  -0.673 1.321  -0.658 1.204  -0.652 1.086  -0.647 0.968  -0.641 0.850  -0.635 0.732  -0.620 0.616  -0.597 0.500  -0.574 0.384  -0.551 0.269  -0.527 0.153  -0.504 0.037  -0.469 -0.075  -0.430 -0.187  -0.391 -0.298  -0.351 -0.409  -0.330 -0.525  -0.320 -0.642  -0.308 -0.760  -0.288 -0.876  -0.259 -0.935  -0.257 -0.818  -0.248 -0.703  -0.187 -0.602  -0.126 -0.500  -0.066 -0.399  -0.007 -0.297  0.053 -0.195  0.113 -0.093  0.173 0.008  0.234 0.109  0.334 0.142  0.435 0.090  0.531 0.021  0.609 -0.067  0.683 -0.159  0.756 -0.251  0.844 -0.330  0.932 -0.408  1.014 -0.493  1.086 -0.586  1.159 -0.679  1.208 -0.786  1.262 -0.889  1.356 -0.960  1.463 -0.986
