2#app#app31#app3141/A  0.296 0.793  0.433 0.952  0.433 1.247  0.569 1.407  0.433 1.566  0.296 1.496  0.199 1.241  0.087 0.992  -0.042 0.733  -0.112 0.449  -0.179 0.181  -0.276 -0.080  -0.385 -0.349  -0.521 -0.588  -0.647 -0.832  -0.663 -1.121  -0.794 -1.362  -0.927 -1.524  -0.794 -1.368  -0.764 -1.085  -0.658 -0.834  -0.658 -0.538  -0.572 -0.263  -0.392 -0.033  -0.373 0.247  -0.249 0.419  -0.190 0.656  -0.112 0.874  -0.008 1.065  0.151 1.202  0.296 1.324  0.419 1.079  0.433 0.790  0.433 0.494  0.433 0.198  0.433 -0.097  0.433 -0.393  0.569 -0.632  0.653 -0.843  0.813 -0.979  0.849 -0.965  0.555 -0.932  0.261 -0.900  -0.033 -0.867  -0.327 -0.843  -0.385 -0.606  -0.249 -0.446  -0.009 -0.330  0.274 -0.298  0.569 -0.298
2#app#app31#app3141/Q  0.071 1.102  0.184 1.210  0.298 1.317  0.184 1.425  0.006 1.376  -0.150 1.220  -0.292 1.053  -0.381 0.853  -0.453 0.654  -0.576 0.470  -0.721 0.306  -0.721 0.085  -0.819 -0.113  -0.867 -0.323  -0.947 -0.525  -0.947 -0.746  -0.932 -0.964  -0.833 -1.161  -0.612 -1.161  -0.391 -1.161  -0.170 -1.161  -0.009 -1.015  0.147 -0.859  0.298 -0.700  0.379 -0.513  0.411 -0.305  0.411 -0.084  0.411 0.137  0.411 0.358  0.381 0.566  0.298 0.753  0.203 0.951  0.118 1.102  0.010 1.215  -0.034 1.046  -0.003 0.827  0.029 0.609  0.060 0.390  0.091 0.171  0.122 -0.048  0.154 -0.266  0.181 -0.482  0.182 -0.482  0.357 -0.595  0.411 -0.762  0.558 -0.856  0.637 -1.044  0.791 -1.201  0.976 -1.279  1.089 -1.387
2#app#app31#app3141/u  -1.215 0.632  -1.215 0.478  -1.215 0.324  -1.215 0.169  -1.215 0.015  -1.215 -0.139  -1.215 -0.293  -1.215 -0.447  -1.215 -0.601  -1.215 -0.756  -1.134 -0.829  -0.980 -0.829  -0.826 -0.829  -0.672 -0.829  -0.561 -0.723  -0.452 -0.614  -0.343 -0.505  -0.206 -0.464  -0.089 -0.403  -0.020 -0.265  0.048 -0.128  0.149 -0.012  0.258 0.097  0.367 0.206  0.428 0.334  0.446 0.484  0.515 0.622  0.584 0.760  0.677 0.881  0.786 0.990  0.793 1.141  0.678 1.180  0.549 1.118  0.440 1.009  0.428 0.860  0.428 0.706  0.428 0.552  0.428 0.398  0.428 0.244  0.428 0.089  0.428 -0.065  0.513 -0.184  0.611 -0.297  0.611 -0.452  0.753 -0.464  0.793 -0.577  0.879 -0.646  1.033 -0.646  1.187 -0.646  1.341 -0.646
2#app#app31#app3141/i  -0.050 0.005  -0.050 -0.105  -0.038 -0.202  0.072 -0.202  0.157 -0.227  0.157 -0.337  0.157 -0.447  0.157 -0.557  0.157 -0.667  0.157 -0.777  0.157 -0.887  0.157 -0.997  0.211 -1.085  0.288 -1.163  0.364 -1.241  0.364 -1.351  0.361 -1.431  0.336 -1.324  0.312 -1.217  0.287 -1.110  0.262 -1.003  0.237 -0.896  0.213 -0.788  0.188 -0.681  0.163 -0.574  0.138 -0.467  0.114 -0.360  0.089 -0.253  0.064 -0.145  0.040 -0.038  0.015 0.069  -0.010 0.176  -0.035 0.283  -0.059 0.390  -0.084 0.498  -0.109 0.605  -0.134 0.712  -0.158 0.819  -0.183 0.926  -0.208 1.033  -0.232 1.141  -0.257 1.248  -0.306 1.346  -0.355 1.445  -0.404 1.543  -0.454 1.641  -0.550 1.664  -0.660 1.664  -0.575 1.664  -0.465 1.664
2#app#app31#app3141/c  0.716 0.639  0.643 0.712  0.570 0.785  0.478 0.813  0.375 0.813  0.368 0.909  0.368 1.012  0.368 1.115  0.310 1.160  0.207 1.160  0.104 1.160  0.001 1.160  -0.102 1.160  -0.190 1.124  -0.263 1.051  -0.327 0.974  -0.327 0.871  -0.359 0.781  -0.432 0.708  -0.501 0.634  -0.501 0.531  -0.501 0.428  -0.501 0.324  -0.501 0.221  -0.501 0.118  -0.501 0.015  -0.501 -0.088  -0.501 -0.191  -0.501 -0.294  -0.501 -0.397  -0.501 -0.501  -0.501 -0.604  -0.501 -0.707  -0.460 -0.793  -0.387 -0.866  -0.308 -0.925  -0.205 -0.925  -0.117 -0.962  -0.044 -1.035  0.032 -1.099  0.135 -1.099  0.238 -1.099  0.342 -1.099  0.445 -1.099  0.548 -1.099  0.651 -1.099  0.754 -1.099  0.857 -1.099  0.960 -1.099  1.063 -1.099
2#app#app31#app3141/k  -0.230 1.632  -0.272 1.778  -0.387 1.893  -0.437 1.852  -0.404 1.703  -0.334 1.569  -0.334 1.406  -0.334 1.243  -0.334 1.080  -0.334 0.917  -0.334 0.754  -0.334 0.591  -0.334 0.428  -0.334 0.265  -0.334 0.102  -0.334 -0.061  -0.334 -0.224  -0.334 -0.387  -0.286 -0.539  -0.230 -0.689  -0.230 -0.852  -0.230 -1.015  -0.230 -1.178  -0.241 -1.210  -0.267 -1.050  -0.294 -0.889  -0.321 -0.728  -0.334 -0.566  -0.334 -0.403  -0.334 -0.240  -0.230 -0.120  -0.165 0.003  -0.019 0.075  0.126 0.119  0.264 0.178  0.385 0.145  0.346 -0.013  0.306 -0.171  0.266 -0.329  0.227 -0.487  0.187 -0.646  0.238 -0.549  0.401 -0.549  0.564 -0.549  0.714 -0.605  0.866 -0.652  1.025 -0.661  1.149 -0.756  1.312 -0.756  1.432 -0.860
2#app#app31#app3141/B  -0.433 0.774  -0.333 0.621  -0.433 0.409  -0.433 0.156  -0.433 -0.097  -0.433 -0.350  -0.433 -0.604  -0.433 -0.857  -0.333 -1.010  -0.294 -1.224  -0.168 -1.389  -0.220 -1.238  -0.327 -1.008  -0.434 -0.779  -0.541 -0.550  -0.648 -0.320  -0.755 -0.091  -0.833 0.145  -0.933 0.357  -0.890 0.603  -0.781 0.826  -0.594 0.993  -0.360 1.074  -0.131 1.176  0.069 1.325  0.311 1.373  0.564 1.373  0.802 1.337  0.865 1.110  0.713 0.969  0.561 0.770  0.382 0.591  0.187 0.435  -0.017 0.291  -0.222 0.175  -0.091 0.075  0.162 0.075  0.402 0.154  0.652 0.175  0.893 0.147  1.065 0.023  1.065 -0.230  0.956 -0.439  0.815 -0.649  0.720 -0.869  0.509 -1.002  0.291 -1.098  0.112 -1.277  -0.122 -1.323  -0.034 -1.124
2#app#app31#app3141/r  -0.241 0.099  -0.323 0.017  -0.406 -0.066  -0.436 -0.170  -0.436 -0.287  -0.436 -0.403  -0.436 -0.520  -0.436 -0.637  -0.436 -0.753  -0.436 -0.870  -0.436 -0.986  -0.436 -1.103  -0.436 -1.220  -0.436 -1.336  -0.436 -1.453  -0.436 -1.352  -0.436 -1.236  -0.436 -1.119  -0.436 -1.002  -0.436 -0.886  -0.436 -0.769  -0.416 -0.661  -0.333 -0.578  -0.251 -0.496  -0.195 -0.394  -0.143 -0.290  -0.091 -0.186  -0.046 -0.079  -0.046 0.037  -0.046 0.154  -0.046 0.270  0.020 0.360  0.102 0.442  0.149 0.539  0.149 0.656  0.149 0.773  0.156 0.886  0.239 0.969  0.321 1.051  0.404 1.134  0.486 1.216  0.581 1.269  0.698 1.269  0.814 1.269  0.929 1.267  0.929 1.151  0.969 1.074  1.086 1.074  1.124 0.996  1.124 0.879
2#app#app31#app3141/o  0.017 1.226  -0.117 1.226  -0.234 1.182  -0.329 1.087  -0.435 1.020  -0.569 1.020  -0.602 0.918  -0.623 0.793  -0.718 0.698  -0.809 0.601  -0.809 0.466  -0.809 0.332  -0.809 0.198  -0.809 0.063  -0.809 -0.071  -0.809 -0.205  -0.809 -0.340  -0.774 -0.460  -0.679 -0.555  -0.602 -0.657  -0.602 -0.792  -0.515 -0.838  -0.396 -0.854  -0.396 -0.989  -0.318 -1.045  -0.183 -1.045  -0.049 -1.045  0.085 -1.045  0.220 -1.045  0.354 -1.045  0.430 -0.986  0.430 -0.852  0.515 -0.753  0.610 -0.658  0.636 -0.534  0.662 -0.425  0.796 -0.425  0.843 -0.338  0.843 -0.203  0.843 -0.069  0.843 0.066  0.843 0.200  0.843 0.334  0.812 0.462  0.752 0.582  0.692 0.702  0.636 0.823  0.636 0.958  0.636 1.092  0.636 1.226
2#app#app31#app3141/w  -0.815 0.199  -0.815 0.360  -0.815 0.521  -0.815 0.681  -0.707 0.734  -0.681 0.600  -0.681 0.439  -0.681 0.279  -0.681 0.118  -0.681 -0.043  -0.741 -0.189  -0.813 -0.333  -0.815 -0.493  -0.850 -0.639  -0.949 -0.759  -0.949 -0.919  -0.949 -1.080  -0.846 -1.138  -0.685 -1.138  -0.547 -1.115  -0.512 -0.969  -0.399 -0.856  -0.285 -0.742  -0.172 -0.629  -0.146 -0.478  -0.039 -0.362  0.043 -0.226  0.114 -0.082  0.121 0.077  0.160 0.199  0.255 0.265  0.255 0.425  0.255 0.348  0.264 0.191  0.377 0.077  0.396 -0.076  0.510 -0.189  0.663 -0.196  0.776 -0.082  0.924 -0.061  0.948 0.090  1.060 0.204  1.132 0.348  1.191 0.495  1.191 0.655  1.191 0.816  1.268 0.945  1.325 1.082  1.325 1.242  1.325 1.403
2#app#app31#app3141/n  -0.580 0.481  -0.417 0.481  -0.404 0.633  -0.404 0.796  -0.404 0.706  -0.404 0.542  -0.477 0.408  -0.586 0.288  -0.638 0.133  -0.690 -0.023  -0.741 -0.178  -0.756 -0.339  -0.830 -0.473  -0.932 -0.594  -0.937 -0.756  -1.053 -0.872  -1.108 -1.012  -1.035 -1.103  -0.932 -1.042  -0.898 -0.892  -0.782 -0.776  -0.666 -0.661  -0.550 -0.545  -0.434 -0.429  -0.404 -0.278  -0.356 -0.125  -0.282 0.021  -0.198 0.160  -0.082 0.275  0.034 0.391  0.150 0.507  0.265 0.623  0.381 0.739  0.497 0.854  0.613 0.970  0.651 0.900  0.651 0.736  0.651 0.572  0.724 0.481  0.827 0.421  0.827 0.257  0.853 0.104  0.969 -0.012  1.003 -0.162  1.095 -0.269  1.242 -0.342  1.392 -0.399  1.556 -0.399  1.719 -0.399  1.883 -0.399
