1c#app#app12#app1281/b  0.319 2.031  0.230 1.988  0.230 1.857  0.203 1.737  0.141 1.632  0.141 1.501  0.124 1.373  0.065 1.256  0.052 1.128  0.052 0.997  0.009 0.876  -0.046 0.757  -0.088 0.633  -0.126 0.508  -0.143 0.379  -0.184 0.255  -0.215 0.129  -0.249 0.005  -0.306 -0.112  -0.348 -0.237  -0.389 -0.361  -0.393 -0.492  -0.393 -0.623  -0.390 -0.703  -0.374 -0.573  -0.358 -0.443  -0.341 -0.313  -0.325 -0.183  -0.309 -0.052  -0.209 -0.017  -0.078 -0.017  0.053 -0.017  0.170 -0.076  0.295 -0.106  0.394 -0.181  0.431 -0.284  0.497 -0.349  0.497 -0.480  0.497 -0.611  0.487 -0.738  0.408 -0.837  0.380 -0.961  0.322 -1.079  0.231 -1.173  0.138 -1.266  0.042 -1.352  -0.089 -1.352  -0.220 -1.352  -0.351 -1.352  -0.482 -1.352
1c#app#app12#app1281/i  -0.164 -0.845  -0.164 -0.928  -0.164 -1.011  -0.164 -1.094  -0.164 -1.178  -0.164 -1.261  -0.164 -1.344  -0.164 -1.427  -0.159 -1.430  -0.149 -1.347  -0.139 -1.264  -0.129 -1.182  -0.119 -1.099  -0.109 -1.017  -0.099 -0.934  -0.089 -0.852  -0.079 -0.769  -0.069 -0.687  -0.059 -0.604  -0.049 -0.521  -0.039 -0.439  -0.029 -0.356  -0.019 -0.274  -0.009 -0.191  0.001 -0.109  0.011 -0.026  0.021 0.056  0.031 0.139  0.041 0.221  0.051 0.304  0.061 0.387  0.071 0.469  0.081 0.552  0.091 0.634  0.101 0.717  0.111 0.799  0.121 0.882  0.131 0.964  0.141 1.047  0.151 1.129  0.161 1.212  0.171 1.295  0.181 1.377  0.191 1.460  0.126 1.475  0.061 1.432  0.033 1.386  0.116 1.386  0.193 1.392  0.193 1.475
1c#app#app12#app1281/g  0.193 1.170  0.077 1.196  0.041 1.322  -0.068 1.402  -0.209 1.402  -0.327 1.345  -0.427 1.245  -0.502 1.135  -0.545 1.011  -0.618 0.900  -0.618 0.758  -0.618 0.617  -0.618 0.475  -0.618 0.334  -0.618 0.193  -0.563 0.074  -0.447 0.013  -0.306 0.013  -0.195 0.088  -0.071 0.128  -0.039 0.238  0.057 0.340  0.178 0.410  0.304 0.474  0.405 0.572  0.539 0.591  0.656 0.567  0.656 0.426  0.656 0.284  0.656 0.143  0.656 0.001  0.656 -0.140  0.656 -0.281  0.593 -0.397  0.540 -0.516  0.540 -0.658  0.457 -0.765  0.382 -0.882  0.318 -1.009  0.224 -1.113  0.193 -1.241  0.106 -1.347  -0.023 -1.376  -0.049 -1.492  -0.190 -1.492  -0.314 -1.449  -0.386 -1.338  -0.386 -1.196  -0.476 -1.145  -0.502 -1.029
1c#app#app12#app1281/i  -0.097 -0.003  -0.097 0.115  -0.002 0.137  -0.029 0.137  -0.097 0.088  -0.097 -0.030  -0.097 -0.147  -0.097 -0.265  -0.097 -0.382  -0.097 -0.499  -0.097 -0.617  -0.097 -0.734  -0.097 -0.852  -0.097 -0.969  -0.097 -1.087  -0.097 -1.204  -0.097 -1.321  -0.097 -1.439  -0.096 -1.531  -0.086 -1.414  -0.077 -1.297  -0.067 -1.180  -0.058 -1.063  -0.049 -0.946  -0.039 -0.829  -0.030 -0.712  -0.021 -0.595  -0.011 -0.477  -0.002 -0.360  0.007 -0.243  0.017 -0.126  0.026 -0.009  0.036 0.108  0.045 0.225  0.054 0.342  0.064 0.459  0.073 0.576  0.082 0.693  0.092 0.810  0.101 0.927  0.111 1.044  0.120 1.161  0.129 1.279  0.139 1.396  0.148 1.513  0.157 1.630  0.167 1.747  0.176 1.864  0.184 1.981  0.184 2.098
1c#app#app12#app1281/n  -1.219 0.611  -1.219 0.482  -1.164 0.366  -1.106 0.251  -1.084 0.127  -1.084 -0.002  -1.084 -0.131  -1.084 -0.261  -1.084 -0.390  -1.084 -0.519  -1.084 -0.648  -1.044 -0.736  -0.914 -0.736  -0.794 -0.716  -0.703 -0.624  -0.611 -0.533  -0.545 -0.431  -0.524 -0.311  -0.433 -0.220  -0.367 -0.110  -0.309 0.005  -0.227 0.097  -0.112 0.154  -0.003 0.218  0.038 0.340  0.079 0.463  0.120 0.585  0.230 0.611  0.331 0.679  0.422 0.770  0.514 0.862  0.635 0.881  0.764 0.881  0.802 0.790  0.887 0.746  0.937 0.667  0.937 0.538  0.937 0.409  0.937 0.280  0.937 0.150  0.937 0.021  0.937 -0.108  0.937 -0.237  0.937 -0.366  0.937 -0.495  0.937 -0.624  0.937 -0.753  0.937 -0.882  0.937 -1.011  0.937 -1.141
1c#app#app12#app1281/k  -0.412 2.048  -0.412 1.861  -0.412 1.674  -0.285 1.539  -0.285 1.352  -0.285 1.165  -0.285 0.978  -0.336 0.803  -0.412 0.634  -0.412 0.447  -0.445 0.264  -0.490 0.083  -0.536 -0.099  -0.539 -0.285  -0.539 -0.472  -0.614 -0.642  -0.666 -0.816  -0.666 -1.003  -0.666 -1.191  -0.666 -1.378  -0.570 -1.223  -0.472 -1.064  -0.375 -0.904  -0.277 -0.745  -0.180 -0.585  -0.082 -0.425  0.016 -0.266  0.113 -0.106  0.211 0.053  0.308 0.213  0.406 0.373  0.503 0.532  0.601 0.692  0.698 0.851  0.731 0.781  0.604 0.647  0.559 0.479  0.426 0.346  0.350 0.191  0.252 0.045  0.223 -0.131  0.223 -0.318  0.223 -0.505  0.223 -0.692  0.317 -0.840  0.491 -0.873  0.678 -0.873  0.865 -0.873  1.052 -0.873  1.239 -0.873
1c#app#app12#app1281/y  -0.929 1.252  -0.763 1.252  -0.598 1.252  -0.445 1.221  -0.328 1.104  -0.325 0.940  -0.325 0.775  -0.325 0.609  -0.301 0.449  -0.227 0.302  -0.174 0.149  -0.174 -0.017  -0.174 -0.182  -0.174 -0.348  -0.100 -0.482  0.004 -0.509  0.083 -0.363  0.162 -0.218  0.241 -0.073  0.321 0.072  0.400 0.217  0.479 0.363  0.558 0.508  0.637 0.653  0.717 0.798  0.796 0.943  0.875 1.089  0.881 0.950  0.764 0.833  0.731 0.681  0.637 0.555  0.580 0.413  0.510 0.277  0.393 0.160  0.276 0.043  0.159 -0.074  0.073 -0.214  -0.000 -0.362  -0.024 -0.522  -0.081 -0.673  -0.155 -0.821  -0.296 -0.860  -0.368 -0.990  -0.421 -1.147  -0.473 -1.304  -0.586 -1.423  -0.627 -1.571  -0.627 -1.737  -0.627 -1.902  -0.627 -2.068
1c#app#app12#app1281/d  -0.111 -0.411  -0.111 -0.228  -0.276 -0.210  -0.359 -0.110  -0.513 -0.139  -0.622 -0.219  -0.714 -0.364  -0.810 -0.507  -0.868 -0.666  -0.915 -0.830  -0.915 -1.014  -0.915 -1.197  -0.851 -1.316  -0.667 -1.316  -0.493 -1.296  -0.350 -1.184  -0.191 -1.095  -0.111 -0.945  -0.043 -0.778  -0.003 -0.605  0.090 -0.461  0.105 -0.281  0.187 -0.117  0.191 0.066  0.261 0.232  0.291 0.409  0.291 0.592  0.327 0.767  0.409 0.931  0.491 1.095  0.492 1.278  0.492 1.461  0.593 1.603  0.593 1.786  0.593 1.631  0.545 1.456  0.485 1.283  0.403 1.119  0.342 0.946  0.291 0.771  0.291 0.588  0.291 0.404  0.215 0.239  0.191 0.062  0.191 -0.122  0.191 -0.305  0.191 -0.488  0.217 -0.665  0.291 -0.831  0.291 -1.015
1c#app#app12#app1281/e  -0.839 -0.659  -0.685 -0.659  -0.530 -0.659  -0.476 -0.558  -0.403 -0.478  -0.262 -0.445  -0.153 -0.335  -0.015 -0.296  0.119 -0.245  0.228 -0.136  0.337 -0.027  0.430 0.089  0.430 0.243  0.536 0.354  0.659 0.429  0.793 0.450  0.793 0.604  0.793 0.759  0.793 0.913  0.793 1.067  0.725 1.154  0.611 1.195  0.597 1.335  0.443 1.335  0.288 1.335  0.249 1.220  0.161 1.154  0.067 1.093  0.043 0.948  -0.066 0.839  -0.114 0.705  -0.156 0.568  -0.265 0.459  -0.295 0.317  -0.295 0.162  -0.336 0.025  -0.445 -0.084  -0.476 -0.226  -0.476 -0.380  -0.476 -0.534  -0.476 -0.689  -0.476 -0.843  -0.476 -0.997  -0.476 -1.152  -0.403 -1.276  -0.295 -1.385  -0.295 -1.540  -0.204 -1.656  -0.087 -1.746  0.067 -1.746
1c#app#app12#app1281/v  -1.031 1.122  -0.982 1.025  -0.934 0.928  -0.885 0.831  -0.837 0.734  -0.805 0.632  -0.805 0.524  -0.805 0.415  -0.805 0.306  -0.805 0.198  -0.805 0.089  -0.805 -0.020  -0.805 -0.129  -0.803 -0.237  -0.726 -0.313  -0.649 -0.390  -0.579 -0.470  -0.579 -0.578  -0.579 -0.687  -0.579 -0.796  -0.579 -0.904  -0.479 -0.914  -0.370 -0.914  -0.262 -0.914  -0.153 -0.914  -0.068 -0.856  0.009 -0.779  0.085 -0.702  0.162 -0.625  0.239 -0.548  0.316 -0.472  0.421 -0.461  0.529 -0.461  0.553 -0.376  0.553 -0.267  0.587 -0.167  0.635 -0.069  0.684 0.028  0.733 0.125  0.783 0.221  0.860 0.298  0.936 0.375  1.013 0.452  1.090 0.529  1.167 0.606  1.231 0.688  1.231 0.796  1.231 0.905  1.231 1.014  1.231 1.122
1c#app#app12#app1281/i  0.224 0.047  0.224 -0.067  0.224 -0.182  0.224 -0.296  0.224 -0.410  0.224 -0.524  0.210 -0.633  0.129 -0.714  0.090 -0.812  0.090 -0.926  0.090 -1.040  0.090 -1.155  0.090 -1.269  0.090 -1.383  0.090 -1.498  0.082 -1.492  0.067 -1.379  0.051 -1.265  0.036 -1.152  0.020 -1.039  0.005 -0.926  -0.010 -0.812  -0.026 -0.699  -0.041 -0.586  -0.057 -0.473  -0.072 -0.360  -0.088 -0.246  -0.103 -0.133  -0.119 -0.020  -0.134 0.093  -0.149 0.206  -0.165 0.320  -0.180 0.433  -0.196 0.546  -0.211 0.659  -0.227 0.773  -0.242 0.886  -0.257 0.999  -0.273 1.112  -0.288 1.225  -0.304 1.339  -0.236 1.379  -0.176 1.434  -0.140 1.512  -0.026 1.512  0.088 1.512  0.202 1.512  0.224 1.419  0.276 1.327  0.357 1.246
