3#apb#apb38#app3890/D  0.122 0.812  0.166 1.003  0.171 0.810  0.125 0.612  0.080 0.415  0.023 0.221  -0.041 0.029  -0.117 -0.159  -0.199 -0.344  -0.300 -0.519  -0.414 -0.687  -0.533 -0.850  -0.666 -1.002  -0.822 -1.130  -1.002 -1.218  -1.069 -1.090  -1.030 -0.892  -0.900 -0.768  -0.697 -0.768  -0.495 -0.760  -0.293 -0.772  -0.092 -0.797  0.099 -0.836  0.292 -0.783  0.394 -0.776  0.346 -0.887  0.203 -0.808  0.208 -0.766  0.374 -0.664  0.516 -0.525  0.687 -0.418  0.795 -0.254  0.874 -0.069  0.906 0.129  0.929 0.330  0.929 0.532  0.912 0.734  0.883 0.934  0.800 1.117  0.647 1.242  0.450 1.276  0.251 1.307  0.053 1.274  -0.135 1.198  -0.311 1.099  -0.487 0.998  -0.649 0.879  -0.724 0.698  -0.709 0.503  -0.549 0.391
3#apb#apb38#app3890/e  -1.271 -0.870  -1.335 -0.912  -1.240 -0.981  -1.105 -1.048  -0.965 -1.015  -0.825 -0.959  -0.689 -0.894  -0.556 -0.822  -0.423 -0.749  -0.306 -0.654  -0.190 -0.556  -0.075 -0.458  0.034 -0.354  0.129 -0.237  0.225 -0.120  0.320 -0.002  0.416 0.115  0.498 0.242  0.580 0.369  0.662 0.496  0.744 0.623  0.825 0.751  0.905 0.879  0.966 1.017  1.019 1.158  0.936 1.278  0.810 1.316  0.661 1.292  0.522 1.232  0.383 1.172  0.244 1.113  0.133 1.012  0.026 0.905  -0.081 0.798  -0.164 0.674  -0.232 0.539  -0.300 0.403  -0.367 0.268  -0.372 0.120  -0.363 -0.031  -0.355 -0.182  -0.345 -0.333  -0.277 -0.468  -0.209 -0.603  -0.142 -0.739  -0.054 -0.852  0.088 -0.904  0.230 -0.956  0.371 -1.009  0.513 -1.061
3#apb#apb38#app3890/l  -0.826 -1.441  -0.886 -1.457  -0.744 -1.439  -0.643 -1.338  -0.543 -1.235  -0.459 -1.118  -0.375 -1.002  -0.283 -0.892  -0.187 -0.786  -0.091 -0.679  0.000 -0.569  0.085 -0.453  0.171 -0.338  0.251 -0.220  0.317 -0.092  0.383 0.035  0.449 0.162  0.507 0.293  0.564 0.425  0.619 0.557  0.637 0.699  0.655 0.842  0.655 0.983  0.622 1.123  0.583 1.260  0.535 1.395  0.443 1.500  0.311 1.526  0.200 1.434  0.100 1.334  0.027 1.211  -0.047 1.088  -0.111 0.959  -0.169 0.828  -0.227 0.697  -0.279 0.564  -0.319 0.426  -0.359 0.288  -0.399 0.151  -0.397 0.009  -0.380 -0.133  -0.364 -0.276  -0.310 -0.407  -0.249 -0.537  -0.178 -0.660  -0.077 -0.762  0.024 -0.863  0.130 -0.959  0.254 -1.031  0.378 -1.104
3#apb#apb38#app3890/a  1.030 0.738  0.933 0.843  0.801 0.909  0.654 0.910  0.507 0.914  0.360 0.930  0.221 0.908  0.089 0.842  -0.043 0.777  -0.168 0.700  -0.282 0.607  -0.396 0.514  -0.511 0.421  -0.621 0.323  -0.726 0.219  -0.830 0.115  -0.934 0.011  -1.013 -0.112  -1.087 -0.240  -1.160 -0.368  -1.241 -0.491  -1.327 -0.611  -1.272 -0.746  -1.192 -0.866  -1.071 -0.931  -0.924 -0.931  -0.784 -0.889  -0.645 -0.839  -0.518 -0.767  -0.401 -0.677  -0.285 -0.588  -0.175 -0.490  -0.080 -0.378  0.015 -0.265  0.111 -0.153  0.215 -0.048  0.319 0.056  0.419 0.164  0.504 0.284  0.571 0.335  0.635 0.204  0.711 0.079  0.772 -0.055  0.836 -0.181  0.978 -0.140  1.117 -0.157  1.256 -0.208  1.397 -0.236  1.544 -0.224  1.691 -0.212
3#apb#apb38#app3890/w  -0.162 1.066  -0.254 1.204  -0.375 1.115  -0.484 0.992  -0.588 0.863  -0.690 0.733  -0.788 0.601  -0.865 0.455  -0.942 0.309  -1.015 0.161  -1.078 0.008  -1.141 -0.144  -1.182 -0.303  -1.207 -0.466  -1.188 -0.627  -1.100 -0.758  -0.971 -0.833  -0.826 -0.754  -0.685 -0.668  -0.555 -0.568  -0.424 -0.467  -0.324 -0.336  -0.229 -0.201  -0.134 -0.066  -0.034 0.065  0.067 0.196  0.150 0.336  0.203 0.493  0.217 0.475  0.143 0.327  0.083 0.176  0.083 0.011  0.089 -0.153  0.138 -0.311  0.187 -0.469  0.283 -0.596  0.410 -0.699  0.575 -0.699  0.736 -0.675  0.896 -0.632  1.030 -0.538  1.153 -0.430  1.239 -0.289  1.326 -0.149  1.396 0.001  1.456 0.153  1.456 0.318  1.421 0.478  1.317 0.597  1.187 0.698
3#apb#apb38#app3890/a  0.462 0.867  0.323 0.935  0.179 0.993  0.027 0.982  -0.123 0.952  -0.252 0.866  -0.381 0.780  -0.503 0.685  -0.624 0.588  -0.745 0.491  -0.866 0.394  -0.960 0.273  -1.046 0.144  -1.132 0.016  -1.218 -0.113  -1.255 -0.263  -1.285 -0.415  -1.294 -0.569  -1.227 -0.657  -1.072 -0.657  -0.917 -0.657  -0.767 -0.641  -0.631 -0.567  -0.495 -0.492  -0.370 -0.403  -0.254 -0.300  -0.138 -0.197  -0.042 -0.075  0.053 0.047  0.145 0.171  0.235 0.298  0.298 0.437  0.387 0.419  0.318 0.280  0.275 0.133  0.245 -0.019  0.265 -0.165  0.335 -0.303  0.412 -0.437  0.516 -0.534  0.668 -0.557  0.822 -0.538  0.974 -0.510  1.123 -0.466  1.269 -0.417  1.398 -0.331  1.532 -0.255  1.667 -0.181  1.777 -0.071  1.887 0.038
3#apb#apb38#app3890/r  -1.379 -1.172  -1.349 -1.131  -1.251 -1.066  -1.162 -0.990  -1.078 -0.908  -1.005 -0.817  -0.932 -0.725  -0.870 -0.625  -0.807 -0.526  -0.745 -0.426  -0.684 -0.326  -0.622 -0.226  -0.561 -0.126  -0.500 -0.026  -0.444 0.077  -0.389 0.181  -0.334 0.284  -0.282 0.389  -0.236 0.497  -0.190 0.605  -0.145 0.714  -0.103 0.823  -0.063 0.934  -0.024 1.044  -0.018 1.160  -0.006 1.186  0.055 1.087  0.131 0.997  0.235 0.945  0.337 0.886  0.416 0.801  0.486 0.707  0.568 0.623  0.648 0.538  0.709 0.438  0.769 0.337  0.815 0.229  0.833 0.116  0.833 -0.002  0.833 -0.119  0.833 -0.237  0.763 -0.331  0.703 -0.431  0.626 -0.513  0.660 -0.589  0.707 -0.665  0.732 -0.748  0.779 -0.852  0.831 -0.957  0.875 -1.066
3#apb#apb38#app3890/e  -1.393 -0.712  -1.364 -0.855  -1.332 -0.985  -1.194 -1.044  -1.049 -1.037  -0.901 -1.010  -0.774 -0.940  -0.659 -0.843  -0.545 -0.746  -0.432 -0.647  -0.321 -0.545  -0.211 -0.442  -0.101 -0.340  0.002 -0.231  0.101 -0.119  0.201 -0.007  0.301 0.106  0.400 0.218  0.492 0.337  0.583 0.456  0.675 0.575  0.748 0.706  0.819 0.839  0.881 0.972  0.833 1.114  0.724 1.213  0.606 1.305  0.467 1.321  0.318 1.299  0.169 1.278  0.050 1.188  -0.069 1.096  -0.120 0.961  -0.151 0.815  -0.182 0.668  -0.182 0.517  -0.182 0.367  -0.182 0.217  -0.174 0.068  -0.134 -0.077  -0.094 -0.221  -0.054 -0.366  0.024 -0.490  0.126 -0.600  0.228 -0.711  0.337 -0.811  0.474 -0.873  0.611 -0.934  0.748 -0.996  0.885 -1.058
3#apb#apb38#app3890/G  -1.434 -1.138  -1.443 -1.124  -1.209 -1.109  -0.997 -0.991  -0.801 -0.846  -0.618 -0.686  -0.439 -0.520  -0.264 -0.350  -0.092 -0.177  0.077 -0.002  0.226 0.192  0.373 0.386  0.503 0.592  0.625 0.803  0.721 1.027  0.724 1.270  0.698 1.513  0.583 1.715  0.377 1.675  0.232 1.486  0.163 1.254  0.183 1.015  0.260 0.784  0.344 0.555  0.442 0.331  0.528 0.103  0.578 -0.135  0.587 -0.378  0.575 -0.622  0.601 -0.823  0.544 -0.764  0.410 -0.561  0.243 -0.384  0.067 -0.215  -0.114 -0.051  -0.309 0.091  -0.533 0.187  -0.767 0.211  -0.985 0.113  -1.161 -0.018  -0.995 -0.191  -0.788 -0.319  -0.550 -0.376  -0.315 -0.440  -0.080 -0.502  0.162 -0.536  0.405 -0.545  0.648 -0.537  0.891 -0.522  1.120 -0.441
3#apb#apb38#app3890/e  -0.712 -0.310  -0.871 -0.310  -0.945 -0.395  -0.881 -0.491  -0.722 -0.503  -0.564 -0.511  -0.413 -0.461  -0.264 -0.406  -0.151 -0.293  -0.039 -0.181  0.074 -0.068  0.190 0.042  0.307 0.150  0.423 0.259  0.530 0.377  0.627 0.503  0.725 0.630  0.796 0.772  0.863 0.917  0.854 1.058  0.764 1.187  0.634 1.280  0.482 1.314  0.323 1.335  0.173 1.319  0.038 1.235  -0.097 1.150  -0.218 1.051  -0.305 0.917  -0.392 0.783  -0.478 0.650  -0.505 0.492  -0.531 0.335  -0.557 0.178  -0.581 0.020  -0.548 -0.136  -0.516 -0.292  -0.483 -0.448  -0.446 -0.602  -0.337 -0.718  -0.228 -0.834  -0.119 -0.951  0.005 -1.049  0.143 -1.129  0.281 -1.209  0.419 -1.289  0.576 -1.313  0.734 -1.333  0.892 -1.352  1.050 -1.372
3#apb#apb38#app3890/o  -0.210 0.311  -0.185 0.489  -0.140 0.629  -0.290 0.715  -0.461 0.686  -0.631 0.624  -0.764 0.506  -0.891 0.378  -1.018 0.251  -1.091 0.089  -1.150 -0.081  -1.208 -0.252  -1.208 -0.432  -1.208 -0.612  -1.162 -0.784  -1.101 -0.953  -0.954 -1.054  -0.802 -1.151  -0.624 -1.158  -0.444 -1.158  -0.293 -1.072  -0.150 -0.962  -0.010 -0.849  0.122 -0.727  0.254 -0.604  0.371 -0.470  0.455 -0.311  0.539 -0.152  0.614 0.012  0.671 0.182  0.662 0.361  0.629 0.534  0.524 0.681  0.354 0.717  0.175 0.727  -0.000 0.715  -0.127 0.587  -0.179 0.417  -0.061 0.283  0.101 0.228  0.281 0.228  0.461 0.228  0.641 0.228  0.822 0.228  1.000 0.246  1.179 0.272  1.357 0.297  1.536 0.311  1.716 0.311  1.896 0.311
3#apb#apb38#app3890/r  -0.869 -1.306  -0.960 -1.257  -0.964 -1.374  -0.872 -1.375  -0.795 -1.291  -0.738 -1.182  -0.675 -1.075  -0.613 -0.969  -0.551 -0.862  -0.494 -0.753  -0.437 -0.644  -0.379 -0.535  -0.343 -0.418  -0.309 -0.299  -0.276 -0.181  -0.252 -0.060  -0.236 0.062  -0.222 0.184  -0.248 0.305  -0.274 0.425  -0.302 0.545  -0.330 0.665  -0.359 0.785  -0.395 0.903  -0.407 1.021  -0.300 1.082  -0.185 1.125  -0.066 1.151  0.057 1.151  0.180 1.159  0.303 1.168  0.405 1.111  0.501 1.034  0.577 0.938  0.648 0.837  0.669 0.717  0.684 0.595  0.693 0.472  0.693 0.349  0.693 0.225  0.689 0.102  0.677 -0.020  0.664 -0.143  0.652 -0.265  0.637 -0.388  0.623 -0.510  0.634 -0.631  0.669 -0.749  0.720 -0.861  0.788 -0.963
3#apb#apb38#app3890/g  0.189 1.033  0.208 1.158  0.100 1.195  -0.027 1.156  -0.151 1.111  -0.272 1.055  -0.391 0.997  -0.510 0.938  -0.619 0.865  -0.713 0.771  -0.748 0.647  -0.738 0.520  -0.667 0.417  -0.541 0.380  -0.411 0.407  -0.283 0.441  -0.158 0.487  -0.039 0.542  0.059 0.631  0.153 0.725  0.237 0.827  0.311 0.877  0.348 0.750  0.388 0.623  0.427 0.496  0.465 0.369  0.503 0.242  0.544 0.115  0.586 -0.011  0.627 -0.137  0.667 -0.264  0.697 -0.392  0.697 -0.525  0.697 -0.657  0.674 -0.785  0.619 -0.906  0.551 -1.020  0.480 -1.131  0.363 -1.194  0.243 -1.246  0.110 -1.253  -0.022 -1.260  -0.155 -1.255  -0.287 -1.249  -0.418 -1.234  -0.545 -1.194  -0.672 -1.154  -0.772 -1.070  -0.865 -0.975  -0.942 -0.867
3#apb#apb38#app3890/i  -0.972 -0.758  -0.972 -0.840  -0.950 -0.990  -0.823 -1.037  -0.695 -0.968  -0.570 -0.880  -0.444 -0.794  -0.344 -0.678  -0.243 -0.562  -0.164 -0.432  -0.086 -0.300  -0.028 -0.158  0.030 -0.016  0.035 0.126  -0.098 0.105  -0.199 -0.001  -0.251 -0.145  -0.273 -0.296  -0.261 -0.447  -0.208 -0.588  -0.093 -0.689  0.054 -0.732  0.201 -0.775  0.347 -0.820  0.498 -0.806  0.645 -0.771  0.779 -0.696  0.910 -0.617  1.034 -0.528  1.072 -0.426  0.980 -0.304  0.887 -0.182  0.794 -0.061  0.701 0.061  0.609 0.183  0.516 0.305  0.423 0.427  0.331 0.549  0.238 0.671  0.145 0.793  0.052 0.914  -0.040 1.036  -0.133 1.158  -0.226 1.280  -0.319 1.402  -0.411 1.524  -0.504 1.646  -0.597 1.768  -0.654 1.744  -0.722 1.607
3#apb#apb38#app3890/a  0.621 1.008  0.458 1.022  0.296 1.031  0.133 1.020  -0.030 1.009  -0.177 0.940  -0.323 0.867  -0.470 0.796  -0.618 0.727  -0.765 0.657  -0.880 0.546  -0.982 0.419  -1.059 0.276  -1.121 0.125  -1.183 -0.026  -1.204 -0.185  -1.204 -0.348  -1.186 -0.509  -1.154 -0.669  -1.008 -0.725  -0.855 -0.693  -0.704 -0.632  -0.555 -0.567  -0.428 -0.464  -0.302 -0.361  -0.175 -0.258  -0.060 -0.142  0.051 -0.023  0.162 0.097  0.269 0.220  0.375 0.345  0.480 0.469  0.585 0.594  0.608 0.640  0.530 0.497  0.455 0.352  0.407 0.196  0.358 0.040  0.342 -0.118  0.372 -0.278  0.430 -0.428  0.508 -0.572  0.598 -0.704  0.734 -0.795  0.880 -0.861  1.038 -0.901  1.197 -0.941  1.357 -0.926  1.518 -0.898  1.679 -0.869
