2#apb#apb42#app4214/S  0.368 1.436  0.268 1.411  0.168 1.386  0.077 1.341  -0.007 1.280  -0.090 1.220  -0.173 1.159  -0.249 1.090  -0.317 1.013  -0.386 0.935  -0.454 0.858  -0.521 0.780  -0.588 0.702  -0.665 0.643  -0.584 0.602  -0.502 0.541  -0.419 0.479  -0.324 0.445  -0.223 0.423  -0.122 0.402  -0.021 0.380  0.076 0.349  0.170 0.306  0.264 0.263  0.358 0.221  0.429 0.147  0.497 0.070  0.566 -0.007  0.619 -0.092  0.641 -0.192  0.664 -0.293  0.651 -0.391  0.614 -0.488  0.576 -0.583  0.517 -0.668  0.458 -0.752  0.399 -0.837  0.328 -0.909  0.243 -0.968  0.158 -1.027  0.073 -1.085  -0.011 -1.144  -0.103 -1.190  -0.197 -1.234  -0.291 -1.277  -0.384 -1.320  -0.483 -1.344  -0.586 -1.352  -0.688 -1.361  -0.791 -1.369
2#apb#apb42#app4214/e  -0.803 -0.165  -0.674 -0.079  -0.544 0.008  -0.414 0.094  -0.275 0.164  -0.135 0.234  0.004 0.303  0.146 0.368  0.287 0.433  0.429 0.497  0.572 0.561  0.714 0.625  0.856 0.688  0.974 0.788  0.988 0.921  0.884 1.029  0.751 1.077  0.602 1.032  0.452 0.987  0.304 0.939  0.157 0.887  0.011 0.834  -0.136 0.782  -0.277 0.718  -0.403 0.626  -0.529 0.535  -0.655 0.443  -0.762 0.333  -0.852 0.205  -0.941 0.078  -1.023 -0.053  -1.045 -0.208  -1.050 -0.358  -0.964 -0.488  -0.877 -0.617  -0.782 -0.735  -0.633 -0.781  -0.484 -0.827  -0.335 -0.873  -0.184 -0.911  -0.031 -0.937  0.123 -0.963  0.277 -0.988  0.430 -1.014  0.585 -1.032  0.741 -1.032  0.897 -1.032  1.052 -1.032  1.208 -1.032  1.364 -1.032
2#apb#apb42#app4214/p  -0.341 0.127  -0.461 0.034  -0.500 -0.119  -0.512 -0.276  -0.524 -0.433  -0.534 -0.590  -0.545 -0.748  -0.554 -0.905  -0.563 -1.063  -0.583 -1.219  -0.607 -1.375  -0.633 -1.530  -0.655 -1.427  -0.655 -1.269  -0.645 -1.112  -0.635 -0.954  -0.606 -0.800  -0.573 -0.645  -0.524 -0.496  -0.471 -0.347  -0.416 -0.199  -0.361 -0.051  -0.302 0.095  -0.231 0.236  -0.161 0.377  -0.075 0.509  0.017 0.637  0.110 0.764  0.210 0.886  0.309 1.009  0.418 1.122  0.545 1.215  0.672 1.308  0.818 1.359  0.969 1.367  1.044 1.246  1.072 1.091  1.016 0.944  0.961 0.796  0.886 0.658  0.797 0.528  0.707 0.398  0.621 0.267  0.535 0.134  0.450 0.002  0.340 -0.111  0.228 -0.223  0.112 -0.329  -0.006 -0.434  -0.162 -0.456
2#apb#apb42#app4214/t  0.134 1.867  0.091 1.999  0.081 1.974  0.081 1.836  0.081 1.697  0.081 1.559  0.081 1.421  0.081 1.282  0.081 1.144  0.081 1.005  0.081 0.867  0.081 0.729  0.081 0.590  0.090 0.452  0.102 0.314  0.114 0.176  0.126 0.039  0.134 -0.099  0.134 -0.238  0.134 -0.376  0.134 -0.515  0.134 -0.653  0.134 -0.791  0.134 -0.930  0.153 -1.066  0.180 -1.202  0.188 -1.340  0.229 -1.362  0.127 -1.269  0.024 -1.175  -0.078 -1.082  -0.180 -0.989  -0.282 -0.895  -0.384 -0.802  -0.486 -0.709  -0.588 -0.615  -0.691 -0.522  -0.793 -0.495  -0.711 -0.393  -0.583 -0.338  -0.456 -0.284  -0.326 -0.239  -0.191 -0.210  -0.055 -0.182  0.080 -0.153  0.211 -0.110  0.339 -0.058  0.468 -0.005  0.596 0.047  0.724 0.099
2#apb#apb42#app4214/.  1.902 0.230  1.807 0.230  1.713 0.230  1.618 0.230  1.523 0.230  1.428 0.230  1.334 0.230  1.239 0.230  1.144 0.230  1.049 0.230  0.955 0.230  0.860 0.230  0.765 0.230  0.671 0.230  0.576 0.230  0.481 0.230  0.386 0.230  0.291 0.230  0.197 0.230  0.102 0.230  0.007 0.230  -0.087 0.230  -0.182 0.230  -0.277 0.230  -0.372 0.230  -0.467 0.230  -0.561 0.230  -0.656 0.230  -0.751 0.230  -0.846 0.230  -0.940 0.230  -1.035 0.230  -1.130 0.230  -1.144 0.149  -1.144 0.054  -1.144 -0.041  -1.101 -0.118  -1.034 -0.185  -0.967 -0.252  -0.900 -0.319  -0.833 -0.386  -0.766 -0.453  -0.699 -0.520  -0.632 -0.587  -0.565 -0.654  -0.498 -0.721  -0.431 -0.788  -0.364 -0.855  -0.297 -0.922  -0.230 -0.989
2#apb#apb42#app4214/2  -0.781 0.392  -0.862 0.506  -0.862 0.647  -0.792 0.760  -0.674 0.837  -0.554 0.911  -0.433 0.985  -0.302 1.035  -0.169 1.085  -0.037 1.134  0.101 1.162  0.241 1.179  0.381 1.197  0.515 1.168  0.644 1.111  0.745 1.017  0.805 0.902  0.760 0.768  0.715 0.634  0.645 0.513  0.568 0.394  0.491 0.275  0.414 0.157  0.305 0.068  0.194 -0.019  0.082 -0.106  -0.029 -0.193  -0.138 -0.283  -0.244 -0.377  -0.350 -0.470  -0.456 -0.564  -0.563 -0.655  -0.676 -0.740  -0.789 -0.825  -0.885 -0.924  -0.846 -0.988  -0.705 -0.988  -0.564 -0.988  -0.422 -0.988  -0.281 -0.988  -0.142 -0.975  -0.005 -0.938  0.131 -0.900  0.267 -0.862  0.407 -0.853  0.548 -0.853  0.690 -0.853  0.831 -0.847  0.971 -0.836  1.112 -0.825
2#apb#apb42#app4214/3  -1.556 0.508  -1.543 0.615  -1.419 0.657  -1.297 0.704  -1.175 0.753  -1.053 0.802  -0.925 0.822  -0.794 0.830  -0.663 0.838  -0.532 0.842  -0.401 0.842  -0.270 0.842  -0.143 0.816  -0.018 0.775  0.082 0.694  0.072 0.588  0.005 0.475  -0.077 0.372  -0.159 0.270  -0.265 0.202  -0.389 0.160  -0.491 0.083  -0.532 -0.006  -0.402 0.006  -0.275 0.038  -0.148 0.070  -0.017 0.071  0.115 0.071  0.245 0.065  0.373 0.038  0.502 0.010  0.629 -0.021  0.754 -0.059  0.868 -0.117  0.961 -0.210  1.053 -0.303  1.146 -0.396  1.167 -0.502  1.114 -0.621  1.041 -0.728  0.953 -0.826  0.864 -0.923  0.755 -0.991  0.635 -1.043  0.515 -1.096  0.393 -1.143  0.266 -1.174  0.138 -1.204  0.010 -1.234  -0.117 -1.265
2#apb#apb42#app4214/N  -0.338 0.809  -0.331 0.657  -0.369 0.488  -0.413 0.320  -0.445 0.148  -0.492 -0.017  -0.578 -0.169  -0.663 -0.321  -0.719 -0.486  -0.774 -0.651  -0.838 -0.812  -0.932 -0.959  -1.024 -1.107  -1.096 -1.211  -1.070 -1.039  -1.018 -0.873  -0.965 -0.708  -0.870 -0.561  -0.775 -0.415  -0.676 -0.272  -0.573 -0.131  -0.475 0.012  -0.397 0.168  -0.317 0.322  -0.227 0.471  -0.132 0.617  -0.099 0.787  0.001 0.827  0.059 0.665  0.075 0.492  0.075 0.318  0.078 0.144  0.118 -0.026  0.160 -0.195  0.205 -0.363  0.277 -0.519  0.445 -0.555  0.613 -0.509  0.762 -0.424  0.902 -0.321  0.989 -0.170  1.075 -0.018  1.165 0.131  1.254 0.280  1.316 0.442  1.371 0.608  1.418 0.775  1.439 0.946  1.425 1.119  1.380 1.287
2#apb#apb42#app4214/o  0.497 0.247  0.550 0.405  0.593 0.562  0.500 0.701  0.359 0.789  0.216 0.842  0.073 0.757  -0.070 0.671  -0.213 0.585  -0.337 0.475  -0.448 0.351  -0.560 0.227  -0.671 0.103  -0.770 -0.030  -0.856 -0.173  -0.941 -0.316  -1.027 -0.460  -1.077 -0.619  -1.125 -0.778  -1.173 -0.938  -1.094 -1.066  -0.954 -1.138  -0.788 -1.159  -0.623 -1.179  -0.463 -1.130  -0.304 -1.081  -0.144 -1.032  0.015 -0.983  0.155 -0.895  0.293 -0.800  0.430 -0.705  0.567 -0.610  0.703 -0.515  0.813 -0.389  0.923 -0.263  1.033 -0.138  1.058 0.020  1.058 0.186  1.024 0.348  0.971 0.506  0.858 0.618  0.719 0.710  0.580 0.803  0.432 0.873  0.270 0.911  0.107 0.948  -0.056 0.986  -0.215 0.990  -0.368 0.924  -0.522 0.858
2#apb#apb42#app4214/v  -0.972 0.718  -0.984 0.550  -1.021 0.384  -1.035 0.222  -0.950 0.075  -0.883 -0.079  -0.850 -0.245  -0.817 -0.411  -0.690 -0.524  -0.563 -0.635  -0.415 -0.709  -0.250 -0.750  -0.084 -0.745  0.083 -0.715  0.249 -0.682  0.408 -0.623  0.561 -0.556  0.673 -0.428  0.785 -0.301  0.855 -0.150  0.904 0.012  0.956 0.173  1.019 0.331  1.082 0.488  1.081 0.655  1.063 0.823  1.004 0.980  0.922 1.127  0.823 1.256  0.799 1.345  0.705 1.204  0.611 1.063  0.516 0.922  0.422 0.781  0.328 0.640  0.234 0.499  0.140 0.358  0.046 0.216  -0.048 0.075  -0.142 -0.066  -0.236 -0.207  -0.330 -0.348  -0.424 -0.489  -0.519 -0.630  -0.613 -0.771  -0.707 -0.913  -0.851 -0.960  -1.013 -0.987  -1.016 -1.013  -0.855 -0.960
2#apb#apb42#app4214/.  1.698 0.000  1.628 0.000  1.559 0.000  1.490 0.000  1.421 0.000  1.351 0.000  1.282 0.000  1.213 0.000  1.143 0.000  1.074 0.000  1.005 0.000  0.936 0.000  0.866 0.000  0.797 0.000  0.728 0.000  0.658 0.000  0.589 0.000  0.520 0.000  0.450 0.000  0.381 0.000  0.312 0.000  0.243 0.000  0.173 0.000  0.104 0.000  0.035 0.000  -0.035 0.000  -0.104 0.000  -0.173 0.000  -0.243 0.000  -0.312 0.000  -0.381 0.000  -0.450 0.000  -0.520 0.000  -0.589 0.000  -0.658 0.000  -0.728 0.000  -0.797 0.000  -0.866 0.000  -0.936 0.000  -1.005 0.000  -1.074 0.000  -1.143 0.000  -1.213 0.000  -1.282 0.000  -1.351 0.000  -1.421 0.000  -1.490 0.000  -1.559 0.000  -1.628 0.000  -1.698 0.000
