1b#apb#apb08#app0866/E  -0.778 0.771  -0.832 0.543  -0.854 0.309  -0.866 0.072  -0.877 -0.164  -0.877 -0.401  -0.877 -0.638  -0.843 -0.870  -0.754 -1.087  -0.600 -1.264  -0.397 -1.377  -0.169 -1.421  0.066 -1.402  0.297 -1.347  0.527 -1.293  0.742 -1.197  0.947 -1.093  0.918 -0.893  0.748 -0.728  0.578 -0.563  0.408 -0.398  0.239 -0.233  0.069 -0.068  -0.101 0.097  -0.271 0.262  -0.440 0.427  -0.610 0.592  -0.780 0.758  -0.636 0.869  -0.414 0.946  -0.179 0.978  0.051 1.033  0.279 1.097  0.513 1.128  0.748 1.157  0.982 1.192  0.911 1.076  0.742 0.911  0.573 0.745  0.403 0.580  0.234 0.414  0.064 0.249  -0.105 0.083  -0.274 -0.082  -0.311 -0.137  -0.094 -0.047  0.137 0.003  0.368 0.053  0.590 0.133  0.808 0.226
1b#apb#apb08#app0866/C  0.263 0.372  0.286 0.289  0.371 0.359  0.442 0.452  0.496 0.554  0.519 0.669  0.526 0.784  0.496 0.897  0.424 0.986  0.338 1.065  0.227 1.103  0.115 1.138  -0.001 1.124  -0.117 1.107  -0.223 1.058  -0.326 1.002  -0.428 0.944  -0.505 0.855  -0.582 0.767  -0.659 0.678  -0.710 0.572  -0.761 0.466  -0.812 0.361  -0.841 0.249  -0.852 0.132  -0.863 0.015  -0.857 -0.100  -0.814 -0.209  -0.770 -0.318  -0.725 -0.426  -0.653 -0.519  -0.581 -0.612  -0.502 -0.696  -0.402 -0.758  -0.302 -0.820  -0.199 -0.876  -0.087 -0.911  0.025 -0.946  0.138 -0.978  0.254 -0.996  0.370 -1.014  0.487 -1.015  0.603 -1.000  0.719 -0.983  0.833 -0.954  0.942 -0.912  1.046 -0.857  1.138 -0.786  1.219 -0.702  1.292 -0.609
1b#apb#apb08#app0866/R  -0.441 0.925  -0.570 0.947  -0.616 0.764  -0.639 0.577  -0.652 0.389  -0.662 0.200  -0.662 0.012  -0.662 -0.177  -0.662 -0.366  -0.662 -0.555  -0.661 -0.744  -0.643 -0.932  -0.625 -1.120  -0.599 -1.301  -0.599 -1.112  -0.599 -0.923  -0.586 -0.734  -0.569 -0.546  -0.553 -0.358  -0.533 -0.170  -0.513 0.017  -0.493 0.205  -0.436 0.384  -0.369 0.561  -0.293 0.733  -0.180 0.884  -0.064 1.032  0.079 1.156  0.240 1.243  0.424 1.263  0.605 1.212  0.756 1.099  0.838 0.932  0.877 0.754  0.848 0.567  0.766 0.401  0.662 0.243  0.517 0.122  0.365 0.010  0.193 -0.064  0.233 -0.123  0.393 -0.223  0.555 -0.320  0.676 -0.462  0.779 -0.619  0.855 -0.792  0.912 -0.972  0.950 -1.157  0.994 -1.340  1.029 -1.524
1b#apb#apb08#app0866/L  -0.641 1.560  -0.639 1.535  -0.621 1.453  -0.603 1.370  -0.590 1.287  -0.579 1.203  -0.568 1.120  -0.557 1.036  -0.546 0.952  -0.536 0.868  -0.525 0.785  -0.515 0.701  -0.506 0.617  -0.499 0.533  -0.492 0.449  -0.485 0.364  -0.479 0.280  -0.467 0.197  -0.455 0.113  -0.443 0.029  -0.433 -0.054  -0.433 -0.139  -0.433 -0.223  -0.433 -0.308  -0.410 -0.389  -0.387 -0.470  -0.352 -0.545  -0.300 -0.612  -0.236 -0.662  -0.156 -0.688  -0.075 -0.710  0.009 -0.710  0.094 -0.710  0.178 -0.710  0.262 -0.700  0.345 -0.688  0.429 -0.676  0.513 -0.664  0.596 -0.655  0.680 -0.645  0.764 -0.636  0.848 -0.626  0.932 -0.615  1.015 -0.602  1.092 -0.567  1.168 -0.531  1.249 -0.512  1.333 -0.505  1.409 -0.473  1.481 -0.428
1b#apb#apb08#app0866/A  -0.483 0.823  -0.593 0.647  -0.632 0.408  -0.691 0.172  -0.742 -0.064  -0.766 -0.306  -0.809 -0.544  -0.851 -0.783  -0.864 -1.025  -0.753 -0.824  -0.649 -0.604  -0.547 -0.384  -0.460 -0.158  -0.385 0.073  -0.310 0.303  -0.257 0.540  -0.207 0.777  -0.144 1.011  -0.059 1.238  0.053 1.450  0.210 1.633  0.413 1.685  0.553 1.489  0.645 1.265  0.710 1.031  0.769 0.796  0.817 0.558  0.863 0.320  0.883 0.078  0.901 -0.164  0.913 -0.406  0.925 -0.648  0.931 -0.890  0.910 -1.132  0.804 -1.278  0.600 -1.147  0.397 -1.015  0.193 -0.883  -0.011 -0.752  -0.215 -0.620  -0.419 -0.488  -0.622 -0.357  -0.826 -0.225  -0.755 -0.195  -0.513 -0.212  -0.271 -0.232  -0.029 -0.240  0.214 -0.249  0.456 -0.241  0.699 -0.232
1b#apb#apb08#app0866/M  -1.192 -0.025  -1.282 -0.123  -1.319 -0.256  -1.342 -0.392  -1.343 -0.530  -1.313 -0.664  -1.204 -0.653  -1.139 -0.534  -1.093 -0.404  -1.047 -0.273  -1.002 -0.142  -0.961 -0.010  -0.920 0.123  -0.860 0.246  -0.784 0.362  -0.686 0.453  -0.561 0.503  -0.428 0.475  -0.311 0.400  -0.236 0.288  -0.172 0.165  -0.134 0.033  -0.106 -0.103  -0.075 -0.238  -0.044 -0.373  -0.022 -0.510  0.013 -0.549  0.087 -0.431  0.155 -0.311  0.217 -0.187  0.279 -0.063  0.339 0.062  0.399 0.187  0.464 0.309  0.536 0.427  0.609 0.545  0.710 0.639  0.823 0.716  0.953 0.730  1.066 0.661  1.145 0.547  1.187 0.415  1.224 0.282  1.249 0.146  1.276 0.010  1.309 -0.125  1.333 -0.261  1.349 -0.398  1.392 -0.529  1.462 -0.641
1b#apb#apb08#app0866/S  0.649 0.757  0.511 0.795  0.370 0.821  0.227 0.837  0.085 0.852  -0.058 0.865  -0.199 0.840  -0.340 0.814  -0.481 0.788  -0.623 0.763  -0.764 0.739  -0.906 0.717  -1.048 0.694  -1.183 0.651  -1.313 0.591  -1.283 0.483  -1.148 0.436  -1.012 0.389  -0.872 0.357  -0.732 0.325  -0.592 0.294  -0.452 0.262  -0.311 0.236  -0.169 0.211  -0.028 0.185  0.113 0.159  0.252 0.124  0.390 0.084  0.527 0.044  0.665 0.004  0.797 -0.052  0.924 -0.119  1.051 -0.186  1.140 -0.295  1.195 -0.420  1.181 -0.563  1.094 -0.677  1.006 -0.790  0.877 -0.848  0.743 -0.899  0.608 -0.949  0.469 -0.984  0.330 -1.019  0.189 -1.040  0.045 -1.040  -0.098 -1.040  -0.242 -1.047  -0.385 -1.055  -0.528 -1.052  -0.671 -1.040
1b#apb#apb08#app0866/S  0.579 0.864  0.503 0.977  0.394 1.045  0.262 1.075  0.127 1.056  -0.008 1.038  -0.142 1.015  -0.273 0.977  -0.404 0.938  -0.535 0.900  -0.649 0.825  -0.763 0.750  -0.874 0.671  -0.970 0.574  -1.023 0.466  -0.952 0.366  -0.825 0.315  -0.696 0.278  -0.559 0.278  -0.423 0.278  -0.286 0.278  -0.150 0.278  -0.013 0.278  0.123 0.278  0.260 0.278  0.396 0.271  0.530 0.251  0.665 0.231  0.793 0.185  0.900 0.107  0.984 -0.001  0.987 -0.136  0.973 -0.270  0.921 -0.396  0.869 -0.522  0.772 -0.616  0.669 -0.706  0.564 -0.792  0.454 -0.873  0.344 -0.954  0.223 -1.017  0.101 -1.078  -0.022 -1.137  -0.147 -1.191  -0.275 -1.234  -0.411 -1.251  -0.546 -1.263  -0.683 -1.254  -0.817 -1.237  -0.947 -1.194
1b#apb#apb08#app0866/A  -1.137 -0.980  -1.112 -0.878  -1.055 -0.688  -0.983 -0.503  -0.911 -0.318  -0.840 -0.133  -0.770 0.053  -0.700 0.239  -0.635 0.426  -0.570 0.614  -0.503 0.801  -0.436 0.987  -0.355 1.168  -0.255 1.337  -0.102 1.461  0.085 1.449  0.263 1.361  0.379 1.200  0.495 1.039  0.570 0.856  0.645 0.672  0.695 0.480  0.741 0.287  0.794 0.096  0.852 -0.094  0.909 -0.284  0.965 -0.475  0.984 -0.672  1.000 -0.869  0.993 -1.066  0.932 -1.242  0.794 -1.163  0.631 -1.049  0.468 -0.936  0.306 -0.822  0.143 -0.708  -0.020 -0.595  -0.182 -0.481  -0.345 -0.367  -0.508 -0.253  -0.670 -0.140  -0.833 -0.026  -0.782 -0.001  -0.585 0.006  -0.387 -0.004  -0.189 0.008  0.009 0.022  0.206 0.040  0.404 0.062  0.601 0.084
1b#apb#apb08#app0866/U  -1.064 0.933  -1.111 0.991  -1.124 0.842  -1.117 0.692  -1.110 0.542  -1.103 0.392  -1.096 0.243  -1.081 0.094  -1.061 -0.055  -1.037 -0.203  -1.005 -0.350  -0.973 -0.496  -0.916 -0.635  -0.851 -0.768  -0.745 -0.874  -0.629 -0.965  -0.491 -1.025  -0.346 -1.013  -0.204 -0.972  -0.075 -0.894  0.044 -0.805  0.154 -0.702  0.250 -0.589  0.331 -0.463  0.411 -0.336  0.460 -0.195  0.503 -0.051  0.545 0.093  0.556 0.242  0.566 0.392  0.576 0.542  0.582 0.691  0.587 0.841  0.596 0.991  0.605 1.141  0.580 1.121  0.541 0.977  0.524 0.828  0.506 0.679  0.513 0.530  0.532 0.381  0.557 0.234  0.600 0.090  0.644 -0.053  0.703 -0.191  0.766 -0.327  0.840 -0.457  0.930 -0.577  1.022 -0.695  1.117 -0.811
1b#apb#apb08#app0866/R  -0.763 0.308  -0.845 0.303  -0.822 0.115  -0.812 -0.075  -0.805 -0.265  -0.797 -0.455  -0.803 -0.645  -0.811 -0.835  -0.792 -1.024  -0.771 -1.213  -0.817 -1.210  -0.828 -1.021  -0.828 -0.831  -0.812 -0.642  -0.789 -0.453  -0.766 -0.264  -0.725 -0.079  -0.682 0.106  -0.626 0.287  -0.532 0.452  -0.438 0.617  -0.324 0.770  -0.210 0.922  -0.062 1.040  0.096 1.142  0.281 1.185  0.469 1.190  0.654 1.158  0.827 1.080  0.941 0.928  1.018 0.763  1.018 0.573  0.950 0.404  0.842 0.247  0.696 0.126  0.542 0.017  0.366 -0.056  0.188 -0.123  0.003 -0.132  -0.142 -0.042  0.044 -0.016  0.230 -0.055  0.391 -0.151  0.545 -0.261  0.707 -0.362  0.855 -0.479  0.997 -0.606  1.159 -0.706  1.314 -0.815  1.471 -0.923
