1d#tos#t2#t2038062/\"  -0.580 0.922  -0.580 0.781  -0.653 0.686  -0.779 0.623  -0.842 0.497  -0.905 0.371  -0.968 0.245  -1.095 0.222  -1.180 0.166  -1.180 0.025  -1.180 -0.115  -1.180 -0.256  -1.162 -0.379  -1.080 -0.438  -1.080 -0.579  -0.981 -0.679  -0.880 -0.719  -0.880 -0.860  -0.782 -0.808  -0.668 -0.725  -0.554 -0.642  -0.440 -0.560  -0.326 -0.477  -0.212 -0.394  -0.098 -0.311  0.016 -0.228  0.130 -0.145  0.244 -0.062  0.358 0.020  0.471 0.103  0.585 0.186  0.699 0.269  0.813 0.352  0.927 0.435  1.041 0.518  1.155 0.600  1.269 0.683  1.251 0.698  1.117 0.654  1.022 0.581  1.022 0.441  1.022 0.300  0.977 0.177  0.878 0.078  0.822 -0.040  0.822 -0.181  0.822 -0.322  0.859 -0.454  0.922 -0.580  1.022 -0.679
1d#tos#t2#t2038062/#  -0.895 0.829  -1.233 0.662  -1.086 0.519  -0.673 0.519  -0.267 0.563  0.143 0.581  0.521 0.699  0.932 0.705  0.791 0.658  0.417 0.483  0.042 0.308  -0.332 0.134  -0.707 -0.041  -1.017 -0.283  -1.330 -0.550  -1.052 -0.595  -0.646 -0.564  -0.240 -0.533  0.111 -0.471  0.448 -0.348  0.846 -0.286  0.903 -0.054  0.662 0.281  0.420 0.616  0.179 0.952  -0.063 1.287  -0.417 1.270  -0.461 0.864  -0.399 0.466  -0.399 0.052  -0.399 -0.361  -0.399 -0.774  -0.399 -1.187  -0.393 -1.599  -0.287 -1.677  -0.161 -1.283  -0.035 -0.890  0.091 -0.496  0.217 -0.103  0.342 0.291  0.468 0.684  0.594 1.078  0.530 1.120  0.591 0.721  0.653 0.318  0.653 -0.095  0.653 -0.508  0.653 -0.921  0.653 -1.334  0.777 -1.710
1d#tos#t2#t2038062/$  0.810 0.853  0.749 0.748  0.582 0.853  0.310 0.853  0.038 0.853  -0.232 0.839  -0.478 0.763  -0.685 0.642  -0.819 0.477  -0.729 0.233  -0.528 0.115  -0.268 0.063  -0.048 0.010  0.224 0.010  0.440 -0.147  0.647 -0.253  0.897 -0.306  1.074 -0.445  1.074 -0.718  0.888 -0.913  0.661 -1.043  0.441 -1.096  0.191 -1.149  -0.081 -1.149  -0.341 -1.096  -0.559 -0.969  -0.643 -0.716  -0.618 -0.456  -0.545 -0.193  -0.472 0.069  -0.398 0.331  -0.325 0.593  -0.252 0.855  -0.179 1.117  -0.106 1.379  -0.033 1.641  -0.190 1.530  -0.138 1.280  -0.138 1.008  -0.109 0.743  -0.032 0.489  -0.032 0.216  -0.032 -0.056  -0.032 -0.328  -0.032 -0.600  -0.032 -0.872  -0.032 -1.144  -0.032 -1.416  0.020 -1.667  0.126 -1.833
1d#tos#t2#t2038062/&  1.264 -0.858  1.115 -0.962  1.056 -0.858  0.873 -0.759  0.740 -0.610  0.496 -0.573  0.295 -0.511  0.092 -0.461  -0.111 -0.411  -0.265 -0.312  -0.456 -0.213  -0.610 -0.114  -0.614 -0.064  -0.626 -0.014  -0.674 0.085  -0.728 0.283  -0.772 0.493  -0.765 0.744  -0.672 0.966  -0.473 1.079  -0.374 1.303  -0.165 1.375  0.067 1.425  0.320 1.425  0.522 1.372  0.695 1.249  0.817 1.076  0.711 0.929  0.607 0.780  0.420 0.714  0.350 0.532  0.108 0.482  -0.044 0.377  -0.236 0.273  -0.401 0.108  -0.494 -0.071  -0.640 -0.213  -0.772 -0.364  -0.821 -0.609  -0.821 -0.861  -0.724 -1.053  -0.622 -1.206  -0.375 -1.181  -0.148 -1.106  0.061 -0.994  0.268 -0.861  0.419 -0.661  0.571 -0.560  0.718 -0.396  0.817 -0.213
1d#tos#t2#t2038062/(  0.635 1.498  0.551 1.498  0.466 1.498  0.390 1.486  0.358 1.408  0.327 1.329  0.296 1.251  0.274 1.171  0.274 1.086  0.221 1.024  0.144 1.006  0.093 0.943  0.076 0.862  0.039 0.787  0.023 0.709  -0.047 0.662  -0.117 0.615  -0.147 0.546  -0.153 0.463  -0.191 0.388  -0.208 0.307  -0.208 0.223  -0.243 0.174  -0.327 0.174  -0.328 0.090  -0.328 0.005  -0.328 -0.079  -0.328 -0.164  -0.328 -0.248  -0.328 -0.333  -0.328 -0.417  -0.328 -0.502  -0.301 -0.575  -0.268 -0.646  -0.267 -0.730  -0.207 -0.790  -0.148 -0.850  -0.147 -0.934  -0.099 -0.970  -0.087 -1.043  -0.050 -1.091  -0.027 -1.152  -0.002 -1.211  0.083 -1.211  0.163 -1.221  0.214 -1.284  0.240 -1.358  0.274 -1.428  0.335 -1.452  0.394 -1.512
1d#tos#t2#t2038062/)  -0.467 1.454  -0.506 1.376  -0.530 1.295  -0.470 1.267  -0.382 1.267  -0.300 1.246  -0.222 1.207  -0.204 1.128  -0.136 1.080  -0.094 1.036  -0.024 1.018  0.063 1.018  0.093 0.961  0.113 0.894  0.187 0.862  0.249 0.800  0.280 0.726  0.280 0.639  0.280 0.552  0.280 0.465  0.293 0.383  0.343 0.316  0.343 0.229  0.343 0.142  0.343 0.054  0.343 -0.033  0.343 -0.120  0.343 -0.207  0.343 -0.294  0.343 -0.382  0.304 -0.453  0.243 -0.515  0.218 -0.592  0.218 -0.679  0.218 -0.766  0.172 -0.834  0.093 -0.852  0.093 -0.940  0.044 -0.992  -0.038 -1.019  -0.094 -1.067  -0.094 -1.154  -0.171 -1.170  -0.249 -1.209  -0.317 -1.261  -0.393 -1.287  -0.414 -1.359  -0.480 -1.411  -0.567 -1.411  -0.654 -1.411
1d#tos#t2#t2038062/*  0.156 1.788  -0.033 1.591  -0.033 1.293  -0.033 0.994  0.093 0.748  0.093 0.450  0.093 0.151  0.093 -0.147  0.093 -0.446  0.093 -0.744  0.093 -1.043  0.156 -1.315  0.101 -1.408  -0.049 -1.150  -0.200 -0.893  -0.350 -0.635  -0.501 -0.377  -0.651 -0.119  -0.801 0.139  -0.952 0.397  -1.102 0.654  -1.331 0.775  -1.489 0.635  -1.240 0.585  -0.981 0.457  -0.734 0.332  -0.475 0.204  -0.234 0.040  0.037 -0.083  0.184 -0.298  0.426 -0.414  0.600 -0.579  0.812 -0.684  1.006 -0.870  1.106 -0.672  1.106 -0.373  1.106 -0.075  1.106 0.224  1.106 0.522  1.106 0.821  0.904 0.821  0.692 0.678  0.518 0.440  0.307 0.229  0.210 -0.003  -0.021 -0.148  -0.253 -0.330  -0.481 -0.513  -0.657 -0.715  -0.793 -0.934
1d#tos#t2#t2038062/+  -1.247 0.052  -1.417 0.052  -1.588 0.052  -1.620 -0.086  -1.611 -0.247  -1.442 -0.237  -1.280 -0.183  -1.116 -0.140  -0.951 -0.098  -0.780 -0.098  -0.610 -0.098  -0.447 -0.055  -0.282 -0.023  -0.111 -0.023  0.059 -0.023  0.229 -0.023  0.400 -0.023  0.559 0.022  0.723 0.052  0.893 0.052  1.063 0.052  1.233 0.052  1.404 0.052  1.574 0.052  1.457 0.135  1.313 0.225  1.169 0.316  1.026 0.407  0.882 0.498  0.738 0.589  0.594 0.680  0.450 0.771  0.306 0.862  0.160 0.947  0.022 0.915  -0.006 0.752  -0.093 0.606  -0.181 0.460  -0.202 0.296  -0.202 0.126  -0.202 -0.045  -0.202 -0.215  -0.202 -0.385  -0.142 -0.531  -0.053 -0.664  -0.053 -0.834  -0.053 -1.005  -0.053 -1.175  -0.053 -1.345  -0.053 -1.516
1d#tos#t2#t2038062/,  0.201 1.570  0.144 1.513  0.087 1.456  0.030 1.399  -0.027 1.342  -0.062 1.276  -0.062 1.195  -0.062 1.114  -0.052 1.044  0.029 1.044  0.109 1.044  0.190 1.044  0.201 0.974  0.201 0.894  0.201 0.813  0.201 0.732  0.201 0.652  0.201 0.571  0.201 0.490  0.201 0.410  0.201 0.329  0.201 0.248  0.201 0.168  0.201 0.087  0.201 0.006  0.201 -0.074  0.201 -0.155  0.201 -0.236  0.201 -0.316  0.201 -0.397  0.201 -0.478  0.201 -0.558  0.201 -0.639  0.201 -0.720  0.200 -0.799  0.132 -0.844  0.065 -0.889  -0.002 -0.934  -0.069 -0.978  -0.136 -1.023  -0.203 -1.068  -0.270 -1.112  -0.337 -1.157  -0.404 -1.202  -0.472 -1.247  -0.539 -1.291  -0.609 -1.324  -0.690 -1.324  -0.771 -1.324  -0.851 -1.324
1d#tos#t2#t2038062/  0.976 1.329  0.914 1.311  0.882 1.246  0.824 1.223  0.811 1.158  0.779 1.093  0.724 1.064  0.705 1.011  0.646 0.988  0.614 0.923  0.567 0.867  0.529 0.807  0.497 0.742  0.464 0.677  0.424 0.617  0.372 0.566  0.325 0.511  0.284 0.451  0.244 0.390  0.196 0.337  0.144 0.285  0.106 0.225  0.073 0.160  0.041 0.095  0.001 0.035  -0.051 -0.016  -0.099 -0.071  -0.139 -0.131  -0.179 -0.191  -0.227 -0.246  -0.279 -0.297  -0.318 -0.357  -0.351 -0.422  -0.351 -0.495  -0.351 -0.567  -0.383 -0.630  -0.423 -0.691  -0.466 -0.749  -0.516 -0.802  -0.556 -0.863  -0.596 -0.923  -0.642 -0.979  -0.685 -1.037  -0.717 -1.102  -0.722 -1.173  -0.750 -1.218  -0.823 -1.218  -0.828 -1.285  -0.862 -1.324  -0.828 -1.324
1d#tos#t2#t2038062/;  -0.559 1.374  -0.559 1.287  -0.563 1.202  -0.611 1.131  -0.659 1.059  -0.707 0.987  -0.780 0.962  -0.866 0.962  -0.825 0.962  -0.739 0.962  -0.653 0.962  -0.566 0.962  -0.509 0.901  -0.454 0.834  -0.399 0.767  -0.344 0.701  -0.289 0.634  -0.235 0.568  -0.180 0.501  -0.125 0.434  -0.070 0.368  -0.015 0.301  0.040 0.235  0.095 0.168  0.149 0.101  0.204 0.035  0.259 -0.032  0.314 -0.099  0.369 -0.165  0.424 -0.232  0.479 -0.298  0.533 -0.365  0.588 -0.432  0.595 -0.515  0.595 -0.602  0.536 -0.664  0.475 -0.725  0.430 -0.792  0.457 -0.852  0.513 -0.882  0.513 -0.969  0.513 -1.055  0.470 -1.099  0.430 -1.145  0.402 -1.223  0.354 -1.295  0.307 -1.367  0.260 -1.439  0.221 -1.516  0.183 -1.594
