1c#apa#apa10#app1052/w  -1.094 1.006  -1.094 0.908  -1.094 0.810  -1.094 0.712  -1.094 0.614  -1.094 0.516  -1.094 0.417  -1.094 0.319  -1.094 0.221  -1.094 0.123  -1.094 0.025  -1.094 -0.073  -1.085 -0.162  -0.986 -0.162  -0.888 -0.162  -0.790 -0.162  -0.692 -0.162  -0.594 -0.162  -0.524 -0.092  -0.455 -0.023  -0.369 0.005  -0.270 0.005  -0.260 -0.082  -0.246 -0.175  -0.177 -0.244  -0.108 -0.314  -0.020 -0.353  0.073 -0.384  0.167 -0.415  0.260 -0.446  0.353 -0.477  0.448 -0.495  0.546 -0.495  0.644 -0.495  0.742 -0.495  0.841 -0.495  0.930 -0.474  0.999 -0.404  1.069 -0.335  1.138 -0.266  1.207 -0.196  1.242 -0.113  1.242 -0.014  1.242 0.084  1.242 0.182  1.242 0.280  1.242 0.378  1.242 0.476  1.242 0.574  1.242 0.673
1c#apa#apa10#app1052/a  0.840 0.481  0.764 0.634  0.687 0.787  0.611 0.940  0.546 1.096  0.546 1.267  0.472 1.363  0.301 1.363  0.166 1.277  0.045 1.156  -0.076 1.035  -0.197 0.914  -0.318 0.793  -0.439 0.672  -0.560 0.552  -0.680 0.431  -0.801 0.310  -0.922 0.189  -0.924 0.019  -0.924 -0.152  -0.924 -0.323  -0.924 -0.494  -0.924 -0.665  -0.924 -0.836  -0.924 -1.007  -0.924 -1.178  -0.864 -1.253  -0.711 -1.176  -0.558 -1.100  -0.405 -1.023  -0.270 -0.923  -0.149 -0.802  -0.028 -0.681  0.093 -0.560  0.214 -0.439  0.335 -0.318  0.455 -0.197  0.546 -0.064  0.546 0.107  0.546 0.278  0.546 0.449  0.546 0.343  0.550 0.172  0.591 0.007  0.633 -0.159  0.674 -0.325  0.716 -0.491  0.757 -0.657  0.799 -0.823  0.840 -0.988
1c#apa#apa10#app1052/n  -0.508 -0.110  -0.618 -0.055  -0.728 0.000  -0.839 0.056  -0.949 0.111  -1.050 0.151  -1.050 0.027  -1.050 -0.096  -1.050 -0.220  -1.050 -0.343  -1.050 -0.467  -1.050 -0.590  -1.050 -0.714  -1.050 -0.837  -1.013 -0.924  -0.890 -0.924  -0.770 -0.915  -0.683 -0.828  -0.595 -0.740  -0.508 -0.653  -0.434 -0.554  -0.360 -0.456  -0.286 -0.357  -0.212 -0.258  -0.138 -0.159  -0.064 -0.061  0.010 0.038  0.085 0.137  0.159 0.236  0.233 0.334  0.307 0.433  0.394 0.520  0.481 0.608  0.569 0.695  0.677 0.753  0.787 0.809  0.898 0.864  1.008 0.919  1.119 0.974  1.120 0.853  1.120 0.730  1.120 0.606  1.120 0.483  1.120 0.359  1.120 0.236  1.120 0.113  1.120 -0.011  1.120 -0.134  1.120 -0.258  1.120 -0.381
1c#apa#apa10#app1052/t  0.282 1.712  0.282 1.851  0.234 1.831  0.157 1.715  0.080 1.600  0.003 1.484  -0.074 1.369  -0.118 1.239  -0.145 1.103  -0.172 0.967  -0.200 0.831  -0.227 0.695  -0.254 0.558  -0.281 0.422  -0.290 0.284  -0.290 0.145  -0.290 0.007  -0.290 -0.132  -0.290 -0.271  -0.290 -0.410  -0.290 -0.549  -0.290 -0.688  -0.264 -0.820  -0.202 -0.945  -0.140 -1.069  -0.065 -1.184  0.033 -1.282  0.131 -1.380  0.229 -1.479  0.327 -1.486  0.426 -1.388  0.473 -1.269  0.463 -1.133  0.394 -1.012  0.325 -0.891  0.256 -0.771  0.187 -0.650  0.118 -0.530  0.050 -0.409  -0.019 -0.289  -0.088 -0.168  -0.157 -0.047  -0.226 0.073  -0.284 0.192  -0.186 0.290  -0.083 0.377  0.056 0.377  0.195 0.377  0.334 0.377  0.473 0.377
1c#apa#apa10#app1052/e  -0.980 -0.168  -0.867 -0.281  -0.754 -0.394  -0.631 -0.463  -0.479 -0.413  -0.327 -0.362  -0.176 -0.312  -0.024 -0.261  0.127 -0.211  0.280 -0.162  0.435 -0.123  0.590 -0.084  0.745 -0.046  0.900 -0.007  1.055 0.032  1.210 0.071  1.365 0.109  1.480 0.167  1.408 0.310  1.337 0.453  1.265 0.596  1.194 0.739  1.047 0.760  0.887 0.760  0.727 0.760  0.567 0.760  0.408 0.760  0.248 0.760  0.088 0.760  -0.071 0.753  -0.223 0.703  -0.374 0.652  -0.526 0.602  -0.678 0.551  -0.829 0.501  -0.980 0.450  -0.980 0.290  -0.980 0.130  -0.980 -0.030  -0.980 -0.190  -0.980 -0.350  -0.957 -0.500  -0.844 -0.613  -0.731 -0.726  -0.618 -0.839  -0.505 -0.952  -0.392 -1.065  -0.279 -1.178  -0.166 -1.291  -0.053 -1.404
1c#apa#apa10#app1052/d  -0.114 -0.617  -0.232 -0.499  -0.381 -0.457  -0.542 -0.493  -0.699 -0.546  -0.857 -0.599  -0.911 -0.726  -0.911 -0.893  -0.911 -1.059  -0.911 -1.226  -0.773 -1.254  -0.606 -1.254  -0.440 -1.254  -0.320 -1.141  -0.202 -1.023  -0.085 -0.906  0.033 -0.788  0.045 -0.627  0.045 -0.460  0.106 -0.306  0.167 -0.151  0.229 0.003  0.291 0.158  0.353 0.312  0.383 0.475  0.407 0.640  0.430 0.805  0.454 0.969  0.477 1.134  0.501 1.299  0.523 1.464  0.523 1.630  0.513 1.752  0.438 1.603  0.364 1.455  0.318 1.295  0.272 1.135  0.227 0.975  0.181 0.815  0.135 0.655  0.089 0.495  0.045 0.335  0.045 0.168  0.045 0.002  0.055 -0.163  0.117 -0.317  0.178 -0.472  0.240 -0.626  0.302 -0.781  0.364 -0.935
1c#apa#apa10#app1052/p  0.061 0.656  0.061 0.515  0.061 0.374  0.038 0.235  0.011 0.097  -0.017 -0.041  -0.045 -0.180  -0.072 -0.318  -0.100 -0.456  -0.128 -0.595  -0.155 -0.733  -0.183 -0.871  -0.211 -1.010  -0.238 -1.148  -0.246 -1.288  -0.246 -1.429  -0.301 -1.547  -0.399 -1.644  -0.399 -1.503  -0.399 -1.362  -0.399 -1.221  -0.399 -1.080  -0.399 -0.939  -0.399 -0.797  -0.399 -0.656  -0.390 -0.516  -0.367 -0.377  -0.344 -0.238  -0.321 -0.099  -0.297 0.040  -0.274 0.180  -0.251 0.319  -0.197 0.448  -0.134 0.574  -0.071 0.700  -0.007 0.826  0.056 0.952  0.119 1.079  0.182 1.205  0.275 1.301  0.401 1.364  0.528 1.424  0.669 1.424  0.736 1.302  0.799 1.176  0.828 1.042  0.809 0.904  0.764 0.770  0.719 0.637  0.675 0.503
1c#apa#apa10#app1052/i  -0.145 0.409  -0.145 0.548  -0.198 0.633  -0.337 0.633  -0.370 0.528  -0.370 0.389  -0.370 0.251  -0.402 0.120  -0.464 -0.004  -0.526 -0.128  -0.588 -0.252  -0.594 -0.389  -0.594 -0.528  -0.594 -0.667  -0.594 -0.805  -0.594 -0.944  -0.594 -1.082  -0.536 -1.163  -0.398 -1.163  -0.259 -1.163  -0.120 -1.163  0.018 -1.163  0.134 -1.108  0.232 -1.010  0.341 -0.938  0.480 -0.938  0.618 -0.938  0.752 -0.934  0.711 -0.802  0.670 -0.669  0.629 -0.537  0.588 -0.404  0.548 -0.272  0.507 -0.139  0.466 -0.007  0.425 0.126  0.385 0.258  0.344 0.391  0.303 0.523  0.262 0.656  0.222 0.788  0.181 0.921  0.140 1.053  0.099 1.186  0.058 1.318  0.018 1.451  -0.023 1.583  -0.064 1.716  -0.105 1.848  -0.145 1.981
1c#apa#apa10#app1052/n  -0.127 0.942  -0.276 0.942  -0.422 0.938  -0.488 0.805  -0.555 0.672  -0.621 0.539  -0.688 0.406  -0.742 0.268  -0.789 0.127  -0.836 -0.014  -0.883 -0.156  -0.930 -0.297  -0.977 -0.438  -1.005 -0.582  -1.005 -0.730  -1.005 -0.879  -1.005 -1.028  -0.936 -1.107  -0.787 -1.107  -0.679 -1.041  -0.613 -0.908  -0.546 -0.775  -0.480 -0.642  -0.410 -0.512  -0.305 -0.406  -0.199 -0.301  -0.101 -0.190  -0.019 -0.067  0.064 0.057  0.146 0.181  0.229 0.304  0.311 0.428  0.394 0.552  0.487 0.663  0.620 0.730  0.753 0.796  0.886 0.863  1.019 0.929  1.044 0.821  1.044 0.672  1.044 0.524  1.044 0.375  1.044 0.226  1.044 0.078  1.044 -0.071  1.044 -0.220  1.044 -0.368  1.044 -0.517  1.044 -0.666  1.044 -0.814
1c#apa#apa10#app1052/k  -0.290 1.802  -0.290 1.953  -0.290 1.846  -0.290 1.695  -0.311 1.546  -0.347 1.399  -0.384 1.253  -0.421 1.106  -0.458 0.959  -0.464 0.808  -0.464 0.657  -0.464 0.506  -0.464 0.354  -0.464 0.203  -0.468 0.052  -0.516 -0.091  -0.564 -0.235  -0.612 -0.379  -0.638 -0.526  -0.638 -0.677  -0.638 -0.782  -0.637 -0.631  -0.530 -0.524  -0.416 -0.425  -0.290 -0.341  -0.164 -0.257  -0.038 -0.173  0.092 -0.098  0.236 -0.050  0.379 -0.003  0.523 0.045  0.671 0.064  0.822 0.064  0.974 0.064  1.082 0.046  0.975 -0.061  0.889 -0.184  0.821 -0.319  0.754 -0.454  0.612 -0.504  0.468 -0.552  0.325 -0.600  0.207 -0.678  0.140 -0.813  0.072 -0.949  0.057 -1.097  0.148 -1.183  0.291 -1.231  0.435 -1.278  0.578 -1.326
1c#apa#apa10#app1052/y  -0.577 1.123  -0.716 1.114  -0.816 1.014  -0.837 0.880  -0.837 0.738  -0.834 0.597  -0.771 0.470  -0.707 0.343  -0.566 0.343  -0.430 0.360  -0.330 0.460  -0.214 0.542  -0.096 0.620  0.022 0.699  0.130 0.790  0.231 0.891  0.331 0.991  0.431 1.091  0.560 1.123  0.592 1.013  0.622 0.874  0.656 0.736  0.691 0.599  0.722 0.461  0.722 0.319  0.722 0.177  0.722 0.035  0.722 -0.107  0.722 -0.249  0.722 -0.391  0.722 -0.533  0.722 -0.675  0.656 -0.797  0.577 -0.915  0.498 -1.034  0.393 -1.122  0.266 -1.185  0.139 -1.249  0.012 -1.312  -0.115 -1.318  -0.242 -1.254  -0.358 -1.176  -0.459 -1.075  -0.559 -0.975  -0.606 -0.844  -0.640 -0.706  -0.674 -0.568  -0.704 -0.431  -0.641 -0.304  -0.577 -0.177
