3#apb#apb31#app3198/E  -0.073 0.799  -0.046 0.533  -0.097 0.259  -0.186 -0.006  -0.293 -0.266  -0.408 -0.522  -0.539 -0.770  -0.669 -1.019  -0.819 -1.256  -0.753 -1.023  -0.671 -0.754  -0.589 -0.486  -0.506 -0.218  -0.424 0.051  -0.342 0.319  -0.260 0.588  -0.178 0.856  -0.026 1.044  0.241 1.129  0.498 1.240  0.756 1.350  1.019 1.450  1.284 1.541  1.181 1.389  0.991 1.183  0.801 0.976  0.611 0.770  0.421 0.563  0.231 0.357  0.041 0.150  -0.149 -0.056  -0.339 -0.263  -0.485 -0.439  -0.244 -0.299  -0.012 -0.142  0.224 0.009  0.461 0.161  0.699 0.309  0.701 0.256  0.518 0.043  0.334 -0.169  0.150 -0.381  -0.033 -0.593  -0.217 -0.806  -0.401 -1.018  -0.584 -1.230  -0.768 -1.442  -0.611 -1.488  -0.343 -1.411  -0.099 -1.272
3#apb#apb31#app3198/a  0.115 1.116  -0.058 1.015  -0.230 0.914  -0.373 0.777  -0.506 0.628  -0.639 0.479  -0.759 0.319  -0.877 0.158  -0.994 -0.004  -1.077 -0.184  -1.148 -0.371  -1.209 -0.560  -1.221 -0.759  -1.198 -0.951  -1.101 -1.110  -0.916 -1.036  -0.755 -0.919  -0.599 -0.794  -0.443 -0.669  -0.327 -0.508  -0.213 -0.344  -0.099 -0.180  0.016 -0.017  0.135 0.144  0.254 0.305  0.371 0.466  0.472 0.639  0.572 0.811  0.673 0.984  0.758 1.165  0.801 1.298  0.678 1.140  0.570 0.973  0.461 0.805  0.391 0.618  0.323 0.430  0.255 0.242  0.190 0.054  0.124 -0.135  0.086 -0.329  0.075 -0.529  0.133 -0.702  0.283 -0.831  0.458 -0.896  0.649 -0.838  0.830 -0.755  1.007 -0.662  1.182 -0.567  1.355 -0.466  1.527 -0.364
3#apb#apb31#app3198/s  1.039 1.179  0.922 1.197  0.822 1.240  0.702 1.208  0.583 1.171  0.478 1.105  0.372 1.039  0.266 0.973  0.156 0.916  0.039 0.873  -0.077 0.829  -0.194 0.786  -0.304 0.730  -0.400 0.651  -0.496 0.572  -0.600 0.503  -0.708 0.441  -0.755 0.375  -0.633 0.365  -0.514 0.349  -0.402 0.295  -0.278 0.291  -0.157 0.271  -0.039 0.232  0.078 0.188  0.194 0.142  0.313 0.108  0.435 0.085  0.551 0.046  0.648 -0.032  0.708 -0.124  0.652 -0.236  0.597 -0.347  0.534 -0.455  0.471 -0.563  0.402 -0.665  0.309 -0.749  0.217 -0.832  0.122 -0.913  0.020 -0.984  -0.082 -1.056  -0.190 -1.118  -0.301 -1.172  -0.421 -1.207  -0.544 -1.227  -0.665 -1.254  -0.783 -1.294  -0.905 -1.311  -1.030 -1.311  -1.154 -1.311
3#apb#apb31#app3198/t  0.488 0.959  0.663 1.018  0.700 0.839  0.665 0.659  0.612 0.480  0.532 0.314  0.430 0.157  0.328 0.001  0.204 -0.139  0.080 -0.279  -0.038 -0.424  -0.146 -0.576  -0.255 -0.728  -0.344 -0.891  -0.424 -1.060  -0.485 -1.235  -0.488 -1.412  -0.351 -1.471  -0.175 -1.411  -0.001 -1.342  0.166 -1.260  0.321 -1.156  0.474 -1.050  0.625 -0.939  0.777 -0.831  0.930 -0.724  0.864 -0.600  0.730 -0.471  0.595 -0.341  0.460 -0.212  0.326 -0.083  0.191 0.047  0.056 0.176  -0.078 0.306  -0.213 0.435  -0.348 0.564  -0.482 0.694  -0.617 0.823  -0.752 0.953  -0.887 1.082  -1.021 1.212  -1.088 1.157  -0.998 0.993  -0.836 0.907  -0.664 0.837  -0.478 0.820  -0.292 0.803  -0.106 0.799  0.081 0.799  0.268 0.799
3#apb#apb31#app3198/e  -0.826 -0.222  -0.826 -0.330  -0.727 -0.454  -0.576 -0.511  -0.421 -0.515  -0.263 -0.483  -0.105 -0.452  0.029 -0.363  0.159 -0.269  0.290 -0.174  0.420 -0.079  0.508 0.056  0.596 0.191  0.684 0.326  0.772 0.461  0.861 0.596  0.950 0.730  1.007 0.871  0.982 1.031  0.958 1.190  0.865 1.322  0.743 1.370  0.589 1.323  0.441 1.261  0.297 1.189  0.152 1.116  0.035 1.007  -0.079 0.893  -0.193 0.779  -0.278 0.643  -0.359 0.504  -0.441 0.365  -0.519 0.223  -0.591 0.079  -0.663 -0.065  -0.727 -0.213  -0.771 -0.368  -0.815 -0.523  -0.803 -0.680  -0.771 -0.838  -0.675 -0.967  -0.576 -1.094  -0.442 -1.181  -0.298 -1.236  -0.138 -1.216  0.022 -1.196  0.172 -1.147  0.311 -1.065  0.450 -0.984  0.589 -0.902
3#apb#apb31#app3198/r  -0.351 0.643  -0.351 0.581  -0.351 0.458  -0.351 0.335  -0.351 0.212  -0.351 0.089  -0.403 -0.022  -0.455 -0.134  -0.507 -0.245  -0.559 -0.357  -0.610 -0.469  -0.662 -0.580  -0.713 -0.692  -0.766 -0.804  -0.821 -0.914  -0.875 -1.024  -0.914 -1.141  -0.954 -1.217  -0.892 -1.130  -0.798 -1.051  -0.696 -0.982  -0.593 -0.914  -0.507 -0.828  -0.425 -0.735  -0.344 -0.643  -0.262 -0.551  -0.180 -0.460  -0.097 -0.368  -0.029 -0.267  0.033 -0.160  0.096 -0.054  0.158 0.052  0.220 0.158  0.305 0.246  0.396 0.329  0.487 0.411  0.576 0.496  0.627 0.608  0.678 0.720  0.730 0.831  0.807 0.928  0.874 1.030  0.929 1.140  1.026 1.189  1.138 1.161  1.189 1.069  1.198 0.947  1.215 0.825  1.233 0.703  1.250 0.581
3#apb#apb31#app3198/n  -0.757 0.175  -0.757 0.104  -0.757 -0.004  -0.779 -0.107  -0.831 -0.202  -0.856 -0.305  -0.864 -0.413  -0.889 -0.515  -0.942 -0.610  -1.009 -0.693  -1.063 -0.782  -1.095 -0.883  -1.108 -0.942  -1.026 -0.872  -0.942 -0.804  -0.855 -0.739  -0.769 -0.674  -0.682 -0.609  -0.617 -0.522  -0.552 -0.436  -0.487 -0.349  -0.422 -0.262  -0.357 -0.176  -0.283 -0.098  -0.206 -0.021  -0.130 0.056  -0.053 0.132  0.023 0.209  0.102 0.283  0.183 0.355  0.264 0.427  0.344 0.499  0.426 0.570  0.507 0.641  0.589 0.712  0.671 0.783  0.774 0.812  0.879 0.837  0.983 0.826  1.086 0.792  1.173 0.728  1.243 0.654  1.258 0.546  1.274 0.439  1.277 0.331  1.277 0.223  1.253 0.120  1.209 0.021  1.168 -0.079  1.128 -0.180
3#apb#apb31#app3198/F  -0.051 0.726  -0.106 0.539  -0.168 0.354  -0.245 0.175  -0.323 -0.004  -0.380 -0.191  -0.438 -0.377  -0.504 -0.561  -0.575 -0.743  -0.643 -0.926  -0.708 -1.110  -0.760 -1.297  -0.867 -1.450  -0.876 -1.366  -0.819 -1.179  -0.762 -0.992  -0.705 -0.806  -0.647 -0.619  -0.590 -0.433  -0.533 -0.246  -0.476 -0.059  -0.419 0.127  -0.361 0.314  -0.304 0.500  -0.247 0.687  -0.157 0.837  0.035 0.875  0.226 0.915  0.417 0.952  0.611 0.977  0.804 1.002  0.998 1.028  1.192 1.048  1.387 1.048  1.450 0.996  1.307 0.864  1.163 0.732  1.019 0.600  0.876 0.468  0.732 0.335  0.589 0.203  0.445 0.071  0.301 -0.061  0.158 -0.193  0.014 -0.325  -0.129 -0.458  -0.273 -0.590  -0.396 -0.720  -0.227 -0.816  -0.035 -0.849
3#apb#apb31#app3198/u  -0.173 1.155  -0.249 1.022  -0.304 0.880  -0.353 0.734  -0.402 0.588  -0.466 0.449  -0.535 0.312  -0.604 0.175  -0.669 0.036  -0.732 -0.104  -0.796 -0.244  -0.859 -0.384  -0.911 -0.528  -0.961 -0.673  -1.012 -0.818  -1.059 -0.964  -1.093 -1.114  -1.022 -1.234  -0.891 -1.240  -0.746 -1.187  -0.606 -1.125  -0.467 -1.061  -0.348 -0.967  -0.244 -0.855  -0.139 -0.742  -0.027 -0.638  0.089 -0.537  0.205 -0.436  0.311 -0.326  0.410 -0.209  0.509 -0.092  0.608 0.026  0.689 0.155  0.763 0.290  0.837 0.424  0.915 0.556  1.014 0.673  1.114 0.790  1.218 0.903  1.099 0.925  0.945 0.933  0.798 0.951  0.772 0.892  0.690 0.762  0.600 0.638  0.497 0.524  0.418 0.400  0.404 0.247  0.389 0.094  0.375 -0.059
3#apb#apb31#app3198/r  -0.491 -0.121  -0.513 -0.218  -0.535 -0.316  -0.556 -0.413  -0.578 -0.511  -0.581 -0.610  -0.581 -0.710  -0.581 -0.810  -0.588 -0.909  -0.614 -1.005  -0.640 -1.102  -0.649 -1.200  -0.649 -1.300  -0.604 -1.239  -0.565 -1.148  -0.536 -1.053  -0.506 -0.958  -0.469 -0.866  -0.422 -0.777  -0.375 -0.689  -0.328 -0.601  -0.282 -0.512  -0.239 -0.422  -0.196 -0.332  -0.153 -0.242  -0.110 -0.152  -0.067 -0.062  -0.023 0.028  0.022 0.117  0.066 0.207  0.111 0.296  0.156 0.385  0.200 0.475  0.253 0.559  0.308 0.643  0.362 0.727  0.417 0.810  0.471 0.894  0.529 0.975  0.591 1.054  0.652 1.132  0.714 1.211  0.789 1.274  0.878 1.318  0.956 1.274  0.983 1.178  0.994 1.079  0.994 0.980  0.994 0.880  0.994 0.780
3#apb#apb31#app3198/n  -0.583 0.352  -0.583 0.410  -0.567 0.483  -0.583 0.492  -0.568 0.548  -0.530 0.584  -0.521 0.557  -0.482 0.386  -0.504 0.215  -0.540 0.043  -0.551 -0.132  -0.563 -0.307  -0.596 -0.480  -0.628 -0.652  -0.659 -0.825  -0.706 -0.994  -0.789 -1.148  -0.917 -1.267  -1.018 -1.234  -0.946 -1.074  -0.857 -0.923  -0.753 -0.782  -0.649 -0.641  -0.547 -0.498  -0.446 -0.354  -0.346 -0.211  -0.238 -0.072  -0.125 0.062  -0.012 0.196  0.094 0.336  0.193 0.481  0.292 0.626  0.397 0.765  0.530 0.880  0.662 0.995  0.806 1.095  0.958 1.177  1.071 1.111  1.085 0.936  1.088 0.760  1.088 0.585  1.084 0.409  1.068 0.235  1.053 0.060  1.021 -0.112  0.968 -0.279  0.915 -0.446  0.863 -0.614  0.813 -0.782  0.762 -0.950
