1c#app#app11#app1192/f  0.980 0.922  0.980 1.077  0.898 1.198  0.857 1.335  0.747 1.445  0.616 1.502  0.461 1.502  0.306 1.502  0.247 1.405  0.189 1.308  0.056 1.254  0.014 1.117  -0.095 1.007  -0.179 0.887  -0.179 0.732  -0.218 0.593  -0.276 0.462  -0.276 0.307  -0.276 0.152  -0.276 -0.003  -0.276 -0.158  -0.252 -0.309  -0.203 -0.456  -0.179 -0.608  -0.179 -0.763  -0.109 -0.888  -0.067 -1.026  0.014 -1.147  0.016 -1.301  0.111 -1.361  0.193 -1.382  0.089 -1.267  -0.016 -1.152  -0.120 -1.038  -0.224 -0.923  -0.328 -0.808  -0.433 -0.694  -0.537 -0.579  -0.641 -0.464  -0.746 -0.350  -0.664 -0.430  -0.566 -0.375  -0.451 -0.335  -0.296 -0.335  -0.141 -0.335  -0.014 -0.266  0.129 -0.238  0.284 -0.238  0.439 -0.238  0.594 -0.238
1c#app#app11#app1192/y  -0.584 1.296  -0.584 1.168  -0.609 1.065  -0.699 1.027  -0.699 0.899  -0.699 0.771  -0.646 0.665  -0.584 0.563  -0.546 0.450  -0.456 0.360  -0.365 0.269  -0.274 0.179  -0.162 0.142  -0.122 0.231  -0.021 0.257  0.107 0.257  0.120 0.373  0.224 0.397  0.224 0.525  0.259 0.638  0.340 0.733  0.358 0.853  0.449 0.944  0.455 1.061  0.443 0.938  0.353 0.847  0.340 0.725  0.336 0.597  0.279 0.483  0.224 0.368  0.224 0.240  0.224 0.112  0.205 -0.012  0.148 -0.127  0.109 -0.245  0.109 -0.374  0.109 -0.502  0.109 -0.630  0.109 -0.758  0.109 -0.886  0.109 -1.014  0.109 -1.142  0.109 -1.270  0.109 -1.398  0.109 -1.526  0.109 -1.654  0.109 -1.782  0.109 -1.911  0.109 -2.039  0.109 -2.167
1c#app#app11#app1192/a  -1.078 1.241  -0.894 1.241  -0.710 1.241  -0.526 1.241  -0.342 1.241  -0.158 1.241  0.010 1.200  0.140 1.070  0.308 1.031  0.388 0.927  0.388 0.743  0.441 0.612  0.597 0.584  0.599 0.401  0.730 0.270  0.807 0.118  0.856 -0.016  1.016 -0.040  1.016 -0.225  1.016 -0.043  0.859 -0.016  0.807 0.116  0.700 0.193  0.516 0.193  0.332 0.193  0.148 0.193  -0.036 0.193  -0.221 0.193  -0.241 0.029  -0.379 -0.016  -0.530 -0.097  -0.660 -0.227  -0.791 -0.357  -0.869 -0.509  -0.917 -0.645  -1.078 -0.668  -1.078 -0.852  -0.897 -0.854  -0.869 -1.010  -0.738 -1.064  -0.554 -1.064  -0.370 -1.064  -0.186 -1.064  -0.031 -1.034  -0.027 -0.854  0.157 -0.854  0.341 -0.854  0.525 -0.854  0.677 -0.775  0.807 -0.645
1c#app#app11#app1192/m  -1.249 0.711  -1.211 0.537  -1.113 0.388  -1.113 0.198  -1.113 0.009  -1.113 -0.181  -1.113 -0.371  -0.984 -0.507  -0.977 -0.694  -0.977 -0.688  -0.977 -0.498  -0.977 -0.308  -0.890 -0.155  -0.841 0.015  -0.841 0.204  -0.750 0.303  -0.705 0.448  -0.643 0.575  -0.569 0.691  -0.449 0.831  -0.266 0.847  -0.161 0.763  -0.025 0.709  -0.025 0.519  -0.025 0.330  0.111 0.276  0.111 0.086  0.111 -0.103  0.111 -0.293  0.217 -0.377  0.248 -0.536  0.248 -0.726  0.378 -0.786  0.514 -0.656  0.520 -0.469  0.618 -0.377  0.656 -0.225  0.705 -0.056  0.792 0.098  0.792 0.288  0.928 0.341  1.020 0.439  1.167 0.336  1.301 0.202  1.336 0.027  1.336 -0.163  1.336 -0.353  1.472 -0.406  1.472 -0.596  1.608 -0.650
1c#app#app11#app1192/e  -0.495 0.045  -0.336 0.045  -0.328 -0.105  -0.186 -0.122  -0.027 -0.122  0.131 -0.122  0.173 -0.005  0.281 0.045  0.411 0.116  0.523 0.228  0.635 0.340  0.747 0.453  0.840 0.572  0.840 0.731  0.840 0.890  0.840 1.048  0.840 1.207  0.689 1.214  0.530 1.214  0.371 1.214  0.213 1.214  0.173 1.095  0.063 1.047  -0.066 0.975  -0.178 0.863  -0.290 0.750  -0.328 0.607  -0.425 0.546  -0.495 0.457  -0.552 0.322  -0.662 0.209  -0.662 0.050  -0.662 -0.108  -0.764 -0.224  -0.829 -0.356  -0.829 -0.515  -0.829 -0.673  -0.799 -0.819  -0.686 -0.932  -0.574 -1.044  -0.462 -1.156  -0.350 -1.268  -0.201 -1.290  -0.042 -1.290  0.117 -1.290  0.275 -1.290  0.434 -1.290  0.567 -1.229  0.682 -1.123  0.840 -1.123
1c#app#app11#app1192/o  -0.431 0.741  -0.289 0.741  -0.362 0.741  -0.505 0.741  -0.608 0.701  -0.613 0.564  -0.755 0.564  -0.784 0.451  -0.784 0.308  -0.784 0.166  -0.792 0.026  -0.892 -0.074  -0.961 -0.188  -0.961 -0.331  -0.961 -0.473  -0.961 -0.615  -0.961 -0.758  -0.911 -0.850  -0.773 -0.861  -0.672 -0.962  -0.557 -1.027  -0.419 -1.015  -0.318 -0.914  -0.203 -0.850  -0.060 -0.850  0.082 -0.850  0.225 -0.850  0.340 -0.786  0.441 -0.685  0.579 -0.673  0.629 -0.582  0.687 -0.496  0.822 -0.480  0.923 -0.380  0.983 -0.262  0.983 -0.120  0.983 0.023  0.983 0.165  0.983 0.308  0.938 0.432  0.838 0.532  0.806 0.662  0.743 0.741  0.629 0.770  0.629 0.912  0.629 1.055  0.526 1.094  0.384 1.094  0.276 1.128  0.276 1.271
1c#app#app11#app1192/u  -0.834 1.466  -0.834 1.360  -0.834 1.254  -0.834 1.148  -0.834 1.042  -0.834 0.936  -0.834 0.830  -0.834 0.724  -0.834 0.618  -0.834 0.512  -0.834 0.406  -0.834 0.300  -0.752 0.276  -0.646 0.276  -0.596 0.220  -0.596 0.114  -0.596 0.008  -0.596 -0.098  -0.596 -0.204  -0.596 -0.310  -0.596 -0.416  -0.512 -0.437  -0.406 -0.437  -0.359 -0.496  -0.359 -0.601  -0.326 -0.675  -0.220 -0.675  -0.114 -0.675  -0.008 -0.675  0.098 -0.675  0.204 -0.675  0.310 -0.675  0.416 -0.675  0.522 -0.675  0.628 -0.675  0.734 -0.675  0.831 -0.666  0.831 -0.560  0.831 -0.454  0.893 -0.374  0.968 -0.299  1.043 -0.224  1.068 -0.129  1.068 -0.023  1.100 0.070  1.175 0.145  1.250 0.220  1.306 0.302  1.306 0.408  1.306 0.514
1c#app#app11#app1192/r  -0.675 0.422  -0.572 0.318  -0.468 0.215  -0.457 0.072  -0.415 -0.057  -0.311 -0.161  -0.238 -0.278  -0.238 -0.425  -0.238 -0.572  -0.238 -0.718  -0.238 -0.865  -0.152 -0.977  -0.048 -1.080  -0.019 -1.215  -0.019 -1.362  -0.019 -1.509  0.058 -1.469  0.162 -1.365  0.200 -1.234  0.178 -1.109  0.031 -1.109  -0.019 -1.012  -0.019 -0.865  -0.019 -0.718  -0.019 -0.572  -0.039 -0.433  -0.143 -0.329  -0.238 -0.222  -0.238 -0.075  -0.238 0.072  -0.249 0.215  -0.353 0.318  -0.457 0.422  -0.457 0.569  -0.382 0.641  -0.238 0.644  -0.238 0.791  -0.183 0.915  -0.079 1.019  0.043 1.079  0.190 1.079  0.337 1.079  0.484 1.079  0.631 1.079  0.637 1.219  0.706 1.297  0.853 1.297  1.000 1.297  1.147 1.297  1.293 1.297
1c#app#app11#app1192/r  -0.767 0.563  -0.767 0.401  -0.684 0.323  -0.528 0.317  -0.528 0.155  -0.528 -0.007  -0.516 -0.157  -0.354 -0.157  -0.288 -0.252  -0.288 -0.414  -0.288 -0.576  -0.216 -0.708  -0.102 -0.822  -0.048 -0.962  -0.042 -1.122  0.072 -1.236  0.187 -1.350  0.192 -1.510  0.192 -1.518  0.192 -1.357  0.078 -1.242  -0.036 -1.127  -0.048 -0.970  -0.048 -0.809  -0.048 -0.647  -0.048 -0.485  -0.100 -0.345  -0.214 -0.230  -0.329 -0.116  -0.443 -0.001  -0.528 0.126  -0.528 0.287  -0.528 0.449  -0.479 0.563  -0.318 0.563  -0.288 0.695  -0.234 0.803  -0.072 0.803  0.090 0.803  0.192 0.863  0.192 1.025  0.336 1.042  0.498 1.042  0.659 1.042  0.821 1.042  0.983 1.042  1.145 1.042  1.307 1.042  1.469 1.042  1.630 1.042
1c#app#app11#app1192/i  -0.429 1.631  -0.429 1.552  -0.429 1.474  -0.429 1.395  -0.429 1.316  -0.429 1.237  -0.429 1.158  -0.429 1.080  -0.429 1.001  -0.429 0.922  -0.429 0.843  -0.429 0.764  -0.429 0.685  -0.398 0.637  -0.320 0.637  -0.241 0.637  -0.162 0.637  -0.097 0.623  -0.097 0.544  -0.097 0.465  -0.097 0.386  -0.097 0.308  -0.097 0.229  -0.097 0.150  -0.097 0.071  -0.097 -0.008  -0.070 -0.080  -0.035 -0.151  0.000 -0.221  0.036 -0.292  0.071 -0.362  0.106 -0.433  0.141 -0.503  0.177 -0.574  0.212 -0.644  0.234 -0.718  0.234 -0.796  0.234 -0.875  0.234 -0.954  0.243 -1.029  0.299 -1.085  0.354 -1.141  0.410 -1.196  0.466 -1.252  0.522 -1.308  0.582 -1.352  0.661 -1.352  0.740 -1.352  0.819 -1.352  0.897 -1.352
1c#app#app11#app1192/e  -0.656 -0.065  -0.492 -0.065  -0.327 -0.065  -0.163 -0.065  0.002 -0.065  0.062 0.040  0.151 0.115  0.294 0.167  0.411 0.284  0.527 0.400  0.601 0.534  0.646 0.654  0.780 0.684  0.780 0.848  0.780 1.013  0.780 1.177  0.631 1.192  0.466 1.192  0.302 1.192  0.137 1.192  0.062 1.103  -0.012 1.013  -0.160 0.971  -0.276 0.854  -0.392 0.738  -0.477 0.609  -0.507 0.474  -0.656 0.459  -0.656 0.294  -0.773 0.178  -0.836 0.040  -0.836 -0.125  -0.836 -0.289  -0.836 -0.454  -0.836 -0.618  -0.836 -0.783  -0.719 -0.899  -0.581 -0.962  -0.434 -1.005  -0.318 -1.121  -0.162 -1.142  0.003 -1.142  0.167 -1.142  0.332 -1.142  0.496 -1.142  0.661 -1.142  0.780 -1.097  0.810 -0.962  0.975 -0.962  1.139 -0.962
