1d#tos#f3#f3012066/!  0.400 1.570  0.326 1.570  0.316 1.523  0.353 1.486  0.353 1.412  0.353 1.337  0.345 1.264  0.321 1.193  0.307 1.121  0.307 1.047  0.307 0.972  0.273 0.907  0.235 0.843  0.196 0.779  0.157 0.716  0.116 0.654  0.074 0.592  0.059 0.519  0.045 0.446  0.030 0.373  0.001 0.305  -0.033 0.238  -0.066 0.171  -0.099 0.105  -0.113 0.033  -0.113 -0.041  -0.113 -0.116  -0.113 -0.190  -0.126 -0.258  -0.188 -0.299  -0.250 -0.340  -0.253 -0.413  -0.253 -0.488  -0.247 -0.562  -0.233 -0.635  -0.219 -0.708  -0.206 -0.782  -0.192 -0.855  -0.178 -0.928  -0.164 -1.001  -0.151 -1.075  -0.137 -1.148  -0.123 -1.221  -0.132 -1.275  -0.160 -1.322  -0.188 -1.369  -0.206 -1.425  -0.206 -1.499  -0.206 -1.574  -0.206 -1.648
1d#tos#f3#f3012066/\"  -0.331 1.258  -0.469 1.258  -0.606 1.258  -0.683 1.144  -0.759 1.029  -0.835 0.915  -0.882 0.791  -0.882 0.653  -0.882 0.516  -0.882 0.378  -0.882 0.241  -0.882 0.103  -0.882 -0.035  -0.882 -0.172  -0.869 -0.308  -0.836 -0.442  -0.802 -0.575  -0.769 -0.709  -0.744 -0.843  -0.744 -0.981  -0.716 -1.062  -0.606 -0.979  -0.496 -0.897  -0.386 -0.814  -0.275 -0.732  -0.165 -0.649  -0.055 -0.567  0.055 -0.484  0.165 -0.401  0.275 -0.319  0.385 -0.236  0.495 -0.154  0.605 -0.071  0.715 0.011  0.825 0.094  0.874 0.156  0.737 0.156  0.633 0.190  0.633 0.328  0.666 0.432  0.804 0.432  0.908 0.398  0.923 0.264  0.985 0.141  1.047 0.019  1.184 0.019  1.321 0.018  1.321 -0.119  1.321 -0.257  1.321 -0.395
1d#tos#f3#f3012066/#  -1.143 0.542  -1.275 0.232  -1.307 0.188  -0.890 0.188  -0.474 0.208  -0.073 0.318  0.322 0.448  0.737 0.471  1.154 0.471  0.860 0.291  0.493 0.092  0.126 -0.107  -0.241 -0.306  -0.622 -0.449  -1.002 -0.487  -0.972 -0.733  -0.555 -0.733  -0.137 -0.733  0.280 -0.733  0.658 -0.669  0.752 -0.424  0.561 -0.053  0.370 0.318  0.178 0.689  -0.013 1.060  -0.205 1.431  -0.435 1.523  -0.435 1.105  -0.419 0.690  -0.327 0.283  -0.294 -0.131  -0.294 -0.548  -0.223 -0.954  -0.223 -1.368  -0.172 -0.954  -0.122 -0.539  -0.071 -0.125  -0.021 0.289  0.030 0.703  0.080 1.118  0.131 1.532  0.283 1.147  0.470 0.777  0.485 0.364  0.524 -0.050  0.593 -0.461  0.626 -0.876  0.626 -1.293  0.768 -1.677  0.839 -2.078
1d#tos#f3#f3012066/$  0.806 0.840  0.707 0.903  0.507 0.976  0.262 0.976  0.017 0.976  -0.191 0.885  -0.419 0.827  -0.460 0.588  -0.460 0.343  -0.440 0.117  -0.332 -0.086  -0.140 -0.199  0.084 -0.247  0.230 -0.380  0.468 -0.426  0.648 -0.539  0.806 -0.692  0.761 -0.926  0.587 -1.059  0.432 -1.149  0.187 -1.149  -0.058 -1.146  -0.233 -1.010  -0.232 -0.764  -0.219 -0.520  -0.205 -0.275  -0.192 -0.030  -0.179 0.215  -0.165 0.460  -0.152 0.705  -0.139 0.950  -0.125 1.195  -0.112 1.440  -0.099 1.685  -0.233 1.605  -0.233 1.359  -0.197 1.117  -0.116 0.886  -0.098 0.645  -0.098 0.399  -0.098 0.154  -0.098 -0.091  -0.098 -0.336  -0.098 -0.582  -0.098 -0.827  -0.098 -1.072  -0.098 -1.317  -0.098 -1.563  -0.098 -1.808  -0.098 -2.053
1d#tos#f3#f3012066/'  0.126 -2.018  0.113 -1.887  0.100 -1.755  0.087 -1.624  0.074 -1.493  0.061 -1.362  0.048 -1.231  0.035 -1.100  0.021 -0.969  0.008 -0.837  -0.005 -0.706  -0.018 -0.575  -0.031 -0.444  -0.044 -0.313  -0.057 -0.182  -0.070 -0.050  -0.084 0.081  -0.097 0.212  -0.110 0.343  -0.123 0.474  -0.136 0.605  -0.149 0.736  -0.162 0.868  -0.175 0.999  -0.188 1.130  -0.202 1.261  -0.215 1.392  -0.228 1.523  -0.239 1.608  -0.239 1.476  -0.239 1.344  -0.239 1.212  -0.239 1.080  -0.239 0.949  -0.239 0.817  -0.223 0.688  -0.164 0.571  -0.105 0.453  -0.047 0.335  0.012 0.217  0.071 0.099  0.133 -0.017  0.226 -0.110  0.319 -0.204  0.412 -0.297  0.491 -0.396  0.491 -0.528  0.491 -0.660  0.491 -0.791  0.491 -0.923
1d#tos#f3#f3012066/)  -0.601 1.467  -0.601 1.389  -0.601 1.310  -0.553 1.261  -0.482 1.226  -0.412 1.191  -0.342 1.153  -0.277 1.110  -0.211 1.066  -0.139 1.043  -0.085 0.996  -0.042 0.931  0.002 0.865  0.079 0.861  0.148 0.839  0.204 0.783  0.247 0.722  0.247 0.643  0.247 0.565  0.251 0.486  0.276 0.412  0.301 0.337  0.308 0.259  0.308 0.180  0.308 0.102  0.308 0.023  0.308 -0.056  0.308 -0.135  0.308 -0.214  0.308 -0.292  0.308 -0.371  0.286 -0.444  0.243 -0.509  0.199 -0.575  0.157 -0.642  0.117 -0.709  0.076 -0.777  0.036 -0.844  0.005 -0.915  0.005 -0.993  0.005 -1.072  -0.039 -1.137  -0.086 -1.200  -0.134 -1.263  -0.177 -1.327  -0.177 -1.406  -0.177 -1.485  -0.211 -1.553  -0.255 -1.619  -0.298 -1.684
1d#tos#f3#f3012066/  0.780 1.258  0.780 1.330  0.749 1.371  0.742 1.307  0.742 1.235  0.736 1.164  0.713 1.096  0.680 1.033  0.640 0.973  0.592 0.920  0.542 0.869  0.491 0.819  0.441 0.767  0.441 0.696  0.398 0.639  0.353 0.583  0.308 0.527  0.277 0.464  0.254 0.395  0.215 0.335  0.175 0.276  0.132 0.218  0.089 0.161  0.042 0.106  -0.008 0.056  -0.055 0.002  -0.087 -0.062  -0.119 -0.126  -0.152 -0.191  -0.184 -0.255  -0.216 -0.319  -0.248 -0.383  -0.283 -0.445  -0.334 -0.496  -0.362 -0.560  -0.379 -0.629  -0.414 -0.689  -0.464 -0.741  -0.487 -0.809  -0.520 -0.870  -0.570 -0.921  -0.596 -0.987  -0.625 -1.051  -0.660 -1.111  -0.677 -1.181  -0.706 -1.244  -0.756 -1.295  -0.764 -1.364  -0.806 -1.416  -0.840 -1.454
1d#tos#f3#f3012066/:  -0.009 1.652  -0.080 1.652  -0.081 1.581  -0.081 1.510  -0.081 1.439  -0.081 1.367  -0.075 1.296  -0.067 1.225  -0.060 1.154  -0.053 1.083  -0.046 1.012  -0.039 0.941  -0.032 0.870  -0.025 0.799  -0.018 0.728  -0.011 0.657  -0.004 0.586  0.004 0.515  0.011 0.444  0.018 0.373  0.025 0.302  0.032 0.231  0.039 0.160  0.046 0.089  0.053 0.018  0.060 -0.053  0.067 -0.124  0.075 -0.195  0.082 -0.266  0.089 -0.337  0.096 -0.408  0.103 -0.479  0.110 -0.550  0.117 -0.621  0.124 -0.692  0.131 -0.763  0.136 -0.834  0.116 -0.897  0.065 -0.947  0.015 -0.998  -0.036 -1.048  -0.081 -1.101  -0.081 -1.172  -0.081 -1.244  -0.081 -1.315  -0.081 -1.386  -0.081 -1.458  -0.081 -1.529  -0.081 -1.600  -0.081 -1.672
1d#tos#f3#f3012066/;  -0.188 1.684  -0.245 1.627  -0.301 1.571  -0.308 1.494  -0.308 1.414  -0.308 1.334  -0.308 1.254  -0.308 1.174  -0.308 1.094  -0.308 1.014  -0.274 0.968  -0.238 0.915  -0.223 0.836  -0.209 0.758  -0.194 0.679  -0.179 0.601  -0.164 0.522  -0.150 0.443  -0.135 0.365  -0.120 0.286  -0.106 0.208  -0.091 0.129  -0.076 0.051  -0.028 0.012  0.052 0.012  0.132 0.012  0.189 -0.025  0.224 -0.097  0.289 -0.116  0.289 -0.196  0.289 -0.275  0.289 -0.355  0.289 -0.435  0.289 -0.515  0.289 -0.595  0.289 -0.675  0.289 -0.755  0.289 -0.835  0.289 -0.915  0.289 -0.995  0.282 -1.073  0.238 -1.139  0.194 -1.206  0.144 -1.267  0.087 -1.324  0.050 -1.389  0.050 -1.469  0.044 -1.546  -0.012 -1.602  -0.069 -1.659
1d#tos#f3#f3012066/=  -1.255 0.801  -1.125 0.866  -0.985 0.884  -0.840 0.884  -0.695 0.884  -0.550 0.884  -0.406 0.888  -0.265 0.923  -0.124 0.959  0.019 0.967  0.164 0.967  0.309 0.967  0.454 0.967  0.599 0.967  0.744 0.966  0.881 0.921  1.012 0.863  1.037 0.759  0.940 0.651  0.843 0.543  0.746 0.436  0.649 0.328  0.552 0.220  0.455 0.113  0.358 0.005  0.261 -0.103  0.164 -0.211  0.067 -0.318  -0.030 -0.426  -0.127 -0.534  -0.224 -0.642  -0.320 -0.749  -0.417 -0.857  -0.423 -1.000  -0.526 -1.081  -0.656 -1.146  -0.789 -1.196  -0.828 -1.113  -0.683 -1.113  -0.561 -1.038  -0.440 -0.958  -0.312 -0.891  -0.182 -0.826  -0.050 -0.767  0.088 -0.721  0.229 -0.697  0.364 -0.648  0.499 -0.594  0.633 -0.541  0.742 -0.447
1d#tos#f3#f3012066/?  -0.332 -0.009  -0.373 -0.134  -0.460 -0.220  -0.589 -0.242  -0.718 -0.263  -0.848 -0.267  -0.848 -0.136  -0.848 -0.005  -0.848 0.126  -0.848 0.256  -0.848 0.387  -0.784 0.499  -0.685 0.558  -0.589 0.628  -0.511 0.732  -0.411 0.815  -0.302 0.887  -0.193 0.960  -0.098 1.049  0.001 1.126  0.132 1.126  0.262 1.126  0.393 1.126  0.507 1.099  0.591 1.022  0.649 0.949  0.649 0.818  0.649 0.688  0.649 0.557  0.639 0.428  0.598 0.303  0.488 0.238  0.423 0.126  0.332 0.032  0.260 -0.077  0.236 -0.200  0.236 -0.331  0.236 -0.462  0.236 -0.593  0.236 -0.723  0.236 -0.854  0.236 -0.985  0.236 -1.116  0.236 -1.247  0.236 -1.377  0.223 -1.506  0.191 -1.633  0.266 -1.712  0.380 -1.753  0.494 -1.815
