1c#app#app14#app1436/r  -0.619 0.081  -0.619 -0.032  -0.619 -0.145  -0.619 -0.257  -0.619 -0.370  -0.619 -0.483  -0.619 -0.596  -0.619 -0.708  -0.619 -0.821  -0.619 -0.934  -0.619 -1.047  -0.619 -1.159  -0.592 -1.245  -0.480 -1.245  -0.367 -1.245  -0.354 -1.145  -0.354 -1.033  -0.354 -0.920  -0.354 -0.807  -0.354 -0.695  -0.354 -0.582  -0.354 -0.469  -0.354 -0.356  -0.354 -0.244  -0.301 -0.184  -0.188 -0.184  -0.089 -0.171  -0.089 -0.058  -0.089 0.055  -0.027 0.142  0.052 0.222  0.132 0.302  0.176 0.396  0.176 0.509  0.187 0.611  0.299 0.611  0.412 0.611  0.442 0.694  0.442 0.807  0.472 0.907  0.552 0.987  0.632 1.067  0.713 1.142  0.826 1.142  0.939 1.142  1.052 1.142  1.164 1.142  1.277 1.142  1.390 1.142  1.502 1.142
1c#app#app14#app1436/e  -0.777 -0.377  -0.602 -0.377  -0.426 -0.377  -0.251 -0.377  -0.075 -0.377  0.073 -0.349  0.073 -0.174  0.073 0.002  0.202 0.048  0.378 0.048  0.498 0.104  0.498 0.279  0.498 0.455  0.655 0.473  0.831 0.473  0.923 0.556  0.923 0.732  0.923 0.908  0.923 1.083  0.923 1.259  0.811 1.323  0.636 1.323  0.471 1.296  0.347 1.172  0.223 1.048  0.099 0.924  -0.025 0.800  -0.150 0.676  -0.274 0.551  -0.417 0.473  -0.592 0.473  -0.768 0.473  -0.777 0.307  -0.777 0.131  -0.777 -0.045  -0.777 -0.220  -0.777 -0.396  -0.777 -0.572  -0.777 -0.747  -0.657 -0.802  -0.481 -0.802  -0.352 -0.849  -0.352 -1.024  -0.352 -1.200  -0.204 -1.227  -0.028 -1.227  0.125 -1.280  0.250 -1.404  0.374 -1.528  0.498 -1.653
1c#app#app14#app1436/p  -0.299 0.853  -0.299 0.681  -0.299 0.508  -0.299 0.335  -0.299 0.162  -0.327 0.001  -0.449 -0.122  -0.571 -0.244  -0.573 -0.416  -0.573 -0.589  -0.573 -0.762  -0.573 -0.935  -0.573 -1.108  -0.573 -1.281  -0.573 -1.454  -0.567 -1.620  -0.394 -1.620  -0.299 -1.543  -0.299 -1.370  -0.299 -1.197  -0.299 -1.024  -0.299 -0.851  -0.299 -0.678  -0.299 -0.505  -0.299 -0.332  -0.212 -0.246  -0.039 -0.246  -0.024 -0.088  -0.024 0.084  -0.024 0.257  -0.024 0.430  -0.024 0.603  -0.024 0.776  -0.024 0.949  -0.024 1.122  0.143 1.128  0.316 1.128  0.489 1.128  0.662 1.128  0.835 1.128  1.007 1.128  1.076 1.024  1.076 0.851  1.076 0.678  1.023 0.526  0.901 0.404  0.770 0.304  0.597 0.304  0.424 0.304  0.251 0.304
1c#app#app14#app1436/l  0.188 1.673  0.188 1.601  0.188 1.530  0.188 1.458  0.188 1.387  0.188 1.315  0.188 1.244  0.188 1.173  0.188 1.101  0.188 1.030  0.188 0.958  0.186 0.888  0.135 0.837  0.085 0.787  0.034 0.736  -0.017 0.686  -0.067 0.635  -0.073 0.566  -0.073 0.495  -0.073 0.423  -0.073 0.352  -0.073 0.280  -0.073 0.209  -0.073 0.138  -0.073 0.066  -0.073 -0.005  -0.073 -0.077  -0.073 -0.148  -0.073 -0.220  -0.073 -0.291  -0.073 -0.363  -0.073 -0.434  -0.073 -0.505  -0.073 -0.577  -0.073 -0.648  -0.073 -0.720  -0.073 -0.791  -0.073 -0.863  -0.073 -0.934  -0.073 -1.006  -0.073 -1.077  -0.073 -1.148  -0.073 -1.220  -0.073 -1.291  -0.073 -1.363  -0.073 -1.434  -0.073 -1.506  -0.073 -1.577  -0.073 -1.649  -0.073 -1.720
1c#app#app14#app1436/i  -0.106 -0.298  -0.106 -0.390  -0.106 -0.482  -0.106 -0.574  -0.106 -0.666  -0.106 -0.758  -0.106 -0.850  -0.106 -0.941  -0.106 -1.033  -0.106 -1.125  -0.106 -1.217  -0.106 -1.309  -0.106 -1.401  -0.100 -1.349  -0.092 -1.258  -0.085 -1.166  -0.077 -1.075  -0.070 -0.983  -0.062 -0.891  -0.054 -0.800  -0.047 -0.708  -0.039 -0.617  -0.031 -0.525  -0.024 -0.434  -0.016 -0.342  -0.009 -0.251  -0.001 -0.159  0.007 -0.068  0.014 0.024  0.022 0.115  0.030 0.207  0.037 0.298  0.045 0.390  0.053 0.482  0.060 0.573  0.068 0.665  0.075 0.756  0.083 0.848  0.091 0.939  0.098 1.031  0.106 1.122  0.114 1.214  0.121 1.305  0.129 1.397  0.136 1.488  0.144 1.580  0.152 1.672  0.159 1.763  0.167 1.855  0.175 1.946
1c#app#app14#app1436/e  -0.197 0.049  -0.063 0.049  0.071 0.049  0.205 0.049  0.338 0.049  0.472 0.049  0.479 0.176  0.479 0.310  0.536 0.387  0.670 0.387  0.804 0.387  0.816 0.508  0.816 0.641  0.816 0.775  0.816 0.909  0.816 1.043  0.702 1.062  0.568 1.062  0.434 1.062  0.300 1.062  0.167 1.062  0.033 1.062  -0.101 1.062  -0.197 1.024  -0.197 0.890  -0.197 0.756  -0.269 0.652  -0.363 0.558  -0.458 0.463  -0.534 0.361  -0.534 0.227  -0.534 0.093  -0.534 -0.040  -0.534 -0.174  -0.534 -0.308  -0.534 -0.442  -0.534 -0.576  -0.534 -0.709  -0.534 -0.843  -0.534 -0.977  -0.534 -1.111  -0.534 -1.245  -0.458 -1.302  -0.324 -1.302  -0.197 -1.308  -0.197 -1.442  -0.197 -1.576  -0.127 -1.640  0.007 -1.640  0.141 -1.640
1c#app#app14#app1436/d  -0.311 -0.633  -0.313 -0.787  -0.468 -0.789  -0.578 -0.899  -0.620 -1.037  -0.620 -1.193  -0.620 -1.348  -0.522 -1.405  -0.366 -1.405  -0.210 -1.405  -0.084 -1.333  0.026 -1.223  0.136 -1.113  0.152 -0.964  0.247 -0.847  0.307 -0.717  0.307 -0.561  0.307 -0.405  0.307 -0.250  0.307 -0.094  0.307 0.062  0.307 0.218  0.307 0.373  0.307 0.529  0.307 0.685  0.249 0.816  0.152 0.932  0.152 1.088  0.152 1.244  0.136 1.393  0.026 1.503  -0.002 1.647  -0.119 1.685  -0.157 1.567  -0.157 1.411  -0.157 1.256  -0.157 1.100  -0.157 0.944  -0.101 0.802  -0.032 0.662  -0.002 0.514  -0.002 0.358  -0.002 0.202  0.040 0.056  0.109 -0.083  0.152 -0.228  0.152 -0.384  0.196 -0.522  0.306 -0.632  0.307 -0.787
1c#app#app14#app1436/o  -0.639 0.343  -0.464 0.343  -0.393 0.448  -0.369 0.613  -0.246 0.737  -0.111 0.835  0.064 0.835  0.099 0.976  0.169 1.081  0.344 1.081  0.519 1.081  0.591 0.978  0.624 0.835  0.799 0.835  0.837 0.698  0.837 0.523  0.837 0.348  0.837 0.172  0.837 -0.003  0.837 -0.178  0.837 -0.354  0.837 -0.529  0.793 -0.686  0.669 -0.810  0.591 -0.953  0.591 -1.128  0.422 -1.134  0.275 -1.204  0.151 -1.328  -0.002 -1.380  -0.147 -1.349  -0.147 -1.174  -0.282 -1.134  -0.439 -1.088  -0.563 -0.964  -0.639 -0.821  -0.639 -0.646  -0.639 -0.470  -0.710 -0.324  -0.834 -0.200  -0.886 -0.046  -0.886 0.129  -0.886 0.304  -0.789 0.440  -0.665 0.564  -0.639 0.728  -0.571 0.835  -0.396 0.835  -0.271 0.713  -0.147 0.589
1c#app#app14#app1436/b  -0.694 -1.096  -0.683 -1.256  -0.551 -1.124  -0.419 -0.992  -0.352 -0.832  -0.275 -0.677  -0.181 -0.529  -0.181 -0.343  -0.121 -0.181  -0.010 -0.040  -0.010 0.147  0.034 0.316  0.161 0.450  0.161 0.637  0.161 0.824  0.200 0.994  0.331 1.127  0.331 1.313  0.331 1.500  0.331 1.687  0.267 1.810  0.161 1.730  0.161 1.543  0.082 1.389  -0.010 1.240  -0.010 1.053  -0.073 0.893  -0.181 0.751  -0.181 0.564  -0.181 0.377  -0.181 0.190  -0.250 0.032  -0.352 -0.113  -0.352 -0.300  -0.352 -0.486  -0.352 -0.673  -0.352 -0.860  -0.266 -1.011  -0.114 -1.096  0.072 -1.096  0.161 -1.195  0.275 -1.267  0.462 -1.267  0.502 -1.121  0.502 -0.934  0.502 -0.747  0.486 -0.567  0.354 -0.435  0.331 -0.257  0.331 -0.070
1c#app#app14#app1436/b  -0.943 -1.178  -0.915 -1.334  -0.787 -1.278  -0.728 -1.119  -0.631 -0.975  -0.578 -0.813  -0.448 -0.683  -0.319 -0.552  -0.298 -0.377  -0.168 -0.247  -0.148 -0.071  -0.018 0.059  -0.002 0.237  0.080 0.401  0.148 0.569  0.148 0.753  0.148 0.937  0.148 1.121  0.250 1.263  0.304 1.424  0.304 1.608  0.297 1.785  0.148 1.750  0.148 1.566  0.084 1.409  -0.008 1.263  -0.008 1.079  -0.057 0.907  -0.139 0.742  -0.163 0.564  -0.163 0.380  -0.163 0.196  -0.163 0.013  -0.163 -0.171  -0.163 -0.355  -0.163 -0.539  -0.154 -0.719  -0.024 -0.849  -0.003 -1.022  0.181 -1.022  0.365 -1.022  0.548 -1.022  0.616 -0.906  0.616 -0.722  0.772 -0.694  0.728 -0.554  0.544 -0.554  0.460 -0.454  0.332 -0.398  0.148 -0.398
1c#app#app14#app1436/e  -0.142 -0.084  -0.050 0.008  0.041 0.099  0.160 0.125  0.276 0.138  0.276 0.267  0.339 0.334  0.468 0.334  0.485 0.446  0.508 0.566  0.599 0.657  0.691 0.749  0.694 0.877  0.663 0.993  0.571 1.084  0.478 1.170  0.348 1.170  0.219 1.170  0.090 1.170  -0.039 1.170  -0.161 1.151  -0.252 1.059  -0.344 0.968  -0.350 0.842  -0.379 0.724  -0.470 0.633  -0.559 0.540  -0.559 0.411  -0.559 0.282  -0.559 0.153  -0.559 0.023  -0.559 -0.106  -0.559 -0.235  -0.559 -0.365  -0.559 -0.494  -0.559 -0.623  -0.530 -0.740  -0.438 -0.832  -0.347 -0.923  -0.256 -1.014  -0.164 -1.106  -0.073 -1.197  0.019 -1.289  0.128 -1.337  0.257 -1.337  0.276 -1.447  0.307 -1.546  0.436 -1.546  0.565 -1.546  0.694 -1.546
