1d#ced#cypl9614_s_jd/@  0.284 0.416  0.142 0.618  -0.104 0.577  -0.311 0.407  -0.445 0.179  -0.565 -0.060  -0.520 -0.319  -0.307 -0.450  -0.064 -0.359  0.144 -0.192  0.294 0.029  0.362 0.280  0.259 0.426  0.247 0.161  0.281 -0.104  0.322 -0.367  0.524 -0.518  0.747 -0.392  0.913 -0.184  1.021 0.061  1.076 0.325  1.056 0.592  0.972 0.846  0.816 1.062  0.595 1.215  0.334 1.256  0.074 1.267  -0.191 1.222  -0.437 1.119  -0.653 0.961  -0.830 0.758  -0.974 0.531  -1.074 0.281  -1.144 0.023  -1.178 -0.244  -1.157 -0.512  -1.150 -0.781  -1.061 -1.034  -0.909 -1.254  -0.682 -1.393  -0.417 -1.432  -0.152 -1.387  0.088 -1.266  0.273 -1.075  0.422 -0.851  0.544 -0.612  0.622 -0.354  0.667 -0.088  0.656 0.180  0.589 0.436
1d#ced#cypl9614_s_jd/$  0.759 0.446  0.840 0.600  0.719 0.856  0.470 1.007  0.193 1.090  -0.091 1.031  -0.343 0.893  -0.572 0.717  -0.764 0.496  -0.948 0.269  -1.102 0.025  -1.037 -0.198  -0.754 -0.139  -0.477 -0.051  -0.197 0.039  0.085 0.123  0.366 0.205  0.655 0.228  0.902 0.089  1.104 -0.108  1.189 -0.373  1.108 -0.650  0.938 -0.879  0.714 -1.054  0.446 -1.169  0.158 -1.218  -0.132 -1.244  -0.418 -1.192  -0.690 -1.083  -0.612 -0.799  -0.534 -0.515  -0.456 -0.231  -0.378 0.052  -0.300 0.336  -0.222 0.620  -0.144 0.904  -0.126 1.186  -0.193 1.452  -0.122 1.456  -0.073 1.171  -0.042 0.879  -0.016 0.587  0.008 0.295  0.035 0.002  0.035 -0.292  0.035 -0.586  0.024 -0.880  0.008 -1.173  -0.005 -1.466  -0.046 -1.755
1d#ced#cypl9614_s_jd/.  0.053 -0.826  0.053 -0.750  0.053 -0.662  0.053 -0.424  0.053 -0.185  0.053 0.054  0.228 0.118  0.367 0.018  0.343 -0.197  0.105 -0.197  0.023 -0.354  -0.216 -0.354  -0.455 -0.354  -0.576 -0.237  -0.733 -0.155  -0.856 -0.040  -0.890 0.165  -0.890 0.404  -0.837 0.589  -0.733 0.724  -0.534 0.788  -0.343 0.903  -0.104 0.904  0.070 1.061  0.309 1.061  0.547 1.061  0.786 1.061  0.970 0.929  1.198 0.903  1.310 0.777  1.467 0.695  1.467 0.456  1.442 0.223  1.335 0.010  1.130 -0.051  0.916 -0.158  0.731 -0.304  0.562 -0.473  0.342 -0.524  0.129 -0.630  -0.101 -0.668  -0.315 -0.774  -0.542 -0.826  -0.780 -0.826  -1.019 -0.826  -1.196 -0.677  -1.362 -0.599  -1.362 -0.360  -1.205 -0.278  -1.047 -0.197
1d#ced#cypl9614_s_jd/=  -0.986 0.417  -1.152 0.440  -1.260 0.495  -1.096 0.541  -0.925 0.560  -0.753 0.578  -0.581 0.599  -0.410 0.632  -0.235 0.632  -0.059 0.632  0.111 0.668  0.285 0.681  0.457 0.703  0.632 0.703  0.808 0.703  0.980 0.721  1.152 0.739  1.319 0.704  1.198 0.679  1.040 0.603  0.882 0.526  0.725 0.449  0.567 0.373  0.410 0.296  0.252 0.220  0.095 0.143  -0.063 0.067  -0.220 -0.010  -0.378 -0.086  -0.535 -0.163  -0.698 -0.226  -0.836 -0.331  -0.961 -0.452  -1.057 -0.573  -1.129 -0.677  -1.040 -0.763  -0.873 -0.799  -0.704 -0.835  -0.529 -0.835  -0.359 -0.865  -0.184 -0.870  -0.009 -0.870  0.163 -0.842  0.337 -0.835  0.511 -0.828  0.683 -0.799  0.855 -0.772  1.023 -0.727  1.190 -0.691  1.357 -0.656
1d#ced#cypl9614_s_jd/$  0.609 0.367  0.667 0.646  0.569 0.913  0.341 1.065  0.061 1.057  -0.211 0.947  -0.461 0.810  -0.668 0.602  -0.850 0.374  -1.011 0.134  -1.033 -0.099  -0.756 -0.030  -0.472 0.036  -0.206 0.153  0.074 0.237  0.360 0.284  0.642 0.279  0.914 0.178  1.156 0.021  1.339 -0.195  1.423 -0.470  1.302 -0.726  1.132 -0.953  0.878 -1.099  0.593 -1.150  0.305 -1.186  0.015 -1.190  -0.273 -1.146  -0.552 -1.067  -0.817 -0.942  -1.072 -0.800  -0.910 -0.565  -0.738 -0.328  -0.566 -0.091  -0.394 0.147  -0.222 0.384  -0.050 0.621  0.027 0.892  0.027 1.173  0.056 1.459  0.056 1.228  0.008 0.941  -0.018 0.650  -0.066 0.361  -0.111 0.071  -0.148 -0.218  -0.173 -0.510  -0.218 -0.799  -0.264 -1.089  -0.293 -1.379
1d#ced#cypl9614_s_jd/.  -1.148 -1.389  -1.327 -1.332  -1.327 -1.096  -1.327 -0.860  -1.327 -0.624  -1.327 -0.389  -1.327 -0.153  -1.168 0.017  -1.119 0.215  -0.970 0.302  -0.825 0.394  -0.649 0.537  -0.428 0.572  -0.211 0.526  -0.030 0.394  0.100 0.288  0.263 0.215  0.434 0.059  0.483 -0.141  0.635 -0.225  0.635 -0.461  0.620 -0.690  0.454 -0.857  0.287 -1.024  0.233 -0.854  0.027 -0.782  -0.078 -0.590  -0.222 -0.498  -0.273 -0.303  -0.430 -0.136  -0.264 0.030  -0.223 0.249  -0.078 0.425  -0.016 0.635  0.172 0.750  0.370 0.842  0.570 0.929  0.806 0.929  1.042 0.929  1.170 0.821  1.335 0.750  1.348 0.528  1.246 0.394  1.170 0.234  1.016 0.062  0.791 0.037  0.555 0.037  0.319 0.037  0.088 0.049  -0.078 0.215
1d#ced#cypl9614_s_jd/(  0.815 0.467  0.880 0.505  0.907 0.577  0.907 0.660  0.900 0.742  0.849 0.803  0.804 0.872  0.762 0.942  0.717 1.002  0.642 1.039  0.567 1.072  0.484 1.072  0.408 1.039  0.332 1.007  0.262 0.966  0.211 0.902  0.159 0.837  0.102 0.777  0.065 0.703  0.022 0.632  -0.026 0.564  -0.076 0.498  -0.119 0.427  -0.161 0.355  -0.187 0.276  -0.213 0.198  -0.239 0.119  -0.266 0.040  -0.304 -0.034  -0.341 -0.108  -0.355 -0.190  -0.370 -0.271  -0.407 -0.346  -0.444 -0.420  -0.468 -0.499  -0.491 -0.579  -0.500 -0.661  -0.500 -0.744  -0.510 -0.826  -0.523 -0.908  -0.514 -0.990  -0.498 -1.071  -0.484 -1.153  -0.470 -1.235  -0.454 -1.316  -0.438 -1.398  -0.421 -1.479  -0.384 -1.553  -0.340 -1.623  -0.290 -1.690
1d#ced#cypl9614_s_jd/)  -0.949 0.742  -0.974 0.798  -1.000 0.870  -1.000 0.952  -0.954 1.015  -0.879 1.043  -0.797 1.046  -0.719 1.020  -0.639 1.010  -0.561 0.984  -0.482 0.961  -0.404 0.938  -0.330 0.901  -0.263 0.854  -0.197 0.806  -0.129 0.760  -0.063 0.710  0.003 0.661  0.068 0.611  0.126 0.553  0.177 0.489  0.229 0.425  0.287 0.367  0.330 0.298  0.372 0.227  0.409 0.154  0.441 0.078  0.471 0.001  0.491 -0.078  0.511 -0.158  0.528 -0.238  0.545 -0.319  0.545 -0.401  0.545 -0.483  0.535 -0.564  0.515 -0.643  0.496 -0.723  0.460 -0.797  0.435 -0.874  0.419 -0.955  0.369 -1.021  0.326 -1.090  0.288 -1.163  0.239 -1.228  0.185 -1.290  0.127 -1.348  0.069 -1.406  0.004 -1.456  -0.065 -1.501  -0.139 -1.537
1d#ced#cypl9614_s_jd/  -0.782 0.025  -0.857 0.008  -0.914 -0.050  -0.980 -0.089  -1.061 -0.089  -1.121 -0.142  -1.195 -0.159  -1.259 -0.202  -1.340 -0.202  -1.339 -0.259  -1.257 -0.259  -1.194 -0.216  -1.118 -0.202  -1.040 -0.189  -0.967 -0.152  -0.887 -0.146  -0.807 -0.135  -0.730 -0.109  -0.652 -0.089  -0.570 -0.089  -0.489 -0.086  -0.412 -0.060  -0.335 -0.034  -0.256 -0.014  -0.177 0.006  -0.097 0.025  -0.016 0.025  0.066 0.025  0.147 0.030  0.226 0.050  0.305 0.069  0.385 0.082  0.466 0.082  0.548 0.082  0.628 0.091  0.708 0.107  0.788 0.123  0.868 0.139  0.949 0.139  1.031 0.139  1.112 0.139  1.194 0.139  1.275 0.139  1.355 0.149  1.433 0.175  1.511 0.196  1.592 0.196  1.674 0.196  1.755 0.196  1.837 0.196
1d#ced#cypl9614_s_jd/,  0.491 0.860  0.491 0.942  0.491 1.024  0.491 1.107  0.491 1.189  0.491 1.272  0.430 1.293  0.348 1.293  0.274 1.284  0.274 1.202  0.274 1.119  0.274 1.037  0.274 0.954  0.274 0.872  0.274 0.789  0.274 0.707  0.274 0.624  0.274 0.542  0.274 0.459  0.231 0.404  0.157 0.367  0.083 0.330  0.009 0.293  -0.064 0.256  -0.138 0.220  -0.159 0.150  -0.159 0.068  -0.159 -0.015  -0.159 -0.097  -0.159 -0.180  -0.159 -0.262  -0.159 -0.345  -0.159 -0.427  -0.159 -0.510  -0.159 -0.592  -0.164 -0.674  -0.191 -0.752  -0.217 -0.830  -0.243 -0.908  -0.269 -0.987  -0.295 -1.065  -0.321 -1.143  -0.347 -1.221  -0.373 -1.300  -0.409 -1.374  -0.446 -1.448  -0.482 -1.521  -0.519 -1.595  -0.556 -1.669  -0.593 -1.743
1d#ced#cypl9614_s_jd/:  0.094 1.028  0.094 1.134  0.098 1.237  0.135 1.306  0.183 1.357  0.209 1.269  0.134 1.195  0.027 1.195  -0.079 1.195  -0.087 1.237  0.005 1.273  0.092 1.319  0.133 1.258  0.130 1.151  0.126 1.045  0.122 0.939  0.119 0.832  0.115 0.726  0.112 0.619  0.108 0.513  0.104 0.406  0.101 0.300  0.097 0.193  0.094 0.087  0.090 -0.020  0.086 -0.126  0.083 -0.232  0.079 -0.339  0.075 -0.445  0.072 -0.552  0.068 -0.658  0.065 -0.765  0.061 -0.871  0.057 -0.978  0.054 -1.084  0.008 -1.146  -0.092 -1.129  -0.157 -1.074  -0.157 -1.051  -0.116 -1.056  -0.033 -1.105  0.006 -1.188  -0.059 -1.230  -0.148 -1.188  -0.237 -1.146  -0.342 -1.138  -0.441 -1.105  -0.530 -1.063  -0.431 -1.063  -0.325 -1.063
