2#apa#apa13#app1362/8  0.286 -0.180  0.184 -0.086  0.003 -0.101  -0.107 -0.196  -0.245 -0.335  -0.279 -0.517  -0.373 -0.673  -0.373 -0.869  -0.279 -0.971  -0.247 -1.154  -0.081 -1.226  0.080 -1.310  0.276 -1.310  0.472 -1.310  0.668 -1.310  0.770 -1.216  0.932 -1.135  0.945 -0.944  0.881 -0.775  0.714 -0.676  0.618 -0.557  0.461 -0.462  0.277 -0.411  0.121 -0.297  0.025 -0.128  -0.104 0.015  -0.280 0.103  -0.418 0.242  -0.524 0.404  -0.656 0.496  -0.775 0.573  -0.877 0.668  -0.967 0.790  -1.033 0.959  -0.955 1.122  -0.809 1.250  -0.631 1.327  -0.435 1.327  -0.239 1.327  -0.043 1.327  0.137 1.288  0.303 1.216  0.441 1.077  0.474 0.895  0.474 0.699  0.474 0.503  0.352 0.357  0.214 0.219  0.142 0.053  0.003 -0.086
2#apa#apa13#app1362/:  -0.221 1.492  -0.168 1.438  -0.114 1.384  -0.054 1.343  0.022 1.343  0.098 1.343  0.174 1.343  0.221 1.318  0.208 1.243  0.194 1.168  0.181 1.093  0.168 1.017  0.155 0.942  0.141 0.867  0.128 0.792  0.115 0.717  0.102 0.642  0.088 0.567  0.075 0.492  0.062 0.417  0.049 0.342  0.035 0.267  0.022 0.191  0.009 0.116  -0.004 0.041  -0.018 -0.034  -0.031 -0.109  -0.044 -0.184  -0.057 -0.259  -0.071 -0.334  -0.084 -0.409  -0.097 -0.484  -0.110 -0.559  -0.124 -0.634  -0.137 -0.710  -0.150 -0.785  -0.163 -0.860  -0.177 -0.935  -0.190 -1.010  -0.203 -1.085  -0.216 -1.160  -0.188 -1.222  -0.134 -1.276  -0.080 -1.330  -0.007 -1.337  0.069 -1.337  0.076 -1.407  0.076 -1.483  0.149 -1.486  0.225 -1.486
2#apa#apa13#app1362/4  -1.370 0.698  -1.258 0.759  -1.258 0.688  -1.309 0.536  -1.370 0.388  -1.370 0.215  -1.370 0.042  -1.370 -0.130  -1.294 -0.272  -1.172 -0.394  -1.009 -0.419  -0.837 -0.419  -0.664 -0.419  -0.491 -0.419  -0.318 -0.419  -0.145 -0.419  0.028 -0.419  0.201 -0.419  0.373 -0.419  0.546 -0.419  0.696 -0.474  0.846 -0.531  0.811 -0.388  0.751 -0.226  0.690 -0.064  0.629 0.098  0.569 0.260  0.508 0.422  0.447 0.584  0.386 0.745  0.326 0.907  0.265 1.069  0.204 1.231  0.306 1.223  0.306 1.050  0.306 0.878  0.306 0.705  0.381 0.549  0.418 0.385  0.418 0.213  0.418 0.040  0.490 -0.116  0.530 -0.280  0.530 -0.453  0.530 -0.625  0.579 -0.790  0.634 -0.954  0.667 -1.115  0.753 -1.252  0.753 -1.425
2#apa#apa13#app1362/&  0.217 1.905  0.217 1.705  0.217 1.506  0.217 1.306  0.345 1.159  0.371 0.970  0.371 0.771  0.371 0.571  0.371 0.371  0.396 0.182  0.526 0.036  0.526 -0.164  0.601 -0.333  0.680 -0.500  0.774 -0.660  0.835 -0.835  0.829 -0.721  0.680 -0.670  0.612 -0.498  0.471 -0.357  0.371 -0.199  0.298 -0.029  0.217 0.137  0.124 0.299  0.062 0.473  -0.049 0.626  -0.231 0.670  -0.430 0.670  -0.608 0.617  -0.766 0.515  -0.910 0.425  -0.999 0.246  -1.129 0.096  -1.270 -0.045  -1.328 -0.221  -1.328 -0.420  -1.274 -0.566  -1.173 -0.665  -1.029 -0.721  -0.829 -0.721  -0.629 -0.721  -0.429 -0.721  -0.230 -0.721  -0.030 -0.721  0.170 -0.721  0.370 -0.721  0.569 -0.721  0.764 -0.692  0.954 -0.629  1.143 -0.566
2#apa#apa13#app1362/4  -1.437 0.756  -1.437 0.586  -1.437 0.416  -1.437 0.246  -1.430 0.079  -1.310 -0.041  -1.285 -0.201  -1.163 -0.317  -0.993 -0.317  -0.846 -0.371  -0.709 -0.451  -0.539 -0.451  -0.369 -0.451  -0.202 -0.437  -0.050 -0.361  0.109 -0.317  0.279 -0.317  0.449 -0.317  0.606 -0.348  0.702 -0.427  0.656 -0.264  0.609 -0.101  0.562 0.063  0.516 0.226  0.469 0.390  0.422 0.553  0.376 0.716  0.329 0.880  0.282 1.043  0.235 1.207  0.189 1.370  0.173 1.316  0.173 1.146  0.194 0.981  0.270 0.829  0.307 0.668  0.307 0.498  0.318 0.331  0.394 0.179  0.441 0.020  0.441 -0.150  0.441 -0.320  0.453 -0.488  0.507 -0.649  0.561 -0.811  0.575 -0.978  0.575 -1.148  0.575 -1.318  0.575 -1.488  0.575 -1.658
2#apa#apa13#app1362/:  -0.634 1.309  -0.561 1.309  -0.488 1.309  -0.415 1.309  -0.342 1.309  -0.269 1.309  -0.196 1.309  -0.137 1.295  -0.137 1.222  -0.137 1.149  -0.137 1.076  -0.137 1.003  -0.137 0.929  -0.137 0.856  -0.132 0.784  -0.119 0.712  -0.106 0.640  -0.093 0.568  -0.080 0.496  -0.067 0.424  -0.053 0.352  -0.040 0.280  -0.027 0.209  -0.014 0.137  -0.001 0.065  0.012 -0.007  0.025 -0.079  0.038 -0.151  0.051 -0.223  0.064 -0.295  0.077 -0.367  0.090 -0.439  0.103 -0.510  0.116 -0.582  0.130 -0.654  0.143 -0.726  0.156 -0.798  0.169 -0.870  0.182 -0.942  0.195 -1.014  0.195 -1.087  0.195 -1.160  0.233 -1.217  0.285 -1.269  0.337 -1.320  0.361 -1.384  0.361 -1.457  0.361 -1.530  0.361 -1.603  0.361 -1.676
2#apa#apa13#app1362/2  -0.494 1.513  -0.369 1.513  -0.251 1.493  -0.162 1.404  -0.038 1.401  0.088 1.401  0.210 1.384  0.322 1.327  0.427 1.260  0.509 1.169  0.509 1.043  0.509 0.917  0.509 0.791  0.509 0.666  0.509 0.540  0.442 0.442  0.397 0.335  0.343 0.232  0.254 0.143  0.165 0.054  0.076 -0.035  -0.013 -0.124  -0.102 -0.213  -0.199 -0.290  -0.311 -0.347  -0.415 -0.415  -0.508 -0.494  -0.626 -0.514  -0.715 -0.603  -0.839 -0.605  -0.965 -0.605  -1.013 -0.605  -0.887 -0.605  -0.762 -0.605  -0.636 -0.605  -0.510 -0.605  -0.384 -0.605  -0.272 -0.618  -0.244 -0.717  -0.123 -0.735  -0.011 -0.792  0.107 -0.828  0.232 -0.828  0.337 -0.879  0.438 -0.940  0.563 -0.940  0.689 -0.940  0.815 -0.940  0.940 -0.940  0.955 -1.051
2#apa#apa13#app1362/&  0.740 1.654  0.603 1.498  0.603 1.285  0.603 1.073  0.603 0.860  0.521 0.666  0.465 0.466  0.465 0.253  0.465 0.040  0.465 -0.173  0.465 -0.385  0.465 -0.598  0.465 -0.811  0.603 -0.967  0.663 -1.155  0.740 -1.130  0.603 -1.054  0.603 -0.841  0.603 -0.628  0.511 -0.454  0.457 -0.263  0.328 -0.104  0.253 0.079  0.135 0.252  0.032 0.437  -0.118 0.588  -0.288 0.692  -0.501 0.692  -0.714 0.692  -0.882 0.583  -1.072 0.529  -1.185 0.363  -1.301 0.222  -1.460 0.107  -1.460 -0.106  -1.460 -0.319  -1.460 -0.532  -1.260 -0.545  -1.048 -0.545  -0.835 -0.545  -0.638 -0.478  -0.441 -0.408  -0.228 -0.408  -0.037 -0.315  0.159 -0.235  0.361 -0.168  0.558 -0.087  0.749 0.007  0.951 0.075  1.153 0.142
2#apa#apa13#app1362/2  -0.837 1.165  -0.739 1.182  -0.705 1.263  -0.590 1.263  -0.475 1.263  -0.361 1.263  -0.246 1.263  -0.131 1.263  -0.016 1.263  0.046 1.210  0.115 1.165  0.205 1.104  0.286 1.023  0.340 0.930  0.340 0.815  0.340 0.701  0.340 0.586  0.340 0.471  0.340 0.356  0.311 0.253  0.230 0.172  0.148 0.091  0.137 -0.019  0.055 -0.100  -0.026 -0.181  -0.130 -0.208  -0.217 -0.274  -0.298 -0.355  -0.379 -0.436  -0.467 -0.502  -0.542 -0.541  -0.599 -0.600  -0.641 -0.673  -0.577 -0.761  -0.477 -0.796  -0.444 -0.878  -0.345 -0.894  -0.243 -0.946  -0.139 -0.992  -0.024 -0.992  0.091 -0.992  0.206 -0.992  0.321 -0.992  0.435 -0.992  0.550 -0.992  0.665 -0.992  0.780 -0.992  0.895 -0.992  1.009 -0.992  1.124 -0.992
2#apa#apa13#app1362/:  -0.129 1.389  -0.055 1.389  0.020 1.389  0.094 1.389  0.157 1.378  0.157 1.304  0.174 1.246  0.248 1.246  0.296 1.224  0.280 1.152  0.264 1.079  0.248 1.006  0.232 0.933  0.215 0.861  0.199 0.788  0.183 0.715  0.167 0.643  0.151 0.570  0.135 0.497  0.118 0.424  0.102 0.352  0.086 0.279  0.070 0.206  0.054 0.134  0.038 0.061  0.021 -0.012  0.005 -0.085  -0.011 -0.157  -0.027 -0.230  -0.043 -0.303  -0.059 -0.375  -0.075 -0.448  -0.092 -0.521  -0.108 -0.593  -0.124 -0.666  -0.140 -0.739  -0.156 -0.812  -0.172 -0.884  -0.189 -0.957  -0.205 -1.030  -0.221 -1.102  -0.237 -1.175  -0.253 -1.248  -0.269 -1.321  -0.273 -1.395  -0.273 -1.469  -0.209 -1.480  -0.135 -1.480  -0.129 -1.549  -0.129 -1.624
2#apa#apa13#app1362/1  0.291 1.159  0.381 0.997  0.381 0.798  0.345 0.605  0.291 0.415  0.202 0.253  0.202 0.055  0.112 -0.107  0.112 -0.306  0.122 -0.399  0.157 -0.204  0.193 -0.008  0.228 0.188  0.264 0.383  0.300 0.579  0.335 0.775  0.371 0.970  0.406 1.166  0.442 1.362  0.470 1.476  0.364 1.321  0.286 1.154  0.146 1.014  0.005 0.873  -0.135 0.733  -0.283 0.641  -0.375 0.465  -0.467 0.289  -0.560 0.112  -0.652 -0.064  -0.744 -0.240  -0.836 -0.416  -0.929 -0.592  -1.021 -0.768  -1.113 -0.944  -1.206 -1.121  -1.084 -1.167  -0.885 -1.167  -0.688 -1.163  -0.525 -1.078  -0.336 -1.034  -0.153 -0.958  0.036 -0.899  0.232 -0.884  0.413 -0.810  0.612 -0.810  0.794 -0.737  0.971 -0.648  1.166 -0.631  1.365 -0.631
