1c#tos#f1#f1078063/b  -0.046 1.817  -0.262 1.817  -0.268 1.828  -0.220 1.623  -0.220 1.407  -0.220 1.191  -0.220 0.975  -0.220 0.759  -0.220 0.543  -0.265 0.333  -0.306 0.122  -0.306 -0.094  -0.306 -0.310  -0.306 -0.526  -0.306 -0.742  -0.306 -0.958  -0.349 -1.131  -0.384 -1.133  -0.362 -0.919  -0.339 -0.704  -0.316 -0.489  -0.294 -0.274  -0.271 -0.059  -0.249 0.155  -0.226 0.370  -0.376 0.430  -0.480 0.541  -0.412 0.690  -0.196 0.690  0.020 0.690  0.236 0.690  0.387 0.625  0.494 0.516  0.682 0.464  0.802 0.285  0.908 0.110  1.060 -0.004  1.047 -0.193  0.972 -0.396  0.835 -0.524  0.821 -0.726  0.663 -0.784  0.525 -0.892  0.419 -1.044  0.208 -1.075  0.001 -1.131  -0.215 -1.131  -0.395 -1.218  -0.566 -1.174  -0.653 -1.044
1c#tos#f1#f1078063/c  1.001 0.161  0.955 0.239  0.923 0.331  0.923 0.455  0.817 0.473  0.767 0.547  0.767 0.671  0.688 0.746  0.577 0.802  0.466 0.857  0.422 0.941  0.298 0.941  0.174 0.941  0.050 0.941  -0.074 0.941  -0.199 0.941  -0.319 0.917  -0.436 0.878  -0.482 0.787  -0.526 0.707  -0.638 0.695  -0.638 0.571  -0.742 0.551  -0.826 0.486  -0.872 0.373  -0.872 0.249  -0.872 0.125  -0.872 0.001  -0.872 -0.123  -0.842 -0.242  -0.803 -0.360  -0.781 -0.477  -0.693 -0.565  -0.592 -0.620  -0.560 -0.712  -0.500 -0.776  -0.376 -0.776  -0.264 -0.817  -0.161 -0.886  -0.051 -0.932  0.073 -0.932  0.181 -0.971  0.289 -1.010  0.413 -1.010  0.537 -1.010  0.661 -1.010  0.785 -1.010  0.909 -1.010  1.033 -1.010  1.157 -1.010
1c#tos#f1#f1078063/e  -0.062 0.251  -0.155 0.165  -0.311 0.093  -0.354 0.013  -0.192 -0.016  -0.039 -0.066  0.134 -0.066  0.294 -0.007  0.462 0.013  0.573 0.132  0.682 0.251  0.787 0.362  0.865 0.517  0.890 0.685  0.890 0.858  0.744 0.886  0.650 0.966  0.495 1.044  0.322 1.045  0.148 1.045  -0.025 1.045  -0.199 1.045  -0.356 0.977  -0.492 0.875  -0.657 0.820  -0.815 0.748  -0.855 0.599  -0.919 0.489  -1.014 0.411  -1.014 0.238  -1.014 0.064  -0.935 -0.077  -0.935 -0.250  -0.935 -0.424  -0.800 -0.463  -0.627 -0.463  -0.538 -0.548  -0.440 -0.628  -0.275 -0.683  -0.221 -0.817  -0.090 -0.860  0.059 -0.941  0.208 -1.026  0.377 -1.069  0.547 -1.098  0.709 -1.135  0.853 -1.232  1.019 -1.256  1.193 -1.256  1.366 -1.256
1c#tos#f1#f1078063/g  0.565 0.523  0.435 0.424  0.500 0.611  0.500 0.826  0.472 1.034  0.322 1.155  0.206 1.301  -0.008 1.301  -0.223 1.301  -0.437 1.301  -0.636 1.236  -0.773 1.118  -0.797 0.919  -0.788 0.708  -0.636 0.556  -0.463 0.458  -0.248 0.458  -0.034 0.458  0.176 0.463  0.176 0.677  0.350 0.717  0.325 0.542  0.241 0.362  0.241 0.148  0.176 -0.051  0.176 -0.266  0.133 -0.470  0.111 -0.679  0.073 -0.878  0.046 -1.081  -0.027 -1.273  -0.084 -1.471  -0.216 -1.553  -0.430 -1.553  -0.645 -1.553  -0.732 -1.426  -0.732 -1.212  -0.641 -1.053  -0.565 -0.886  -0.438 -0.734  -0.308 -0.578  -0.113 -0.515  -0.031 -0.368  0.176 -0.321  0.305 -0.236  0.475 -0.191  0.690 -0.191  0.889 -0.126  1.037 -0.002  1.214 0.069
1c#tos#f1#f1078063/i  0.283 0.142  0.214 0.091  0.214 -0.029  0.205 -0.146  0.139 -0.245  0.077 -0.346  0.077 -0.466  0.077 -0.586  0.077 -0.706  0.077 -0.826  0.025 -0.914  -0.061 -0.981  -0.061 -1.100  -0.061 -1.220  -0.061 -1.340  -0.061 -1.460  -0.061 -1.569  -0.058 -1.449  -0.055 -1.330  -0.053 -1.210  -0.050 -1.090  -0.048 -0.970  -0.045 -0.850  -0.042 -0.730  -0.040 -0.611  -0.037 -0.491  -0.035 -0.371  -0.032 -0.251  -0.029 -0.131  -0.027 -0.012  -0.024 0.108  -0.022 0.228  -0.019 0.348  -0.016 0.468  -0.014 0.587  -0.011 0.707  -0.008 0.827  -0.006 0.947  -0.003 1.067  -0.001 1.187  0.002 1.306  0.005 1.426  0.007 1.546  -0.073 1.585  -0.193 1.585  -0.249 1.516  -0.137 1.485  -0.026 1.447  0.094 1.447  0.145 1.379
1c#tos#f1#f1078063/k  -0.577 1.449  -0.740 1.559  -0.740 1.441  -0.740 1.216  -0.740 0.991  -0.740 0.767  -0.740 0.542  -0.740 0.317  -0.740 0.092  -0.740 -0.132  -0.740 -0.357  -0.740 -0.582  -0.740 -0.806  -0.740 -1.031  -0.740 -1.256  -0.632 -1.196  -0.483 -1.028  -0.333 -0.860  -0.184 -0.692  -0.035 -0.524  0.114 -0.356  0.264 -0.188  0.413 -0.020  0.562 0.148  0.712 0.315  0.861 0.483  1.010 0.651  1.159 0.819  1.103 0.798  0.878 0.798  0.725 0.727  0.601 0.586  0.393 0.503  0.178 0.449  -0.031 0.366  -0.223 0.258  -0.429 0.214  -0.577 0.098  -0.496 -0.045  -0.329 -0.106  -0.252 -0.313  -0.056 -0.341  0.088 -0.422  0.312 -0.422  0.500 -0.544  0.668 -0.692  0.870 -0.748  1.025 -0.860  1.185 -0.992  1.376 -1.074
1c#tos#f1#f1078063/l  -0.662 -0.805  -0.779 -0.922  -0.931 -0.980  -0.836 -0.919  -0.732 -0.829  -0.595 -0.743  -0.442 -0.689  -0.371 -0.550  -0.279 -0.423  -0.162 -0.306  -0.021 -0.267  0.024 -0.120  0.095 0.016  0.095 0.182  0.185 0.320  0.297 0.413  0.371 0.561  0.428 0.716  0.495 0.867  0.561 1.017  0.561 1.183  0.561 1.348  0.561 1.514  0.463 1.581  0.302 1.553  0.199 1.465  0.116 1.352  0.024 1.219  -0.021 1.072  -0.098 0.932  -0.196 0.827  -0.196 0.661  -0.213 0.500  -0.277 0.348  -0.312 0.188  -0.312 0.022  -0.312 -0.143  -0.312 -0.309  -0.312 -0.474  -0.282 -0.633  -0.208 -0.781  -0.074 -0.869  -0.021 -1.013  0.110 -1.075  0.238 -1.149  0.364 -1.213  0.530 -1.213  0.677 -1.195  0.794 -1.145  0.910 -1.096
1c#tos#f1#f1078063/n  -0.420 1.009  -0.570 1.009  -0.676 0.964  -0.676 0.814  -0.676 0.663  -0.676 0.513  -0.676 0.362  -0.676 0.212  -0.676 0.061  -0.676 -0.089  -0.676 -0.240  -0.676 -0.390  -0.686 -0.536  -0.761 -0.656  -0.761 -0.806  -0.761 -0.957  -0.761 -0.968  -0.761 -0.818  -0.761 -0.667  -0.754 -0.519  -0.654 -0.408  -0.570 -0.283  -0.505 -0.152  -0.505 -0.002  -0.470 0.141  -0.403 0.275  -0.336 0.410  -0.290 0.542  -0.184 0.648  -0.052 0.694  0.074 0.753  0.224 0.753  0.375 0.753  0.525 0.753  0.654 0.703  0.761 0.596  0.870 0.498  0.979 0.430  1.030 0.291  1.030 0.141  1.030 -0.010  1.073 -0.142  1.115 -0.275  1.115 -0.426  1.115 -0.576  1.115 -0.727  1.115 -0.877  1.115 -1.028  1.201 -1.143  1.201 -1.294
1c#tos#f1#f1078063/o  0.178 1.049  0.028 1.049  -0.041 0.970  -0.190 0.970  -0.222 0.852  -0.329 0.810  -0.381 0.713  -0.468 0.650  -0.595 0.596  -0.700 0.491  -0.700 0.342  -0.780 0.226  -0.780 0.076  -0.780 -0.073  -0.780 -0.222  -0.780 -0.371  -0.780 -0.520  -0.780 -0.670  -0.780 -0.819  -0.708 -0.938  -0.603 -1.044  -0.497 -1.149  -0.381 -1.204  -0.294 -1.265  -0.144 -1.265  0.005 -1.265  0.098 -1.209  0.202 -1.116  0.326 -1.033  0.337 -0.889  0.457 -0.826  0.587 -0.766  0.654 -0.632  0.720 -0.499  0.772 -0.359  0.816 -0.217  0.816 -0.068  0.816 0.081  0.816 0.230  0.816 0.380  0.816 0.529  0.740 0.646  0.736 0.794  0.603 0.810  0.522 0.920  0.403 0.970  0.263 1.007  0.124 1.049  -0.013 1.080  -0.142 1.129
1c#tos#f1#f1078063/q  0.712 0.604  0.616 0.727  0.489 0.802  0.481 0.976  0.300 0.976  0.118 0.976  -0.064 0.976  -0.246 0.976  -0.428 0.976  -0.609 0.976  -0.717 0.901  -0.899 0.901  -0.996 0.817  -0.996 0.635  -0.996 0.453  -0.996 0.272  -0.996 0.090  -0.917 -0.073  -0.821 -0.213  -0.699 -0.272  -0.532 -0.287  -0.424 -0.361  -0.243 -0.361  -0.061 -0.361  0.098 -0.306  0.269 -0.282  0.355 -0.122  0.441 0.038  0.528 0.198  0.614 0.358  0.700 0.518  0.786 0.678  0.605 0.679  0.489 0.612  0.489 0.431  0.489 0.249  0.489 0.067  0.401 -0.078  0.341 -0.235  0.301 -0.400  0.266 -0.568  0.254 -0.744  0.192 -0.900  0.192 -1.082  0.165 -1.260  0.118 -1.434  0.118 -1.615  0.118 -1.797  0.059 -1.965  0.044 -2.143
1c#tos#f1#f1078063/r  0.088 1.537  -0.058 1.537  -0.204 1.537  -0.224 1.485  -0.185 1.354  -0.185 1.208  -0.185 1.062  -0.185 0.915  -0.185 0.769  -0.185 0.623  -0.185 0.477  -0.185 0.330  -0.185 0.184  -0.185 0.038  -0.188 -0.108  -0.253 -0.239  -0.319 -0.370  -0.367 -0.505  -0.367 -0.651  -0.367 -0.797  -0.367 -0.943  -0.367 -1.090  -0.367 -1.236  -0.367 -1.382  -0.367 -1.529  -0.458 -1.538  -0.403 -1.414  -0.367 -1.283  -0.367 -1.137  -0.351 -0.997  -0.276 -0.882  -0.274 -0.736  -0.208 -0.605  -0.185 -0.464  -0.185 -0.318  -0.105 -0.205  -0.002 -0.102  0.097 0.005  0.162 0.136  0.288 0.170  0.413 0.222  0.453 0.351  0.506 0.444  0.648 0.456  0.751 0.560  0.870 0.626  1.016 0.626  1.162 0.626  1.309 0.626  1.455 0.626
