1c#tos#t2#t2038062/a  0.417 0.108  0.612 0.108  0.726 0.205  0.842 0.352  0.842 0.547  0.842 0.743  0.842 0.938  0.819 1.124  0.701 1.270  0.549 1.314  0.383 1.385  0.213 1.323  0.133 1.202  -0.015 1.098  -0.192 1.016  -0.376 0.951  -0.538 0.843  -0.576 0.668  -0.670 0.511  -0.758 0.342  -0.805 0.157  -0.922 0.001  -1.001 -0.168  -1.061 -0.354  -1.072 -0.548  -1.072 -0.743  -1.072 -0.938  -0.965 -1.026  -0.857 -1.168  -0.662 -1.168  -0.467 -1.168  -0.280 -1.117  -0.161 -0.978  -0.080 -0.856  -0.009 -0.731  0.113 -0.611  0.133 -0.428  0.218 -0.317  0.275 -0.179  0.346 -0.055  0.379 0.108  0.503 0.179  0.488 0.110  0.488 -0.085  0.430 -0.263  0.346 -0.433  0.346 -0.628  0.403 -0.800  0.522 -0.885  0.701 -0.956
1c#tos#t2#t2038062/c  0.624 1.035  0.510 1.035  0.397 1.035  0.371 1.123  0.296 1.161  0.183 1.161  0.069 1.161  -0.040 1.145  -0.143 1.098  -0.256 1.098  -0.260 0.988  -0.347 0.928  -0.435 0.860  -0.517 0.782  -0.600 0.733  -0.639 0.629  -0.652 0.523  -0.753 0.473  -0.765 0.367  -0.765 0.253  -0.765 0.140  -0.765 0.026  -0.765 -0.087  -0.765 -0.201  -0.704 -0.289  -0.653 -0.390  -0.580 -0.476  -0.576 -0.588  -0.558 -0.696  -0.495 -0.791  -0.420 -0.869  -0.313 -0.905  -0.202 -0.923  -0.089 -0.923  0.025 -0.923  0.138 -0.923  0.252 -0.923  0.365 -0.923  0.468 -0.874  0.561 -0.843  0.608 -0.749  0.689 -0.670  0.803 -0.670  0.905 -0.642  0.940 -0.543  0.991 -0.481  1.104 -0.481  1.129 -0.392  1.142 -0.291  1.255 -0.291
1c#tos#t2#t2038062/d  -0.146 -0.229  -0.330 -0.229  -0.358 -0.073  -0.516 -0.028  -0.648 -0.110  -0.780 -0.233  -0.808 -0.397  -0.939 -0.486  -0.939 -0.670  -0.939 -0.853  -0.939 -1.037  -0.886 -1.199  -0.736 -1.232  -0.553 -1.232  -0.369 -1.232  -0.192 -1.203  -0.068 -1.075  -0.031 -0.901  0.065 -0.747  0.065 -0.563  0.128 -0.399  0.171 -0.228  0.223 -0.057  0.223 0.127  0.223 0.311  0.287 0.479  0.329 0.653  0.329 0.836  0.373 1.013  0.428 1.184  0.488 1.344  0.488 1.528  0.540 1.699  0.494 1.703  0.382 1.578  0.382 1.394  0.382 1.211  0.382 1.027  0.373 0.845  0.329 0.666  0.304 0.487  0.276 0.308  0.276 0.124  0.276 -0.060  0.276 -0.243  0.276 -0.427  0.276 -0.610  0.276 -0.794  0.364 -0.951  0.488 -1.021
1c#tos#t2#t2038062/e  -0.492 0.169  -0.672 0.169  -0.728 0.040  -0.548 0.040  -0.368 0.040  -0.214 0.105  -0.034 0.105  0.146 0.105  0.326 0.105  0.507 0.105  0.687 0.105  0.840 0.169  1.020 0.169  1.122 0.248  1.122 0.428  1.057 0.581  0.928 0.633  0.866 0.750  0.719 0.831  0.559 0.879  0.476 0.977  0.328 1.009  0.174 1.073  -0.006 1.073  -0.186 1.073  -0.347 1.025  -0.436 0.871  -0.583 0.770  -0.625 0.614  -0.725 0.472  -0.815 0.348  -0.815 0.168  -0.898 0.022  -0.944 -0.139  -0.944 -0.319  -0.905 -0.490  -0.821 -0.606  -0.751 -0.716  -0.720 -0.891  -0.613 -0.993  -0.446 -1.048  -0.271 -1.071  -0.110 -1.152  0.062 -1.187  0.242 -1.187  0.415 -1.143  0.592 -1.122  0.767 -1.090  0.942 -1.058  1.122 -1.058
1c#tos#t2#t2038062/f  0.859 1.407  0.729 1.407  0.714 1.523  0.624 1.597  0.494 1.600  0.367 1.581  0.242 1.552  0.221 1.434  0.184 1.313  0.087 1.242  0.087 1.112  0.087 0.982  0.087 0.851  0.087 0.721  0.087 0.591  0.087 0.461  0.087 0.330  0.088 0.200  0.136 0.081  0.136 -0.049  0.136 -0.179  0.136 -0.309  0.136 -0.439  0.136 -0.570  0.078 -0.686  0.039 -0.807  0.039 -0.938  -0.009 -1.020  -0.057 -1.102  -0.057 -1.232  -0.105 -1.314  -0.160 -1.390  -0.290 -1.390  -0.322 -1.270  -0.348 -1.142  -0.373 -1.015  -0.399 -0.887  -0.424 -0.759  -0.450 -0.632  -0.475 -0.504  -0.501 -0.376  -0.527 -0.249  -0.604 -0.184  -0.538 -0.184  -0.411 -0.200  -0.289 -0.232  -0.159 -0.232  -0.028 -0.232  0.102 -0.232  0.232 -0.232
1c#tos#t2#t2038062/g  0.585 0.467  0.585 0.689  0.645 0.850  0.645 1.072  0.546 1.195  0.506 1.377  0.284 1.377  0.062 1.377  -0.083 1.300  -0.139 1.134  -0.315 1.023  -0.527 0.963  -0.594 0.779  -0.731 0.608  -0.750 0.394  -0.629 0.293  -0.415 0.285  -0.193 0.285  0.029 0.285  0.234 0.312  0.342 0.497  0.281 0.517  0.281 0.295  0.281 0.073  0.281 -0.149  0.281 -0.371  0.281 -0.593  0.281 -0.815  0.220 -1.011  0.073 -1.151  -0.073 -1.293  -0.234 -1.354  -0.456 -1.354  -0.678 -1.354  -0.875 -1.293  -0.993 -1.189  -0.993 -0.967  -0.938 -0.758  -0.870 -0.564  -0.671 -0.464  -0.479 -0.383  -0.295 -0.321  -0.110 -0.261  0.112 -0.261  0.332 -0.239  0.550 -0.201  0.772 -0.201  0.983 -0.248  1.199 -0.269  1.373 -0.383
1c#tos#t2#t2038062/h  -0.102 1.837  -0.167 1.936  -0.300 1.933  -0.300 1.798  -0.300 1.663  -0.300 1.528  -0.300 1.392  -0.300 1.257  -0.295 1.122  -0.269 0.990  -0.250 0.856  -0.250 0.721  -0.250 0.586  -0.250 0.451  -0.250 0.316  -0.250 0.180  -0.250 0.045  -0.250 -0.090  -0.250 -0.225  -0.250 -0.360  -0.250 -0.496  -0.250 -0.631  -0.250 -0.766  -0.250 -0.901  -0.250 -1.036  -0.293 -1.129  -0.300 -1.000  -0.300 -0.865  -0.300 -0.730  -0.300 -0.595  -0.300 -0.460  -0.286 -0.338  -0.250 -0.239  -0.166 -0.173  -0.033 -0.146  0.085 -0.101  0.215 -0.098  0.343 -0.140  0.479 -0.140  0.541 -0.213  0.590 -0.328  0.666 -0.387  0.702 -0.486  0.739 -0.585  0.788 -0.671  0.788 -0.806  0.788 -0.942  0.755 -1.063  0.739 -1.191  0.689 -1.277
1c#tos#t2#t2038062/i  -0.180 1.214  -0.262 1.214  -0.345 1.214  -0.409 1.197  -0.452 1.157  -0.524 1.147  -0.490 1.099  -0.465 1.042  -0.409 1.015  -0.357 0.985  -0.275 0.985  -0.193 0.985  -0.110 0.985  -0.028 0.985  0.050 0.980  0.060 0.898  0.070 0.816  0.080 0.735  0.090 0.653  0.099 0.571  0.109 0.489  0.119 0.408  0.129 0.326  0.139 0.244  0.149 0.162  0.158 0.081  0.168 -0.001  0.178 -0.083  0.188 -0.165  0.198 -0.246  0.207 -0.328  0.217 -0.410  0.181 -0.451  0.152 -0.516  0.136 -0.596  0.119 -0.677  0.107 -0.758  0.107 -0.841  0.107 -0.923  0.107 -1.005  0.107 -1.088  0.107 -1.170  0.107 -1.253  0.107 -1.335  0.107 -1.417  0.107 -1.500  0.107 -1.582  0.107 -1.664  0.107 -1.747  0.107 -1.829
1c#tos#t2#t2038062/j  0.107 1.624  0.011 1.622  0.059 1.573  0.064 1.481  0.113 1.433  0.209 1.433  0.253 1.377  0.258 1.280  0.263 1.184  0.269 1.087  0.274 0.990  0.279 0.894  0.285 0.797  0.290 0.700  0.296 0.604  0.297 0.507  0.227 0.481  0.130 0.481  0.107 0.407  0.107 0.311  0.136 0.243  0.202 0.212  0.202 0.116  0.202 0.019  0.202 -0.078  0.202 -0.175  0.202 -0.272  0.202 -0.368  0.202 -0.465  0.202 -0.562  0.202 -0.659  0.202 -0.755  0.202 -0.852  0.201 -0.949  0.133 -1.017  0.107 -1.103  0.045 -1.138  -0.051 -1.138  -0.148 -1.138  -0.245 -1.138  -0.342 -1.138  -0.400 -1.077  -0.476 -1.043  -0.567 -1.016  -0.644 -0.960  -0.691 -0.876  -0.725 -0.798  -0.817 -0.767  -0.892 -0.711  -0.941 -0.662
1c#tos#t2#t2038062/l  -0.167 0.865  -0.167 0.947  -0.167 1.028  -0.092 1.034  -0.054 1.079  0.002 1.104  0.002 1.185  0.002 1.267  0.034 1.317  0.058 1.372  0.058 1.291  0.058 1.209  0.058 1.128  0.058 1.046  0.058 0.965  0.058 0.883  0.058 0.802  0.058 0.720  0.058 0.639  0.058 0.557  0.058 0.475  0.058 0.394  0.058 0.312  0.058 0.231  0.058 0.149  0.058 0.068  0.058 -0.014  0.058 -0.095  0.058 -0.177  0.058 -0.258  0.058 -0.340  0.058 -0.422  0.048 -0.499  0.002 -0.561  0.002 -0.643  0.002 -0.724  -0.023 -0.796  -0.054 -0.864  -0.054 -0.946  -0.054 -1.027  -0.054 -1.109  -0.054 -1.190  -0.054 -1.272  -0.054 -1.353  -0.054 -1.435  -0.054 -1.516  -0.054 -1.598  -0.054 -1.680  -0.054 -1.761  -0.111 -1.786
1c#tos#t2#t2038062/m  -1.469 0.418  -1.570 0.291  -1.543 0.471  -1.430 0.663  -1.261 0.753  -1.087 0.872  -0.914 0.928  -0.774 0.805  -0.641 0.632  -0.585 0.426  -0.578 0.201  -0.578 -0.027  -0.578 -0.256  -0.588 -0.478  -0.705 -0.634  -0.705 -0.847  -0.673 -0.632  -0.641 -0.416  -0.624 -0.193  -0.488 -0.014  -0.364 0.146  -0.261 0.351  -0.132 0.451  -0.012 0.606  0.123 0.702  0.290 0.800  0.377 0.659  0.480 0.494  0.504 0.280  0.483 0.057  0.441 -0.161  0.441 -0.390  0.377 -0.555  0.377 -0.783  0.377 -0.825  0.377 -0.597  0.441 -0.383  0.504 -0.218  0.538 -0.010  0.695 0.133  0.803 0.291  1.032 0.291  1.197 0.227  1.205 0.007  1.205 -0.222  1.205 -0.450  1.205 -0.678  1.205 -0.907  1.178 -1.109  1.141 -1.173
