3#apa#apa09#app0995/[  -0.086 0.927  -0.086 1.036  -0.016 1.074  0.083 1.053  0.160 0.976  0.244 0.910  0.341 0.861  0.438 0.813  0.539 0.780  0.647 0.780  0.725 0.706  0.792 0.633  0.684 0.633  0.577 0.648  0.470 0.669  0.364 0.690  0.258 0.711  0.151 0.733  0.045 0.754  -0.061 0.775  -0.169 0.780  -0.278 0.780  -0.380 0.774  -0.380 0.666  -0.380 0.557  -0.380 0.449  -0.380 0.340  -0.380 0.232  -0.380 0.124  -0.380 0.015  -0.380 -0.093  -0.361 -0.200  -0.339 -0.306  -0.318 -0.412  -0.297 -0.519  -0.276 -0.625  -0.254 -0.731  -0.233 -0.838  -0.233 -0.946  -0.233 -1.054  -0.233 -1.163  -0.233 -1.271  -0.163 -1.351  -0.086 -1.427  -0.010 -1.504  0.062 -1.583  0.062 -1.691  0.139 -1.722  0.248 -1.722  0.356 -1.722
3#apa#apa09#app0995/(  0.691 1.429  0.613 1.429  0.535 1.429  0.457 1.429  0.387 1.414  0.344 1.349  0.301 1.284  0.257 1.219  0.214 1.155  0.171 1.090  0.128 1.025  0.090 0.957  0.059 0.885  0.028 0.814  -0.002 0.742  -0.033 0.670  -0.064 0.599  -0.095 0.527  -0.125 0.455  -0.156 0.384  -0.187 0.312  -0.217 0.240  -0.248 0.169  -0.279 0.097  -0.310 0.025  -0.338 -0.047  -0.338 -0.125  -0.338 -0.203  -0.338 -0.281  -0.338 -0.359  -0.338 -0.437  -0.338 -0.515  -0.338 -0.593  -0.338 -0.671  -0.338 -0.749  -0.338 -0.827  -0.338 -0.905  -0.289 -0.956  -0.224 -1.000  -0.159 -1.043  -0.094 -1.086  -0.029 -1.129  0.036 -1.173  0.101 -1.216  0.174 -1.241  0.248 -1.266  0.322 -1.290  0.396 -1.315  0.470 -1.340  0.544 -1.364
3#apa#apa09#app0995/6  0.945 1.248  0.847 1.281  0.748 1.314  0.649 1.347  0.550 1.380  0.452 1.413  0.373 1.362  0.299 1.288  0.226 1.214  0.152 1.141  0.080 1.066  0.018 0.983  -0.045 0.900  -0.107 0.816  -0.170 0.733  -0.232 0.650  -0.295 0.567  -0.357 0.483  -0.419 0.400  -0.445 0.300  -0.465 0.198  -0.485 0.096  -0.506 -0.006  -0.526 -0.108  -0.547 -0.210  -0.567 -0.312  -0.587 -0.414  -0.598 -0.517  -0.598 -0.621  -0.598 -0.725  -0.584 -0.823  -0.511 -0.897  -0.437 -0.970  -0.364 -1.044  -0.290 -1.117  -0.203 -1.135  -0.105 -1.102  -0.006 -1.069  0.093 -1.036  0.191 -1.004  0.292 -0.981  0.396 -0.981  0.462 -0.919  0.508 -0.826  0.555 -0.733  0.601 -0.640  0.530 -0.566  0.457 -0.492  0.363 -0.467  0.259 -0.467
3#apa#apa09#app0995/)  -0.064 1.046  -0.140 1.072  -0.216 1.097  -0.291 1.122  -0.367 1.147  -0.443 1.173  -0.519 1.198  -0.581 1.218  -0.510 1.182  -0.438 1.146  -0.367 1.110  -0.295 1.075  -0.231 1.032  -0.195 0.960  -0.160 0.889  -0.124 0.817  -0.088 0.746  -0.052 0.674  -0.017 0.603  0.019 0.531  0.055 0.460  0.090 0.388  0.116 0.314  0.130 0.235  0.143 0.156  0.156 0.077  0.169 -0.002  0.182 -0.080  0.195 -0.159  0.208 -0.238  0.222 -0.317  0.235 -0.396  0.248 -0.475  0.261 -0.553  0.274 -0.632  0.285 -0.711  0.285 -0.791  0.285 -0.871  0.285 -0.951  0.285 -1.031  0.258 -1.104  0.222 -1.176  0.186 -1.247  0.151 -1.319  0.115 -1.390  0.079 -1.462  0.043 -1.533  0.008 -1.605  -0.028 -1.676  -0.064 -1.748
3#apa#apa09#app0995/(  0.679 1.205  0.626 1.258  0.573 1.311  0.521 1.364  0.454 1.335  0.388 1.302  0.321 1.268  0.254 1.235  0.191 1.198  0.157 1.131  0.124 1.064  0.090 0.997  0.057 0.930  0.024 0.863  -0.010 0.796  -0.043 0.729  -0.077 0.662  -0.110 0.595  -0.128 0.525  -0.128 0.450  -0.128 0.375  -0.128 0.301  -0.128 0.226  -0.128 0.151  -0.128 0.076  -0.143 0.003  -0.157 -0.071  -0.172 -0.144  -0.187 -0.217  -0.201 -0.291  -0.216 -0.364  -0.231 -0.437  -0.245 -0.511  -0.260 -0.584  -0.275 -0.657  -0.289 -0.731  -0.257 -0.798  -0.224 -0.865  -0.190 -0.931  -0.157 -0.998  -0.123 -1.065  -0.090 -1.132  -0.056 -1.199  -0.023 -1.266  0.010 -1.333  0.033 -1.402  0.033 -1.477  0.033 -1.552  0.033 -1.627  0.033 -1.701
3#apa#apa09#app0995/7  -0.686 0.780  -0.686 0.886  -0.686 0.993  -0.756 1.030  -0.862 1.030  -0.937 0.998  -0.937 0.891  -0.937 0.785  -0.846 0.734  -0.751 0.687  -0.655 0.639  -0.560 0.592  -0.465 0.544  -0.361 0.530  -0.255 0.530  -0.148 0.530  -0.042 0.530  0.065 0.530  0.171 0.530  0.278 0.530  0.384 0.530  0.491 0.530  0.597 0.530  0.704 0.530  0.810 0.530  0.815 0.428  0.815 0.321  0.815 0.215  0.815 0.108  0.800 0.006  0.741 -0.082  0.681 -0.171  0.622 -0.260  0.563 -0.348  0.504 -0.437  0.445 -0.526  0.386 -0.614  0.327 -0.703  0.255 -0.781  0.180 -0.856  0.104 -0.932  0.037 -1.013  -0.023 -1.102  -0.082 -1.191  -0.141 -1.279  -0.200 -1.368  -0.259 -1.457  -0.318 -1.545  -0.377 -1.634  -0.436 -1.723
3#apa#apa09#app0995/)  -0.522 1.537  -0.470 1.485  -0.418 1.433  -0.366 1.380  -0.314 1.328  -0.261 1.276  -0.209 1.224  -0.157 1.172  -0.105 1.120  -0.053 1.068  -0.001 1.015  0.051 0.963  0.104 0.911  0.130 0.844  0.148 0.773  0.166 0.701  0.184 0.630  0.201 0.558  0.219 0.486  0.237 0.415  0.255 0.343  0.273 0.272  0.276 0.198  0.276 0.125  0.276 0.051  0.276 -0.023  0.276 -0.097  0.276 -0.170  0.267 -0.242  0.239 -0.311  0.212 -0.379  0.185 -0.448  0.157 -0.516  0.130 -0.585  0.102 -0.653  0.075 -0.722  0.048 -0.790  0.020 -0.859  -0.007 -0.927  -0.035 -0.996  -0.066 -1.062  -0.099 -1.128  -0.132 -1.194  -0.165 -1.260  -0.198 -1.326  -0.231 -1.392  -0.264 -1.458  -0.297 -1.524  -0.330 -1.590  -0.363 -1.656
3#apa#apa09#app0995/(  0.822 1.309  0.747 1.309  0.673 1.309  0.599 1.309  0.524 1.309  0.464 1.276  0.411 1.223  0.359 1.171  0.306 1.118  0.253 1.066  0.201 1.013  0.148 0.961  0.096 0.908  0.043 0.856  0.002 0.796  -0.018 0.725  -0.039 0.653  -0.059 0.582  -0.080 0.510  -0.100 0.439  -0.121 0.368  -0.141 0.296  -0.161 0.225  -0.182 0.153  -0.202 0.082  -0.223 0.010  -0.243 -0.061  -0.264 -0.133  -0.284 -0.204  -0.304 -0.276  -0.316 -0.348  -0.316 -0.423  -0.316 -0.497  -0.316 -0.571  -0.316 -0.646  -0.316 -0.720  -0.316 -0.794  -0.287 -0.862  -0.254 -0.928  -0.221 -0.995  -0.187 -1.061  -0.154 -1.128  -0.121 -1.194  -0.088 -1.261  -0.054 -1.327  -0.021 -1.394  0.014 -1.459  0.066 -1.511  0.119 -1.564  0.172 -1.617
3#apa#apa09#app0995/8  1.087 1.101  0.892 1.101  0.698 1.101  0.503 1.101  0.309 1.101  0.132 1.027  -0.042 0.940  -0.181 0.814  -0.289 0.652  -0.397 0.490  -0.505 0.328  -0.459 0.156  -0.372 -0.018  -0.244 -0.151  -0.070 -0.238  0.098 -0.332  0.236 -0.470  0.280 -0.646  0.280 -0.841  0.280 -1.036  0.180 -1.169  0.006 -1.256  -0.170 -1.336  -0.355 -1.398  -0.539 -1.459  -0.724 -1.521  -0.863 -1.389  -0.931 -1.223  -0.881 -1.044  -0.773 -0.882  -0.665 -0.720  -0.557 -0.558  -0.402 -0.451  -0.228 -0.364  -0.068 -0.256  0.069 -0.119  0.207 0.019  0.356 0.143  0.518 0.251  0.680 0.359  0.841 0.466  0.885 0.638  0.790 0.793  0.640 0.899  0.445 0.899  0.250 0.899  0.056 0.899  -0.139 0.899  -0.333 0.899  -0.528 0.899
3#apa#apa09#app0995/)  -0.007 1.293  -0.075 1.327  -0.143 1.361  -0.211 1.395  -0.279 1.429  -0.238 1.385  -0.185 1.331  -0.141 1.272  -0.123 1.198  -0.104 1.124  -0.086 1.050  -0.067 0.976  -0.049 0.903  -0.030 0.829  -0.012 0.755  0.023 0.689  0.066 0.625  0.108 0.562  0.150 0.499  0.192 0.435  0.234 0.372  0.272 0.308  0.261 0.232  0.250 0.157  0.240 0.082  0.229 0.007  0.218 -0.069  0.207 -0.144  0.197 -0.219  0.186 -0.295  0.175 -0.370  0.164 -0.445  0.154 -0.521  0.143 -0.596  0.130 -0.671  0.102 -0.742  0.074 -0.812  0.046 -0.883  0.017 -0.953  -0.011 -1.024  -0.039 -1.095  -0.067 -1.165  -0.096 -1.236  -0.124 -1.307  -0.157 -1.374  -0.211 -1.428  -0.265 -1.482  -0.319 -1.535  -0.372 -1.589  -0.426 -1.643
3#apa#apa09#app0995/(  0.488 1.594  0.436 1.542  0.385 1.491  0.333 1.439  0.282 1.388  0.230 1.336  0.179 1.285  0.133 1.230  0.119 1.159  0.104 1.088  0.090 1.016  0.076 0.945  0.061 0.873  0.047 0.802  0.033 0.731  0.019 0.659  0.004 0.588  -0.010 0.516  -0.024 0.445  -0.039 0.374  -0.067 0.307  -0.100 0.242  -0.133 0.177  -0.165 0.112  -0.198 0.047  -0.218 -0.021  -0.218 -0.094  -0.218 -0.167  -0.218 -0.240  -0.218 -0.313  -0.218 -0.385  -0.218 -0.458  -0.218 -0.531  -0.218 -0.604  -0.218 -0.677  -0.218 -0.750  -0.218 -0.822  -0.209 -0.893  -0.177 -0.958  -0.144 -1.023  -0.111 -1.089  -0.079 -1.154  -0.046 -1.219  0.002 -1.272  0.054 -1.324  0.105 -1.375  0.157 -1.427  0.208 -1.478  0.260 -1.530  0.311 -1.581
