1c#apb#apb36#app3667/a  0.144 0.637  0.124 0.446  0.150 0.322  0.247 0.482  0.265 0.674  0.299 0.864  0.304 1.054  0.262 1.242  0.136 1.372  -0.023 1.281  -0.180 1.169  -0.335 1.053  -0.467 0.918  -0.569 0.754  -0.671 0.590  -0.769 0.424  -0.855 0.251  -0.941 0.078  -1.013 -0.099  -1.060 -0.287  -1.107 -0.474  -1.102 -0.664  -1.077 -0.855  -0.985 -1.020  -0.820 -1.062  -0.636 -1.022  -0.477 -0.912  -0.330 -0.792  -0.226 -0.629  -0.122 -0.466  -0.036 -0.294  0.044 -0.118  0.113 0.062  0.163 0.247  0.202 0.436  0.235 0.506  0.214 0.314  0.203 0.121  0.199 -0.071  0.223 -0.263  0.260 -0.448  0.389 -0.591  0.543 -0.692  0.732 -0.730  0.922 -0.738  1.113 -0.708  1.303 -0.678  1.487 -0.620  1.671 -0.562  1.855 -0.503
1c#apb#apb36#app3667/b  -0.148 2.165  -0.176 2.102  -0.188 1.951  -0.181 1.799  -0.173 1.648  -0.174 1.497  -0.186 1.346  -0.198 1.195  -0.209 1.044  -0.210 0.892  -0.210 0.741  -0.210 0.589  -0.205 0.438  -0.198 0.286  -0.191 0.135  -0.206 -0.016  -0.227 -0.166  -0.249 -0.316  -0.268 -0.466  -0.287 -0.616  -0.316 -0.765  -0.350 -0.913  -0.376 -1.062  -0.329 -0.959  -0.307 -0.809  -0.277 -0.661  -0.229 -0.517  -0.181 -0.374  -0.124 -0.233  -0.063 -0.095  0.018 0.029  0.133 0.127  0.250 0.223  0.394 0.271  0.534 0.238  0.633 0.143  0.675 -0.003  0.696 -0.151  0.686 -0.302  0.672 -0.453  0.645 -0.602  0.616 -0.751  0.515 -0.864  0.412 -0.975  0.305 -1.082  0.181 -1.160  0.035 -1.200  -0.107 -1.159  -0.249 -1.105  -0.396 -1.081
1c#apb#apb36#app3667/c  0.202 0.998  0.157 0.842  0.094 0.692  0.032 0.542  0.010 0.382  -0.002 0.220  -0.010 0.058  -0.010 -0.105  -0.010 -0.267  0.035 -0.248  0.141 -0.124  0.220 0.016  0.288 0.164  0.355 0.312  0.410 0.465  0.465 0.618  0.507 0.773  0.517 0.935  0.528 1.098  0.522 1.259  0.473 1.390  0.313 1.383  0.188 1.280  0.062 1.177  -0.050 1.061  -0.143 0.928  -0.236 0.795  -0.330 0.662  -0.423 0.529  -0.475 0.375  -0.522 0.220  -0.569 0.065  -0.617 -0.091  -0.654 -0.249  -0.678 -0.409  -0.702 -0.570  -0.726 -0.731  -0.697 -0.886  -0.643 -1.039  -0.588 -1.192  -0.447 -1.264  -0.298 -1.328  -0.147 -1.387  0.015 -1.387  0.178 -1.387  0.340 -1.383  0.502 -1.368  0.660 -1.340  0.808 -1.273  0.956 -1.206
1c#apb#apb36#app3667/d  0.259 -0.306  0.297 -0.170  0.227 0.006  0.059 0.103  -0.120 0.111  -0.287 0.007  -0.439 -0.118  -0.586 -0.249  -0.717 -0.396  -0.847 -0.544  -0.937 -0.719  -1.025 -0.895  -1.041 -1.088  -0.980 -1.262  -0.819 -1.336  -0.624 -1.316  -0.441 -1.245  -0.296 -1.116  -0.162 -0.972  -0.053 -0.808  0.053 -0.642  0.122 -0.458  0.191 -0.273  0.247 -0.084  0.291 0.107  0.335 0.299  0.365 0.494  0.394 0.689  0.424 0.884  0.452 1.079  0.480 1.274  0.504 1.469  0.504 1.666  0.470 1.855  0.413 1.681  0.353 1.494  0.293 1.306  0.241 1.116  0.198 0.924  0.156 0.731  0.126 0.538  0.120 0.341  0.114 0.144  0.109 -0.053  0.124 -0.250  0.139 -0.446  0.189 -0.632  0.282 -0.806  0.374 -0.980  0.467 -1.154
1c#apb#apb36#app3667/e  -0.935 0.321  -0.853 0.224  -0.726 0.155  -0.594 0.097  -0.455 0.074  -0.311 0.083  -0.167 0.093  -0.046 0.169  0.072 0.252  0.199 0.321  0.328 0.385  0.423 0.492  0.503 0.610  0.518 0.754  0.521 0.897  0.496 1.039  0.431 1.169  0.337 1.271  0.215 1.310  0.087 1.242  -0.040 1.173  -0.145 1.076  -0.240 0.967  -0.335 0.859  -0.430 0.750  -0.490 0.618  -0.549 0.486  -0.608 0.355  -0.656 0.221  -0.650 0.076  -0.643 -0.068  -0.637 -0.213  -0.612 -0.353  -0.550 -0.483  -0.489 -0.614  -0.425 -0.743  -0.316 -0.838  -0.207 -0.933  -0.099 -1.029  0.022 -1.099  0.165 -1.123  0.307 -1.147  0.450 -1.167  0.595 -1.167  0.739 -1.167  0.883 -1.159  1.022 -1.122  1.162 -1.085  1.300 -1.041  1.435 -0.990
1c#apb#apb36#app3667/f  0.948 1.566  0.879 1.645  0.759 1.626  0.644 1.586  0.535 1.532  0.429 1.472  0.322 1.414  0.230 1.340  0.166 1.236  0.118 1.124  0.080 1.009  0.052 0.890  0.029 0.771  0.013 0.650  0.004 0.529  -0.003 0.407  0.001 0.285  0.005 0.164  0.002 0.042  -0.006 -0.080  -0.015 -0.201  -0.016 -0.323  -0.016 -0.445  -0.018 -0.567  -0.025 -0.688  -0.034 -0.810  -0.046 -0.931  -0.075 -1.049  -0.112 -1.165  -0.134 -1.284  -0.152 -1.405  -0.203 -1.515  -0.226 -1.428  -0.243 -1.308  -0.261 -1.187  -0.279 -1.067  -0.296 -0.946  -0.314 -0.826  -0.331 -0.705  -0.349 -0.585  -0.367 -0.464  -0.384 -0.343  -0.402 -0.223  -0.419 -0.102  -0.375 -0.016  -0.261 0.025  -0.141 0.048  -0.022 0.071  0.097 0.099  0.214 0.132
1c#apb#apb36#app3667/g  0.346 0.792  0.394 0.885  0.356 1.026  0.257 1.135  0.135 1.212  -0.006 1.255  -0.149 1.231  -0.275 1.164  -0.383 1.064  -0.471 0.948  -0.542 0.819  -0.611 0.689  -0.626 0.543  -0.641 0.396  -0.628 0.250  -0.606 0.105  -0.513 -0.009  -0.402 -0.102  -0.268 -0.134  -0.129 -0.091  -0.011 -0.002  0.075 0.118  0.155 0.241  0.193 0.383  0.216 0.527  0.208 0.674  0.151 0.808  0.135 0.859  0.147 0.713  0.169 0.567  0.192 0.421  0.220 0.277  0.248 0.132  0.270 -0.014  0.284 -0.161  0.299 -0.307  0.313 -0.454  0.329 -0.601  0.345 -0.747  0.362 -0.894  0.342 -1.040  0.323 -1.186  0.303 -1.332  0.253 -1.468  0.187 -1.600  0.072 -1.691  -0.046 -1.779  -0.182 -1.833  -0.323 -1.874  -0.465 -1.915
1c#apb#apb36#app3667/h  0.136 2.122  0.099 1.979  0.099 1.831  0.088 1.684  0.053 1.539  0.018 1.395  -0.016 1.251  -0.046 1.105  -0.076 0.960  -0.106 0.815  -0.143 0.671  -0.190 0.530  -0.237 0.389  -0.284 0.249  -0.325 0.106  -0.360 -0.038  -0.395 -0.182  -0.430 -0.326  -0.460 -0.472  -0.487 -0.618  -0.515 -0.763  -0.533 -0.911  -0.551 -1.058  -0.551 -1.206  -0.551 -1.355  -0.497 -1.340  -0.459 -1.197  -0.420 -1.054  -0.380 -0.911  -0.337 -0.769  -0.294 -0.627  -0.237 -0.490  -0.166 -0.360  -0.094 -0.230  -0.004 -0.114  0.097 -0.005  0.200 0.102  0.321 0.188  0.441 0.274  0.579 0.329  0.710 0.277  0.768 0.163  0.768 0.014  0.768 -0.134  0.768 -0.283  0.747 -0.428  0.709 -0.572  0.650 -0.707  0.583 -0.839  0.545 -0.982
1c#apb#apb36#app3667/i  0.018 0.295  0.018 0.328  0.018 0.213  0.008 0.099  -0.008 -0.015  -0.023 -0.128  -0.039 -0.242  -0.054 -0.356  -0.071 -0.470  -0.088 -0.583  -0.105 -0.697  -0.122 -0.810  -0.140 -0.924  -0.159 -1.037  -0.178 -1.150  -0.179 -1.265  -0.179 -1.380  -0.179 -1.495  -0.177 -1.463  -0.163 -1.349  -0.148 -1.235  -0.133 -1.121  -0.119 -1.007  -0.104 -0.893  -0.090 -0.779  -0.075 -0.665  -0.061 -0.551  -0.046 -0.438  -0.032 -0.324  -0.017 -0.210  -0.003 -0.096  0.012 0.018  0.026 0.132  0.041 0.246  0.056 0.360  0.070 0.474  0.085 0.588  0.099 0.701  0.114 0.815  0.128 0.929  0.143 1.043  0.157 1.157  0.172 1.271  0.186 1.385  0.201 1.499  0.215 1.613  0.230 1.727  0.245 1.840  0.259 1.954  0.190 1.995
1c#apb#apb36#app3667/j  0.327 0.753  0.264 0.726  0.201 0.619  0.177 0.492  0.166 0.365  0.160 0.237  0.162 0.109  0.182 -0.018  0.201 -0.145  0.225 -0.271  0.251 -0.396  0.277 -0.522  0.288 -0.649  0.288 -0.777  0.287 -0.906  0.276 -1.033  0.265 -1.161  0.246 -1.288  0.191 -1.397  0.083 -1.445  -0.039 -1.416  -0.154 -1.359  -0.249 -1.273  -0.332 -1.177  -0.399 -1.067  -0.451 -0.950  -0.498 -0.831  -0.493 -0.709  -0.457 -0.586  -0.421 -0.463  -0.386 -0.339  -0.350 -0.216  -0.314 -0.093  -0.279 0.030  -0.243 0.154  -0.207 0.277  -0.172 0.400  -0.136 0.523  -0.100 0.647  -0.065 0.770  -0.029 0.893  0.006 1.016  0.042 1.140  0.078 1.263  0.113 1.386  0.149 1.509  0.185 1.633  0.220 1.756  0.256 1.879  0.209 1.911
1c#apb#apb36#app3667/k  -0.063 2.128  -0.133 2.011  -0.136 1.816  -0.139 1.623  -0.180 1.433  -0.222 1.243  -0.263 1.053  -0.291 0.861  -0.318 0.669  -0.346 0.476  -0.385 0.287  -0.431 0.098  -0.476 -0.091  -0.525 -0.279  -0.574 -0.467  -0.629 -0.653  -0.684 -0.839  -0.709 -1.032  -0.745 -1.222  -0.693 -1.315  -0.586 -1.153  -0.479 -0.991  -0.371 -0.829  -0.264 -0.667  -0.157 -0.505  -0.050 -0.343  0.057 -0.181  0.164 -0.019  0.271 0.143  0.378 0.305  0.485 0.467  0.593 0.629  0.700 0.791  0.740 0.614  0.680 0.445  0.542 0.307  0.417 0.159  0.270 0.041  0.088 -0.027  -0.092 -0.098  -0.208 -0.147  -0.101 -0.306  0.075 -0.388  0.240 -0.488  0.395 -0.605  0.547 -0.725  0.698 -0.848  0.835 -0.985  0.968 -1.127  1.105 -1.265
