1c#apa#apa14#app1425/v  -1.002 0.747  -1.002 0.871  -1.002 0.995  -1.002 1.119  -1.002 1.145  -1.002 1.021  -0.969 0.905  -0.914 0.794  -0.858 0.683  -0.803 0.572  -0.729 0.474  -0.642 0.386  -0.554 0.298  -0.499 0.187  -0.443 0.076  -0.388 -0.035  -0.332 -0.146  -0.293 -0.263  -0.253 -0.381  -0.214 -0.499  -0.175 -0.616  -0.136 -0.734  -0.092 -0.850  -0.036 -0.961  0.019 -1.072  0.075 -1.183  0.146 -1.267  0.271 -1.267  0.379 -1.229  0.467 -1.142  0.554 -1.054  0.564 -0.934  0.564 -0.810  0.564 -0.686  0.580 -0.565  0.635 -0.454  0.691 -0.343  0.746 -0.232  0.788 -0.118  0.788 0.006  0.788 0.130  0.788 0.254  0.753 0.370  0.697 0.481  0.642 0.592  0.586 0.703  0.564 0.822  0.564 0.946  0.564 1.070  0.564 1.194
1c#apa#apa14#app1425/e  -0.409 0.284  -0.409 0.122  -0.409 0.145  -0.387 0.284  -0.225 0.284  -0.063 0.284  0.098 0.284  0.260 0.284  0.422 0.284  0.564 0.331  0.679 0.446  0.749 0.579  0.749 0.740  0.749 0.902  0.664 0.979  0.502 0.979  0.340 0.979  0.178 0.979  0.017 0.979  -0.145 0.979  -0.269 0.888  -0.384 0.773  -0.498 0.659  -0.612 0.544  -0.727 0.430  -0.841 0.316  -0.990 0.284  -1.104 0.236  -1.104 0.075  -1.104 -0.087  -1.055 -0.228  -0.940 -0.343  -0.873 -0.477  -0.873 -0.638  -0.723 -0.692  -0.569 -0.743  -0.416 -0.794  -0.262 -0.846  -0.105 -0.874  0.057 -0.874  0.219 -0.874  0.381 -0.874  0.542 -0.874  0.704 -0.874  0.866 -0.874  1.028 -0.874  1.190 -0.874  1.351 -0.874  1.513 -0.874  1.675 -0.874
1c#apa#apa14#app1425/x  -0.861 0.616  -1.007 0.762  -1.179 0.846  -1.253 0.846  -1.059 0.815  -0.914 0.669  -0.768 0.523  -0.622 0.377  -0.476 0.232  -0.330 0.086  -0.184 -0.060  -0.002 -0.156  0.182 -0.249  0.367 -0.341  0.551 -0.433  0.736 -0.526  0.921 -0.618  1.105 -0.710  1.103 -0.758  0.918 -0.705  0.773 -0.559  0.578 -0.529  0.414 -0.429  0.291 -0.277  0.348 -0.078  0.405 0.120  0.462 0.318  0.518 0.517  0.575 0.715  0.632 0.914  0.688 1.112  0.736 1.304  0.530 1.304  0.429 1.134  0.337 0.949  0.244 0.764  0.152 0.580  0.060 0.395  -0.054 0.223  -0.168 0.051  -0.283 -0.120  -0.397 -0.292  -0.403 -0.497  -0.403 -0.703  -0.450 -0.902  -0.516 -1.097  -0.581 -1.293  -0.632 -1.491  -0.654 -1.675  -0.861 -1.675
1c#apa#apa14#app1425/i  -0.411 1.358  -0.338 1.358  -0.266 1.358  -0.194 1.358  -0.122 1.358  -0.050 1.358  0.023 1.358  0.032 1.295  0.032 1.223  0.032 1.151  0.032 1.079  0.032 1.006  0.032 0.934  0.032 0.862  0.032 0.790  0.032 0.718  0.032 0.645  0.032 0.573  0.032 0.501  0.032 0.429  0.032 0.357  0.032 0.284  0.032 0.212  0.032 0.140  0.032 0.068  0.032 -0.005  0.032 -0.077  0.032 -0.149  0.032 -0.221  0.032 -0.293  0.032 -0.366  0.032 -0.438  0.032 -0.510  0.032 -0.582  0.032 -0.654  0.032 -0.727  0.032 -0.799  0.032 -0.871  0.032 -0.943  0.032 -1.015  0.032 -1.088  0.032 -1.160  0.032 -1.232  0.032 -1.304  0.032 -1.376  0.032 -1.449  0.032 -1.521  0.032 -1.593  0.032 -1.665  0.032 -1.738
1c#apa#apa14#app1425/n  -1.245 0.846  -1.094 0.846  -0.972 0.798  -0.904 0.663  -0.837 0.528  -0.769 0.393  -0.746 0.247  -0.746 0.096  -0.746 -0.055  -0.746 -0.206  -0.746 -0.358  -0.746 -0.509  -0.746 -0.660  -0.746 -0.811  -0.746 -0.962  -0.746 -1.113  -0.746 -1.033  -0.741 -0.883  -0.693 -0.740  -0.645 -0.596  -0.597 -0.453  -0.550 -0.309  -0.502 -0.166  -0.401 -0.056  -0.294 0.051  -0.187 0.158  -0.080 0.265  0.002 0.382  0.002 0.534  0.064 0.659  0.171 0.766  0.289 0.846  0.440 0.846  0.565 0.781  0.672 0.675  0.768 0.560  0.835 0.425  0.903 0.290  0.971 0.154  0.999 0.010  0.999 -0.141  1.099 -0.251  1.205 -0.358  1.248 -0.491  1.248 -0.643  1.248 -0.507  1.248 -0.356  1.248 -0.205  1.248 -0.053  1.248 0.098
1c#apa#apa14#app1425/g  -0.090 0.540  0.042 0.540  0.174 0.540  0.241 0.605  0.241 0.737  0.241 0.869  0.371 0.871  0.407 0.967  0.344 1.037  0.213 1.037  0.081 1.037  -0.051 1.037  -0.183 1.037  -0.309 1.010  -0.427 0.951  -0.545 0.892  -0.647 0.811  -0.740 0.717  -0.752 0.590  -0.694 0.482  -0.601 0.389  -0.586 0.263  -0.509 0.209  -0.377 0.209  -0.248 0.217  -0.154 0.310  -0.061 0.403  0.032 0.497  0.098 0.474  0.140 0.348  0.181 0.223  0.223 0.098  0.241 -0.031  0.241 -0.163  0.241 -0.295  0.241 -0.427  0.241 -0.559  0.241 -0.691  0.241 -0.823  0.241 -0.955  0.241 -1.086  0.241 -1.218  0.241 -1.350  0.241 -1.482  0.241 -1.614  0.241 -1.746  0.241 -1.878  0.174 -1.943  0.076 -1.909  0.076 -1.777
1c#apa#apa14#app1425/d  -0.079 2.125  -0.008 1.983  0.063 1.841  0.125 1.695  0.175 1.545  0.225 1.394  0.275 1.244  0.283 1.086  0.305 0.930  0.336 0.774  0.367 0.619  0.398 0.463  0.429 0.308  0.461 0.152  0.463 -0.006  0.463 -0.165  0.463 -0.324  0.463 -0.482  0.463 -0.641  0.498 -0.765  0.635 -0.756  0.523 -0.644  0.463 -0.510  0.463 -0.351  0.463 -0.192  0.457 -0.036  0.345 0.076  0.212 0.138  0.054 0.138  -0.105 0.138  -0.264 0.138  -0.422 0.138  -0.581 0.138  -0.674 0.031  -0.745 -0.110  -0.834 -0.223  -0.982 -0.234  -0.982 -0.392  -0.982 -0.551  -0.893 -0.673  -0.781 -0.785  -0.669 -0.897  -0.556 -1.010  -0.444 -1.122  -0.287 -1.126  -0.129 -1.126  0.019 -1.078  0.160 -1.007  0.261 -0.946  0.102 -0.946
1c#apa#apa14#app1425/a  -0.506 1.044  -0.506 1.199  -0.437 1.286  -0.282 1.286  -0.127 1.286  0.028 1.286  0.183 1.286  0.273 1.180  0.342 1.041  0.412 0.902  0.492 0.772  0.602 0.662  0.703 0.549  0.703 0.394  0.703 0.239  0.703 0.084  0.770 -0.056  0.839 -0.195  0.909 -0.333  0.893 -0.355  0.784 -0.245  0.674 -0.135  0.564 -0.026  0.455 0.084  0.345 0.194  0.235 0.303  0.086 0.319  -0.069 0.319  -0.224 0.319  -0.379 0.319  -0.518 0.293  -0.588 0.155  -0.657 0.016  -0.726 -0.123  -0.824 -0.241  -0.934 -0.351  -0.989 -0.483  -0.989 -0.638  -0.887 -0.751  -0.777 -0.861  -0.667 -0.970  -0.558 -1.080  -0.448 -1.190  -0.338 -1.299  -0.214 -1.374  -0.059 -1.374  0.062 -1.290  0.171 -1.180  0.306 -1.132  0.462 -1.132
1c#apa#apa14#app1425/f  0.520 0.850  0.520 1.028  0.520 1.206  0.520 1.384  0.455 1.535  0.330 1.661  0.158 1.677  0.017 1.587  -0.108 1.461  -0.234 1.335  -0.306 1.187  -0.306 1.009  -0.306 0.831  -0.306 0.653  -0.231 0.493  -0.152 0.334  -0.080 0.171  -0.024 0.003  0.032 -0.166  0.089 -0.335  0.192 -0.475  0.314 -0.602  0.314 -0.780  0.383 -0.942  0.462 -1.101  0.520 -1.265  0.501 -1.424  0.323 -1.424  0.194 -1.304  0.068 -1.178  -0.058 -1.052  -0.183 -0.927  -0.309 -0.801  -0.435 -0.675  -0.561 -0.549  -0.687 -0.423  -0.813 -0.297  -0.926 -0.200  -0.926 -0.378  -0.809 -0.273  -0.668 -0.183  -0.490 -0.183  -0.312 -0.183  -0.134 -0.183  0.044 -0.183  0.222 -0.183  0.400 -0.183  0.578 -0.183  0.756 -0.183  0.934 -0.183
1c#apa#apa14#app1425/t  -0.449 1.852  -0.343 1.745  -0.236 1.639  -0.130 1.532  -0.023 1.425  0.084 1.319  0.149 1.195  0.149 1.044  0.149 0.894  0.149 0.743  0.149 0.592  0.149 0.441  0.195 0.310  0.302 0.204  0.409 0.097  0.448 -0.038  0.448 -0.188  0.448 -0.339  0.448 -0.490  0.493 -0.630  0.560 -0.765  0.627 -0.899  0.695 -1.034  0.747 -1.173  0.747 -1.323  0.718 -1.413  0.602 -1.316  0.486 -1.220  0.370 -1.123  0.255 -1.027  0.139 -0.930  0.023 -0.834  -0.093 -0.738  -0.208 -0.641  -0.324 -0.545  -0.440 -0.448  -0.556 -0.352  -0.672 -0.255  -0.787 -0.159  -0.903 -0.062  -1.019 0.034  -0.967 0.138  -0.860 0.245  -0.754 0.352  -0.605 0.357  -0.454 0.357  -0.304 0.357  -0.153 0.357  -0.002 0.357  0.149 0.357
1c#apa#apa14#app1425/j  0.067 1.025  0.067 0.885  0.067 1.001  0.067 0.909  0.067 0.769  0.096 0.633  0.141 0.499  0.185 0.366  0.220 0.231  0.220 0.090  0.223 -0.050  0.286 -0.176  0.348 -0.302  0.411 -0.427  0.474 -0.553  0.527 -0.682  0.527 -0.822  0.527 -0.963  0.527 -1.104  0.399 -1.117  0.292 -1.198  0.181 -1.270  0.067 -1.297  0.053 -1.423  -0.088 -1.423  -0.229 -1.423  -0.239 -1.292  -0.239 -1.151  -0.239 -1.011  -0.239 -0.870  -0.239 -0.729  -0.239 -0.589  -0.239 -0.448  -0.239 -0.307  -0.239 -0.167  -0.239 -0.026  -0.239 0.115  -0.239 0.255  -0.239 0.396  -0.239 0.537  -0.239 0.677  -0.239 0.818  -0.239 0.959  -0.239 1.099  -0.239 1.240  -0.239 1.381  -0.239 1.522  -0.239 1.662  -0.239 1.803  -0.239 1.944
