2#apa#apa00#app0039/A  0.011 1.543  -0.067 1.302  -0.075 1.044  -0.215 0.832  -0.331 0.600  -0.414 0.354  -0.442 0.098  -0.516 -0.150  -0.567 -0.405  -0.655 -0.648  -0.704 -0.891  -0.762 -1.127  -0.848 -1.351  -0.762 -1.402  -0.699 -1.151  -0.629 -0.900  -0.560 -0.650  -0.490 -0.400  -0.421 -0.149  -0.351 0.101  -0.282 0.351  -0.212 0.602  -0.142 0.852  -0.073 1.103  -0.003 1.353  0.066 1.603  0.097 1.571  0.183 1.397  0.230 1.145  0.292 0.897  0.355 0.652  0.447 0.414  0.563 0.181  0.680 -0.051  0.719 -0.302  0.835 -0.534  0.901 -0.781  0.956 -1.032  0.956 -1.292  0.753 -1.129  0.550 -0.967  0.348 -0.805  0.145 -0.642  -0.058 -0.480  -0.261 -0.318  -0.188 -0.202  0.046 -0.140  0.285 -0.089  0.525 -0.004  0.784 -0.003
2#apa#apa00#app0039/Q  0.136 0.817  0.136 1.021  0.112 1.215  -0.063 1.285  -0.170 1.179  -0.355 1.098  -0.453 0.977  -0.598 0.832  -0.742 0.688  -0.886 0.544  -0.980 0.364  -0.987 0.161  -1.079 -0.021  -1.081 -0.224  -1.081 -0.428  -1.060 -0.627  -0.959 -0.802  -0.814 -0.946  -0.643 -1.024  -0.451 -1.055  -0.247 -1.055  -0.049 -1.023  0.145 -0.961  0.342 -0.943  0.486 -0.799  0.604 -0.644  0.698 -0.479  0.698 -0.275  0.698 -0.071  0.698 0.133  0.698 0.337  0.651 0.535  0.604 0.733  0.585 0.930  0.507 1.101  0.389 1.121  0.313 0.932  0.237 0.743  0.161 0.553  0.086 0.364  0.104 0.194  0.136 0.003  0.136 -0.201  0.222 -0.384  0.313 -0.567  0.323 -0.768  0.464 -0.914  0.604 -1.060  0.620 -1.257  0.791 -1.335
2#apa#apa00#app0039/u  -1.009 0.835  -0.877 0.967  -0.744 1.100  -0.570 1.133  -0.435 1.260  -0.420 1.133  -0.562 1.088  -0.562 0.901  -0.648 0.749  -0.711 0.587  -0.711 0.400  -0.835 0.264  -0.860 0.087  -0.860 -0.101  -0.860 -0.288  -0.860 -0.475  -0.860 -0.663  -0.828 -0.837  -0.711 -0.976  -0.651 -1.103  -0.463 -1.103  -0.276 -1.103  -0.140 -0.979  -0.112 -0.805  0.034 -0.763  0.091 -0.599  0.183 -0.450  0.250 -0.290  0.364 -0.144  0.448 0.023  0.481 0.203  0.481 0.390  0.481 0.578  0.481 0.765  0.481 0.953  0.481 0.828  0.481 0.641  0.481 0.453  0.481 0.266  0.481 0.078  0.481 -0.109  0.481 -0.297  0.481 -0.484  0.598 -0.623  0.772 -0.656  0.959 -0.656  1.139 -0.625  1.307 -0.541  1.486 -0.507  1.674 -0.507
2#apa#apa00#app0039/i  -0.108 0.709  -0.108 0.580  -0.108 0.450  -0.197 0.411  -0.257 0.341  -0.257 0.212  -0.257 0.083  -0.257 -0.046  -0.257 -0.175  -0.257 -0.304  -0.257 -0.434  -0.257 -0.563  -0.214 -0.674  -0.123 -0.765  -0.108 -0.888  -0.108 -1.017  -0.108 -1.146  -0.108 -1.276  -0.080 -1.377  0.049 -1.377  0.178 -1.377  0.308 -1.377  0.339 -1.279  0.394 -1.173  0.485 -1.081  0.456 -0.957  0.423 -0.832  0.390 -0.708  0.357 -0.583  0.325 -0.458  0.292 -0.333  0.259 -0.208  0.226 -0.083  0.193 0.042  0.160 0.166  0.127 0.291  0.095 0.416  0.062 0.541  0.029 0.666  -0.004 0.791  -0.037 0.916  -0.070 1.040  -0.103 1.165  -0.135 1.290  -0.168 1.415  -0.201 1.540  -0.234 1.665  -0.257 1.791  -0.257 1.920  -0.257 2.049
2#apa#apa00#app0039/c  0.919 1.284  0.824 1.284  0.730 1.284  0.636 1.284  0.542 1.284  0.448 1.284  0.364 1.260  0.297 1.193  0.230 1.127  0.211 1.041  0.211 0.947  0.133 0.930  0.039 0.930  0.034 0.841  0.029 0.749  -0.037 0.682  -0.104 0.616  -0.170 0.549  -0.237 0.482  -0.303 0.416  -0.320 0.329  -0.320 0.235  -0.320 0.140  -0.320 0.046  -0.413 0.045  -0.497 0.035  -0.497 -0.059  -0.497 -0.153  -0.497 -0.248  -0.497 -0.342  -0.497 -0.436  -0.497 -0.530  -0.497 -0.624  -0.497 -0.718  -0.497 -0.812  -0.450 -0.887  -0.383 -0.954  -0.315 -1.016  -0.221 -1.016  -0.127 -1.016  -0.032 -1.016  0.053 -1.036  0.120 -1.103  0.187 -1.169  0.271 -1.193  0.365 -1.193  0.459 -1.193  0.553 -1.193  0.647 -1.193  0.742 -1.193
2#apa#apa00#app0039/k  -0.283 1.842  -0.387 1.635  -0.444 1.416  -0.501 1.197  -0.595 0.987  -0.595 0.755  -0.595 0.523  -0.595 0.291  -0.595 0.058  -0.595 -0.174  -0.595 -0.406  -0.595 -0.638  -0.594 -0.870  -0.491 -1.078  -0.491 -1.310  -0.387 -1.484  -0.387 -1.252  -0.387 -1.020  -0.387 -0.788  -0.387 -0.555  -0.330 -0.337  -0.283 -0.116  -0.268 0.114  -0.195 0.335  -0.041 0.488  0.030 0.649  0.134 0.777  0.343 0.801  0.532 0.905  0.764 0.905  0.968 0.876  0.826 0.763  0.662 0.599  0.437 0.582  0.273 0.418  0.098 0.279  -0.086 0.163  -0.280 0.071  -0.387 -0.055  -0.237 -0.137  -0.109 -0.242  0.096 -0.307  0.269 -0.450  0.485 -0.488  0.675 -0.616  0.888 -0.682  0.978 -0.877  1.072 -1.071  1.190 -1.193  1.385 -1.284
2#apa#apa00#app0039/B  -0.156 1.086  -0.062 0.907  -0.062 0.636  -0.062 0.364  -0.156 0.131  -0.156 -0.141  -0.156 -0.413  -0.062 -0.646  -0.062 -0.918  -0.062 -1.189  0.016 -1.429  -0.017 -1.389  -0.100 -1.130  -0.183 -0.871  -0.266 -0.613  -0.349 -0.354  -0.432 -0.095  -0.516 0.164  -0.599 0.422  -0.682 0.681  -0.765 0.940  -0.718 1.111  -0.609 1.273  -0.376 1.367  -0.104 1.367  0.168 1.367  0.440 1.367  0.677 1.283  0.687 1.016  0.578 0.789  0.358 0.663  0.152 0.490  -0.067 0.336  -0.319 0.255  -0.566 0.149  -0.531 0.081  -0.327 0.149  -0.055 0.149  0.217 0.149  0.464 0.090  0.684 -0.036  0.874 -0.228  0.874 -0.500  0.874 -0.772  0.760 -0.996  0.593 -1.199  0.418 -1.350  0.159 -1.433  -0.072 -1.538  -0.344 -1.538
2#apa#apa00#app0039/r  -0.372 1.337  -0.372 1.194  -0.372 1.051  -0.372 0.907  -0.372 0.764  -0.372 0.621  -0.372 0.478  -0.372 0.335  -0.372 0.191  -0.372 0.048  -0.372 -0.095  -0.372 -0.238  -0.372 -0.381  -0.372 -0.525  -0.372 -0.668  -0.372 -0.811  -0.372 -0.954  -0.372 -1.097  -0.372 -1.240  -0.303 -1.355  -0.218 -1.463  -0.218 -1.582  -0.218 -1.439  -0.218 -1.296  -0.218 -1.153  -0.218 -1.010  -0.218 -0.867  -0.218 -0.723  -0.218 -0.580  -0.218 -0.437  -0.218 -0.294  -0.218 -0.151  -0.218 -0.007  -0.203 0.132  -0.139 0.260  -0.075 0.388  0.054 0.411  0.091 0.518  0.158 0.633  0.266 0.720  0.409 0.720  0.552 0.720  0.654 0.820  0.775 0.874  0.918 0.874  1.061 0.874  1.204 0.874  1.347 0.874  1.490 0.874  1.634 0.874
2#apa#apa00#app0039/o  0.229 0.990  0.229 1.130  0.090 1.130  -0.010 1.032  -0.109 0.933  -0.212 0.839  -0.337 0.777  -0.463 0.714  -0.531 0.595  -0.594 0.470  -0.681 0.361  -0.780 0.262  -0.879 0.163  -0.897 0.031  -0.897 -0.109  -0.897 -0.249  -0.897 -0.390  -0.897 -0.530  -0.819 -0.637  -0.756 -0.752  -0.720 -0.877  -0.621 -0.976  -0.497 -1.041  -0.372 -1.103  -0.236 -1.122  -0.096 -1.122  0.044 -1.122  0.184 -1.122  0.324 -1.122  0.464 -1.122  0.577 -1.056  0.651 -0.947  0.651 -0.807  0.651 -0.666  0.651 -0.526  0.651 -0.386  0.651 -0.246  0.651 -0.106  0.651 0.034  0.651 0.174  0.651 0.314  0.651 0.455  0.651 0.595  0.651 0.735  0.651 0.875  0.627 0.998  0.494 1.042  0.361 1.086  0.229 1.131  0.229 1.271
2#apa#apa00#app0039/w  -0.953 0.838  -0.914 0.994  -0.774 1.072  -0.601 1.072  -0.640 0.917  -0.718 0.777  -0.800 0.639  -0.838 0.482  -0.915 0.327  -0.953 0.164  -0.953 -0.008  -0.953 -0.180  -0.953 -0.353  -0.900 -0.503  -0.835 -0.649  -0.817 -0.802  -0.718 -0.876  -0.627 -1.011  -0.484 -1.019  -0.432 -0.868  -0.310 -0.746  -0.249 -0.599  -0.249 -0.427  -0.193 -0.278  -0.132 -0.131  -0.115 0.035  -0.015 0.165  -0.015 0.338  0.102 0.393  0.102 0.408  0.102 0.236  0.102 0.064  0.102 -0.109  0.148 -0.262  0.269 -0.384  0.391 -0.506  0.538 -0.568  0.710 -0.568  0.882 -0.568  1.050 -0.557  1.157 -0.429  1.211 -0.279  1.274 -0.133  1.274 0.039  1.274 0.211  1.274 0.383  1.274 0.556  1.274 0.728  1.274 0.900  1.274 1.072
2#apa#apa00#app0039/n  -0.750 1.245  -0.755 1.117  -0.878 1.106  -0.878 0.973  -0.878 0.839  -0.878 0.706  -0.878 0.572  -0.878 0.439  -0.878 0.305  -0.878 0.172  -0.854 0.044  -0.795 -0.076  -0.750 -0.199  -0.711 -0.294  -0.622 -0.337  -0.622 -0.471  -0.622 -0.496  -0.562 -0.422  -0.493 -0.357  -0.493 -0.223  -0.493 -0.090  -0.493 0.044  -0.432 0.152  -0.365 0.258  -0.334 0.378  -0.240 0.473  -0.108 0.477  -0.014 0.571  0.106 0.604  0.240 0.604  0.373 0.604  0.404 0.501  0.481 0.399  0.532 0.287  0.579 0.173  0.661 0.074  0.661 -0.060  0.689 -0.165  0.789 -0.199  0.789 -0.332  0.809 -0.461  0.868 -0.581  0.917 -0.702  0.938 -0.827  1.032 -0.922  1.127 -1.016  1.221 -1.111  1.319 -1.200  1.439 -1.260  1.558 -1.319
