1d#tos#f3#f3072063/$  0.579 0.652  0.579 0.616  0.399 0.742  0.127 0.742  -0.143 0.740  -0.356 0.626  -0.588 0.517  -0.775 0.336  -0.963 0.183  -1.044 -0.062  -0.916 -0.205  -0.654 -0.250  -0.401 -0.295  -0.140 -0.340  0.113 -0.385  0.329 -0.475  0.554 -0.530  0.727 -0.656  0.760 -0.895  0.590 -1.097  0.341 -1.152  0.081 -1.200  -0.110 -1.332  -0.225 -1.184  -0.190 -0.914  -0.154 -0.644  -0.119 -0.375  -0.084 -0.105  -0.049 0.165  -0.014 0.434  0.021 0.704  0.057 0.973  0.092 1.243  0.127 1.513  0.162 1.782  -0.007 1.867  -0.007 1.595  0.038 1.342  -0.007 1.080  0.008 0.809  0.034 0.539  0.060 0.268  0.086 -0.003  0.112 -0.273  0.138 -0.544  0.164 -0.815  0.191 -1.085  0.217 -1.356  0.128 -1.512  0.128 -1.783
1d#tos#f3#f3072063/(  0.674 1.448  0.589 1.448  0.503 1.448  0.497 1.368  0.449 1.330  0.423 1.270  0.337 1.270  0.271 1.222  0.252 1.144  0.201 1.080  0.173 1.006  0.112 0.945  0.051 0.884  -0.023 0.856  -0.036 0.783  -0.036 0.697  -0.083 0.631  -0.157 0.588  -0.214 0.538  -0.214 0.452  -0.221 0.368  -0.260 0.291  -0.273 0.208  -0.273 0.122  -0.273 0.036  -0.281 -0.048  -0.319 -0.125  -0.333 -0.207  -0.333 -0.293  -0.333 -0.379  -0.333 -0.465  -0.333 -0.551  -0.322 -0.625  -0.273 -0.663  -0.273 -0.749  -0.273 -0.835  -0.232 -0.904  -0.155 -0.923  -0.155 -1.009  -0.100 -1.040  -0.036 -1.062  -0.036 -1.148  0.039 -1.159  0.082 -1.201  0.151 -1.218  0.201 -1.254  0.204 -1.336  0.281 -1.358  0.319 -1.428  0.378 -1.455
1d#tos#f3#f3072063/+  -1.026 -0.152  -1.170 -0.248  -1.319 -0.330  -1.270 -0.330  -1.096 -0.330  -0.923 -0.330  -0.749 -0.330  -0.575 -0.330  -0.401 -0.330  -0.228 -0.330  -0.054 -0.330  0.120 -0.330  0.294 -0.330  0.467 -0.330  0.641 -0.330  0.797 -0.287  0.952 -0.241  1.110 -0.226  1.193 -0.142  1.103 0.006  1.012 0.154  0.921 0.302  0.831 0.451  0.740 0.599  0.650 0.747  0.559 0.895  0.468 1.044  0.378 1.192  0.287 1.340  0.175 1.450  0.008 1.409  -0.136 1.338  -0.136 1.165  -0.136 0.991  -0.136 0.817  -0.136 0.643  -0.136 0.470  -0.136 0.296  -0.136 0.122  -0.170 -0.044  -0.225 -0.204  -0.225 -0.378  -0.225 -0.552  -0.225 -0.726  -0.225 -0.899  -0.263 -1.067  -0.314 -1.233  -0.314 -1.406  -0.314 -1.580  -0.314 -1.754
1d#tos#f3#f3072063/,  0.799 1.338  0.720 1.338  0.641 1.338  0.641 1.259  0.641 1.179  0.641 1.100  0.640 1.022  0.561 1.022  0.482 1.022  0.403 1.022  0.325 1.021  0.325 0.942  0.325 0.862  0.325 0.783  0.325 0.704  0.325 0.625  0.325 0.546  0.325 0.467  0.323 0.389  0.252 0.353  0.181 0.318  0.110 0.283  0.040 0.247  0.009 0.187  0.009 0.108  0.009 0.029  0.009 -0.050  -0.023 -0.116  -0.079 -0.172  -0.135 -0.228  -0.176 -0.295  -0.211 -0.366  -0.247 -0.436  -0.282 -0.507  -0.317 -0.578  -0.353 -0.649  -0.388 -0.720  -0.423 -0.790  -0.459 -0.861  -0.466 -0.939  -0.466 -1.018  -0.466 -1.097  -0.466 -1.176  -0.511 -1.236  -0.567 -1.292  -0.623 -1.348  -0.702 -1.349  -0.781 -1.349  -0.782 -1.427  -0.782 -1.507
1d#tos#f3#f3072063/.  0.683 1.475  0.683 1.403  0.683 1.331  0.683 1.259  0.683 1.188  0.683 1.116  0.683 1.044  0.683 0.972  0.683 0.901  0.683 0.829  0.683 0.757  0.683 0.685  0.683 0.614  0.673 0.546  0.622 0.495  0.572 0.445  0.521 0.394  0.470 0.343  0.419 0.293  0.369 0.242  0.318 0.191  0.267 0.140  0.216 0.090  0.166 0.039  0.115 -0.012  0.064 -0.063  0.014 -0.113  -0.037 -0.164  -0.088 -0.215  -0.139 -0.265  -0.189 -0.316  -0.240 -0.367  -0.291 -0.418  -0.342 -0.468  -0.392 -0.519  -0.443 -0.570  -0.494 -0.621  -0.544 -0.671  -0.595 -0.722  -0.646 -0.773  -0.697 -0.823  -0.747 -0.874  -0.798 -0.925  -0.849 -0.976  -0.900 -1.026  -0.950 -1.077  -1.001 -1.128  -1.052 -1.179  -1.102 -1.229  -1.153 -1.280
1d#tos#f3#f3072063/:  0.158 1.433  0.083 1.433  0.007 1.433  -0.069 1.433  -0.144 1.433  -0.153 1.366  -0.153 1.290  -0.142 1.225  -0.067 1.225  -0.049 1.167  -0.049 1.091  -0.049 1.016  -0.040 0.940  -0.031 0.865  -0.022 0.790  -0.014 0.715  -0.005 0.640  0.004 0.564  0.013 0.489  0.022 0.414  0.031 0.339  0.039 0.264  0.048 0.188  0.057 0.113  0.066 0.038  0.075 -0.037  0.084 -0.112  0.093 -0.188  0.101 -0.263  0.110 -0.338  0.119 -0.413  0.128 -0.488  0.137 -0.564  0.146 -0.639  0.154 -0.714  0.158 -0.789  0.158 -0.865  0.158 -0.941  0.108 -0.989  0.045 -1.031  -0.018 -1.073  -0.081 -1.115  -0.144 -1.157  -0.153 -1.228  -0.153 -1.304  -0.153 -1.380  -0.153 -1.455  -0.153 -1.531  -0.153 -1.607  -0.153 -1.683
1d#tos#f3#f3072063/;  0.026 1.998  -0.053 1.966  -0.053 1.854  -0.053 1.743  -0.003 1.682  0.063 1.609  0.104 1.507  0.096 1.397  0.088 1.286  0.080 1.175  0.072 1.064  0.064 0.953  0.056 0.842  0.048 0.732  0.041 0.621  0.033 0.510  0.025 0.399  0.017 0.288  0.009 0.177  0.001 0.067  -0.007 -0.044  -0.015 -0.155  -0.023 -0.266  -0.031 -0.377  -0.039 -0.488  -0.047 -0.599  -0.064 -0.707  -0.114 -0.806  -0.202 -0.842  -0.210 -0.739  -0.171 -0.645  -0.092 -0.566  0.003 -0.527  0.114 -0.527  0.184 -0.568  0.184 -0.679  0.184 -0.790  0.184 -0.901  0.184 -1.012  0.139 -1.079  0.028 -1.079  -0.083 -1.079  -0.194 -1.079  -0.210 -0.984  -0.210 -0.873  -0.154 -0.786  -0.052 -0.764  -0.003 -0.863  0.026 -0.968  0.026 -1.079
1d#tos#f3#f3072063/=  -0.133 1.209  -0.288 1.209  -0.442 1.209  -0.566 1.178  -0.566 1.024  -0.580 0.884  -0.735 0.884  -0.783 0.777  -0.630 0.776  -0.502 0.712  -0.366 0.667  -0.212 0.667  -0.057 0.667  0.097 0.667  0.251 0.667  0.406 0.667  0.560 0.667  0.624 0.578  0.507 0.491  0.373 0.413  0.240 0.335  0.107 0.257  -0.026 0.180  -0.160 0.102  -0.293 0.024  -0.426 -0.054  -0.560 -0.131  -0.674 -0.220  -0.674 -0.374  -0.788 -0.415  -0.891 -0.467  -0.891 -0.621  -0.747 -0.631  -0.674 -0.713  -0.546 -0.739  -0.392 -0.739  -0.238 -0.739  -0.086 -0.755  0.061 -0.804  0.208 -0.848  0.362 -0.848  0.517 -0.848  0.671 -0.848  0.825 -0.848  0.980 -0.848  1.134 -0.848  1.288 -0.848  1.443 -0.848  1.566 -0.923  1.707 -0.956
1d#tos#f3#f3072063/?  -0.244 0.175  -0.371 0.150  -0.449 0.033  -0.576 0.009  -0.649 0.119  -0.687 0.222  -0.696 0.360  -0.742 0.490  -0.742 0.631  -0.742 0.771  -0.631 0.843  -0.568 0.957  -0.465 1.023  -0.362 1.060  -0.221 1.060  -0.081 1.060  0.060 1.060  0.201 1.060  0.341 1.060  0.447 0.977  0.563 0.917  0.641 0.841  0.700 0.725  0.752 0.606  0.807 0.521  0.752 0.436  0.697 0.351  0.627 0.271  0.527 0.175  0.475 0.086  0.365 0.056  0.326 -0.047  0.186 -0.047  0.143 -0.145  0.029 -0.213  -0.023 -0.302  -0.068 -0.424  -0.078 -0.560  -0.078 -0.701  -0.078 -0.841  -0.023 -0.926  -0.014 -1.065  0.035 -1.197  0.085 -1.328  0.134 -1.460  0.141 -1.597  0.024 -1.675  -0.093 -1.753  -0.189 -1.843  -0.189 -1.983
1d#tos#f3#f3072063/@  0.063 -1.443  -0.114 -1.502  -0.273 -1.568  -0.459 -1.568  -0.561 -1.484  -0.581 -1.318  -0.624 -1.175  -0.686 -1.051  -0.742 -0.888  -0.749 -0.705  -0.749 -0.519  -0.749 -0.333  -0.749 -0.147  -0.749 0.039  -0.673 0.194  -0.624 0.360  -0.587 0.540  -0.499 0.659  -0.364 0.752  -0.261 0.905  -0.153 0.992  -0.039 1.097  0.125 1.133  0.265 1.179  0.451 1.179  0.637 1.179  0.692 1.044  0.790 0.889  0.875 0.774  0.904 0.617  0.957 0.473  0.999 0.304  0.999 0.118  0.999 -0.068  0.878 -0.132  0.754 -0.194  0.693 -0.319  0.559 -0.444  0.375 -0.447  0.249 -0.506  0.125 -0.444  0.000 -0.346  -0.096 -0.257  -0.187 -0.162  -0.201 0.021  -0.249 0.196  -0.249 0.382  -0.249 0.568  -0.176 0.683  0.000 0.742
1d#tos#f3#f3072063/_  -0.792 0.188  -0.873 0.188  -0.954 0.188  -1.020 0.154  -1.077 0.097  -1.156 0.092  -1.236 0.092  -1.317 0.092  -1.373 0.067  -1.365 -0.005  -1.285 -0.005  -1.204 -0.005  -1.123 -0.005  -1.043 -0.005  -0.962 -0.005  -0.881 -0.005  -0.800 -0.005  -0.720 -0.005  -0.639 -0.005  -0.558 -0.005  -0.478 -0.005  -0.397 -0.005  -0.316 -0.005  -0.236 -0.005  -0.155 -0.005  -0.074 -0.005  0.006 -0.005  0.087 -0.005  0.168 -0.005  0.249 -0.005  0.329 -0.005  0.410 -0.005  0.491 -0.005  0.571 -0.005  0.652 -0.005  0.733 -0.005  0.813 -0.005  0.894 -0.005  0.975 -0.005  1.053 -0.011  1.110 -0.068  1.177 -0.102  1.257 -0.102  1.338 -0.102  1.419 -0.102  1.499 -0.102  1.580 -0.102  1.661 -0.102  1.741 -0.102  1.822 -0.102
