1c#app#app31#app3159/o  -0.027 0.269  -0.027 0.423  -0.146 0.459  -0.300 0.459  -0.454 0.459  -0.605 0.451  -0.714 0.342  -0.838 0.269  -0.977 0.253  -0.977 0.099  -1.072 -0.016  -1.167 -0.131  -1.167 -0.285  -1.167 -0.439  -1.167 -0.594  -1.100 -0.681  -0.949 -0.695  -0.811 -0.764  -0.673 -0.833  -0.528 -0.871  -0.374 -0.871  -0.220 -0.871  -0.065 -0.871  0.089 -0.871  0.220 -0.815  0.329 -0.705  0.473 -0.681  0.628 -0.681  0.768 -0.647  0.877 -0.538  0.986 -0.429  1.095 -0.320  1.204 -0.210  1.303 -0.097  1.303 0.057  1.244 0.197  1.175 0.335  1.102 0.470  0.993 0.579  0.867 0.649  0.719 0.663  0.610 0.772  0.483 0.839  0.329 0.839  0.174 0.839  0.020 0.839  -0.134 0.839  -0.288 0.839  -0.443 0.839  -0.597 0.839
1c#app#app31#app3159/f  0.745 1.750  0.585 1.750  0.425 1.750  0.284 1.705  0.171 1.592  0.057 1.479  -0.056 1.365  -0.139 1.231  -0.211 1.088  -0.227 0.931  -0.292 0.787  -0.364 0.643  -0.366 0.484  -0.366 0.324  -0.366 0.164  -0.366 0.004  -0.366 -0.156  -0.366 -0.316  -0.366 -0.476  -0.350 -0.630  -0.236 -0.743  -0.161 -0.884  -0.090 -1.027  0.023 -1.141  0.136 -1.254  0.249 -1.367  0.362 -1.480  0.463 -1.575  0.404 -1.427  0.345 -1.278  0.285 -1.130  0.226 -0.981  0.166 -0.832  0.107 -0.684  0.047 -0.535  -0.012 -0.386  -0.072 -0.238  -0.203 -0.196  -0.324 -0.100  -0.466 -0.057  -0.505 0.064  -0.502 0.221  -0.342 0.221  -0.182 0.221  -0.022 0.221  0.138 0.221  0.298 0.221  0.458 0.221  0.602 0.154  0.745 0.082
1c#app#app31#app3159/s  0.229 1.753  0.229 1.629  0.229 1.504  0.229 1.379  0.198 1.285  0.073 1.285  -0.052 1.285  -0.177 1.285  -0.239 1.223  -0.239 1.098  -0.239 0.973  -0.239 0.848  -0.239 0.723  -0.239 0.598  -0.162 0.505  -0.074 0.417  -0.005 0.321  -0.005 0.196  0.025 0.083  0.114 -0.005  0.202 -0.093  0.307 -0.159  0.418 -0.215  0.530 -0.271  0.642 -0.327  0.742 -0.399  0.830 -0.487  0.918 -0.575  0.932 -0.695  0.932 -0.819  0.810 -0.823  0.685 -0.823  0.560 -0.823  0.436 -0.823  0.311 -0.823  0.186 -0.823  0.061 -0.823  -0.058 -0.797  -0.169 -0.741  -0.281 -0.685  -0.393 -0.629  -0.508 -0.589  -0.633 -0.589  -0.758 -0.589  -0.883 -0.589  -1.008 -0.589  -1.133 -0.589  -1.119 -0.646  -1.030 -0.735  -0.942 -0.823
1c#app#app31#app3159/a  0.578 0.776  0.405 0.776  0.246 0.744  0.124 0.622  0.002 0.500  -0.160 0.475  -0.332 0.475  -0.505 0.475  -0.677 0.475  -0.850 0.475  -0.993 0.406  -1.115 0.284  -1.237 0.162  -1.359 0.040  -1.481 -0.082  -1.524 -0.237  -1.524 -0.409  -1.413 -0.536  -1.291 -0.658  -1.147 -0.725  -0.974 -0.725  -0.802 -0.725  -0.630 -0.725  -0.506 -0.608  -0.384 -0.486  -0.237 -0.425  -0.064 -0.425  0.070 -0.333  0.192 -0.211  0.329 -0.125  0.501 -0.125  0.645 -0.057  0.767 0.065  0.878 0.191  0.878 0.364  0.878 0.536  0.878 0.708  0.803 0.701  0.682 0.579  0.578 0.450  0.578 0.277  0.627 0.126  0.749 0.004  0.871 -0.118  0.878 -0.288  0.913 -0.425  1.085 -0.425  1.234 -0.482  1.356 -0.603  1.478 -0.725
1c#app#app31#app3159/r  -0.612 -0.037  -0.491 -0.037  -0.370 -0.037  -0.341 -0.130  -0.341 -0.251  -0.341 -0.372  -0.341 -0.493  -0.366 -0.604  -0.451 -0.689  -0.537 -0.775  -0.612 -0.865  -0.612 -0.986  -0.612 -1.107  -0.612 -1.228  -0.612 -1.349  -0.612 -1.314  -0.612 -1.193  -0.577 -1.086  -0.492 -1.001  -0.406 -0.915  -0.341 -0.821  -0.341 -0.700  -0.341 -0.579  -0.287 -0.471  -0.233 -0.362  -0.179 -0.254  -0.124 -0.146  -0.070 -0.038  -0.070 0.083  -0.070 0.204  0.022 0.234  0.143 0.234  0.201 0.297  0.201 0.418  0.225 0.529  0.311 0.614  0.396 0.700  0.472 0.790  0.472 0.911  0.472 1.032  0.578 1.046  0.699 1.046  0.743 1.124  0.743 1.245  0.792 1.317  0.913 1.317  1.028 1.303  1.113 1.218  1.199 1.132  1.285 1.046
1c#app#app31#app3159/e  -0.668 -0.235  -0.668 -0.053  -0.508 -0.031  -0.326 -0.031  -0.144 -0.031  -0.056 0.063  0.016 0.173  0.198 0.173  0.380 0.173  0.562 0.173  0.744 0.173  0.926 0.173  1.107 0.173  1.167 0.295  1.096 0.448  0.968 0.576  0.839 0.705  0.690 0.785  0.508 0.785  0.326 0.785  0.144 0.785  -0.038 0.785  -0.219 0.785  -0.401 0.785  -0.583 0.785  -0.765 0.785  -0.925 0.731  -1.054 0.602  -1.182 0.474  -1.279 0.332  -1.279 0.150  -1.279 -0.032  -1.279 -0.214  -1.136 -0.307  -0.973 -0.388  -0.803 -0.439  -0.635 -0.472  -0.506 -0.600  -0.342 -0.643  -0.189 -0.713  -0.060 -0.842  0.120 -0.846  0.302 -0.846  0.483 -0.846  0.665 -0.846  0.847 -0.846  1.029 -0.846  1.211 -0.846  1.393 -0.846  1.575 -0.846
1c#app#app31#app3159/u  -0.689 0.962  -0.504 0.962  -0.664 0.962  -0.689 0.802  -0.689 0.618  -0.785 0.473  -0.885 0.330  -0.885 0.146  -0.903 -0.021  -1.082 -0.026  -1.082 -0.211  -1.082 -0.395  -1.082 -0.579  -1.082 -0.764  -1.082 -0.948  -0.953 -1.004  -0.769 -1.004  -0.615 -0.930  -0.484 -0.799  -0.354 -0.669  -0.194 -0.610  -0.099 -0.521  -0.044 -0.359  0.086 -0.229  0.216 -0.098  0.347 0.032  0.477 0.162  0.490 0.341  0.644 0.372  0.687 0.513  0.687 0.698  0.770 0.848  0.884 0.985  0.873 1.158  0.688 1.158  0.687 0.975  0.566 0.841  0.490 0.688  0.490 0.504  0.490 0.319  0.490 0.135  0.490 -0.050  0.490 -0.234  0.490 -0.418  0.490 -0.603  0.615 -0.735  0.761 -0.844  0.926 -0.927  1.092 -1.004  1.277 -1.004
1c#app#app31#app3159/n  -0.502 1.006  -0.502 0.823  -0.502 0.641  -0.502 0.458  -0.534 0.288  -0.663 0.159  -0.793 0.030  -0.922 -0.100  -0.960 -0.267  -0.960 -0.449  -0.997 -0.596  -1.180 -0.596  -1.189 -0.769  -1.189 -0.697  -1.108 -0.596  -0.960 -0.561  -0.960 -0.378  -0.839 -0.245  -0.709 -0.116  -0.580 0.013  -0.429 0.091  -0.254 0.110  -0.125 0.239  0.004 0.368  0.133 0.498  0.263 0.627  0.392 0.756  0.566 0.777  0.717 0.853  0.847 0.982  1.020 1.006  1.099 0.903  1.043 0.777  0.871 0.767  0.871 0.584  0.871 0.401  0.769 0.320  0.602 0.280  0.473 0.151  0.413 -0.007  0.413 -0.190  0.413 -0.372  0.413 -0.555  0.413 -0.738  0.481 -0.893  0.610 -1.022  0.780 -1.053  0.871 -1.146  0.917 -1.282  1.099 -1.282
1c#app#app31#app3159/d  -0.331 -0.377  -0.444 -0.314  -0.572 -0.264  -0.670 -0.342  -0.691 -0.511  -0.783 -0.649  -0.783 -0.826  -0.896 -0.955  -0.842 -1.110  -0.690 -1.169  -0.513 -1.169  -0.444 -1.061  -0.290 -1.015  -0.218 -0.868  -0.120 -0.732  0.005 -0.607  0.034 -0.437  0.113 -0.279  0.234 -0.151  0.234 0.025  0.291 0.189  0.363 0.349  0.419 0.517  0.481 0.682  0.560 0.840  0.639 0.998  0.686 1.164  0.696 1.338  0.775 1.496  0.789 1.657  0.613 1.657  0.512 1.534  0.460 1.370  0.372 1.230  0.247 1.105  0.163 0.950  0.095 0.788  0.039 0.620  -0.027 0.457  -0.105 0.299  -0.105 0.122  -0.105 -0.055  -0.105 -0.231  -0.105 -0.408  -0.105 -0.585  -0.105 -0.762  -0.105 -0.938  0.013 -1.067  0.092 -1.225  0.234 -1.282
1c#app#app31#app3159/e  -0.297 -0.182  -0.297 -0.018  -0.224 0.071  -0.060 0.071  0.103 0.071  0.208 0.013  0.208 -0.150  0.340 -0.182  0.504 -0.182  0.667 -0.182  0.830 -0.182  0.967 -0.155  0.967 0.009  0.967 0.172  0.967 0.336  0.967 0.499  0.967 0.662  0.967 0.826  0.808 0.830  0.665 0.879  0.549 0.995  0.422 1.083  0.259 1.083  0.096 1.083  -0.068 1.083  -0.231 1.083  -0.297 0.986  -0.305 0.830  -0.468 0.830  -0.608 0.772  -0.723 0.657  -0.803 0.527  -0.803 0.363  -0.803 0.200  -0.803 0.037  -0.803 -0.127  -0.803 -0.290  -0.803 -0.454  -0.803 -0.617  -0.737 -0.753  -0.622 -0.869  -0.550 -1.002  -0.550 -1.166  -0.414 -1.193  -0.265 -1.226  -0.149 -1.341  -0.029 -1.446  0.134 -1.446  0.298 -1.446  0.461 -1.446
1c#app#app31#app3159/f  1.045 1.056  1.045 1.191  1.036 1.319  0.913 1.331  0.896 1.450  0.760 1.450  0.625 1.450  0.498 1.429  0.402 1.333  0.336 1.215  0.275 1.094  0.215 0.972  0.154 0.851  0.125 0.722  0.125 0.587  0.069 0.474  -0.019 0.373  -0.080 0.251  -0.141 0.130  -0.202 0.009  -0.262 -0.113  -0.269 -0.247  -0.269 -0.382  -0.269 -0.518  -0.269 -0.654  -0.269 -0.790  -0.269 -0.925  -0.269 -1.061  -0.269 -1.197  -0.269 -1.332  -0.269 -1.468  -0.269 -1.541  -0.269 -1.405  -0.269 -1.269  -0.269 -1.133  -0.269 -0.998  -0.269 -0.862  -0.269 -0.726  -0.269 -0.591  -0.269 -0.455  -0.269 -0.319  -0.269 -0.184  -0.348 -0.127  -0.401 -0.044  -0.401 0.092  -0.401 0.044  -0.305 0.005  -0.198 -0.066  -0.102 -0.162  -0.006 -0.258
1c#app#app31#app3159/i  -0.213 -0.321  -0.213 -0.416  -0.238 -0.499  -0.304 -0.566  -0.365 -0.635  -0.365 -0.729  -0.365 -0.823  -0.365 -0.917  -0.365 -1.011  -0.365 -1.105  -0.365 -1.199  -0.365 -1.293  -0.365 -1.388  -0.338 -1.305  -0.310 -1.215  -0.282 -1.125  -0.254 -1.035  -0.226 -0.946  -0.198 -0.856  -0.170 -0.766  -0.142 -0.676  -0.114 -0.586  -0.086 -0.496  -0.058 -0.407  -0.030 -0.317  -0.002 -0.227  0.027 -0.137  0.055 -0.047  0.083 0.043  0.111 0.132  0.139 0.222  0.167 0.312  0.195 0.402  0.223 0.492  0.251 0.582  0.279 0.671  0.307 0.761  0.335 0.851  0.363 0.941  0.391 1.031  0.399 1.124  0.399 1.218  0.399 1.312  0.399 1.406  0.399 1.500  0.399 1.594  0.375 1.665  0.281 1.665  0.246 1.606  0.246 1.512
1c#app#app31#app3159/n  -0.529 0.282  -0.529 0.129  -0.529 -0.023  -0.529 -0.176  -0.576 -0.310  -0.684 -0.418  -0.792 -0.526  -0.801 -0.675  -0.821 -0.808  -0.974 -0.808  -1.074 -0.861  -1.074 -1.014  -1.074 -0.994  -1.074 -0.841  -1.074 -0.688  -1.074 -0.535  -0.921 -0.535  -0.801 -0.502  -0.801 -0.349  -0.754 -0.216  -0.646 -0.108  -0.538 0.000  -0.389 0.010  -0.242 0.024  -0.134 0.132  -0.026 0.240  0.082 0.348  0.190 0.456  0.298 0.564  0.406 0.672  0.514 0.780  0.622 0.888  0.731 0.996  0.841 1.100  0.993 1.100  1.106 1.060  1.106 0.907  1.106 0.754  1.106 0.601  1.000 0.555  0.847 0.555  0.834 0.415  0.834 0.262  0.834 0.109  0.834 -0.043  0.834 -0.196  0.834 -0.349  0.834 -0.502  0.834 -0.655  0.834 -0.808
1c#app#app31#app3159/e  -0.311 -0.231  -0.169 -0.231  -0.026 -0.231  0.116 -0.231  0.162 -0.327  0.164 -0.467  0.307 -0.467  0.449 -0.467  0.591 -0.467  0.734 -0.467  0.876 -0.467  1.019 -0.467  1.109 -0.415  1.109 -0.273  1.109 -0.130  1.109 0.012  1.109 0.155  1.071 0.281  0.970 0.382  0.869 0.483  0.768 0.584  0.668 0.684  0.636 0.813  0.633 0.953  0.490 0.953  0.348 0.953  0.205 0.953  0.063 0.953  -0.079 0.953  -0.222 0.953  -0.311 0.900  -0.311 0.758  -0.383 0.645  -0.484 0.544  -0.584 0.443  -0.685 0.343  -0.785 0.242  -0.785 0.099  -0.820 -0.029  -0.921 -0.130  -1.021 -0.230  -1.022 -0.373  -1.022 -0.515  -1.022 -0.658  -1.022 -0.800  -1.022 -0.942  -1.022 -1.085  -0.986 -1.213  -0.886 -1.313  -0.785 -1.414
1c#app#app31#app3159/d  -0.141 -0.286  -0.159 -0.118  -0.346 -0.118  -0.533 -0.118  -0.720 -0.118  -0.879 -0.185  -0.981 -0.329  -1.024 -0.498  -1.149 -0.633  -1.149 -0.820  -1.101 -0.959  -0.981 -0.891  -0.920 -0.730  -0.778 -0.622  -0.607 -0.584  -0.475 -0.452  -0.343 -0.320  -0.309 -0.148  -0.151 -0.118  -0.016 0.006  0.083 0.162  0.167 0.329  0.195 0.509  0.296 0.654  0.428 0.786  0.560 0.918  0.692 1.050  0.824 1.183  0.956 1.315  1.036 1.469  1.036 1.468  0.956 1.315  0.824 1.182  0.699 1.047  0.683 0.865  0.580 0.710  0.476 0.555  0.372 0.399  0.243 0.265  0.195 0.098  0.195 -0.089  0.195 -0.276  0.071 -0.411  0.027 -0.580  0.027 -0.766  0.027 -0.953  0.037 -1.136  0.169 -1.268  0.345 -1.295  0.363 -1.463
