1c#apb#apb18#app1802/a  0.851 0.393  0.780 0.560  0.727 0.733  0.653 0.896  0.539 1.036  0.445 1.189  0.369 1.354  0.275 1.508  0.171 1.657  0.079 1.577  0.014 1.408  -0.046 1.237  -0.101 1.064  -0.157 0.892  -0.216 0.721  -0.290 0.555  -0.365 0.390  -0.439 0.224  -0.512 0.058  -0.580 -0.109  -0.648 -0.277  -0.717 -0.445  -0.777 -0.616  -0.832 -0.789  -0.887 -0.961  -0.955 -1.130  -0.900 -1.251  -0.745 -1.161  -0.593 -1.063  -0.463 -0.937  -0.339 -0.805  -0.215 -0.673  -0.093 -0.539  0.027 -0.404  0.148 -0.269  0.251 -0.120  0.344 0.035  0.437 0.191  0.528 0.348  0.593 0.278  0.565 0.099  0.523 -0.077  0.471 -0.250  0.419 -0.424  0.350 -0.592  0.281 -0.759  0.240 -0.935  0.215 -1.114  0.229 -1.294  0.349 -1.410
1c#apb#apb18#app1802/y  -0.154 1.522  -0.135 1.419  -0.128 1.303  -0.153 1.189  -0.178 1.075  -0.204 0.961  -0.234 0.849  -0.264 0.736  -0.294 0.624  -0.323 0.511  -0.351 0.398  -0.360 0.282  -0.360 0.166  -0.263 0.178  -0.185 0.265  -0.106 0.351  -0.027 0.436  0.030 0.537  0.082 0.641  0.135 0.745  0.196 0.844  0.257 0.944  0.309 0.967  0.342 0.855  0.352 0.743  0.326 0.629  0.301 0.515  0.275 0.402  0.250 0.288  0.224 0.174  0.199 0.061  0.174 -0.053  0.149 -0.167  0.124 -0.281  0.099 -0.395  0.075 -0.509  0.051 -0.623  0.027 -0.737  0.003 -0.851  -0.021 -0.965  -0.038 -1.079  -0.038 -1.196  -0.038 -1.312  -0.038 -1.429  -0.038 -1.545  -0.037 -1.662  -0.025 -1.778  -0.012 -1.893  0.001 -2.009  0.014 -2.125
1c#apb#apb18#app1802/u  -0.581 1.160  -0.465 1.137  -0.391 1.057  -0.338 0.951  -0.360 0.835  -0.384 0.719  -0.409 0.603  -0.436 0.487  -0.466 0.372  -0.496 0.258  -0.526 0.143  -0.556 0.028  -0.588 -0.087  -0.623 -0.200  -0.658 -0.313  -0.694 -0.426  -0.729 -0.540  -0.752 -0.656  -0.774 -0.773  -0.795 -0.890  -0.779 -1.007  -0.749 -1.115  -0.642 -1.168  -0.532 -1.126  -0.421 -1.083  -0.310 -1.040  -0.213 -0.978  -0.137 -0.887  -0.061 -0.796  0.015 -0.704  0.091 -0.613  0.167 -0.522  0.242 -0.430  0.315 -0.337  0.388 -0.243  0.461 -0.150  0.534 -0.056  0.608 0.037  0.681 0.131  0.754 0.224  0.814 0.327  0.871 0.431  0.928 0.535  0.986 0.639  1.043 0.743  1.100 0.847  1.147 0.955  1.194 1.065  1.241 1.174  1.288 1.283
1c#apb#apb18#app1802/n  -0.471 0.946  -0.487 0.783  -0.503 0.621  -0.520 0.458  -0.537 0.296  -0.571 0.136  -0.605 -0.024  -0.638 -0.183  -0.685 -0.339  -0.758 -0.485  -0.831 -0.631  -0.905 -0.776  -0.985 -0.919  -1.056 -1.065  -1.051 -1.017  -0.965 -0.878  -0.880 -0.739  -0.792 -0.601  -0.700 -0.466  -0.609 -0.331  -0.517 -0.196  -0.425 -0.061  -0.333 0.074  -0.236 0.206  -0.133 0.332  -0.029 0.459  0.074 0.585  0.177 0.711  0.281 0.838  0.404 0.945  0.529 1.049  0.655 1.154  0.813 1.168  0.942 1.121  0.994 0.966  1.045 0.811  1.040 0.649  1.023 0.487  1.007 0.324  0.991 0.162  0.924 0.014  0.854 -0.134  0.783 -0.281  0.713 -0.429  0.646 -0.578  0.584 -0.729  0.522 -0.880  0.460 -1.031  0.406 -1.185  0.355 -1.340
1c#apb#apb18#app1802/e  -0.729 -0.096  -0.579 -0.036  -0.427 0.019  -0.282 0.086  -0.151 0.181  -0.048 0.301  0.037 0.439  0.121 0.577  0.204 0.715  0.293 0.849  0.397 0.973  0.491 1.103  0.563 1.248  0.598 1.362  0.467 1.268  0.356 1.150  0.246 1.033  0.135 0.915  0.021 0.801  -0.093 0.687  -0.208 0.573  -0.319 0.456  -0.424 0.333  -0.529 0.210  -0.634 0.088  -0.736 -0.038  -0.836 -0.164  -0.936 -0.291  -1.023 -0.427  -1.100 -0.569  -1.117 -0.723  -1.046 -0.851  -0.911 -0.937  -0.750 -0.953  -0.589 -0.968  -0.430 -0.967  -0.273 -0.928  -0.116 -0.889  0.041 -0.850  0.198 -0.814  0.356 -0.779  0.513 -0.743  0.671 -0.707  0.810 -0.625  0.947 -0.541  1.085 -0.456  1.222 -0.372  1.364 -0.293  1.505 -0.216  1.647 -0.138
1c#apb#apb18#app1802/p  -0.815 -1.840  -0.785 -1.736  -0.751 -1.633  -0.717 -1.530  -0.682 -1.426  -0.648 -1.323  -0.616 -1.220  -0.604 -1.112  -0.592 -1.004  -0.574 -0.896  -0.555 -0.789  -0.536 -0.682  -0.522 -0.574  -0.510 -0.466  -0.484 -0.362  -0.443 -0.261  -0.401 -0.161  -0.353 -0.064  -0.295 0.028  -0.237 0.120  -0.179 0.212  -0.120 0.304  -0.058 0.392  0.007 0.480  0.071 0.568  0.135 0.656  0.199 0.743  0.263 0.831  0.330 0.917  0.398 1.002  0.466 1.086  0.534 1.171  0.628 1.212  0.726 1.200  0.792 1.124  0.774 1.016  0.757 0.909  0.739 0.802  0.693 0.703  0.647 0.605  0.601 0.506  0.555 0.408  0.497 0.316  0.435 0.227  0.372 0.138  0.309 0.049  0.244 -0.037  0.173 -0.120  0.103 -0.203  0.032 -0.286
1c#apb#apb18#app1802/r  -0.700 -1.540  -0.700 -1.466  -0.697 -1.393  -0.689 -1.319  -0.682 -1.246  -0.675 -1.173  -0.667 -1.099  -0.660 -1.026  -0.653 -0.953  -0.645 -0.879  -0.623 -0.810  -0.595 -0.742  -0.567 -0.673  -0.539 -0.605  -0.511 -0.537  -0.484 -0.469  -0.456 -0.400  -0.428 -0.332  -0.400 -0.264  -0.365 -0.200  -0.325 -0.138  -0.284 -0.076  -0.244 -0.014  -0.204 0.048  -0.164 0.109  -0.124 0.171  -0.084 0.233  -0.043 0.295  0.001 0.353  0.051 0.407  0.101 0.461  0.151 0.515  0.202 0.569  0.252 0.623  0.302 0.677  0.353 0.730  0.418 0.765  0.482 0.800  0.547 0.836  0.612 0.871  0.678 0.903  0.749 0.924  0.819 0.945  0.890 0.966  0.958 0.973  1.019 0.932  1.081 0.891  1.135 0.843  1.181 0.785  1.227 0.727
1c#apb#apb18#app1802/i  0.453 0.596  0.453 0.477  0.453 0.358  0.453 0.238  0.412 0.126  0.371 0.014  0.330 -0.098  0.289 -0.210  0.247 -0.322  0.205 -0.433  0.161 -0.544  0.117 -0.655  0.073 -0.766  0.030 -0.877  -0.014 -0.988  -0.060 -1.098  -0.106 -1.208  -0.153 -1.318  -0.199 -1.428  -0.242 -1.523  -0.234 -1.404  -0.225 -1.285  -0.216 -1.166  -0.208 -1.047  -0.199 -0.928  -0.191 -0.809  -0.182 -0.690  -0.173 -0.571  -0.165 -0.452  -0.156 -0.333  -0.148 -0.214  -0.139 -0.095  -0.130 0.024  -0.122 0.143  -0.113 0.262  -0.105 0.381  -0.096 0.500  -0.088 0.619  -0.079 0.738  -0.070 0.857  -0.062 0.976  -0.053 1.095  -0.045 1.214  -0.036 1.333  -0.027 1.452  -0.019 1.571  -0.010 1.690  -0.002 1.809  0.007 1.928  0.016 2.047
1c#apb#apb18#app1802/l  0.307 1.655  0.320 1.587  0.332 1.519  0.345 1.451  0.336 1.382  0.323 1.314  0.310 1.246  0.297 1.178  0.283 1.110  0.270 1.042  0.257 0.974  0.242 0.906  0.224 0.839  0.205 0.772  0.187 0.705  0.168 0.638  0.149 0.572  0.131 0.505  0.112 0.438  0.093 0.371  0.075 0.304  0.056 0.237  0.037 0.170  0.019 0.104  0.002 0.036  -0.015 -0.031  -0.031 -0.099  -0.047 -0.166  -0.063 -0.234  -0.079 -0.301  -0.095 -0.369  -0.111 -0.436  -0.128 -0.504  -0.144 -0.571  -0.160 -0.639  -0.176 -0.706  -0.192 -0.774  -0.208 -0.841  -0.223 -0.909  -0.237 -0.977  -0.252 -1.045  -0.266 -1.113  -0.281 -1.180  -0.295 -1.248  -0.310 -1.316  -0.324 -1.384  -0.339 -1.452  -0.353 -1.520  -0.368 -1.588  -0.382 -1.655
1c#apb#apb18#app1802/e  -0.662 -0.163  -0.516 -0.207  -0.370 -0.230  -0.225 -0.182  -0.086 -0.121  0.046 -0.045  0.173 0.039  0.280 0.146  0.375 0.265  0.471 0.384  0.566 0.503  0.656 0.626  0.731 0.759  0.807 0.891  0.860 1.033  0.895 1.181  0.933 1.329  0.842 1.373  0.699 1.319  0.581 1.223  0.467 1.122  0.352 1.022  0.239 0.919  0.131 0.811  0.023 0.703  -0.085 0.595  -0.193 0.488  -0.289 0.370  -0.382 0.248  -0.474 0.127  -0.567 0.006  -0.657 -0.117  -0.740 -0.246  -0.822 -0.374  -0.905 -0.502  -0.940 -0.648  -0.963 -0.799  -0.919 -0.932  -0.826 -1.053  -0.697 -1.119  -0.548 -1.154  -0.400 -1.189  -0.252 -1.174  -0.104 -1.136  0.043 -1.097  0.191 -1.059  0.340 -1.027  0.490 -0.998  0.640 -0.970  0.790 -0.941
1c#apb#apb18#app1802/c  0.531 0.625  0.531 0.732  0.531 0.839  0.531 0.946  0.531 1.053  0.531 1.160  0.531 1.267  0.531 1.374  0.475 1.406  0.389 1.342  0.313 1.268  0.248 1.183  0.184 1.097  0.120 1.012  0.056 0.926  -0.001 0.836  -0.050 0.741  -0.100 0.646  -0.149 0.551  -0.198 0.456  -0.247 0.361  -0.296 0.266  -0.348 0.173  -0.401 0.080  -0.453 -0.014  -0.505 -0.107  -0.557 -0.200  -0.601 -0.297  -0.623 -0.402  -0.645 -0.506  -0.667 -0.611  -0.679 -0.717  -0.679 -0.824  -0.679 -0.931  -0.604 -1.000  -0.518 -1.062  -0.428 -1.117  -0.322 -1.129  -0.216 -1.141  -0.109 -1.152  -0.005 -1.139  0.097 -1.107  0.199 -1.075  0.301 -1.043  0.386 -0.984  0.462 -0.908  0.538 -0.833  0.613 -0.757  0.689 -0.681  0.764 -0.606
