1c#app#app32#app3269/r  -0.205 0.842  -0.205 0.711  -0.205 0.579  -0.205 0.447  -0.205 0.315  -0.205 0.184  -0.205 0.052  -0.205 -0.080  -0.205 -0.212  -0.205 -0.343  -0.205 -0.475  -0.205 -0.607  -0.205 -0.739  -0.205 -0.870  -0.205 -1.002  -0.205 -1.134  -0.205 -1.266  -0.205 -1.397  -0.205 -1.500  -0.205 -1.368  -0.269 -1.300  -0.401 -1.300  -0.420 -1.187  -0.406 -1.059  -0.347 -0.941  -0.288 -0.823  -0.229 -0.705  -0.205 -0.579  -0.205 -0.447  -0.205 -0.316  -0.205 -0.184  -0.205 -0.052  -0.139 0.052  -0.045 0.145  0.033 0.249  0.092 0.366  0.151 0.484  0.210 0.602  0.223 0.731  0.237 0.857  0.331 0.950  0.424 1.043  0.438 1.169  0.467 1.271  0.599 1.271  0.708 1.327  0.801 1.420  0.894 1.513  0.987 1.606  1.080 1.700
1c#app#app32#app3269/e  -0.516 0.432  -0.356 0.432  -0.197 0.432  -0.037 0.432  0.123 0.432  0.251 0.358  0.370 0.259  0.524 0.253  0.524 0.093  0.676 0.086  0.697 -0.053  0.822 -0.087  0.981 -0.087  1.043 0.010  1.043 0.170  0.994 0.309  0.881 0.422  0.870 0.577  0.739 0.606  0.697 0.723  0.593 0.779  0.460 0.842  0.346 0.952  0.186 0.952  0.027 0.952  -0.133 0.952  -0.293 0.952  -0.420 0.875  -0.533 0.762  -0.646 0.649  -0.759 0.536  -0.863 0.420  -0.863 0.260  -0.863 0.100  -0.863 -0.059  -0.863 -0.219  -0.863 -0.379  -0.863 -0.538  -0.863 -0.698  -0.808 -0.835  -0.695 -0.948  -0.582 -1.061  -0.469 -1.174  -0.357 -1.287  -0.203 -1.300  -0.080 -1.390  0.045 -1.474  0.204 -1.474  0.364 -1.474  0.524 -1.474
1c#app#app32#app3269/p  -0.279 0.614  -0.334 0.453  -0.386 0.292  -0.386 0.109  -0.386 -0.075  -0.386 -0.258  -0.386 -0.441  -0.386 -0.624  -0.369 -0.803  -0.287 -0.967  -0.252 -1.142  -0.173 -1.306  -0.115 -1.466  -0.069 -1.613  -0.124 -1.438  -0.180 -1.264  -0.236 -1.089  -0.291 -0.915  -0.347 -0.740  -0.402 -0.566  -0.458 -0.391  -0.513 -0.216  -0.569 -0.042  -0.624 0.133  -0.680 0.307  -0.735 0.482  -0.791 0.656  -0.802 0.827  -0.705 0.913  -0.559 1.006  -0.384 1.041  -0.245 1.146  -0.062 1.146  0.121 1.146  0.305 1.146  0.474 1.089  0.624 0.987  0.754 0.858  0.924 0.827  0.998 0.717  1.054 0.558  1.104 0.395  1.104 0.212  1.104 0.029  1.080 -0.131  0.927 -0.202  0.785 -0.264  0.681 -0.344  0.498 -0.344  0.359 -0.450
1c#app#app32#app3269/l  0.297 1.566  0.224 1.566  0.161 1.557  0.161 1.484  0.161 1.410  0.161 1.337  0.161 1.264  0.161 1.191  0.133 1.129  0.081 1.077  0.030 1.026  0.024 0.955  0.024 0.882  0.024 0.809  0.024 0.735  0.024 0.662  0.024 0.589  0.024 0.516  0.002 0.452  -0.050 0.400  -0.101 0.348  -0.113 0.280  -0.113 0.207  -0.113 0.134  -0.113 0.060  -0.113 -0.013  -0.113 -0.086  -0.113 -0.159  -0.113 -0.232  -0.113 -0.305  -0.113 -0.379  -0.113 -0.452  -0.113 -0.525  -0.113 -0.598  -0.113 -0.671  -0.113 -0.744  -0.113 -0.817  -0.113 -0.891  -0.062 -0.943  -0.010 -0.995  0.024 -1.053  0.024 -1.127  0.024 -1.200  0.024 -1.273  0.024 -1.346  0.024 -1.419  0.024 -1.492  0.024 -1.566  0.024 -1.639  0.024 -1.712
1c#app#app32#app3269/i  -0.084 0.352  -0.084 0.239  -0.084 0.127  -0.084 0.015  -0.084 -0.098  -0.084 -0.210  -0.084 -0.323  -0.084 -0.435  -0.126 -0.530  -0.205 -0.610  -0.252 -0.703  -0.252 -0.815  -0.252 -0.928  -0.252 -1.040  -0.252 -1.152  -0.252 -1.265  -0.252 -1.377  -0.252 -1.490  -0.232 -1.392  -0.211 -1.281  -0.190 -1.171  -0.169 -1.060  -0.148 -0.950  -0.127 -0.840  -0.106 -0.729  -0.085 -0.619  -0.064 -0.508  -0.043 -0.398  -0.021 -0.287  -0.000 -0.177  0.021 -0.066  0.042 0.044  0.063 0.154  0.084 0.265  0.105 0.375  0.126 0.486  0.147 0.596  0.168 0.707  0.189 0.817  0.210 0.927  0.231 1.038  0.252 1.148  0.273 1.259  0.294 1.369  0.315 1.480  0.336 1.590  0.357 1.700  0.378 1.811  0.399 1.921  0.420 2.032
1c#app#app32#app3269/e  -1.326 0.395  -1.151 0.395  -0.976 0.395  -0.840 0.300  -0.706 0.200  -0.531 0.200  -0.356 0.200  -0.181 0.200  -0.006 0.200  0.170 0.200  0.236 0.091  0.325 0.005  0.500 0.005  0.661 -0.030  0.784 -0.153  0.944 -0.190  1.017 -0.087  0.958 0.063  0.834 0.187  0.821 0.357  0.821 0.532  0.739 0.673  0.626 0.802  0.626 0.977  0.626 1.152  0.475 1.176  0.300 1.176  0.236 1.065  0.145 0.981  -0.010 0.931  -0.133 0.807  -0.155 0.641  -0.243 0.502  -0.367 0.378  -0.491 0.254  -0.545 0.102  -0.545 -0.073  -0.545 -0.248  -0.545 -0.424  -0.545 -0.599  -0.545 -0.774  -0.545 -0.949  -0.477 -1.108  -0.398 -1.265  -0.303 -1.409  -0.179 -1.533  -0.014 -1.557  0.126 -1.642  0.256 -1.752  0.431 -1.752
1c#app#app32#app3269/d  0.451 1.829  0.451 1.680  0.451 1.531  0.451 1.381  0.451 1.232  0.451 1.082  0.451 0.933  0.451 0.784  0.451 0.634  0.451 0.485  0.467 0.339  0.533 0.205  0.555 0.061  0.555 -0.088  0.617 -0.212  0.659 -0.344  0.659 -0.493  0.659 -0.492  0.659 -0.343  0.659 -0.193  0.657 -0.044  0.554 0.062  0.506 0.204  0.459 0.346  0.333 0.384  0.221 0.475  0.072 0.475  -0.075 0.469  -0.184 0.370  -0.333 0.370  -0.453 0.300  -0.559 0.194  -0.665 0.089  -0.770 -0.017  -0.876 -0.123  -0.982 -0.228  -1.014 -0.365  -1.112 -0.473  -1.112 -0.623  -1.112 -0.772  -1.009 -0.879  -0.904 -0.984  -0.770 -1.051  -0.629 -1.088  -0.492 -1.138  -0.355 -1.193  -0.206 -1.193  -0.056 -1.193  0.093 -1.193  0.242 -1.193
1c#app#app32#app3269/o  -1.000 0.658  -1.081 0.577  -1.162 0.496  -1.165 0.382  -1.165 0.268  -1.165 0.153  -1.165 0.038  -1.165 -0.076  -1.165 -0.191  -1.165 -0.306  -1.106 -0.396  -1.025 -0.477  -0.944 -0.558  -0.863 -0.639  -0.760 -0.669  -0.646 -0.669  -0.531 -0.669  -0.416 -0.669  -0.301 -0.669  -0.187 -0.669  -0.072 -0.669  0.043 -0.669  0.157 -0.669  0.272 -0.669  0.369 -0.626  0.450 -0.545  0.548 -0.503  0.661 -0.500  0.742 -0.419  0.823 -0.338  0.938 -0.337  0.990 -0.275  0.990 -0.160  0.990 -0.045  0.990 0.069  0.990 0.184  0.990 0.299  0.990 0.414  0.954 0.492  0.839 0.492  0.824 0.592  0.790 0.692  0.709 0.773  0.615 0.824  0.500 0.824  0.417 0.900  0.336 0.981  0.225 0.990  0.110 0.990  -0.005 0.990
1c#app#app32#app3269/b  -0.411 1.634  -0.298 1.746  -0.283 1.881  -0.283 1.722  -0.283 1.563  -0.283 1.403  -0.283 1.244  -0.283 1.084  -0.283 0.925  -0.283 0.766  -0.283 0.606  -0.354 0.464  -0.411 0.318  -0.411 0.158  -0.411 -0.001  -0.500 -0.124  -0.540 -0.267  -0.540 -0.426  -0.566 -0.575  -0.668 -0.692  -0.668 -0.759  -0.591 -0.677  -0.540 -0.568  -0.532 -0.412  -0.419 -0.299  -0.306 -0.187  -0.194 -0.074  -0.081 0.039  0.047 0.130  0.190 0.201  0.311 0.302  0.451 0.350  0.610 0.350  0.725 0.241  0.837 0.129  0.872 -0.016  0.872 -0.176  0.872 -0.335  0.872 -0.495  0.872 -0.654  0.872 -0.813  0.833 -0.933  0.694 -0.983  0.567 -1.062  0.431 -1.118  0.302 -1.190  0.142 -1.190  0.018 -1.106  -0.123 -1.062  -0.283 -1.062
1c#app#app32#app3269/b  -0.036 1.949  -0.070 1.825  -0.160 1.757  -0.160 1.599  -0.165 1.443  -0.236 1.301  -0.284 1.155  -0.322 1.006  -0.392 0.864  -0.408 0.710  -0.419 0.554  -0.468 0.404  -0.518 0.254  -0.532 0.098  -0.532 -0.060  -0.532 -0.217  -0.532 -0.375  -0.622 -0.496  -0.656 -0.640  -0.636 -0.530  -0.532 -0.477  -0.470 -0.345  -0.358 -0.233  -0.284 -0.106  -0.206 0.004  -0.065 0.075  0.053 0.178  0.164 0.290  0.276 0.402  0.409 0.461  0.567 0.461  0.684 0.362  0.708 0.214  0.819 0.102  0.832 -0.051  0.832 -0.209  0.832 -0.367  0.832 -0.525  0.804 -0.654  0.708 -0.717  0.640 -0.846  0.528 -0.958  0.460 -1.088  0.364 -1.150  0.206 -1.150  0.060 -1.178  -0.058 -1.274  -0.216 -1.274  -0.374 -1.274  -0.532 -1.274
1c#app#app32#app3269/e  -0.710 0.651  -0.710 0.470  -0.542 0.457  -0.516 0.301  -0.373 0.263  -0.322 0.133  -0.205 0.069  -0.024 0.069  0.130 0.004  0.259 -0.124  0.439 -0.125  0.621 -0.125  0.756 -0.234  0.902 -0.318  1.035 -0.269  1.035 -0.088  1.035 0.093  1.035 0.274  1.035 0.455  0.908 0.584  0.841 0.737  0.767 0.845  0.647 0.905  0.599 1.038  0.418 1.038  0.236 1.038  0.055 1.038  -0.126 1.038  -0.255 0.912  -0.408 0.845  -0.549 0.779  -0.630 0.617  -0.710 0.455  -0.710 0.274  -0.830 0.143  -0.904 -0.008  -0.904 -0.189  -0.904 -0.370  -0.876 -0.540  -0.748 -0.668  -0.710 -0.833  -0.629 -0.981  -0.497 -1.103  -0.335 -1.184  -0.173 -1.265  0.003 -1.288  0.149 -1.371  0.285 -1.481  0.466 -1.481  0.647 -1.481
