1c#apa#apa14#app1415/b  -0.434 1.963  -0.434 1.962  -0.364 1.798  -0.339 1.615  -0.339 1.422  -0.310 1.236  -0.243 1.059  -0.243 0.865  -0.243 0.672  -0.243 0.479  -0.243 0.286  -0.243 0.093  -0.243 -0.100  -0.229 -0.292  -0.183 -0.479  -0.147 -0.668  -0.147 -0.861  -0.097 -1.004  -0.074 -1.054  -0.161 -0.881  -0.247 -0.708  -0.333 -0.536  -0.420 -0.363  -0.506 -0.190  -0.593 -0.017  -0.679 0.155  -0.720 0.338  -0.566 0.432  -0.381 0.482  -0.195 0.528  -0.002 0.528  0.186 0.505  0.362 0.432  0.545 0.409  0.708 0.336  0.833 0.194  0.906 0.018  0.996 -0.137  1.085 -0.308  1.097 -0.499  0.980 -0.643  0.906 -0.805  0.720 -0.813  0.582 -0.945  0.414 -1.010  0.242 -1.097  0.049 -1.100  -0.144 -1.100  -0.337 -1.100  -0.530 -1.100
1c#apa#apa14#app1415/e  -0.714 -0.391  -0.561 -0.391  -0.420 -0.363  -0.311 -0.258  -0.182 -0.234  -0.151 -0.094  -0.050 0.017  -0.029 0.161  0.079 0.269  0.187 0.377  0.295 0.485  0.349 0.615  0.349 0.768  0.349 0.920  0.346 1.070  0.216 1.093  0.173 1.203  0.021 1.203  -0.132 1.203  -0.274 1.157  -0.410 1.089  -0.526 0.992  -0.615 0.870  -0.683 0.733  -0.773 0.613  -0.846 0.490  -0.846 0.338  -0.846 0.185  -0.846 0.032  -0.846 -0.120  -0.846 -0.273  -0.822 -0.415  -0.714 -0.523  -0.606 -0.631  -0.464 -0.656  -0.311 -0.657  -0.163 -0.694  -0.015 -0.731  0.133 -0.768  0.283 -0.789  0.436 -0.789  0.588 -0.789  0.741 -0.789  0.894 -0.789  1.046 -0.789  1.199 -0.789  1.352 -0.789  1.504 -0.789  1.657 -0.789  1.810 -0.789
1c#apa#apa14#app1415/d  -0.034 2.018  0.006 1.891  0.053 1.768  0.053 1.625  0.053 1.483  0.053 1.340  0.109 1.210  0.141 1.074  0.141 0.931  0.141 0.789  0.141 0.646  0.179 0.509  0.224 0.373  0.319 0.268  0.383 0.140  0.411 0.006  0.489 -0.105  0.489 -0.245  0.432 -0.159  0.376 -0.072  0.257 -0.015  0.156 0.087  0.055 0.188  -0.087 0.189  -0.230 0.189  -0.369 0.164  -0.505 0.119  -0.619 0.039  -0.692 -0.082  -0.770 -0.199  -0.871 -0.300  -0.905 -0.429  -0.905 -0.572  -0.905 -0.715  -0.903 -0.857  -0.775 -0.921  -0.637 -0.943  -0.494 -0.943  -0.351 -0.943  -0.209 -0.943  -0.066 -0.943  0.077 -0.943  0.220 -0.943  0.358 -0.922  0.486 -0.858  0.628 -0.856  0.766 -0.822  0.901 -0.777  1.043 -0.769  1.186 -0.769
1c#apa#apa14#app1415/e  -0.988 0.336  -0.988 0.161  -0.988 -0.014  -0.885 -0.147  -0.720 -0.171  -0.545 -0.171  -0.370 -0.171  -0.195 -0.171  -0.019 -0.171  0.118 -0.080  0.242 0.044  0.401 0.083  0.527 0.202  0.651 0.326  0.661 0.497  0.661 0.672  0.659 0.846  0.535 0.970  0.378 1.049  0.215 1.098  0.039 1.098  -0.125 1.072  -0.259 0.971  -0.410 0.914  -0.534 0.790  -0.658 0.666  -0.765 0.530  -0.843 0.373  -0.956 0.241  -0.988 0.079  -0.988 -0.096  -0.988 -0.271  -0.967 -0.425  -0.812 -0.474  -0.669 -0.552  -0.505 -0.603  -0.348 -0.679  -0.173 -0.679  0.003 -0.679  0.178 -0.679  0.353 -0.679  0.528 -0.679  0.704 -0.679  0.879 -0.679  1.054 -0.679  1.229 -0.679  1.405 -0.679  1.580 -0.679  1.755 -0.679  1.930 -0.679
1c#apa#apa14#app1415/h  -0.874 1.761  -0.740 1.729  -0.670 1.611  -0.628 1.474  -0.563 1.343  -0.497 1.212  -0.466 1.072  -0.466 0.925  -0.466 0.778  -0.466 0.631  -0.466 0.484  -0.466 0.338  -0.466 0.191  -0.466 0.044  -0.479 -0.100  -0.545 -0.231  -0.568 -0.373  -0.568 -0.520  -0.509 -0.642  -0.466 -0.771  -0.437 -0.889  -0.364 -0.814  -0.280 -0.702  -0.208 -0.576  -0.160 -0.440  -0.099 -0.318  -0.058 -0.188  -0.058 -0.041  -0.058 0.105  -0.044 0.246  0.060 0.350  0.145 0.462  0.216 0.538  0.349 0.525  0.391 0.395  0.451 0.273  0.451 0.126  0.451 -0.021  0.493 -0.158  0.553 -0.291  0.553 -0.437  0.554 -0.584  0.658 -0.688  0.760 -0.793  0.826 -0.924  0.910 -1.042  1.014 -1.146  1.133 -1.230  1.264 -1.295  1.368 -1.398
1c#apa#apa14#app1415/o  -0.657 0.373  -0.787 0.373  -0.916 0.373  -0.921 0.247  -1.044 0.241  -1.053 0.120  -1.053 -0.010  -1.053 -0.140  -1.053 -0.270  -1.053 -0.399  -0.976 -0.497  -0.884 -0.589  -0.792 -0.681  -0.700 -0.773  -0.589 -0.816  -0.459 -0.816  -0.329 -0.816  -0.199 -0.816  -0.069 -0.816  0.061 -0.816  0.190 -0.816  0.320 -0.816  0.450 -0.816  0.580 -0.816  0.696 -0.784  0.788 -0.692  0.880 -0.601  0.929 -0.491  0.970 -0.378  1.061 -0.286  1.061 -0.156  1.061 -0.026  1.061 0.104  0.972 0.197  0.929 0.309  0.863 0.373  0.761 0.426  0.689 0.534  0.617 0.642  0.545 0.750  0.437 0.817  0.321 0.875  0.218 0.951  0.122 1.033  -0.008 1.033  -0.137 1.033  -0.267 1.033  -0.397 1.033  -0.527 1.033  -0.657 1.033
1c#apa#apa14#app1415/p  -0.349 0.812  -0.343 0.637  -0.264 0.493  -0.264 0.317  -0.208 0.163  -0.179 -0.002  -0.179 -0.178  -0.179 -0.355  -0.179 -0.532  -0.179 -0.708  -0.179 -0.885  -0.179 -1.062  -0.179 -1.238  -0.179 -1.415  -0.155 -1.581  -0.095 -1.733  -0.095 -1.711  -0.171 -1.565  -0.188 -1.393  -0.206 -1.217  -0.224 -1.041  -0.242 -0.865  -0.260 -0.690  -0.279 -0.514  -0.297 -0.338  -0.315 -0.162  -0.333 0.013  -0.351 0.189  -0.369 0.365  -0.388 0.541  -0.406 0.716  -0.424 0.892  -0.349 0.984  -0.339 1.155  -0.181 1.234  -0.005 1.235  0.172 1.235  0.348 1.235  0.525 1.235  0.667 1.150  0.825 1.071  0.920 0.936  0.920 0.759  0.920 0.583  0.920 0.406  0.807 0.276  0.682 0.151  0.512 0.135  0.336 0.135  0.159 0.135
1c#apa#apa14#app1415/e  -0.758 -0.337  -0.641 -0.454  -0.490 -0.484  -0.325 -0.484  -0.161 -0.484  -0.004 -0.466  0.112 -0.350  0.228 -0.234  0.344 -0.118  0.419 0.016  0.473 0.158  0.566 0.284  0.566 0.448  0.566 0.613  0.566 0.777  0.566 0.941  0.446 0.986  0.322 1.083  0.178 1.133  0.014 1.133  -0.151 1.133  -0.315 1.133  -0.479 1.133  -0.644 1.133  -0.758 1.082  -0.758 0.918  -0.818 0.778  -0.905 0.650  -0.905 0.486  -0.905 0.321  -0.905 0.157  -0.869 -0.002  -0.817 -0.158  -0.766 -0.313  -0.659 -0.436  -0.543 -0.552  -0.412 -0.631  -0.254 -0.662  -0.107 -0.736  0.047 -0.778  0.211 -0.778  0.345 -0.852  0.479 -0.925  0.643 -0.925  0.808 -0.925  0.972 -0.925  1.136 -0.925  1.301 -0.925  1.448 -0.852  1.595 -0.778
1c#apa#apa14#app1415/d  -0.024 1.998  0.081 1.910  0.152 1.838  0.152 1.696  0.152 1.554  0.152 1.412  0.152 1.271  0.187 1.137  0.239 1.007  0.239 0.865  0.239 0.724  0.239 0.582  0.268 0.446  0.334 0.321  0.415 0.213  0.415 0.071  0.415 -0.071  0.461 -0.202  0.503 -0.334  0.575 -0.446  0.591 -0.343  0.531 -0.226  0.430 -0.126  0.304 -0.088  0.204 0.013  0.083 0.065  -0.059 0.065  -0.200 0.065  -0.342 0.065  -0.453 -0.012  -0.553 -0.112  -0.680 -0.175  -0.790 -0.262  -0.891 -0.362  -0.903 -0.499  -0.903 -0.641  -0.903 -0.783  -0.879 -0.902  -0.760 -0.957  -0.632 -0.990  -0.490 -0.990  -0.348 -0.990  -0.206 -0.990  -0.064 -0.990  0.078 -0.990  0.220 -0.990  0.362 -0.990  0.504 -0.990  0.640 -0.965  0.767 -0.902
1c#apa#apa14#app1415/h  -0.746 1.796  -0.708 1.707  -0.657 1.631  -0.640 1.512  -0.569 1.415  -0.569 1.288  -0.523 1.172  -0.480 1.056  -0.480 0.929  -0.480 0.803  -0.455 0.682  -0.399 0.568  -0.391 0.444  -0.391 0.317  -0.391 0.190  -0.391 0.064  -0.391 -0.063  -0.391 -0.190  -0.391 -0.316  -0.391 -0.443  -0.391 -0.570  -0.391 -0.696  -0.391 -0.733  -0.333 -0.631  -0.302 -0.517  -0.302 -0.390  -0.271 -0.271  -0.214 -0.158  -0.125 -0.068  -0.087 0.021  0.017 0.074  0.053 0.186  0.167 0.198  0.275 0.153  0.319 0.044  0.365 -0.071  0.408 -0.188  0.456 -0.294  0.496 -0.404  0.573 -0.499  0.585 -0.621  0.626 -0.731  0.716 -0.820  0.805 -0.910  0.913 -0.956  1.010 -1.026  1.041 -1.133  1.167 -1.133  1.268 -1.195  1.384 -1.222
1c#apa#apa14#app1415/e  0.154 -0.418  0.258 -0.315  0.361 -0.211  0.404 -0.083  0.511 -0.043  0.620 0.047  0.655 0.179  0.739 0.291  0.780 0.420  0.780 0.567  0.780 0.713  0.760 0.852  0.657 0.955  0.511 0.958  0.365 0.958  0.219 0.958  0.072 0.958  -0.074 0.958  -0.221 0.958  -0.361 0.943  -0.464 0.839  -0.585 0.757  -0.707 0.675  -0.829 0.594  -0.935 0.494  -1.038 0.390  -1.142 0.287  -1.222 0.174  -1.222 0.027  -1.222 -0.119  -1.153 -0.237  -1.049 -0.341  -0.946 -0.444  -0.842 -0.548  -0.739 -0.651  -0.603 -0.698  -0.461 -0.734  -0.319 -0.769  -0.176 -0.794  -0.029 -0.794  0.117 -0.794  0.263 -0.794  0.410 -0.794  0.556 -0.794  0.703 -0.794  0.849 -0.794  0.995 -0.794  1.142 -0.794  1.274 -0.734  1.405 -0.669
