2#apb#apb05#app0577/I  -1.440 -0.991  -1.380 -0.852  -1.190 -0.846  -0.996 -0.874  -0.801 -0.898  -0.606 -0.920  -0.411 -0.942  -0.218 -0.974  -0.023 -0.991  0.174 -0.991  0.369 -0.978  0.473 -0.911  0.346 -0.762  0.219 -0.612  0.092 -0.463  -0.035 -0.313  -0.162 -0.163  -0.289 -0.014  -0.416 0.136  -0.543 0.285  -0.671 0.435  -0.798 0.585  -0.925 0.734  -0.833 0.690  -0.637 0.693  -0.441 0.709  -0.245 0.726  -0.050 0.746  0.145 0.767  0.339 0.797  0.529 0.843  0.720 0.890  0.912 0.933  1.103 0.976  1.292 1.029  1.238 0.992  1.070 0.891  0.902 0.789  0.786 0.803  0.655 0.700  0.571 0.523  0.484 0.347  0.395 0.172  0.305 -0.002  0.213 -0.176  0.119 -0.348  0.032 -0.524  -0.055 -0.700  -0.139 -0.877  -0.179 -1.068
2#apb#apb05#app0577/n  -0.297 0.847  -0.335 0.836  -0.401 0.716  -0.463 0.593  -0.524 0.470  -0.585 0.347  -0.645 0.224  -0.704 0.100  -0.763 -0.024  -0.819 -0.150  -0.868 -0.278  -0.917 -0.406  -0.969 -0.533  -1.037 -0.652  -1.105 -0.772  -1.155 -0.899  -1.123 -0.856  -1.049 -0.740  -0.968 -0.629  -0.881 -0.523  -0.793 -0.417  -0.702 -0.315  -0.605 -0.218  -0.508 -0.121  -0.411 -0.024  -0.308 0.068  -0.203 0.156  -0.097 0.244  0.008 0.331  0.116 0.416  0.233 0.488  0.350 0.561  0.467 0.633  0.596 0.673  0.731 0.699  0.866 0.726  0.989 0.676  1.110 0.611  1.177 0.499  1.226 0.370  1.230 0.235  1.222 0.098  1.210 -0.039  1.191 -0.175  1.171 -0.310  1.147 -0.445  1.113 -0.579  1.079 -0.712  1.036 -0.842  0.965 -0.958
2#apb#apb05#app0577/  -1.688 -0.180  -1.618 -0.180  -1.548 -0.180  -1.478 -0.180  -1.408 -0.180  -1.338 -0.180  -1.268 -0.180  -1.198 -0.180  -1.128 -0.180  -1.058 -0.180  -0.988 -0.180  -0.918 -0.180  -0.848 -0.180  -0.778 -0.180  -0.711 -0.161  -0.644 -0.141  -0.577 -0.120  -0.510 -0.100  -0.443 -0.079  -0.376 -0.058  -0.309 -0.038  -0.242 -0.017  -0.176 0.003  -0.109 0.024  -0.042 0.045  0.025 0.064  0.095 0.064  0.165 0.064  0.235 0.064  0.306 0.064  0.376 0.064  0.446 0.064  0.516 0.064  0.586 0.064  0.656 0.064  0.726 0.064  0.796 0.064  0.866 0.064  0.933 0.082  1.000 0.102  1.067 0.123  1.134 0.143  1.201 0.164  1.268 0.184  1.335 0.205  1.402 0.226  1.468 0.246  1.535 0.267  1.602 0.287  1.669 0.308
2#apb#apb05#app0577/Y  -0.725 0.864  -0.679 0.713  -0.672 0.552  -0.664 0.391  -0.652 0.230  -0.640 0.069  -0.625 -0.092  -0.609 -0.253  -0.569 -0.409  -0.529 -0.565  -0.455 -0.658  -0.360 -0.527  -0.265 -0.396  -0.170 -0.266  -0.076 -0.135  0.019 -0.004  0.114 0.127  0.209 0.257  0.303 0.388  0.398 0.519  0.493 0.650  0.588 0.780  0.682 0.911  0.777 1.042  0.872 1.173  0.967 1.303  0.998 1.342  0.911 1.206  0.824 1.070  0.737 0.935  0.649 0.799  0.571 0.658  0.496 0.515  0.421 0.372  0.346 0.229  0.271 0.085  0.198 -0.058  0.125 -0.202  0.051 -0.346  -0.022 -0.490  -0.096 -0.634  -0.169 -0.777  -0.243 -0.921  -0.317 -1.065  -0.391 -1.208  -0.465 -1.352  -0.539 -1.495  -0.614 -1.638  -0.690 -1.781  -0.785 -1.909
2#apb#apb05#app0577/u  -0.344 1.049  -0.450 0.948  -0.550 0.829  -0.650 0.712  -0.737 0.586  -0.803 0.446  -0.870 0.307  -0.935 0.167  -0.990 0.023  -1.044 -0.122  -1.099 -0.266  -1.148 -0.412  -1.197 -0.559  -1.209 -0.711  -1.178 -0.856  -1.079 -0.963  -0.925 -0.963  -0.772 -0.953  -0.630 -0.894  -0.487 -0.835  -0.352 -0.761  -0.222 -0.677  -0.093 -0.593  0.024 -0.493  0.137 -0.388  0.248 -0.281  0.336 -0.154  0.423 -0.027  0.507 0.103  0.584 0.237  0.662 0.370  0.737 0.505  0.806 0.643  0.875 0.781  0.946 0.918  1.032 1.046  1.059 1.038  1.005 0.894  0.950 0.749  0.896 0.605  0.841 0.460  0.786 0.316  0.738 0.169  0.698 0.020  0.657 -0.129  0.616 -0.277  0.573 -0.426  0.539 -0.576  0.524 -0.729  0.565 -0.877
2#apb#apb05#app0577/n  -0.274 0.739  -0.357 0.606  -0.439 0.472  -0.515 0.335  -0.589 0.195  -0.662 0.056  -0.730 -0.085  -0.790 -0.230  -0.850 -0.375  -0.908 -0.522  -0.963 -0.669  -1.018 -0.816  -1.101 -0.949  -1.083 -0.922  -0.997 -0.790  -0.915 -0.656  -0.833 -0.522  -0.759 -0.383  -0.685 -0.244  -0.612 -0.106  -0.520 0.022  -0.429 0.150  -0.338 0.278  -0.245 0.405  -0.134 0.516  -0.023 0.627  0.088 0.738  0.199 0.849  0.333 0.930  0.470 1.007  0.609 1.078  0.766 1.078  0.911 1.043  1.037 0.949  1.076 0.803  1.099 0.648  1.085 0.494  1.053 0.340  1.020 0.186  0.980 0.034  0.936 -0.117  0.891 -0.267  0.826 -0.410  0.759 -0.552  0.691 -0.694  0.591 -0.814  0.490 -0.935  0.388 -1.054  0.284 -1.173  0.186 -1.295
2#apb#apb05#app0577/g  0.478 0.955  0.434 1.066  0.308 1.059  0.183 1.013  0.071 0.938  -0.026 0.846  -0.119 0.747  -0.201 0.640  -0.271 0.526  -0.305 0.396  -0.310 0.262  -0.195 0.192  -0.061 0.190  0.073 0.201  0.203 0.237  0.329 0.282  0.447 0.348  0.551 0.431  0.643 0.529  0.720 0.639  0.780 0.760  0.812 0.891  0.777 1.002  0.661 0.940  0.578 0.837  0.504 0.723  0.442 0.604  0.380 0.484  0.318 0.364  0.252 0.246  0.186 0.128  0.121 0.010  0.056 -0.108  -0.008 -0.227  -0.073 -0.345  -0.137 -0.464  -0.191 -0.588  -0.246 -0.711  -0.300 -0.834  -0.344 -0.962  -0.386 -1.090  -0.428 -1.219  -0.475 -1.344  -0.553 -1.455  -0.643 -1.551  -0.762 -1.609  -0.897 -1.599  -1.019 -1.542  -1.129 -1.467  -1.228 -1.375
2#apb#apb05#app0577/J  0.625 0.405  0.648 0.538  0.608 0.556  0.552 0.433  0.495 0.310  0.437 0.188  0.378 0.067  0.328 -0.059  0.281 -0.185  0.233 -0.312  0.184 -0.438  0.134 -0.563  0.083 -0.688  0.013 -0.804  -0.058 -0.919  -0.135 -1.029  -0.224 -1.131  -0.326 -1.216  -0.445 -1.280  -0.577 -1.297  -0.691 -1.231  -0.775 -1.126  -0.832 -1.004  -0.888 -0.881  -0.919 -0.751  -0.939 -0.617  -0.953 -0.483  -0.923 -0.356  -0.853 -0.241  -0.775 -0.131  -0.697 -0.020  -0.619 0.090  -0.540 0.200  -0.462 0.310  -0.384 0.421  -0.306 0.531  -0.228 0.641  -0.115 0.710  0.008 0.766  0.134 0.815  0.259 0.864  0.390 0.897  0.522 0.930  0.653 0.960  0.786 0.986  0.918 1.013  1.052 1.033  1.186 1.052  1.321 1.053  1.437 0.994
2#apb#apb05#app0577/.  -1.491 -0.638  -1.416 -0.638  -1.342 -0.638  -1.267 -0.638  -1.192 -0.638  -1.117 -0.638  -1.042 -0.638  -0.968 -0.638  -0.893 -0.638  -0.818 -0.638  -0.743 -0.638  -0.668 -0.638  -0.594 -0.638  -0.519 -0.638  -0.444 -0.638  -0.369 -0.638  -0.294 -0.638  -0.220 -0.638  -0.162 -0.606  -0.120 -0.544  -0.079 -0.481  -0.038 -0.419  0.004 -0.357  0.045 -0.295  0.087 -0.232  0.128 -0.170  0.170 -0.108  0.211 -0.046  0.253 0.017  0.294 0.079  0.336 0.141  0.377 0.203  0.419 0.266  0.460 0.328  0.502 0.390  0.543 0.452  0.585 0.514  0.626 0.577  0.668 0.639  0.709 0.701  0.751 0.763  0.792 0.826  0.834 0.888  0.875 0.950  0.917 1.012  0.958 1.075  1.000 1.137  1.041 1.199  1.083 1.261  1.124 1.324
2#apb#apb05#app0577/M  -0.628 0.426  -0.514 0.598  -0.475 0.675  -0.592 0.506  -0.714 0.339  -0.825 0.166  -0.932 -0.011  -1.033 -0.191  -1.130 -0.373  -1.237 -0.549  -1.350 -0.722  -1.432 -0.880  -1.278 -0.746  -1.127 -0.605  -0.993 -0.449  -0.868 -0.285  -0.738 -0.124  -0.609 0.037  -0.485 0.202  -0.362 0.367  -0.251 0.541  -0.143 0.717  -0.116 0.705  -0.174 0.507  -0.221 0.307  -0.250 0.102  -0.261 -0.104  -0.184 -0.290  -0.016 -0.392  0.188 -0.367  0.374 -0.278  0.547 -0.168  0.708 -0.039  0.849 0.111  0.983 0.268  1.109 0.431  1.235 0.595  1.355 0.763  1.472 0.863  1.392 0.674  1.301 0.489  1.206 0.306  1.106 0.126  1.003 -0.053  0.904 -0.234  0.816 -0.421  0.729 -0.608  0.636 -0.792  0.542 -0.976  0.482 -1.167
2#apb#apb05#app0577/a  1.109 0.878  1.182 1.042  1.102 1.174  0.924 1.187  0.748 1.173  0.579 1.114  0.409 1.055  0.246 0.983  0.099 0.881  -0.048 0.778  -0.196 0.676  -0.328 0.555  -0.454 0.428  -0.581 0.301  -0.708 0.174  -0.828 0.041  -0.944 -0.096  -1.059 -0.234  -1.160 -0.381  -1.243 -0.540  -1.324 -0.699  -1.319 -0.877  -1.193 -1.004  -1.018 -0.979  -0.841 -0.948  -0.676 -0.882  -0.514 -0.804  -0.352 -0.727  -0.209 -0.620  -0.071 -0.506  0.068 -0.391  0.194 -0.264  0.321 -0.137  0.441 -0.004  0.554 0.135  0.667 0.275  0.735 0.440  0.798 0.608  0.821 0.569  0.746 0.406  0.665 0.246  0.582 0.087  0.498 -0.071  0.412 -0.229  0.325 -0.386  0.242 -0.544  0.194 -0.717  0.145 -0.890  0.104 -1.065  0.154 -1.214
