1c#tos#f2#f2049060/b  0.664 1.925  0.525 1.878  0.494 1.707  0.362 1.575  0.267 1.427  0.155 1.278  0.079 1.109  0.003 0.939  -0.046 0.759  -0.112 0.585  -0.193 0.418  -0.289 0.258  -0.359 0.085  -0.436 -0.084  -0.504 -0.257  -0.554 -0.436  -0.626 -0.607  -0.694 -0.780  -0.724 -0.963  -0.800 -1.118  -0.835 -1.102  -0.767 -0.929  -0.698 -0.755  -0.630 -0.582  -0.562 -0.408  -0.494 -0.234  -0.426 -0.061  -0.358 0.113  -0.293 0.248  -0.163 0.367  0.001 0.421  0.182 0.442  0.369 0.442  0.555 0.442  0.721 0.414  0.808 0.281  0.895 0.154  0.951 0.024  0.951 -0.162  0.886 -0.309  0.805 -0.445  0.673 -0.546  0.601 -0.711  0.421 -0.758  0.266 -0.826  0.146 -0.960  -0.031 -1.019  -0.212 -1.058  -0.394 -1.090  -0.580 -1.090
1c#tos#f2#f2049060/d  0.231 0.274  0.060 0.344  -0.071 0.445  -0.279 0.445  -0.462 0.375  -0.602 0.227  -0.722 0.065  -0.860 -0.084  -0.919 -0.280  -1.021 -0.459  -1.047 -0.662  -1.026 -0.864  -0.879 -0.987  -0.731 -1.088  -0.524 -1.088  -0.323 -1.046  -0.128 -0.987  0.059 -0.918  0.174 -0.790  0.323 -0.680  0.370 -0.495  0.385 -0.288  0.399 -0.081  0.414 0.126  0.428 0.333  0.443 0.540  0.457 0.747  0.472 0.954  0.487 1.162  0.501 1.369  0.516 1.576  0.511 1.765  0.401 1.642  0.313 1.463  0.266 1.274  0.231 1.072  0.159 0.883  0.103 0.699  0.103 0.491  0.103 0.284  0.018 0.096  0.018 -0.111  0.018 -0.319  0.018 -0.526  0.040 -0.732  0.060 -0.937  0.166 -1.108  0.313 -1.255  0.421 -1.396  0.614 -1.472
1c#tos#f2#f2049060/e  -0.956 0.054  -0.956 -0.117  -0.878 -0.267  -0.725 -0.311  -0.554 -0.311  -0.382 -0.311  -0.211 -0.311  -0.043 -0.291  0.099 -0.213  0.214 -0.104  0.374 -0.043  0.486 0.075  0.563 0.228  0.660 0.332  0.702 0.493  0.751 0.645  0.812 0.802  0.812 0.973  0.757 1.090  0.647 1.151  0.475 1.151  0.304 1.151  0.133 1.151  -0.039 1.151  -0.197 1.118  -0.356 1.090  -0.407 0.970  -0.528 0.848  -0.649 0.727  -0.651 0.557  -0.686 0.420  -0.758 0.282  -0.773 0.113  -0.773 -0.058  -0.712 -0.215  -0.659 -0.364  -0.630 -0.526  -0.535 -0.669  -0.415 -0.791  -0.276 -0.869  -0.152 -0.984  0.017 -1.018  0.173 -1.074  0.332 -1.104  0.503 -1.104  0.674 -1.104  0.846 -1.104  1.017 -1.104  1.189 -1.104  1.360 -1.104
1c#tos#f2#f2049060/f  0.892 1.289  0.851 1.405  0.701 1.412  0.596 1.494  0.444 1.513  0.292 1.535  0.139 1.516  -0.008 1.488  -0.049 1.348  -0.090 1.202  -0.090 1.045  -0.057 0.897  -0.031 0.745  0.019 0.597  0.074 0.452  0.097 0.298  0.115 0.144  0.115 -0.012  0.151 -0.164  0.156 -0.320  0.156 -0.476  0.133 -0.626  0.074 -0.764  0.043 -0.908  -0.061 -1.024  -0.090 -1.173  -0.165 -1.283  -0.294 -1.368  -0.383 -1.263  -0.449 -1.121  -0.514 -0.979  -0.580 -0.837  -0.646 -0.695  -0.711 -0.553  -0.777 -0.411  -0.865 -0.305  -0.956 -0.305  -0.800 -0.305  -0.644 -0.305  -0.487 -0.305  -0.331 -0.305  -0.174 -0.305  -0.018 -0.305  0.139 -0.305  0.295 -0.305  0.451 -0.305  0.607 -0.295  0.759 -0.264  0.916 -0.264  1.055 -0.223
1c#tos#f2#f2049060/h  0.004 1.667  -0.072 1.519  -0.193 1.435  -0.232 1.282  -0.305 1.134  -0.310 0.966  -0.379 0.817  -0.426 0.655  -0.429 0.486  -0.467 0.323  -0.467 0.153  -0.561 0.034  -0.585 -0.122  -0.636 -0.280  -0.723 -0.425  -0.742 -0.588  -0.742 -0.758  -0.742 -0.927  -0.742 -1.097  -0.766 -1.094  -0.728 -0.929  -0.689 -0.764  -0.651 -0.599  -0.612 -0.434  -0.574 -0.269  -0.535 -0.104  -0.475 0.049  -0.417 0.204  -0.354 0.361  -0.278 0.486  -0.153 0.548  0.012 0.567  0.100 0.480  0.211 0.365  0.246 0.201  0.296 0.057  0.318 -0.091  0.319 -0.260  0.395 -0.412  0.465 -0.546  0.606 -0.637  0.772 -0.649  0.942 -0.649  1.088 -0.564  1.248 -0.532  1.347 -0.400  1.454 -0.272  1.607 -0.218  1.708 -0.107  1.849 -0.061
1c#tos#f2#f2049060/k  0.135 1.898  0.032 1.777  -0.079 1.617  -0.161 1.408  -0.174 1.187  -0.277 1.026  -0.342 0.821  -0.466 0.634  -0.587 0.446  -0.605 0.229  -0.764 0.070  -0.829 -0.139  -0.932 -0.333  -1.050 -0.524  -1.103 -0.736  -1.103 -0.960  -1.155 -1.134  -0.981 -1.026  -0.797 -0.897  -0.612 -0.769  -0.428 -0.641  -0.243 -0.513  -0.059 -0.384  0.126 -0.256  0.310 -0.128  0.495 0.001  0.679 0.129  0.863 0.257  1.048 0.386  1.206 0.495  1.027 0.360  0.805 0.350  0.602 0.298  0.420 0.195  0.200 0.176  -0.014 0.119  -0.226 0.082  -0.408 0.040  -0.489 -0.011  -0.329 -0.106  -0.165 -0.166  0.022 -0.259  0.239 -0.273  0.342 -0.424  0.516 -0.547  0.703 -0.603  0.836 -0.712  1.040 -0.785  1.253 -0.837  1.477 -0.837
1c#tos#f2#f2049060/m  -1.493 -0.145  -1.650 -0.060  -1.555 0.149  -1.442 0.342  -1.245 0.469  -1.124 0.649  -0.905 0.719  -0.737 0.881  -0.514 0.951  -0.286 1.003  -0.189 0.859  -0.204 0.624  -0.330 0.426  -0.398 0.201  -0.485 -0.014  -0.569 -0.238  -0.691 -0.438  -0.711 -0.670  -0.815 -0.799  -0.705 -0.603  -0.562 -0.413  -0.392 -0.243  -0.248 -0.053  -0.081 0.118  0.060 0.291  0.250 0.409  0.436 0.445  0.436 0.204  0.384 -0.015  0.335 -0.244  0.155 -0.395  0.012 -0.584  -0.048 -0.815  -0.072 -0.810  0.046 -0.613  0.171 -0.410  0.280 -0.197  0.489 -0.092  0.629 0.100  0.783 0.260  1.001 0.336  1.125 0.481  1.366 0.481  1.443 0.309  1.480 0.084  1.480 -0.157  1.411 -0.369  1.312 -0.584  1.204 -0.799  1.167 -1.031
1c#tos#f2#f2049060/n  -1.099 -0.400  -1.277 -0.400  -1.380 -0.324  -1.380 -0.145  -1.380 0.033  -1.266 0.165  -1.211 0.335  -1.141 0.444  -1.055 0.573  -0.909 0.646  -0.743 0.706  -0.568 0.725  -0.390 0.725  -0.255 0.681  -0.171 0.530  -0.142 0.356  -0.142 0.177  -0.142 -0.001  -0.225 -0.146  -0.311 -0.289  -0.311 -0.467  -0.311 -0.646  -0.311 -0.538  -0.268 -0.370  -0.221 -0.215  -0.142 -0.085  -0.106 0.074  0.044 0.171  0.171 0.284  0.204 0.453  0.337 0.571  0.496 0.651  0.658 0.725  0.797 0.820  0.968 0.837  1.039 0.729  1.091 0.563  1.095 0.385  1.046 0.226  0.982 0.074  0.982 -0.104  0.931 -0.275  0.874 -0.444  0.870 -0.622  0.804 -0.781  0.757 -0.945  0.724 -1.118  0.701 -1.293  0.698 -1.470  0.589 -1.581
1c#tos#f2#f2049060/p  0.202 1.228  0.037 1.112  -0.033 0.931  -0.148 0.755  -0.200 0.547  -0.210 0.334  -0.262 0.127  -0.279 -0.083  -0.374 -0.274  -0.379 -0.487  -0.436 -0.688  -0.564 -0.859  -0.644 -1.053  -0.669 -1.264  -0.669 -1.478  -0.714 -1.620  -0.647 -1.453  -0.619 -1.240  -0.592 -1.028  -0.564 -0.816  -0.536 -0.604  -0.508 -0.392  -0.480 -0.180  -0.452 0.032  -0.424 0.244  -0.396 0.456  -0.379 0.669  -0.495 0.811  -0.392 0.982  -0.184 0.995  0.030 0.995  0.244 0.995  0.458 0.995  0.672 0.995  0.770 0.879  0.959 0.820  1.093 0.667  1.244 0.589  1.307 0.404  1.307 0.190  1.125 0.151  1.069 -0.051  0.902 -0.165  0.727 -0.282  0.519 -0.335  0.322 -0.413  0.113 -0.458  -0.074 -0.531  -0.281 -0.574  -0.495 -0.574
1c#tos#f2#f2049060/r  0.033 1.301  -0.080 1.270  -0.080 1.126  -0.080 0.982  -0.110 0.842  -0.137 0.701  -0.167 0.564  -0.193 0.426  -0.230 0.288  -0.286 0.156  -0.350 0.027  -0.399 -0.108  -0.419 -0.249  -0.419 -0.393  -0.419 -0.537  -0.448 -0.677  -0.475 -0.818  -0.475 -0.962  -0.475 -1.106  -0.531 -1.237  -0.532 -1.381  -0.588 -1.468  -0.568 -1.430  -0.537 -1.290  -0.506 -1.149  -0.474 -1.009  -0.443 -0.868  -0.412 -0.727  -0.381 -0.587  -0.349 -0.446  -0.318 -0.306  -0.287 -0.165  -0.256 -0.024  -0.249 0.119  -0.249 0.263  -0.151 0.342  -0.014 0.383  0.102 0.463  0.221 0.543  0.358 0.568  0.502 0.568  0.641 0.601  0.779 0.641  0.919 0.676  1.062 0.681  1.206 0.681  1.350 0.681  1.494 0.681  1.638 0.681  1.782 0.681
1c#tos#f2#f2049060/t  -0.924 0.336  -1.053 0.300  -0.937 0.289  -0.804 0.314  -0.701 0.416  -0.563 0.430  -0.418 0.430  -0.274 0.430  -0.134 0.462  0.009 0.477  0.153 0.477  0.239 0.571  0.384 0.571  0.528 0.571  0.671 0.581  0.811 0.616  0.767 0.744  0.711 0.877  0.656 1.010  0.600 1.143  0.577 1.089  0.432 1.089  0.294 1.062  0.207 0.990  0.116 0.902  0.034 0.784  0.018 0.644  -0.045 0.539  -0.123 0.425  -0.123 0.280  -0.164 0.153  -0.265 0.051  -0.311 -0.083  -0.311 -0.227  -0.312 -0.371  -0.357 -0.508  -0.358 -0.653  -0.358 -0.797  -0.358 -0.941  -0.358 -1.085  -0.311 -1.219  -0.217 -1.305  -0.154 -1.423  -0.042 -1.501  0.102 -1.501  0.246 -1.501  0.391 -1.501  0.535 -1.501  0.678 -1.482  0.819 -1.454
