3#apa#apa01#app0174/@  0.317 -0.003  0.214 0.169  0.077 0.305  -0.196 0.303  -0.400 0.174  -0.502 0.003  -0.502 -0.270  -0.502 -0.544  -0.400 -0.715  -0.149 -0.673  -0.093 -0.423  0.010 -0.252  0.112 -0.081  0.112 0.193  0.171 -0.003  0.240 -0.207  0.514 -0.207  0.726 -0.146  0.726 0.127  0.828 0.358  0.828 0.632  0.766 0.879  0.645 1.103  0.419 1.163  0.240 1.302  -0.023 1.328  -0.296 1.328  -0.570 1.328  -0.707 1.192  -0.809 1.021  -0.912 0.850  -1.014 0.619  -1.058 0.363  -1.116 0.114  -1.116 -0.160  -1.014 -0.391  -0.908 -0.620  -0.707 -0.750  -0.607 -0.924  -0.383 -1.043  -0.187 -1.231  0.087 -1.231  0.360 -1.231  0.631 -1.224  0.824 -1.030  0.986 -0.814  1.033 -0.552  1.136 -0.302  1.136 -0.029  1.033 0.202
3#apa#apa01#app0174/1  -0.423 1.508  -0.423 1.431  -0.423 1.355  -0.377 1.324  -0.300 1.324  -0.239 1.309  -0.239 1.232  -0.239 1.155  -0.178 1.140  -0.101 1.140  -0.055 1.109  -0.055 1.032  -0.055 0.956  -0.055 0.879  -0.055 0.802  -0.055 0.726  -0.055 0.649  -0.055 0.572  -0.055 0.495  -0.055 0.419  -0.055 0.342  -0.055 0.265  -0.055 0.188  -0.055 0.112  -0.055 0.035  -0.001 -0.019  0.054 -0.074  0.108 -0.128  0.129 -0.196  0.129 -0.272  0.129 -0.349  0.129 -0.426  0.129 -0.503  0.129 -0.579  0.129 -0.656  0.129 -0.733  0.129 -0.810  0.129 -0.886  0.129 -0.963  0.129 -1.040  0.129 -1.116  0.129 -1.193  0.129 -1.270  0.129 -1.347  0.129 -1.423  0.191 -1.439  0.268 -1.439  0.314 -1.469  0.314 -1.546  0.314 -1.623
3#apa#apa01#app0174/2  -1.301 1.010  -1.197 1.010  -1.094 1.010  -0.990 1.010  -0.887 1.010  -0.784 1.010  -0.680 1.010  -0.577 1.010  -0.473 1.010  -0.370 1.010  -0.267 1.010  -0.163 1.010  -0.060 1.010  0.010 0.977  0.016 0.879  0.119 0.879  0.199 0.822  0.272 0.749  0.272 0.645  0.272 0.542  0.272 0.438  0.272 0.335  0.272 0.232  0.272 0.128  0.224 0.045  0.151 -0.029  0.141 -0.128  0.141 -0.231  0.117 -0.325  0.044 -0.398  0.010 -0.487  0.010 -0.591  0.010 -0.694  -0.094 -0.694  -0.121 -0.770  -0.121 -0.873  -0.121 -0.977  -0.121 -1.080  -0.024 -1.087  0.079 -1.087  0.182 -1.087  0.286 -1.087  0.389 -1.087  0.493 -1.087  0.596 -1.087  0.690 -1.063  0.763 -0.990  0.852 -0.956  0.956 -0.956  1.059 -0.956
3#apa#apa01#app0174/:  -0.430 1.646  -0.430 1.576  -0.430 1.506  -0.430 1.435  -0.416 1.367  -0.396 1.300  -0.376 1.233  -0.356 1.166  -0.335 1.099  -0.315 1.032  -0.295 0.965  -0.275 0.898  -0.255 0.831  -0.235 0.764  -0.215 0.696  -0.195 0.629  -0.174 0.562  -0.154 0.495  -0.134 0.428  -0.114 0.361  -0.094 0.294  -0.074 0.227  -0.054 0.160  -0.034 0.093  -0.013 0.026  0.007 -0.042  0.027 -0.109  0.047 -0.176  0.067 -0.243  0.087 -0.310  0.107 -0.377  0.128 -0.444  0.148 -0.511  0.168 -0.578  0.188 -0.645  0.208 -0.713  0.228 -0.780  0.248 -0.847  0.263 -0.915  0.263 -0.985  0.263 -1.055  0.263 -1.125  0.311 -1.175  0.360 -1.225  0.410 -1.274  0.460 -1.324  0.494 -1.379  0.494 -1.449  0.494 -1.519  0.494 -1.590
3#apa#apa01#app0174/3  -1.127 1.139  -0.993 1.139  -0.859 1.139  -0.725 1.139  -0.591 1.139  -0.457 1.139  -0.323 1.139  -0.190 1.139  -0.056 1.139  0.078 1.139  0.212 1.139  0.243 1.036  0.243 0.902  0.243 0.768  0.176 0.662  0.106 0.557  0.075 0.454  -0.051 0.435  -0.145 0.340  -0.240 0.245  -0.305 0.138  -0.277 0.071  -0.183 0.166  -0.055 0.181  0.079 0.181  0.213 0.181  0.347 0.181  0.380 0.080  0.478 0.044  0.517 -0.051  0.517 -0.185  0.605 -0.230  0.654 -0.316  0.654 -0.450  0.654 -0.584  0.600 -0.695  0.517 -0.795  0.507 -0.925  0.413 -1.019  0.380 -1.140  0.295 -1.189  0.185 -1.247  0.084 -1.326  -0.049 -1.326  -0.183 -1.326  -0.317 -1.326  -0.451 -1.326  -0.579 -1.320  -0.582 -1.189  -0.716 -1.189
3#apa#apa01#app0174/4  -1.149 1.008  -1.149 0.842  -1.149 0.677  -1.122 0.522  -1.005 0.405  -0.995 0.244  -0.879 0.126  -0.842 -0.024  -0.717 -0.064  -0.689 -0.202  -0.539 -0.217  -0.383 -0.227  -0.361 -0.370  -0.195 -0.370  -0.077 -0.417  -0.017 -0.523  0.087 -0.451  0.112 -0.288  0.137 -0.124  0.163 0.039  0.188 0.203  0.213 0.366  0.238 0.530  0.263 0.694  0.288 0.857  0.314 1.021  0.339 1.184  0.364 1.348  0.382 1.422  0.382 1.257  0.382 1.091  0.382 0.926  0.382 0.760  0.382 0.595  0.382 0.429  0.382 0.264  0.382 0.098  0.382 -0.067  0.382 -0.233  0.382 -0.398  0.382 -0.564  0.382 -0.729  0.382 -0.895  0.382 -1.061  0.382 -1.226  0.382 -1.392  0.382 -1.557  0.382 -1.723  0.382 -1.888  0.535 -1.901
3#apa#apa01#app0174/:  -0.167 1.133  -0.090 1.133  -0.012 1.133  -0.008 1.133  -0.086 1.133  -0.164 1.133  -0.167 1.208  -0.167 1.285  -0.144 1.306  -0.089 1.251  -0.034 1.196  0.021 1.141  0.029 1.067  0.029 0.989  0.029 0.911  0.029 0.833  0.029 0.755  0.029 0.677  0.029 0.600  0.029 0.522  0.029 0.444  0.029 0.366  0.029 0.288  0.029 0.210  0.029 0.133  0.029 0.055  0.029 -0.023  0.029 -0.101  0.029 -0.179  0.029 -0.257  0.029 -0.334  0.029 -0.412  0.029 -0.490  0.029 -0.568  0.029 -0.646  0.029 -0.724  0.029 -0.802  0.029 -0.879  0.029 -0.957  0.029 -1.035  0.029 -1.113  0.029 -1.191  0.029 -1.269  0.029 -1.346  0.029 -1.424  0.029 -1.502  0.029 -1.580  0.029 -1.658  0.029 -1.736  0.029 -1.813
3#apa#apa01#app0174/5  -0.761 0.617  -0.645 0.678  -0.761 0.740  -0.693 0.849  -0.519 0.859  -0.386 0.965  -0.208 0.965  -0.030 0.965  0.052 1.060  0.209 1.081  0.387 1.081  0.517 1.034  0.413 0.934  0.243 0.883  0.073 0.832  -0.097 0.781  -0.268 0.730  -0.438 0.679  -0.608 0.628  -0.645 0.477  -0.645 0.300  -0.645 0.122  -0.645 -0.056  -0.645 -0.160  -0.547 -0.081  -0.485 0.035  -0.308 0.035  -0.246 0.152  -0.068 0.152  0.109 0.152  0.252 0.068  0.412 0.025  0.546 -0.081  0.634 -0.171  0.775 -0.222  0.866 -0.362  0.866 -0.540  0.866 -0.717  0.866 -0.895  0.803 -1.010  0.744 -1.132  0.612 -1.243  0.517 -1.325  0.381 -1.379  0.244 -1.475  0.066 -1.475  -0.112 -1.475  -0.289 -1.475  -0.351 -1.359  -0.412 -1.243
3#apa#apa01#app0174/6  -0.162 1.731  -0.173 1.589  -0.277 1.485  -0.381 1.381  -0.485 1.277  -0.555 1.159  -0.555 1.013  -0.635 0.945  -0.686 0.850  -0.686 0.703  -0.686 0.556  -0.750 0.424  -0.816 0.293  -0.817 0.146  -0.817 -0.001  -0.817 -0.147  -0.773 -0.276  -0.686 -0.387  -0.658 -0.522  -0.555 -0.626  -0.538 -0.757  -0.401 -0.780  -0.297 -0.883  -0.193 -0.987  -0.059 -1.018  0.088 -1.018  0.234 -1.018  0.381 -1.018  0.528 -1.018  0.660 -0.982  0.768 -0.888  0.885 -0.858  0.885 -0.711  0.946 -0.626  1.016 -0.549  1.016 -0.402  1.016 -0.255  1.016 -0.108  0.885 -0.092  0.860 0.029  0.754 0.071  0.697 0.160  0.571 0.212  0.457 0.291  0.310 0.291  0.164 0.291  0.017 0.291  -0.130 0.291  -0.277 0.291  -0.293 0.160
3#apa#apa01#app0174/_  -1.758 -0.065  -1.683 -0.065  -1.609 -0.065  -1.534 -0.065  -1.460 -0.065  -1.386 -0.065  -1.311 -0.065  -1.237 -0.065  -1.162 -0.065  -1.088 -0.065  -1.014 -0.065  -0.939 -0.065  -0.865 -0.065  -0.790 -0.065  -0.716 -0.065  -0.642 -0.065  -0.567 -0.065  -0.493 -0.065  -0.418 -0.065  -0.344 -0.065  -0.270 -0.065  -0.195 -0.065  -0.121 -0.065  -0.046 -0.065  0.028 -0.065  0.102 -0.065  0.177 -0.065  0.251 -0.065  0.325 -0.065  0.400 -0.065  0.474 -0.065  0.549 -0.065  0.623 -0.065  0.697 -0.065  0.749 -0.042  0.749 0.033  0.749 0.107  0.767 0.163  0.842 0.163  0.916 0.163  0.990 0.163  1.065 0.163  1.139 0.163  1.214 0.163  1.288 0.163  1.362 0.163  1.437 0.163  1.511 0.163  1.586 0.163  1.660 0.163
3#apa#apa01#app0174/J  0.051 0.796  0.148 0.724  0.244 0.596  0.244 0.428  0.341 0.356  0.341 0.188  0.437 0.117  0.437 -0.051  0.473 -0.205  0.534 -0.348  0.534 -0.516  0.534 -0.684  0.534 -0.852  0.534 -1.020  0.496 -1.173  0.437 -1.316  0.298 -1.370  0.153 -1.425  0.002 -1.352  -0.161 -1.328  -0.238 -1.237  -0.335 -1.166  -0.351 -1.001  -0.416 -0.846  -0.481 -0.691  -0.546 -0.536  -0.612 -0.381  -0.677 -0.226  -0.742 -0.071  -0.807 0.084  -0.873 0.239  -0.938 0.394  -1.003 0.549  -1.068 0.704  -1.039 0.796  -0.871 0.796  -0.703 0.796  -0.535 0.796  -0.367 0.796  -0.198 0.796  -0.063 0.717  0.098 0.699  0.266 0.699  0.434 0.699  0.506 0.796  0.674 0.796  0.842 0.796  0.984 0.859  1.138 0.892  1.306 0.892
