1c#app#app19#app1937/u  -1.076 0.863  -1.155 0.785  -1.233 0.706  -1.249 0.602  -1.249 0.491  -1.249 0.380  -1.249 0.269  -1.249 0.158  -1.249 0.047  -1.249 -0.064  -1.246 -0.174  -1.167 -0.252  -1.089 -0.331  -0.983 -0.343  -0.881 -0.366  -0.803 -0.444  -0.721 -0.515  -0.610 -0.515  -0.499 -0.515  -0.388 -0.515  -0.277 -0.515  -0.171 -0.494  -0.072 -0.444  0.027 -0.395  0.126 -0.345  0.237 -0.343  0.335 -0.311  0.413 -0.233  0.498 -0.171  0.609 -0.171  0.699 -0.119  0.778 -0.041  0.820 0.053  0.820 0.164  0.820 0.275  0.820 0.386  0.820 0.497  0.731 0.519  0.667 0.499  0.745 0.421  0.820 0.341  0.820 0.230  0.875 0.174  0.986 0.174  1.066 0.100  1.145 0.021  1.223 -0.057  1.302 -0.136  1.398 -0.171  1.509 -0.171
1c#app#app19#app1937/g  -0.045 0.935  -0.133 0.944  -0.149 1.031  -0.235 1.074  -0.323 1.110  -0.420 1.110  -0.516 1.110  -0.613 1.110  -0.709 1.110  -0.746 1.051  -0.746 0.955  -0.669 0.935  -0.598 0.874  -0.571 0.789  -0.504 0.760  -0.407 0.760  -0.336 0.700  -0.251 0.672  -0.174 0.625  -0.105 0.557  -0.034 0.497  0.063 0.497  0.151 0.476  0.218 0.407  0.218 0.311  0.218 0.214  0.218 0.118  0.218 0.021  0.218 -0.075  0.218 -0.172  0.263 -0.249  0.305 -0.328  0.305 -0.425  0.305 -0.521  0.305 -0.618  0.305 -0.714  0.305 -0.811  0.369 -0.881  0.393 -0.968  0.393 -1.064  0.450 -1.137  0.480 -1.221  0.480 -1.317  0.480 -1.414  0.424 -1.487  0.341 -1.518  0.244 -1.518  0.218 -1.449  0.139 -1.431  0.042 -1.431
1c#app#app19#app1937/g  -0.046 0.947  -0.139 0.947  -0.209 1.004  -0.257 1.078  -0.270 1.158  -0.363 1.158  -0.457 1.158  -0.550 1.158  -0.643 1.158  -0.680 1.101  -0.680 1.008  -0.680 0.914  -0.665 0.827  -0.599 0.761  -0.533 0.695  -0.467 0.630  -0.373 0.630  -0.304 0.571  -0.230 0.524  -0.141 0.514  -0.075 0.448  0.006 0.419  0.088 0.391  0.154 0.325  0.220 0.259  0.292 0.207  0.377 0.199  0.377 0.105  0.377 0.012  0.377 -0.081  0.377 -0.175  0.377 -0.268  0.377 -0.361  0.377 -0.455  0.377 -0.548  0.377 -0.642  0.377 -0.735  0.377 -0.828  0.377 -0.922  0.377 -1.015  0.377 -1.108  0.377 -1.202  0.360 -1.288  0.294 -1.354  0.271 -1.438  0.271 -1.531  0.234 -1.588  0.141 -1.588  0.048 -1.588  -0.046 -1.588
1c#app#app19#app1937/l  -0.973 -1.184  -0.844 -1.150  -0.777 -1.055  -0.615 -1.055  -0.493 -0.961  -0.345 -0.927  -0.226 -0.822  -0.074 -0.799  -0.040 -0.670  0.102 -0.623  0.216 -0.508  0.331 -0.394  0.440 -0.277  0.481 -0.156  0.568 -0.082  0.568 0.080  0.568 0.242  0.568 0.404  0.511 0.543  0.440 0.675  0.373 0.809  0.312 0.946  0.235 1.076  0.120 1.191  0.055 1.325  0.055 1.487  -0.041 1.609  -0.190 1.642  -0.217 1.498  -0.331 1.383  -0.331 1.221  -0.331 1.059  -0.331 0.897  -0.331 0.735  -0.331 0.573  -0.307 0.415  -0.256 0.262  -0.205 0.108  -0.202 -0.054  -0.202 -0.216  -0.137 -0.350  -0.074 -0.486  0.002 -0.617  0.055 -0.757  0.140 -0.884  0.254 -0.998  0.312 -1.137  0.393 -1.265  0.535 -1.312  0.568 -1.441
1c#app#app19#app1937/e  -1.265 0.125  -1.458 0.125  -1.506 -0.021  -1.408 -0.117  -1.214 -0.117  -1.021 -0.119  -0.885 -0.256  -0.733 -0.358  -0.540 -0.358  -0.346 -0.358  -0.153 -0.358  -0.059 -0.259  -0.007 -0.117  0.187 -0.117  0.380 -0.117  0.574 -0.117  0.737 -0.045  0.874 0.092  1.054 0.125  1.148 0.225  1.148 0.418  1.143 0.607  0.949 0.607  0.906 0.758  0.803 0.848  0.626 0.887  0.489 1.024  0.323 1.089  0.129 1.089  -0.064 1.089  -0.258 1.089  -0.407 0.982  -0.541 0.844  -0.541 0.650  -0.541 0.457  -0.541 0.263  -0.502 0.086  -0.365 -0.051  -0.300 -0.217  -0.247 -0.358  -0.059 -0.363  -0.059 -0.557  0.048 -0.706  0.183 -0.844  0.183 -1.037  0.332 -1.082  0.496 -1.153  0.633 -1.290  0.769 -1.427  0.906 -1.564
1c#app#app19#app1937/r  -0.473 0.214  -0.473 0.080  -0.542 0.016  -0.672 0.011  -0.672 -0.124  -0.672 -0.258  -0.672 -0.392  -0.672 -0.526  -0.615 -0.637  -0.520 -0.732  -0.473 -0.846  -0.473 -0.980  -0.473 -1.115  -0.422 -1.228  -0.327 -1.323  -0.274 -1.317  -0.274 -1.183  -0.146 -1.177  -0.075 -1.114  -0.075 -0.979  -0.075 -0.845  -0.075 -0.711  -0.075 -0.577  -0.075 -0.443  -0.127 -0.330  -0.222 -0.235  -0.274 -0.123  -0.274 0.012  -0.274 0.146  -0.274 0.280  -0.274 0.414  -0.274 0.548  -0.274 0.683  -0.270 0.815  -0.175 0.910  -0.080 1.005  0.052 1.010  0.186 1.010  0.321 1.010  0.416 0.916  0.511 0.821  0.641 0.811  0.775 0.811  0.909 0.811  1.043 0.811  1.177 0.811  1.312 0.811  1.446 0.811  1.580 0.811  1.714 0.811
1c#app#app19#app1937/s  0.129 0.442  0.267 0.442  0.305 0.541  0.366 0.618  0.482 0.641  0.482 0.779  0.482 0.917  0.398 0.971  0.305 1.016  0.299 1.148  0.161 1.148  0.023 1.148  -0.115 1.148  -0.253 1.148  -0.391 1.148  -0.492 1.057  -0.594 0.971  -0.732 0.971  -0.754 0.855  -0.754 0.717  -0.754 0.579  -0.753 0.442  -0.615 0.442  -0.577 0.342  -0.522 0.238  -0.399 0.176  -0.275 0.114  -0.167 0.031  -0.070 -0.066  0.028 -0.164  0.126 -0.261  0.223 -0.359  0.305 -0.463  0.305 -0.601  0.427 -0.618  0.482 -0.700  0.513 -0.825  0.611 -0.923  0.658 -1.041  0.626 -1.147  0.488 -1.147  0.350 -1.147  0.305 -1.240  0.251 -1.324  0.113 -1.324  -0.025 -1.324  -0.163 -1.324  -0.301 -1.324  -0.401 -1.362  -0.401 -1.500
1c#app#app19#app1937/w  -1.397 0.806  -1.397 0.932  -1.397 0.795  -1.385 0.663  -1.289 0.567  -1.266 0.439  -1.266 0.303  -1.266 0.166  -1.181 0.065  -1.084 -0.032  -0.987 -0.129  -0.891 -0.225  -0.762 -0.244  -0.625 -0.244  -0.610 -0.122  -0.483 -0.112  -0.347 -0.111  -0.343 0.024  -0.246 0.120  -0.216 0.245  -0.216 0.381  -0.216 0.307  -0.216 0.170  -0.134 0.068  -0.085 -0.049  -0.033 -0.164  0.063 -0.261  0.160 -0.357  0.257 -0.454  0.353 -0.551  0.454 -0.637  0.585 -0.651  0.682 -0.748  0.810 -0.768  0.946 -0.768  1.083 -0.768  1.184 -0.681  1.227 -0.562  1.227 -0.426  1.227 -0.289  1.227 -0.152  1.159 -0.044  1.096 0.067  1.058 0.188  0.962 0.284  0.865 0.381  0.768 0.478  0.702 0.587  0.668 0.709  0.571 0.806
1c#app#app19#app1937/i  -0.107 1.323  -0.019 1.323  0.069 1.323  0.157 1.323  0.147 1.323  0.059 1.323  -0.030 1.323  -0.107 1.312  -0.107 1.224  -0.107 1.136  -0.107 1.048  -0.149 0.977  -0.212 0.915  -0.274 0.853  -0.336 0.790  -0.399 0.728  -0.410 0.645  -0.410 0.556  -0.410 0.468  -0.410 0.380  -0.410 0.292  -0.410 0.204  -0.410 0.116  -0.352 0.052  -0.290 -0.011  -0.228 -0.073  -0.165 -0.135  -0.107 -0.199  -0.107 -0.288  -0.107 -0.376  -0.107 -0.464  -0.107 -0.552  -0.107 -0.640  -0.107 -0.728  -0.091 -0.800  -0.003 -0.800  0.086 -0.800  0.174 -0.800  0.243 -0.846  0.305 -0.909  0.367 -0.971  0.430 -1.033  0.492 -1.096  0.499 -1.181  0.499 -1.269  0.499 -1.357  0.538 -1.406  0.626 -1.406  0.714 -1.406  0.803 -1.406
1c#app#app19#app1937/l  0.081 1.564  0.157 1.564  0.210 1.554  0.156 1.500  0.102 1.447  0.081 1.380  0.081 1.304  0.081 1.228  0.081 1.152  0.081 1.076  0.081 1.000  0.081 0.924  0.064 0.855  0.010 0.802  -0.044 0.748  -0.057 0.678  -0.057 0.602  -0.057 0.526  -0.057 0.450  -0.057 0.374  -0.057 0.298  -0.057 0.222  -0.082 0.156  -0.135 0.103  -0.189 0.049  -0.196 -0.024  -0.196 -0.100  -0.196 -0.176  -0.196 -0.252  -0.196 -0.328  -0.196 -0.404  -0.196 -0.480  -0.164 -0.542  -0.110 -0.596  -0.057 -0.650  -0.057 -0.726  -0.057 -0.802  -0.057 -0.878  -0.057 -0.954  -0.057 -1.030  -0.028 -1.093  0.026 -1.147  0.079 -1.201  0.081 -1.276  0.089 -1.349  0.143 -1.402  0.196 -1.456  0.250 -1.510  0.304 -1.563  0.357 -1.617
1c#app#app19#app1937/l  0.166 1.156  0.221 1.211  0.276 1.266  0.290 1.337  0.278 1.403  0.201 1.403  0.166 1.360  0.166 1.283  0.114 1.228  0.060 1.173  0.043 1.103  0.043 1.025  0.043 0.948  0.015 0.882  -0.039 0.828  -0.080 0.767  -0.080 0.690  -0.080 0.613  -0.080 0.536  -0.080 0.458  -0.080 0.381  -0.080 0.304  -0.080 0.227  -0.080 0.149  -0.080 0.072  -0.097 -0.002  -0.121 -0.076  -0.145 -0.149  -0.170 -0.222  -0.194 -0.295  -0.203 -0.371  -0.203 -0.448  -0.203 -0.526  -0.188 -0.599  -0.154 -0.668  -0.119 -0.737  -0.085 -0.807  -0.080 -0.883  -0.080 -0.960  -0.080 -1.037  -0.080 -1.114  -0.076 -1.190  -0.021 -1.244  0.034 -1.299  0.072 -1.366  0.106 -1.435  0.141 -1.504  0.180 -1.569  0.235 -1.624  0.290 -1.678
