3#app#app08#app0812/A  -0.173 1.255  -0.066 1.090  -0.147 0.851  -0.279 0.613  -0.392 0.386  -0.497 0.138  -0.588 -0.113  -0.712 -0.338  -0.820 -0.567  -0.927 -0.814  -1.007 -1.007  -1.023 -1.196  -0.912 -0.946  -0.801 -0.697  -0.691 -0.447  -0.580 -0.198  -0.469 0.052  -0.358 0.301  -0.247 0.551  -0.136 0.800  -0.025 1.050  0.086 1.299  0.197 1.549  0.258 1.563  0.338 1.309  0.365 1.043  0.477 0.815  0.581 0.567  0.651 0.323  0.692 0.067  0.796 -0.163  0.904 -0.391  0.966 -0.654  1.012 -0.920  1.119 -1.148  1.119 -1.421  0.927 -1.269  0.723 -1.088  0.518 -0.908  0.313 -0.727  0.109 -0.546  -0.096 -0.366  -0.301 -0.185  -0.506 -0.004  -0.710 0.176  -0.441 0.178  -0.213 0.070  0.060 0.070  0.325 0.036  0.581 -0.038
3#app#app08#app0812/B  -1.031 1.359  -0.938 1.154  -0.938 0.910  -0.908 0.680  -0.846 0.462  -0.846 0.219  -0.753 0.014  -0.753 -0.229  -0.730 -0.469  -0.645 -0.695  -0.568 -0.906  -0.568 -1.149  -0.568 -1.392  -0.568 -1.205  -0.475 -1.000  -0.475 -0.756  -0.475 -0.513  -0.448 -0.281  -0.382 -0.065  -0.290 0.140  -0.193 0.343  -0.021 0.515  0.086 0.713  0.304 0.822  0.507 0.951  0.706 1.058  0.940 1.081  1.100 0.997  0.907 0.888  0.735 0.716  0.499 0.688  0.273 0.618  0.068 0.525  0.113 0.432  0.318 0.340  0.529 0.262  0.740 0.144  0.939 0.037  1.111 -0.135  1.192 -0.345  1.192 -0.588  1.057 -0.721  0.835 -0.772  0.592 -0.772  0.348 -0.772  0.105 -0.772  -0.138 -0.772  -0.343 -0.679  -0.548 -0.587  -0.753 -0.494
3#app#app08#app0812/C  0.540 0.454  0.630 0.364  0.659 0.262  0.733 0.208  0.817 0.166  0.925 0.185  0.925 0.313  0.925 0.440  0.829 0.471  0.781 0.551  0.733 0.630  0.655 0.725  0.631 0.839  0.515 0.865  0.416 0.935  0.289 0.935  0.162 0.935  0.035 0.935  -0.093 0.935  -0.220 0.935  -0.251 0.839  -0.379 0.839  -0.481 0.780  -0.571 0.690  -0.661 0.599  -0.710 0.492  -0.773 0.391  -0.863 0.301  -0.903 0.190  -0.903 0.063  -0.903 -0.065  -0.903 -0.192  -0.901 -0.319  -0.844 -0.433  -0.776 -0.538  -0.695 -0.635  -0.638 -0.749  -0.561 -0.849  -0.452 -0.892  -0.353 -0.961  -0.263 -1.051  -0.173 -1.141  -0.062 -1.181  0.065 -1.181  0.192 -1.181  0.320 -1.181  0.447 -1.181  0.574 -1.181  0.702 -1.181  0.829 -1.181
3#app#app08#app0812/D  -0.577 0.346  -0.577 0.173  -0.577 -0.000  -0.530 -0.154  -0.487 -0.309  -0.487 -0.482  -0.487 -0.655  -0.549 -0.802  -0.577 -0.696  -0.577 -0.523  -0.577 -0.350  -0.577 -0.177  -0.577 -0.004  -0.577 0.169  -0.577 0.342  -0.577 0.515  -0.577 0.689  -0.577 0.862  -0.577 1.035  -0.577 1.208  -0.577 1.381  -0.455 1.432  -0.379 1.324  -0.236 1.251  -0.147 1.115  -0.038 0.983  0.084 0.861  0.207 0.738  0.329 0.616  0.461 0.506  0.612 0.424  0.734 0.301  0.857 0.179  0.979 0.056  1.102 -0.066  1.160 -0.215  1.232 -0.358  1.232 -0.531  1.129 -0.662  1.051 -0.802  0.906 -0.830  0.770 -0.921  0.597 -0.921  0.449 -0.980  0.288 -1.011  0.115 -1.011  -0.058 -1.011  -0.231 -1.011  -0.404 -1.011  -0.577 -1.011
3#app#app08#app0812/E  -0.407 0.536  -0.407 0.547  -0.407 0.355  -0.407 0.163  -0.407 -0.029  -0.407 -0.221  -0.407 -0.413  -0.407 -0.605  -0.407 -0.797  -0.407 -0.990  -0.407 -1.182  -0.323 -1.289  -0.173 -1.391  0.019 -1.391  0.211 -1.391  0.403 -1.391  0.595 -1.391  0.484 -1.258  0.353 -1.117  0.222 -0.977  0.092 -0.836  -0.039 -0.695  -0.170 -0.554  -0.300 -0.414  -0.431 -0.273  -0.562 -0.132  -0.692 0.008  -0.610 0.092  -0.457 0.130  -0.265 0.130  -0.073 0.130  0.119 0.130  0.311 0.130  0.503 0.130  0.548 0.196  0.419 0.339  0.291 0.482  0.162 0.625  0.034 0.767  -0.095 0.910  -0.223 1.053  -0.257 1.193  -0.092 1.257  0.063 1.347  0.255 1.347  0.447 1.347  0.639 1.347  0.831 1.347  1.023 1.347  1.215 1.347
3#app#app08#app0812/F  -0.610 0.445  -0.502 0.339  -0.399 0.227  -0.399 0.013  -0.399 -0.201  -0.399 -0.416  -0.399 -0.630  -0.399 -0.844  -0.399 -1.059  -0.399 -1.273  -0.399 -1.488  -0.399 -1.702  -0.405 -1.627  -0.414 -1.412  -0.423 -1.198  -0.432 -0.984  -0.441 -0.770  -0.450 -0.556  -0.459 -0.341  -0.468 -0.127  -0.477 0.087  -0.486 0.301  -0.495 0.515  -0.504 0.729  -0.451 0.921  -0.258 0.973  -0.043 0.973  0.171 0.973  0.385 0.973  0.600 0.973  0.814 0.973  1.029 0.973  1.199 0.867  1.414 0.867  1.591 0.777  1.429 0.686  1.232 0.601  1.035 0.517  0.838 0.432  0.641 0.348  0.444 0.263  0.247 0.179  0.050 0.095  -0.148 0.010  -0.345 -0.074  -0.542 -0.159  -0.512 -0.287  -0.300 -0.294  -0.086 -0.294  0.128 -0.294
3#app#app08#app0812/G  0.650 1.316  0.541 1.418  0.329 1.418  0.117 1.418  -0.056 1.326  -0.236 1.249  -0.386 1.099  -0.536 0.950  -0.714 0.839  -0.844 0.685  -0.969 0.517  -0.989 0.314  -1.092 0.144  -1.092 -0.068  -1.092 -0.279  -0.979 -0.446  -0.883 -0.635  -0.733 -0.785  -0.550 -0.880  -0.355 -0.958  -0.188 -1.083  0.010 -1.143  0.221 -1.143  0.433 -1.143  0.520 -0.994  0.411 -0.812  0.302 -0.631  0.193 -0.449  0.084 -0.267  -0.025 -0.086  -0.134 0.096  -0.243 0.278  -0.352 0.459  -0.206 0.496  0.006 0.496  0.218 0.496  0.430 0.496  0.599 0.394  0.811 0.394  1.023 0.394  0.988 0.291  0.902 0.133  0.790 -0.044  0.662 -0.210  0.585 -0.389  0.445 -0.543  0.357 -0.719  0.343 -0.925  0.343 -1.136  0.343 -1.348
3#app#app08#app0812/H  -0.435 1.497  -0.546 1.253  -0.546 0.963  -0.546 0.672  -0.546 0.382  -0.582 0.101  -0.656 -0.172  -0.656 -0.462  -0.766 -0.707  -0.846 -0.978  -0.956 -1.228  -0.825 -1.072  -0.636 -0.852  -0.446 -0.633  -0.256 -0.413  -0.067 -0.193  0.123 0.026  0.313 0.246  0.502 0.465  0.692 0.685  0.882 0.905  1.071 1.124  1.108 0.932  1.082 0.646  0.998 0.370  0.887 0.125  0.834 -0.152  0.777 -0.429  0.691 -0.683  0.667 -0.964  0.557 -1.208  0.434 -1.354  0.249 -1.131  0.063 -0.908  -0.123 -0.685  -0.309 -0.463  -0.495 -0.240  -0.680 -0.017  -0.866 0.206  -1.052 0.429  -1.159 0.615  -0.893 0.514  -0.605 0.505  -0.316 0.501  -0.051 0.395  0.239 0.395  0.509 0.308  0.794 0.285  1.059 0.224  1.328 0.174
3#app#app08#app0812/I  -0.319 1.553  -0.246 1.553  -0.173 1.553  -0.170 1.482  -0.170 1.409  -0.170 1.335  -0.170 1.262  -0.124 1.208  -0.072 1.156  -0.021 1.104  -0.021 1.030  -0.021 0.957  -0.021 0.883  -0.021 0.810  0.010 0.744  0.043 0.678  0.076 0.613  0.109 0.547  0.129 0.478  0.129 0.405  0.129 0.331  0.129 0.258  0.129 0.185  0.129 0.111  0.129 0.038  0.129 -0.036  0.129 -0.109  0.129 -0.182  0.129 -0.256  0.129 -0.329  0.129 -0.403  0.129 -0.476  0.122 -0.547  0.070 -0.598  0.018 -0.650  -0.021 -0.708  -0.021 -0.781  -0.021 -0.855  -0.021 -0.928  -0.021 -1.001  -0.021 -1.075  -0.021 -1.148  -0.021 -1.222  -0.021 -1.295  -0.021 -1.368  -0.021 -1.442  -0.021 -1.515  -0.023 -1.586  -0.097 -1.586  -0.170 -1.586
3#app#app08#app0812/J  0.251 0.722  0.251 0.748  0.341 0.632  0.341 0.478  0.341 0.325  0.413 0.201  0.431 0.055  0.431 -0.099  0.431 -0.253  0.431 -0.406  0.431 -0.560  0.431 -0.714  0.403 -0.861  0.341 -1.000  0.286 -1.130  0.177 -1.239  0.067 -1.345  -0.086 -1.345  -0.240 -1.345  -0.383 -1.297  -0.509 -1.214  -0.558 -1.080  -0.648 -0.964  -0.733 -0.895  -0.737 -0.746  -0.737 -0.593  -0.737 -0.439  -0.737 -0.285  -0.737 -0.132  -0.737 0.022  -0.737 0.175  -0.737 0.329  -0.737 0.483  -0.737 0.636  -0.737 0.790  -0.696 0.902  -0.542 0.902  -0.388 0.902  -0.235 0.902  -0.081 0.902  0.072 0.902  0.218 0.853  0.365 0.812  0.519 0.812  0.672 0.812  0.813 0.756  0.958 0.722  1.112 0.722  1.266 0.722  1.419 0.722
3#app#app08#app0812/K  -0.906 1.368  -0.808 1.241  -0.808 1.016  -0.808 0.790  -0.803 0.565  -0.732 0.351  -0.709 0.129  -0.709 -0.097  -0.709 -0.322  -0.709 -0.548  -0.709 -0.774  -0.709 -1.000  -0.694 -1.181  -0.560 -1.000  -0.426 -0.818  -0.292 -0.637  -0.158 -0.456  -0.024 -0.274  0.110 -0.093  0.245 0.089  0.379 0.270  0.513 0.452  0.647 0.633  0.781 0.815  0.915 0.996  0.971 1.137  0.829 1.028  0.667 0.874  0.445 0.858  0.243 0.757  0.050 0.645  -0.139 0.555  -0.327 0.465  -0.487 0.306  -0.610 0.131  -0.689 -0.015  -0.610 -0.105  -0.474 -0.015  -0.348 -0.114  -0.142 -0.200  0.034 -0.337  0.242 -0.410  0.421 -0.531  0.629 -0.608  0.814 -0.707  0.941 -0.806  1.125 -0.905  1.267 -1.046  1.366 -1.173  1.465 -1.300
