3#apa#apa01#app0169/[  0.662 0.919  0.662 1.018  0.662 1.116  0.574 1.126  0.475 1.126  0.377 1.126  0.279 1.126  0.180 1.126  0.082 1.126  -0.017 1.126  -0.061 1.072  -0.110 1.023  -0.209 1.023  -0.296 0.995  -0.365 0.925  -0.461 0.919  -0.475 0.834  -0.418 0.759  -0.371 0.680  -0.371 0.582  -0.356 0.490  -0.286 0.420  -0.268 0.330  -0.268 0.231  -0.268 0.133  -0.268 0.034  -0.268 -0.064  -0.268 -0.163  -0.268 -0.261  -0.268 -0.360  -0.268 -0.458  -0.268 -0.556  -0.268 -0.655  -0.268 -0.753  -0.268 -0.852  -0.268 -0.950  -0.264 -1.045  -0.166 -1.045  -0.067 -1.045  -0.061 -1.137  0.026 -1.148  0.125 -1.148  0.200 -1.203  0.279 -1.252  0.377 -1.252  0.475 -1.252  0.574 -1.252  0.662 -1.242  0.667 -1.148  0.766 -1.148
3#apa#apa01#app0169/(  0.168 1.281  0.229 1.343  0.291 1.405  0.287 1.439  0.200 1.439  0.168 1.384  0.168 1.297  0.117 1.231  0.055 1.169  0.010 1.101  0.010 1.014  -0.030 0.966  -0.117 0.966  -0.148 0.910  -0.148 0.823  -0.148 0.735  -0.149 0.649  -0.211 0.587  -0.273 0.525  -0.306 0.452  -0.306 0.365  -0.306 0.278  -0.306 0.190  -0.306 0.103  -0.306 0.016  -0.306 -0.071  -0.292 -0.153  -0.231 -0.214  -0.169 -0.276  -0.148 -0.355  -0.148 -0.442  -0.148 -0.529  -0.148 -0.616  -0.148 -0.703  -0.128 -0.771  -0.041 -0.771  0.010 -0.807  0.010 -0.894  0.010 -0.982  0.010 -1.069  0.079 -1.086  0.167 -1.086  0.229 -1.147  0.290 -1.209  0.325 -1.282  0.325 -1.369  0.379 -1.402  0.467 -1.402  0.483 -1.473  0.483 -1.560
3#apa#apa01#app0169/6  -0.603 1.826  -0.603 1.693  -0.542 1.621  -0.408 1.621  -0.397 1.497  -0.397 1.364  -0.397 1.230  -0.477 1.129  -0.572 1.034  -0.603 0.914  -0.603 0.780  -0.603 0.646  -0.603 0.513  -0.603 0.379  -0.603 0.245  -0.603 0.111  -0.603 -0.023  -0.603 -0.156  -0.563 -0.273  -0.468 -0.368  -0.397 -0.472  -0.397 -0.606  -0.302 -0.645  -0.191 -0.668  -0.191 -0.801  -0.107 -0.851  0.027 -0.851  0.161 -0.851  0.294 -0.851  0.428 -0.851  0.562 -0.851  0.696 -0.851  0.829 -0.851  0.963 -0.851  1.044 -0.798  1.044 -0.664  1.044 -0.530  1.044 -0.396  1.044 -0.263  0.940 -0.233  0.806 -0.233  0.673 -0.233  0.539 -0.233  0.405 -0.233  0.271 -0.233  0.138 -0.233  0.004 -0.233  -0.130 -0.233  -0.191 -0.161  -0.191 -0.027
3#apa#apa01#app0169/)  -1.041 1.120  -0.959 1.120  -0.878 1.120  -0.797 1.120  -0.715 1.120  -0.634 1.120  -0.553 1.120  -0.478 1.106  -0.420 1.048  -0.363 0.991  -0.284 0.983  -0.218 0.968  -0.218 0.887  -0.189 0.817  -0.132 0.760  -0.071 0.709  0.010 0.709  0.056 0.674  0.056 0.593  0.099 0.529  0.156 0.472  0.193 0.405  0.193 0.324  0.193 0.243  0.193 0.161  0.250 0.104  0.308 0.046  0.330 -0.026  0.330 -0.107  0.330 -0.189  0.330 -0.270  0.330 -0.351  0.330 -0.433  0.330 -0.514  0.330 -0.595  0.330 -0.676  0.330 -0.758  0.330 -0.839  0.330 -0.920  0.330 -1.002  0.330 -1.083  0.330 -1.164  0.305 -1.235  0.247 -1.293  0.193 -1.352  0.193 -1.433  0.163 -1.484  0.081 -1.484  0.056 -1.540  0.056 -1.621
3#apa#apa01#app0169/(  0.351 1.529  0.262 1.529  0.188 1.514  0.188 1.425  0.188 1.336  0.188 1.246  0.142 1.204  0.053 1.204  0.026 1.142  0.026 1.053  0.026 0.964  0.022 0.878  -0.067 0.878  -0.137 0.859  -0.137 0.770  -0.137 0.681  -0.137 0.592  -0.187 0.553  -0.276 0.553  -0.300 0.488  -0.300 0.399  -0.300 0.310  -0.300 0.220  -0.300 0.131  -0.300 0.042  -0.300 -0.047  -0.300 -0.136  -0.300 -0.225  -0.300 -0.314  -0.300 -0.403  -0.300 -0.492  -0.300 -0.581  -0.215 -0.585  -0.137 -0.596  -0.137 -0.686  -0.118 -0.767  -0.055 -0.830  0.008 -0.893  0.071 -0.956  0.134 -1.019  0.188 -1.085  0.188 -1.174  0.215 -1.236  0.304 -1.236  0.351 -1.279  0.351 -1.368  0.409 -1.399  0.498 -1.399  0.587 -1.399  0.676 -1.399
3#apa#apa01#app0169/7  -1.714 0.413  -1.628 0.413  -1.541 0.413  -1.454 0.413  -1.367 0.413  -1.280 0.413  -1.193 0.413  -1.107 0.413  -1.020 0.413  -0.933 0.413  -0.846 0.413  -0.759 0.413  -0.673 0.413  -0.586 0.413  -0.499 0.413  -0.412 0.413  -0.325 0.413  -0.238 0.413  -0.152 0.413  -0.065 0.413  0.022 0.413  0.109 0.413  0.196 0.413  0.283 0.413  0.369 0.413  0.456 0.413  0.543 0.413  0.630 0.413  0.690 0.386  0.690 0.299  0.690 0.213  0.690 0.126  0.690 0.039  0.690 -0.048  0.690 -0.135  0.690 -0.221  0.690 -0.308  0.690 -0.395  0.690 -0.482  0.690 -0.569  0.690 -0.656  0.690 -0.742  0.690 -0.829  0.690 -0.916  0.690 -1.003  0.690 -1.090  0.690 -1.176  0.690 -1.263  0.690 -1.350  0.690 -1.437
3#apa#apa01#app0169/)  -0.810 1.265  -0.810 1.177  -0.772 1.129  -0.685 1.129  -0.674 1.052  -0.646 0.993  -0.559 0.993  -0.472 0.993  -0.385 0.993  -0.298 0.993  -0.267 0.937  -0.259 0.857  -0.172 0.857  -0.085 0.857  0.002 0.857  0.005 0.773  0.040 0.721  0.127 0.721  0.141 0.648  0.166 0.585  0.253 0.585  0.277 0.522  0.277 0.435  0.277 0.348  0.277 0.261  0.277 0.173  0.277 0.086  0.277 -0.001  0.277 -0.088  0.277 -0.175  0.277 -0.262  0.277 -0.349  0.277 -0.437  0.277 -0.524  0.277 -0.611  0.277 -0.698  0.277 -0.785  0.277 -0.872  0.277 -0.959  0.277 -1.046  0.215 -1.108  0.154 -1.170  0.141 -1.252  0.141 -1.339  0.141 -1.426  0.082 -1.454  0.005 -1.464  0.005 -1.552  0.005 -1.639  0.005 -1.726
3#apa#apa01#app0169/(  0.307 1.711  0.307 1.623  0.297 1.539  0.235 1.477  0.173 1.415  0.145 1.338  0.145 1.250  0.100 1.181  0.038 1.119  -0.016 1.054  -0.016 0.966  -0.041 0.903  -0.129 0.903  -0.178 0.864  -0.178 0.776  -0.178 0.688  -0.178 0.600  -0.178 0.512  -0.178 0.424  -0.178 0.336  -0.184 0.251  -0.246 0.189  -0.308 0.127  -0.339 0.052  -0.339 -0.036  -0.339 -0.124  -0.339 -0.212  -0.267 -0.228  -0.179 -0.228  -0.178 -0.314  -0.178 -0.402  -0.178 -0.490  -0.178 -0.578  -0.178 -0.665  -0.149 -0.741  -0.086 -0.803  -0.024 -0.866  -0.016 -0.950  -0.013 -1.035  0.074 -1.035  0.145 -1.052  0.145 -1.140  0.176 -1.197  0.264 -1.197  0.307 -1.242  0.307 -1.330  0.366 -1.358  0.454 -1.358  0.542 -1.358  0.630 -1.358
3#apa#apa01#app0169/8  -0.433 1.045  -0.601 0.992  -0.601 0.772  -0.760 0.710  -0.768 0.498  -0.768 0.278  -0.662 0.101  -0.506 -0.054  -0.316 -0.127  -0.096 -0.127  0.108 -0.088  0.264 0.068  0.404 0.230  0.404 0.451  0.404 0.671  0.404 0.892  0.337 1.045  0.117 1.045  0.064 1.213  -0.157 1.213  -0.266 1.324  -0.430 1.380  -0.433 1.163  -0.433 0.943  -0.433 0.722  -0.433 0.502  -0.433 0.281  -0.433 0.061  -0.433 -0.160  -0.433 -0.380  -0.433 -0.600  -0.433 -0.821  -0.433 -1.041  -0.304 -1.132  -0.251 -1.300  -0.031 -1.300  0.154 -1.385  0.341 -1.468  0.561 -1.468  0.614 -1.300  0.739 -1.205  0.888 -1.132  0.907 -0.931  0.907 -0.711  0.907 -0.490  0.882 -0.295  0.739 -0.217  0.608 -0.127  0.560 0.052  0.404 0.208
3#apa#apa01#app0169/)  -0.577 1.360  -0.497 1.360  -0.418 1.360  -0.339 1.360  -0.313 1.306  -0.312 1.228  -0.233 1.228  -0.181 1.200  -0.181 1.121  -0.126 1.096  -0.049 1.094  -0.049 1.015  -0.029 0.944  0.027 0.888  0.083 0.831  0.083 0.752  0.083 0.672  0.083 0.593  0.121 0.530  0.178 0.474  0.215 0.410  0.215 0.330  0.215 0.251  0.215 0.172  0.215 0.092  0.215 0.013  0.215 -0.067  0.215 -0.146  0.215 -0.225  0.215 -0.305  0.215 -0.384  0.215 -0.463  0.215 -0.543  0.215 -0.622  0.215 -0.701  0.193 -0.772  0.137 -0.828  0.083 -0.885  0.083 -0.964  0.070 -1.041  0.034 -1.112  -0.001 -1.182  -0.037 -1.253  -0.049 -1.330  -0.049 -1.409  -0.127 -1.410  -0.181 -1.436  -0.181 -1.515  -0.234 -1.542  -0.313 -1.542
3#apa#apa01#app0169/(  0.300 1.527  0.390 1.527  0.431 1.478  0.423 1.396  0.333 1.396  0.300 1.339  0.300 1.249  0.300 1.159  0.235 1.133  0.169 1.110  0.169 1.020  0.117 0.951  0.053 0.887  0.038 0.804  0.019 0.721  -0.045 0.658  -0.115 0.609  -0.205 0.609  -0.225 0.539  -0.225 0.449  -0.225 0.359  -0.225 0.269  -0.251 0.190  -0.314 0.126  -0.356 0.053  -0.356 -0.037  -0.356 -0.127  -0.356 -0.217  -0.356 -0.307  -0.356 -0.397  -0.322 -0.473  -0.258 -0.537  -0.225 -0.613  -0.225 -0.703  -0.225 -0.793  -0.174 -0.833  -0.094 -0.842  -0.094 -0.932  -0.094 -1.022  -0.076 -1.095  0.014 -1.095  0.038 -1.161  0.063 -1.226  0.153 -1.226  0.169 -1.300  0.202 -1.357  0.292 -1.357  0.382 -1.357  0.431 -1.316  0.431 -1.226
