2#app#app35#app3514/2  -0.292 1.025  -0.292 1.140  -0.264 1.244  -0.196 1.332  -0.157 1.408  -0.042 1.408  0.074 1.408  0.189 1.407  0.271 1.325  0.352 1.244  0.379 1.139  0.475 1.120  0.475 1.004  0.475 0.889  0.433 0.791  0.379 0.698  0.337 0.600  0.266 0.511  0.214 0.407  0.132 0.354  0.092 0.278  0.024 0.191  -0.057 0.109  -0.139 0.028  -0.221 -0.054  -0.292 -0.140  -0.316 -0.246  -0.388 -0.331  -0.412 -0.437  -0.483 -0.523  -0.483 -0.638  -0.521 -0.738  -0.579 -0.829  -0.579 -0.945  -0.579 -1.060  -0.514 -1.149  -0.483 -1.107  -0.392 -1.084  -0.276 -1.084  -0.161 -1.084  -0.061 -1.045  0.031 -0.988  0.146 -0.988  0.261 -0.988  0.283 -0.894  0.397 -0.892  0.512 -0.892  0.571 -0.949  0.647 -0.988  0.763 -0.988
2#app#app35#app3514/^  -0.993 -1.534  -0.993 -1.414  -0.993 -1.294  -0.993 -1.174  -0.961 -1.067  -0.876 -0.982  -0.791 -0.897  -0.775 -0.783  -0.775 -0.663  -0.775 -0.543  -0.751 -0.446  -0.631 -0.446  -0.558 -0.399  -0.558 -0.279  -0.558 -0.159  -0.558 -0.039  -0.492 0.054  -0.407 0.139  -0.340 0.232  -0.340 0.352  -0.340 0.472  -0.340 0.592  -0.290 0.692  -0.205 0.777  -0.123 0.863  -0.123 0.983  -0.096 1.077  0.024 1.077  0.095 1.028  0.095 0.907  0.167 0.859  0.287 0.859  0.313 0.764  0.313 0.644  0.396 0.558  0.481 0.473  0.566 0.388  0.651 0.303  0.736 0.218  0.748 0.103  0.754 -0.011  0.874 -0.011  0.966 -0.040  0.966 -0.160  1.017 -0.229  1.138 -0.229  1.183 -0.303  1.183 -0.424  1.281 -0.446  1.401 -0.446
2#app#app35#app3514/0  0.092 1.001  -0.046 1.001  -0.184 1.001  -0.308 0.943  -0.380 0.849  -0.481 0.812  -0.568 0.762  -0.610 0.634  -0.677 0.515  -0.757 0.410  -0.757 0.272  -0.836 0.167  -0.851 0.036  -0.851 -0.102  -0.851 -0.240  -0.851 -0.378  -0.851 -0.515  -0.851 -0.653  -0.850 -0.790  -0.752 -0.888  -0.652 -0.978  -0.530 -1.016  -0.415 -1.072  -0.278 -1.072  -0.140 -1.072  -0.002 -1.072  0.131 -1.052  0.254 -0.991  0.357 -0.901  0.476 -0.833  0.599 -0.771  0.722 -0.710  0.826 -0.621  0.861 -0.507  0.940 -0.448  0.940 -0.310  0.940 -0.172  0.939 -0.034  0.877 0.089  0.845 0.219  0.785 0.338  0.708 0.453  0.637 0.570  0.575 0.694  0.513 0.817  0.442 0.933  0.345 1.030  0.247 1.128  0.186 1.240  0.092 1.284
2#app#app35#app3514/=  -0.817 0.666  -0.734 0.749  -0.651 0.832  -0.556 0.884  -0.439 0.884  -0.322 0.884  -0.205 0.884  -0.163 0.959  -0.163 1.076  -0.072 1.102  0.045 1.102  0.162 1.102  0.279 1.102  0.396 1.102  0.490 1.079  0.490 0.962  0.529 0.884  0.646 0.884  0.680 0.837  0.620 0.737  0.560 0.636  0.500 0.536  0.439 0.436  0.379 0.335  0.319 0.235  0.259 0.135  0.199 0.035  0.138 -0.066  0.078 -0.166  0.018 -0.266  -0.042 -0.367  -0.102 -0.467  -0.162 -0.567  -0.223 -0.668  -0.283 -0.768  -0.343 -0.868  -0.403 -0.969  -0.463 -1.069  -0.524 -1.169  -0.584 -1.269  -0.511 -1.294  -0.394 -1.294  -0.277 -1.294  -0.160 -1.294  -0.043 -1.294  0.072 -1.286  0.177 -1.234  0.281 -1.181  0.386 -1.129  0.490 -1.077
2#app#app35#app3514/1  -0.173 1.712  -0.173 1.639  -0.173 1.566  -0.173 1.493  -0.173 1.421  -0.173 1.348  -0.173 1.275  -0.173 1.202  -0.173 1.129  -0.173 1.057  -0.173 0.984  -0.173 0.911  -0.173 0.838  -0.173 0.765  -0.173 0.693  -0.173 0.620  -0.173 0.547  -0.131 0.492  -0.079 0.440  -0.028 0.389  -0.026 0.317  -0.026 0.244  -0.026 0.171  -0.026 0.098  -0.026 0.026  -0.026 -0.047  -0.026 -0.120  -0.026 -0.193  -0.026 -0.266  -0.026 -0.338  0.018 -0.393  0.070 -0.444  0.121 -0.496  0.121 -0.569  0.121 -0.641  0.121 -0.714  0.121 -0.787  0.121 -0.860  0.121 -0.933  0.121 -1.005  0.121 -1.078  0.168 -1.131  0.220 -1.183  0.268 -1.236  0.268 -1.308  0.268 -1.381  0.268 -1.454  0.268 -1.527  0.268 -1.600  0.268 -1.672
2#app#app35#app3514/0  -0.251 1.071  -0.352 1.044  -0.407 0.969  -0.454 0.888  -0.531 0.791  -0.622 0.700  -0.692 0.594  -0.750 0.479  -0.807 0.364  -0.860 0.248  -0.860 0.119  -0.860 -0.009  -0.860 -0.138  -0.860 -0.267  -0.860 -0.395  -0.860 -0.524  -0.860 -0.653  -0.843 -0.774  -0.749 -0.858  -0.631 -0.884  -0.534 -0.960  -0.405 -0.960  -0.276 -0.960  -0.148 -0.960  -0.019 -0.960  0.110 -0.960  0.239 -0.960  0.335 -0.882  0.454 -0.858  0.547 -0.772  0.667 -0.753  0.758 -0.662  0.849 -0.571  0.866 -0.449  0.866 -0.320  0.866 -0.192  0.866 -0.063  0.866 0.066  0.866 0.194  0.866 0.323  0.801 0.425  0.765 0.538  0.763 0.666  0.672 0.757  0.581 0.848  0.516 0.958  0.458 1.073  0.367 1.164  0.246 1.183  0.155 1.274
2#app#app35#app3514/^  -1.182 -1.145  -1.182 -1.024  -1.182 -0.903  -1.182 -0.782  -1.130 -0.714  -1.009 -0.714  -0.967 -0.635  -0.967 -0.514  -0.967 -0.393  -0.960 -0.275  -0.874 -0.190  -0.789 -0.104  -0.703 -0.019  -0.618 0.066  -0.536 0.154  -0.536 0.274  -0.514 0.386  -0.428 0.471  -0.343 0.557  -0.321 0.669  -0.321 0.789  -0.205 0.795  -0.105 0.816  -0.105 0.937  -0.058 1.010  0.063 1.010  0.162 0.958  0.248 0.873  0.326 0.784  0.326 0.663  0.326 0.542  0.326 0.422  0.389 0.364  0.510 0.364  0.541 0.274  0.541 0.154  0.657 0.148  0.757 0.127  0.757 0.006  0.757 -0.114  0.757 -0.235  0.809 -0.335  0.894 -0.420  0.972 -0.509  0.972 -0.630  1.009 -0.714  1.130 -0.714  1.232 -0.758  1.318 -0.844  1.403 -0.929
2#app#app35#app3514/0  -0.094 0.978  -0.214 0.949  -0.321 0.887  -0.368 0.801  -0.484 0.770  -0.578 0.676  -0.661 0.575  -0.720 0.456  -0.779 0.338  -0.824 0.216  -0.824 0.083  -0.905 -0.016  -0.915 -0.144  -0.915 -0.277  -0.915 -0.409  -0.915 -0.542  -0.908 -0.672  -0.815 -0.765  -0.716 -0.847  -0.590 -0.873  -0.471 -0.932  -0.353 -0.992  -0.229 -1.030  -0.097 -1.030  0.036 -1.030  0.160 -0.994  0.280 -0.938  0.407 -0.916  0.525 -0.857  0.650 -0.833  0.744 -0.740  0.837 -0.646  0.910 -0.544  0.910 -0.411  0.910 -0.278  0.910 -0.146  0.904 -0.015  0.845 0.104  0.819 0.230  0.802 0.356  0.715 0.455  0.656 0.573  0.597 0.692  0.533 0.807  0.445 0.905  0.386 1.023  0.305 1.127  0.211 1.220  0.118 1.314  -0.003 1.343
2#app#app35#app3514/=  -1.111 0.660  -0.990 0.660  -0.879 0.682  -0.794 0.768  -0.708 0.853  -0.594 0.869  -0.474 0.869  -0.353 0.869  -0.233 0.869  -0.112 0.869  0.009 0.869  0.129 0.869  0.250 0.869  0.371 0.869  0.491 0.869  0.612 0.869  0.733 0.869  0.853 0.869  0.974 0.869  0.915 0.781  0.841 0.686  0.766 0.591  0.692 0.496  0.618 0.400  0.544 0.305  0.470 0.210  0.396 0.115  0.322 0.020  0.248 -0.076  0.174 -0.171  0.100 -0.266  0.026 -0.361  -0.048 -0.457  -0.122 -0.552  -0.196 -0.647  -0.270 -0.742  -0.344 -0.837  -0.418 -0.933  -0.494 -1.027  -0.579 -1.112  -0.665 -1.197  -0.610 -1.225  -0.490 -1.225  -0.369 -1.225  -0.248 -1.225  -0.128 -1.225  -0.007 -1.225  0.114 -1.225  0.234 -1.225  0.355 -1.225
2#app#app35#app3514/x  -1.319 1.387  -1.148 1.369  -1.021 1.242  -0.860 1.220  -0.831 1.053  -0.705 0.926  -0.578 0.799  -0.473 0.655  -0.374 0.506  -0.275 0.357  -0.156 0.224  -0.053 0.080  0.027 -0.080  0.135 -0.220  0.262 -0.347  0.365 -0.483  0.407 -0.645  0.534 -0.772  0.660 -0.898  0.787 -1.025  0.825 -1.189  0.976 -1.216  0.940 -1.042  0.903 -0.867  0.865 -0.692  0.828 -0.516  0.790 -0.341  0.753 -0.166  0.715 0.009  0.678 0.184  0.640 0.359  0.603 0.534  0.565 0.709  0.528 0.884  0.518 0.793  0.405 0.661  0.310 0.512  0.230 0.351  0.114 0.217  -0.032 0.117  -0.192 0.037  -0.352 -0.043  -0.512 -0.123  -0.613 -0.263  -0.693 -0.423  -0.812 -0.555  -0.971 -0.603  -1.074 -0.726  -1.154 -0.886  -1.166 -1.063
2#app#app35#app3514/^  -0.972 -0.905  -1.095 -0.905  -1.145 -0.831  -1.128 -0.715  -1.041 -0.628  -0.972 -0.533  -0.972 -0.410  -0.901 -0.316  -0.814 -0.229  -0.800 -0.112  -0.747 -0.042  -0.627 -0.038  -0.627 0.085  -0.572 0.186  -0.485 0.273  -0.454 0.383  -0.433 0.498  -0.346 0.585  -0.282 0.681  -0.282 0.804  -0.282 0.928  -0.225 0.994  -0.109 1.001  -0.109 1.125  -0.028 1.167  0.064 1.136  0.064 1.012  0.111 0.900  0.166 0.790  0.221 0.680  0.236 0.560  0.264 0.449  0.351 0.361  0.438 0.274  0.525 0.187  0.582 0.087  0.582 -0.036  0.582 -0.159  0.630 -0.262  0.717 -0.350  0.754 -0.457  0.769 -0.574  0.856 -0.662  0.927 -0.755  0.927 -0.879  1.024 -0.905  1.100 -0.952  1.100 -1.076  1.185 -1.163  1.272 -1.250
