2#apa#apa13#app1340/p  -0.410 0.679  -0.312 0.798  -0.214 0.777  -0.199 0.566  -0.116 0.383  -0.116 0.166  -0.116 -0.051  -0.116 -0.268  -0.116 -0.485  -0.116 -0.703  -0.116 -0.920  -0.116 -1.137  -0.116 -1.354  -0.116 -1.571  -0.066 -1.776  -0.044 -1.766  -0.094 -1.555  -0.145 -1.344  -0.196 -1.133  -0.247 -0.922  -0.298 -0.711  -0.349 -0.500  -0.400 -0.289  -0.451 -0.077  -0.502 0.134  -0.553 0.345  -0.604 0.556  -0.655 0.767  -0.705 0.978  -0.618 1.159  -0.405 1.170  -0.188 1.170  0.029 1.170  0.228 1.096  0.440 1.072  0.657 1.072  0.843 0.997  1.025 0.912  1.160 0.751  1.160 0.534  1.160 0.317  0.993 0.203  0.833 0.058  0.680 -0.095  0.473 -0.155  0.262 -0.204  0.045 -0.204  -0.172 -0.204  -0.390 -0.204  -0.607 -0.204
2#apa#apa13#app1340/l  0.157 1.689  0.157 1.618  0.157 1.547  0.157 1.476  0.133 1.410  0.101 1.347  0.069 1.283  0.042 1.219  0.042 1.147  0.042 1.076  0.042 1.005  0.042 0.934  0.042 0.863  0.042 0.792  0.021 0.726  -0.011 0.662  -0.043 0.599  -0.073 0.535  -0.073 0.464  -0.073 0.393  -0.073 0.321  -0.073 0.250  -0.073 0.179  -0.073 0.108  -0.073 0.037  -0.073 -0.034  -0.073 -0.105  -0.073 -0.176  -0.073 -0.247  -0.073 -0.318  -0.073 -0.390  -0.073 -0.461  -0.073 -0.532  -0.073 -0.603  -0.073 -0.674  -0.073 -0.745  -0.073 -0.816  -0.073 -0.887  -0.073 -0.958  -0.073 -1.029  -0.051 -1.092  -0.001 -1.142  0.042 -1.195  0.042 -1.266  0.042 -1.337  0.042 -1.408  0.042 -1.480  0.057 -1.545  0.107 -1.595  0.157 -1.645
2#apa#apa13#app1340/e  -0.668 -0.017  -0.647 -0.173  -0.529 -0.286  -0.364 -0.286  -0.218 -0.240  -0.090 -0.151  0.075 -0.151  0.210 -0.081  0.341 0.016  0.488 0.090  0.616 0.190  0.679 0.329  0.754 0.463  0.813 0.603  0.813 0.768  0.813 0.933  0.787 1.087  0.667 1.196  0.502 1.196  0.337 1.196  0.173 1.196  0.022 1.136  -0.126 1.063  -0.243 0.947  -0.385 0.866  -0.533 0.792  -0.649 0.676  -0.766 0.559  -0.853 0.422  -0.927 0.274  -0.938 0.112  -0.938 -0.053  -0.938 -0.218  -0.938 -0.383  -0.938 -0.548  -0.827 -0.667  -0.710 -0.783  -0.563 -0.825  -0.412 -0.886  -0.265 -0.959  -0.100 -0.960  0.065 -0.960  0.230 -0.960  0.395 -0.960  0.560 -0.960  0.724 -0.960  0.889 -0.960  1.054 -0.960  1.205 -0.899  1.352 -0.825
2#apa#apa13#app1340/a  0.082 1.010  -0.076 1.010  -0.233 1.010  -0.391 1.010  -0.548 1.010  -0.706 1.010  -0.829 0.928  -0.941 0.817  -1.080 0.773  -1.163 0.652  -1.221 0.509  -1.221 0.351  -1.221 0.193  -1.221 0.036  -1.221 -0.122  -1.221 -0.279  -1.120 -0.395  -0.972 -0.419  -0.831 -0.489  -0.702 -0.576  -0.574 -0.649  -0.417 -0.649  -0.259 -0.649  -0.102 -0.649  0.056 -0.649  0.213 -0.649  0.365 -0.626  0.506 -0.555  0.628 -0.458  0.739 -0.347  0.875 -0.294  0.913 -0.173  1.024 -0.062  1.030 0.093  1.030 0.251  0.952 0.376  0.812 0.417  0.654 0.417  0.497 0.417  0.437 0.319  0.437 0.162  0.437 0.004  0.481 -0.143  0.551 -0.284  0.660 -0.397  0.691 -0.539  0.832 -0.609  0.980 -0.649  1.126 -0.697  1.267 -0.768
2#apa#apa13#app1340/s  0.414 0.985  0.314 1.085  0.269 1.053  0.196 0.985  0.054 0.985  -0.087 0.985  -0.229 0.985  -0.370 0.985  -0.511 0.985  -0.638 0.950  -0.738 0.850  -0.875 0.839  -1.017 0.839  -1.040 0.721  -1.040 0.580  -0.962 0.471  -0.849 0.403  -0.749 0.361  -0.711 0.258  -0.570 0.258  -0.428 0.258  -0.287 0.258  -0.146 0.258  -0.005 0.252  0.129 0.207  0.263 0.163  0.397 0.118  0.414 -0.011  0.534 -0.033  0.675 -0.033  0.705 -0.145  0.781 -0.255  0.881 -0.355  0.981 -0.454  0.996 -0.590  0.996 -0.731  0.996 -0.872  0.919 -0.982  0.806 -1.051  0.665 -1.051  0.523 -1.051  0.382 -1.051  0.241 -1.051  0.099 -1.051  -0.042 -1.051  -0.184 -1.051  -0.325 -1.051  -0.466 -1.051  -0.608 -1.051  -0.749 -1.051
2#apa#apa13#app1340/e  -0.840 -0.294  -0.691 -0.270  -0.574 -0.169  -0.415 -0.169  -0.281 -0.110  -0.214 0.021  -0.115 0.081  -0.030 0.200  0.044 0.340  0.157 0.452  0.306 0.476  0.412 0.591  0.412 0.750  0.412 0.909  0.412 1.068  0.268 1.083  0.109 1.083  -0.050 1.083  -0.174 0.998  -0.316 0.957  -0.435 0.862  -0.547 0.749  -0.689 0.707  -0.809 0.613  -0.840 0.467  -0.945 0.352  -0.965 0.201  -0.965 0.042  -0.965 -0.117  -0.965 -0.275  -0.950 -0.419  -0.805 -0.454  -0.693 -0.566  -0.577 -0.669  -0.418 -0.669  -0.259 -0.669  -0.100 -0.669  0.059 -0.669  0.218 -0.669  0.376 -0.669  0.535 -0.669  0.694 -0.669  0.853 -0.669  1.012 -0.669  1.171 -0.669  1.330 -0.669  1.488 -0.669  1.647 -0.669  1.801 -0.657  1.913 -0.544
2#apa#apa13#app1340/c  0.528 0.971  0.528 0.834  0.528 0.697  0.528 0.560  0.522 0.424  0.461 0.301  0.420 0.174  0.420 0.037  0.421 0.114  0.518 0.211  0.528 0.344  0.528 0.481  0.528 0.618  0.528 0.755  0.432 0.852  0.410 0.981  0.313 1.078  0.176 1.078  0.039 1.078  -0.098 1.078  -0.222 1.024  -0.341 0.958  -0.437 0.861  -0.499 0.738  -0.570 0.623  -0.661 0.521  -0.722 0.399  -0.783 0.276  -0.844 0.154  -0.864 0.021  -0.864 -0.116  -0.864 -0.253  -0.864 -0.390  -0.831 -0.521  -0.788 -0.651  -0.728 -0.771  -0.631 -0.868  -0.532 -0.962  -0.410 -1.023  -0.282 -1.064  -0.153 -1.098  -0.031 -1.159  0.104 -1.171  0.241 -1.171  0.378 -1.171  0.515 -1.171  0.652 -1.171  0.789 -1.171  0.926 -1.171  1.063 -1.171
2#apa#apa13#app1340/a  0.339 0.838  0.290 0.991  0.139 1.044  -0.034 1.044  -0.198 1.021  -0.338 0.941  -0.503 0.922  -0.626 0.800  -0.764 0.699  -0.896 0.607  -0.981 0.487  -1.129 0.400  -1.234 0.265  -1.308 0.109  -1.308 -0.064  -1.308 -0.237  -1.308 -0.410  -1.234 -0.538  -1.076 -0.603  -0.903 -0.603  -0.730 -0.603  -0.557 -0.603  -0.384 -0.603  -0.230 -0.555  -0.080 -0.500  0.087 -0.472  0.240 -0.393  0.363 -0.271  0.497 -0.164  0.651 -0.086  0.751 0.046  0.751 0.219  0.751 0.392  0.613 0.426  0.439 0.426  0.266 0.426  0.135 0.325  0.133 0.153  0.158 -0.010  0.236 -0.151  0.330 -0.285  0.456 -0.404  0.610 -0.481  0.776 -0.513  0.931 -0.590  1.097 -0.638  1.265 -0.680  1.435 -0.706  1.608 -0.706  1.781 -0.706
2#apa#apa13#app1340/l  -0.032 1.683  -0.032 1.612  -0.032 1.540  -0.032 1.469  -0.032 1.398  -0.083 1.348  -0.127 1.295  -0.127 1.223  -0.127 1.152  -0.127 1.081  -0.127 1.010  -0.127 0.938  -0.127 0.867  -0.127 0.796  -0.127 0.725  -0.127 0.653  -0.127 0.582  -0.127 0.511  -0.127 0.439  -0.127 0.368  -0.127 0.297  -0.127 0.226  -0.127 0.154  -0.127 0.083  -0.102 0.018  -0.070 -0.046  -0.038 -0.110  -0.032 -0.180  -0.032 -0.251  -0.032 -0.322  -0.032 -0.393  -0.032 -0.465  -0.017 -0.532  0.015 -0.596  0.047 -0.660  0.063 -0.727  0.063 -0.799  0.063 -0.870  0.090 -0.935  0.121 -0.998  0.153 -1.062  0.185 -1.126  0.217 -1.190  0.249 -1.253  0.253 -1.324  0.253 -1.395  0.253 -1.466  0.253 -1.538  0.297 -1.590  0.348 -1.641
2#apa#apa13#app1340/l  -0.089 1.676  -0.089 1.605  -0.049 1.551  -0.003 1.499  -0.003 1.428  -0.003 1.357  -0.003 1.286  -0.003 1.215  -0.003 1.144  -0.003 1.073  -0.026 1.006  -0.048 0.938  -0.070 0.871  -0.089 0.803  -0.089 0.732  -0.089 0.661  -0.089 0.590  -0.089 0.519  -0.089 0.448  -0.089 0.377  -0.089 0.306  -0.089 0.235  -0.089 0.164  -0.089 0.093  -0.079 0.024  -0.048 -0.039  -0.016 -0.103  -0.003 -0.171  -0.003 -0.242  -0.003 -0.313  -0.003 -0.384  -0.003 -0.455  -0.003 -0.526  -0.003 -0.597  0.008 -0.665  0.039 -0.729  0.071 -0.792  0.083 -0.860  0.083 -0.931  0.083 -1.002  0.083 -1.073  0.083 -1.144  0.083 -1.215  0.083 -1.286  0.083 -1.357  0.090 -1.425  0.140 -1.476  0.169 -1.535  0.169 -1.606  0.169 -1.677
2#apa#apa13#app1340/1  0.175 1.136  0.260 1.172  0.260 0.954  0.260 0.736  0.175 0.553  0.175 0.335  0.175 0.117  0.175 -0.101  0.131 -0.309  0.090 -0.517  0.090 -0.735  0.178 -0.884  0.221 -0.670  0.264 -0.456  0.307 -0.242  0.349 -0.028  0.392 0.186  0.435 0.400  0.478 0.613  0.520 0.827  0.563 1.041  0.634 1.221  0.601 1.306  0.481 1.357  0.284 1.306  0.123 1.169  -0.038 1.023  -0.219 0.902  -0.318 0.728  -0.431 0.604  -0.533 0.411  -0.634 0.218  -0.736 0.025  -0.837 -0.168  -0.939 -0.361  -1.040 -0.554  -1.142 -0.747  -1.244 -0.940  -1.137 -1.071  -0.919 -1.071  -0.716 -1.007  -0.503 -0.986  -0.287 -0.970  -0.080 -0.901  0.138 -0.901  0.356 -0.901  0.574 -0.901  0.792 -0.901  0.989 -0.952  1.108 -1.071
