3#apa#apa19#app1991/!  -0.261 1.450  -0.187 1.450  -0.112 1.450  -0.086 1.401  -0.086 1.326  -0.063 1.274  0.012 1.274  0.087 1.274  0.090 1.202  0.090 1.127  0.090 1.052  0.090 0.977  0.090 0.902  0.090 0.827  0.090 0.752  0.041 0.698  -0.012 0.645  -0.065 0.592  -0.086 0.525  -0.086 0.451  -0.086 0.376  -0.086 0.301  -0.086 0.226  -0.086 0.151  -0.086 0.076  -0.086 0.001  -0.086 -0.074  -0.086 -0.149  -0.086 -0.224  -0.086 -0.299  -0.086 -0.373  -0.086 -0.448  -0.086 -0.523  -0.086 -0.598  -0.086 -0.673  -0.086 -0.748  -0.086 -0.823  -0.058 -0.891  -0.024 -0.958  0.009 -1.025  0.043 -1.092  0.076 -1.159  0.110 -1.226  0.143 -1.293  0.177 -1.360  0.210 -1.427  0.244 -1.494  0.266 -1.564  0.266 -1.639  0.266 -1.714
3#apa#apa19#app1991/@  -0.258 -0.283  -0.057 -0.283  0.143 -0.283  0.265 -0.205  0.396 -0.136  0.457 0.039  0.527 0.211  0.356 0.240  0.188 0.162  0.135 -0.016  0.089 -0.198  0.004 -0.363  0.071 -0.548  0.192 -0.676  0.355 -0.765  0.539 -0.807  0.739 -0.807  0.920 -0.787  0.983 -0.613  1.125 -0.471  1.181 -0.294  1.181 -0.093  1.181 0.107  1.051 0.253  1.014 0.445  0.924 0.624  0.785 0.768  0.637 0.894  0.441 0.923  0.251 0.986  0.056 1.025  -0.144 1.025  -0.344 1.025  -0.545 1.025  -0.718 0.958  -0.892 0.894  -1.039 0.767  -1.174 0.622  -1.199 0.426  -1.262 0.236  -1.305 0.042  -1.305 -0.158  -1.251 -0.337  -1.110 -0.478  -0.995 -0.640  -0.898 -0.807  -0.706 -0.844  -0.527 -0.934  -0.327 -0.937  -0.127 -0.937
3#apa#apa19#app1991/#  0.027 1.343  0.027 1.304  0.027 0.875  -0.168 0.527  -0.168 0.098  -0.168 -0.332  -0.168 -0.761  -0.168 -1.190  -0.364 -1.538  -0.313 -1.595  -0.198 -1.182  -0.083 -0.768  0.032 -0.355  0.147 0.059  0.262 0.472  0.376 0.886  0.491 1.299  0.606 1.713  0.594 1.343  0.417 1.092  0.417 0.663  0.417 0.233  0.417 -0.196  0.417 -0.625  0.417 -1.054  0.353 -1.317  0.066 -0.998  -0.221 -0.679  -0.509 -0.360  -0.796 -0.041  -1.083 0.278  -1.293 0.563  -0.944 0.758  -0.515 0.758  -0.086 0.758  0.343 0.758  0.772 0.758  1.194 0.756  0.836 0.518  0.479 0.280  0.122 0.042  -0.235 -0.197  -0.592 -0.435  -0.949 -0.673  -0.949 -0.803  -0.715 -0.607  -0.286 -0.607  0.144 -0.607  0.573 -0.607  1.002 -0.607
3#apa#apa19#app1991/$  0.872 0.322  0.531 0.464  0.274 0.607  -0.125 0.607  -0.410 0.492  -0.491 0.260  -0.184 0.037  0.073 -0.105  0.423 -0.226  0.747 -0.408  1.071 -0.590  1.157 -0.954  0.795 -1.037  0.423 -1.103  0.023 -1.103  -0.376 -1.103  -0.717 -0.960  -0.804 -0.685  -0.708 -0.298  -0.611 0.090  -0.514 0.477  -0.417 0.865  -0.320 1.253  -0.310 1.604  -0.268 1.447  -0.268 1.048  -0.268 0.648  -0.268 0.249  -0.268 -0.151  -0.339 -0.534  -0.410 -0.916  -0.410 -1.316  -0.401 -1.630  -0.320 -1.239  -0.238 -0.848  -0.157 -0.457  -0.075 -0.065  0.006 0.326  0.088 0.717  0.169 1.108  0.251 1.499  0.160 1.742  0.160 1.342  0.160 0.943  0.302 0.577  0.302 0.177  0.354 -0.210  0.445 -0.588  0.445 -0.988  0.445 -1.388
3#apa#apa19#app1991/%  -0.639 0.886  -0.778 0.991  -0.955 0.924  -1.060 0.785  -1.165 0.585  -1.146 0.360  -1.007 0.255  -0.763 0.255  -0.633 0.373  -0.534 0.594  -0.534 0.837  -0.639 0.976  -0.626 0.977  -0.420 0.886  -0.176 0.886  0.046 0.939  0.268 0.991  0.512 0.991  0.651 1.096  0.623 1.034  0.528 0.886  0.427 0.689  0.283 0.499  0.206 0.267  0.097 0.068  -0.002 -0.153  -0.149 -0.343  -0.219 -0.571  -0.324 -0.771  -0.403 -0.982  -0.429 -1.215  -0.407 -1.406  -0.234 -1.233  -0.062 -1.061  0.111 -0.889  0.283 -0.716  0.455 -0.544  0.628 -0.371  0.625 -0.271  0.412 -0.302  0.307 -0.441  0.307 -0.685  0.400 -0.890  0.596 -1.007  0.839 -1.007  1.072 -0.979  1.149 -0.767  1.029 -0.573  0.826 -0.474  0.623 -0.376
3#apa#apa19#app1991/^  -1.081 -1.295  -1.081 -1.165  -1.081 -1.036  -1.081 -0.906  -1.081 -0.776  -1.081 -0.646  -1.081 -0.516  -1.056 -0.397  -0.965 -0.305  -0.873 -0.213  -0.781 -0.121  -0.689 -0.029  -0.597 0.063  -0.506 0.154  -0.498 0.281  -0.498 0.411  -0.498 0.541  -0.498 0.670  -0.443 0.745  -0.313 0.745  -0.207 0.769  -0.207 0.898  -0.207 1.028  -0.085 1.036  0.045 1.036  0.085 0.946  0.085 0.817  0.143 0.745  0.273 0.745  0.376 0.719  0.376 0.589  0.376 0.459  0.376 0.329  0.376 0.199  0.469 0.162  0.599 0.162  0.668 0.101  0.668 -0.029  0.668 -0.159  0.668 -0.288  0.668 -0.418  0.795 -0.421  0.925 -0.421  0.959 -0.516  0.959 -0.646  1.023 -0.712  1.153 -0.712  1.251 -0.744  1.251 -0.874  1.251 -1.004
3#apa#apa19#app1991/&  0.418 1.878  0.418 2.075  0.418 1.934  0.418 1.738  0.338 1.575  0.200 1.436  0.194 1.242  0.194 1.046  0.194 0.850  0.194 0.654  0.194 0.457  0.194 0.261  0.194 0.065  0.194 -0.131  0.194 -0.327  0.194 -0.524  0.194 -0.720  0.298 -0.811  0.418 -0.888  0.418 -1.084  0.418 -1.239  0.418 -1.042  0.418 -0.846  0.257 -0.811  0.194 -0.678  0.119 -0.513  -0.019 -0.374  -0.111 -0.201  -0.199 -0.026  -0.326 0.085  -0.479 0.129  -0.495 0.309  -0.691 0.309  -0.887 0.309  -1.083 0.309  -1.151 0.181  -1.151 -0.015  -1.100 -0.190  -0.961 -0.329  -0.779 -0.363  -0.618 -0.448  -0.479 -0.587  -0.283 -0.587  -0.087 -0.587  0.109 -0.587  0.306 -0.587  0.502 -0.587  0.698 -0.587  0.894 -0.587  1.090 -0.587
3#apa#apa19#app1991/*  0.186 2.034  0.186 1.675  0.368 1.391  0.622 1.138  0.647 0.789  0.647 0.430  0.647 0.071  0.647 -0.288  0.647 -0.647  0.647 -1.006  0.647 -1.365  0.599 -1.607  0.345 -1.353  0.091 -1.099  -0.163 -0.845  -0.416 -0.591  -0.670 -0.338  -0.924 -0.084  -1.178 0.170  -0.866 0.190  -0.507 0.190  -0.148 0.190  0.186 0.165  0.186 -0.194  0.385 -0.072  0.639 0.181  0.893 0.435  1.054 0.651  0.695 0.651  0.647 0.340  0.438 0.190  0.080 0.190  -0.275 0.185  -0.275 -0.174  -0.536 -0.272  -0.736 -0.431  -0.793 -0.733  -1.152 -0.733  -1.197 -0.419  -1.197 -0.060  -1.197 0.299  -1.190 0.651  -0.831 0.651  -0.550 0.464  -0.296 0.210  0.055 0.190  0.347 0.029  0.601 -0.225  0.855 -0.479  1.108 -0.733
3#apa#apa19#app1991/(  0.769 1.153  0.681 1.153  0.593 1.153  0.506 1.153  0.418 1.153  0.330 1.153  0.243 1.153  0.155 1.153  0.067 1.153  -0.014 1.146  -0.014 1.058  -0.066 1.022  -0.144 1.013  -0.144 0.925  -0.182 0.853  -0.244 0.791  -0.306 0.729  -0.368 0.667  -0.405 0.595  -0.405 0.507  -0.405 0.419  -0.405 0.332  -0.405 0.244  -0.405 0.156  -0.405 0.069  -0.405 -0.019  -0.405 -0.107  -0.405 -0.194  -0.405 -0.282  -0.405 -0.370  -0.405 -0.457  -0.402 -0.543  -0.324 -0.583  -0.245 -0.622  -0.167 -0.661  -0.144 -0.735  -0.130 -0.817  -0.068 -0.879  -0.006 -0.941  0.056 -1.003  0.118 -1.065  0.180 -1.127  0.242 -1.189  0.319 -1.230  0.397 -1.269  0.476 -1.308  0.560 -1.324  0.645 -1.331  0.707 -1.393  0.769 -1.455
3#apa#apa19#app1991/)  -0.854 1.305  -0.772 1.305  -0.695 1.291  -0.637 1.233  -0.579 1.175  -0.503 1.160  -0.421 1.160  -0.418 1.081  -0.402 1.015  -0.320 1.015  -0.248 0.990  -0.190 0.932  -0.132 0.874  -0.052 0.870  0.026 0.860  0.084 0.802  0.142 0.744  0.162 0.670  0.162 0.588  0.195 0.514  0.232 0.440  0.268 0.367  0.305 0.293  0.307 0.212  0.307 0.130  0.307 0.048  0.307 -0.034  0.307 -0.117  0.307 -0.199  0.307 -0.281  0.307 -0.363  0.307 -0.445  0.307 -0.527  0.307 -0.609  0.307 -0.691  0.307 -0.773  0.307 -0.855  0.307 -0.937  0.304 -1.017  0.222 -1.017  0.147 -1.032  0.088 -1.090  0.030 -1.148  0.017 -1.225  0.017 -1.307  -0.041 -1.365  -0.099 -1.423  -0.157 -1.481  -0.215 -1.539  -0.273 -1.597
3#apa#apa19#app1991/`  -1.022 1.207  -0.934 1.207  -0.846 1.207  -0.759 1.207  -0.671 1.207  -0.583 1.207  -0.495 1.207  -0.442 1.173  -0.442 1.085  -0.442 0.997  -0.442 0.910  -0.442 0.822  -0.442 0.734  -0.442 0.646  -0.442 0.559  -0.442 0.471  -0.442 0.383  -0.442 0.296  -0.442 0.208  -0.442 0.120  -0.427 0.048  -0.339 0.048  -0.251 0.048  -0.164 0.048  -0.076 0.048  0.012 0.048  0.099 0.048  0.138 -0.002  0.138 -0.089  0.138 -0.177  0.138 -0.265  0.138 -0.353  0.138 -0.440  0.138 -0.528  0.197 -0.591  0.259 -0.653  0.321 -0.715  0.383 -0.777  0.445 -0.839  0.507 -0.901  0.569 -0.963  0.631 -1.025  0.693 -1.087  0.771 -1.112  0.858 -1.112  0.946 -1.112  1.034 -1.112  1.121 -1.112  1.209 -1.112  1.297 -1.112
