2#apb#apb31#app3165/S  0.468 0.795  0.549 0.875  0.629 0.956  0.686 1.055  0.703 1.163  0.591 1.175  0.477 1.164  0.363 1.162  0.249 1.162  0.139 1.141  0.031 1.103  -0.076 1.065  -0.174 1.006  -0.272 0.948  -0.360 0.877  -0.441 0.796  -0.524 0.718  -0.605 0.640  -0.631 0.530  -0.598 0.421  -0.536 0.329  -0.455 0.249  -0.360 0.189  -0.257 0.140  -0.154 0.091  -0.055 0.034  0.043 -0.024  0.141 -0.083  0.236 -0.145  0.332 -0.207  0.428 -0.270  0.523 -0.333  0.565 -0.437  0.562 -0.546  0.531 -0.655  0.471 -0.747  0.387 -0.824  0.304 -0.903  0.223 -0.983  0.142 -1.064  0.047 -1.125  -0.051 -1.184  -0.155 -1.228  -0.266 -1.252  -0.377 -1.279  -0.487 -1.310  -0.598 -1.329  -0.712 -1.329  -0.815 -1.293  -0.857 -1.233
2#apb#apb31#app3165/e  -0.564 -0.053  -0.626 -0.068  -0.491 -0.154  -0.336 -0.206  -0.191 -0.131  -0.046 -0.054  0.099 0.023  0.215 0.138  0.331 0.254  0.447 0.369  0.531 0.509  0.611 0.652  0.691 0.795  0.750 0.948  0.809 1.101  0.804 1.262  0.761 1.412  0.618 1.436  0.465 1.388  0.345 1.276  0.226 1.164  0.106 1.052  0.004 0.925  -0.098 0.796  -0.199 0.667  -0.298 0.537  -0.384 0.398  -0.471 0.258  -0.557 0.119  -0.642 -0.021  -0.727 -0.161  -0.811 -0.302  -0.853 -0.455  -0.866 -0.619  -0.856 -0.781  -0.826 -0.942  -0.737 -1.075  -0.625 -1.195  -0.508 -1.307  -0.344 -1.307  -0.190 -1.264  -0.042 -1.195  0.106 -1.124  0.233 -1.021  0.360 -0.918  0.487 -0.814  0.620 -0.719  0.755 -0.625  0.889 -0.531  1.023 -0.437
2#apb#apb31#app3165/p  -0.608 -0.054  -0.652 -0.194  -0.672 -0.342  -0.682 -0.492  -0.707 -0.639  -0.746 -0.785  -0.798 -0.925  -0.865 -1.059  -0.942 -1.187  -1.035 -1.305  -1.013 -1.180  -0.972 -1.036  -0.908 -0.901  -0.844 -0.765  -0.771 -0.634  -0.685 -0.511  -0.600 -0.387  -0.514 -0.264  -0.426 -0.142  -0.332 -0.025  -0.238 0.092  -0.143 0.209  -0.049 0.326  0.058 0.431  0.167 0.534  0.276 0.638  0.385 0.741  0.495 0.843  0.605 0.946  0.723 1.037  0.848 1.121  0.978 1.187  1.128 1.187  1.244 1.101  1.244 0.951  1.190 0.813  1.119 0.681  1.025 0.564  0.931 0.447  0.828 0.338  0.722 0.232  0.612 0.129  0.502 0.027  0.388 -0.070  0.267 -0.160  0.140 -0.240  0.006 -0.302  -0.141 -0.332  -0.282 -0.355  -0.254 -0.290
2#apb#apb31#app3165/t  0.511 1.361  0.609 1.181  0.624 0.976  0.545 0.789  0.431 0.617  0.299 0.458  0.165 0.300  0.030 0.143  -0.081 -0.031  -0.182 -0.212  -0.274 -0.398  -0.362 -0.585  -0.426 -0.782  -0.478 -0.982  -0.528 -1.183  -0.562 -1.385  -0.460 -1.540  -0.256 -1.506  -0.059 -1.443  0.120 -1.339  0.298 -1.234  0.478 -1.131  0.663 -1.038  0.861 -0.984  0.904 -0.903  0.780 -0.737  0.656 -0.571  0.532 -0.405  0.408 -0.239  0.284 -0.073  0.160 0.093  0.036 0.259  -0.088 0.425  -0.212 0.591  -0.336 0.757  -0.460 0.923  -0.639 0.978  -0.846 0.978  -1.045 0.923  -1.131 0.774  -1.021 0.599  -0.817 0.571  -0.611 0.557  -0.406 0.585  -0.201 0.613  0.006 0.618  0.213 0.618  0.419 0.631  0.623 0.670  0.826 0.708
2#apb#apb31#app3165/.  1.519 0.759  1.457 0.728  1.395 0.697  1.333 0.666  1.271 0.635  1.209 0.604  1.147 0.573  1.085 0.542  1.023 0.511  0.961 0.480  0.899 0.449  0.837 0.418  0.775 0.387  0.713 0.356  0.651 0.325  0.589 0.294  0.527 0.263  0.465 0.232  0.403 0.201  0.341 0.170  0.279 0.139  0.217 0.108  0.155 0.077  0.093 0.047  0.031 0.015  -0.031 -0.015  -0.093 -0.047  -0.155 -0.077  -0.217 -0.108  -0.279 -0.139  -0.341 -0.170  -0.403 -0.201  -0.465 -0.232  -0.527 -0.263  -0.589 -0.294  -0.651 -0.325  -0.713 -0.356  -0.775 -0.387  -0.837 -0.418  -0.899 -0.449  -0.961 -0.480  -1.023 -0.511  -1.085 -0.542  -1.147 -0.573  -1.209 -0.604  -1.271 -0.635  -1.333 -0.666  -1.395 -0.697  -1.457 -0.728  -1.519 -0.759
2#apb#apb31#app3165/2  -0.355 0.874  -0.347 0.994  -0.266 1.086  -0.166 1.164  -0.062 1.238  0.043 1.309  0.153 1.372  0.266 1.424  0.392 1.416  0.507 1.390  0.567 1.278  0.626 1.166  0.648 1.044  0.648 0.917  0.648 0.790  0.610 0.671  0.559 0.555  0.507 0.439  0.453 0.325  0.376 0.223  0.300 0.122  0.224 0.020  0.147 -0.081  0.065 -0.177  -0.018 -0.274  -0.100 -0.371  -0.193 -0.456  -0.291 -0.537  -0.389 -0.618  -0.489 -0.696  -0.592 -0.771  -0.695 -0.844  -0.802 -0.912  -0.919 -0.946  -0.993 -1.005  -0.890 -0.981  -0.786 -0.911  -0.706 -0.813  -0.581 -0.829  -0.456 -0.812  -0.334 -0.779  -0.207 -0.779  -0.080 -0.779  0.047 -0.779  0.174 -0.772  0.300 -0.764  0.427 -0.775  0.553 -0.772  0.679 -0.770  0.798 -0.813
2#apb#apb31#app3165/3  -1.103 1.054  -1.212 0.999  -1.233 0.882  -1.175 0.792  -1.056 0.782  -0.933 0.782  -0.814 0.802  -0.696 0.834  -0.578 0.867  -0.463 0.910  -0.349 0.953  -0.231 0.976  -0.109 0.976  0.014 0.976  0.135 0.992  0.218 0.918  0.256 0.805  0.229 0.686  0.200 0.568  0.168 0.450  0.113 0.341  0.065 0.229  0.043 0.110  0.043 -0.012  0.093 -0.120  0.199 -0.169  0.321 -0.176  0.439 -0.208  0.558 -0.228  0.681 -0.228  0.796 -0.251  0.898 -0.318  1.008 -0.368  1.044 -0.441  0.972 -0.540  0.861 -0.591  0.750 -0.642  0.638 -0.692  0.526 -0.742  0.415 -0.791  0.305 -0.846  0.197 -0.903  0.089 -0.960  -0.018 -1.019  -0.125 -1.078  -0.232 -1.138  -0.337 -1.200  -0.437 -1.271  -0.537 -1.341  -0.637 -1.412
2#apb#apb31#app3165/N  -0.297 0.687  -0.393 0.525  -0.464 0.349  -0.544 0.177  -0.629 0.008  -0.698 -0.168  -0.751 -0.351  -0.805 -0.532  -0.884 -0.705  -0.965 -0.876  -1.082 -1.025  -1.142 -1.042  -1.079 -0.864  -0.988 -0.697  -0.897 -0.531  -0.787 -0.376  -0.677 -0.221  -0.571 -0.065  -0.480 0.102  -0.389 0.268  -0.298 0.435  -0.208 0.602  -0.116 0.767  0.021 0.864  0.032 0.675  0.030 0.486  0.023 0.296  0.020 0.106  0.020 -0.083  0.021 -0.273  0.035 -0.462  0.051 -0.651  0.079 -0.839  0.137 -1.017  0.286 -0.972  0.405 -0.825  0.510 -0.667  0.608 -0.505  0.698 -0.337  0.787 -0.170  0.863 0.004  0.940 0.177  1.014 0.352  1.080 0.530  1.146 0.707  1.214 0.884  1.286 1.060  1.333 1.242  1.323 1.429  1.187 1.522
2#apb#apb31#app3165/o  -0.204 1.346  -0.254 1.226  -0.303 1.107  -0.353 0.988  -0.403 0.869  -0.441 0.746  -0.467 0.620  -0.492 0.493  -0.517 0.366  -0.543 0.240  -0.566 0.113  -0.574 -0.016  -0.583 -0.145  -0.591 -0.274  -0.599 -0.403  -0.608 -0.532  -0.596 -0.660  -0.575 -0.787  -0.554 -0.914  -0.532 -1.042  -0.494 -1.163  -0.433 -1.277  -0.372 -1.391  -0.253 -1.408  -0.146 -1.363  -0.068 -1.260  0.011 -1.158  0.076 -1.048  0.132 -0.931  0.188 -0.815  0.244 -0.698  0.298 -0.581  0.340 -0.459  0.382 -0.337  0.424 -0.215  0.467 -0.093  0.506 0.030  0.540 0.155  0.573 0.280  0.607 0.404  0.640 0.529  0.669 0.655  0.694 0.781  0.720 0.908  0.745 1.035  0.759 1.163  0.752 1.290  0.651 1.319  0.585 1.208  0.518 1.097
2#apb#apb31#app3165/v  -0.475 1.284  -0.476 1.168  -0.512 1.058  -0.541 0.946  -0.547 0.830  -0.552 0.715  -0.560 0.599  -0.573 0.484  -0.587 0.369  -0.600 0.253  -0.612 0.138  -0.624 0.023  -0.636 -0.092  -0.648 -0.208  -0.651 -0.323  -0.646 -0.439  -0.641 -0.555  -0.638 -0.671  -0.643 -0.787  -0.649 -0.903  -0.648 -1.017  -0.603 -1.124  -0.537 -1.199  -0.425 -1.187  -0.331 -1.119  -0.236 -1.052  -0.160 -0.966  -0.088 -0.874  -0.017 -0.783  0.055 -0.692  0.125 -0.600  0.195 -0.507  0.266 -0.415  0.336 -0.323  0.406 -0.231  0.476 -0.138  0.546 -0.046  0.616 0.047  0.686 0.139  0.754 0.233  0.815 0.331  0.876 0.430  0.937 0.529  0.997 0.628  1.042 0.735  1.085 0.842  1.128 0.950  1.155 1.063  1.181 1.176  1.180 1.284
2#apb#apb31#app3165/.  1.123 1.314  1.066 1.265  1.010 1.217  0.954 1.168  0.898 1.119  0.841 1.071  0.785 1.022  0.729 0.973  0.673 0.924  0.617 0.876  0.560 0.827  0.504 0.778  0.448 0.729  0.392 0.681  0.335 0.632  0.279 0.583  0.223 0.535  0.167 0.486  0.111 0.437  0.054 0.388  -0.002 0.340  -0.058 0.291  -0.105 0.234  -0.148 0.173  -0.190 0.112  -0.233 0.051  -0.276 -0.010  -0.318 -0.071  -0.361 -0.132  -0.404 -0.193  -0.446 -0.254  -0.489 -0.315  -0.532 -0.376  -0.574 -0.437  -0.617 -0.498  -0.621 -0.565  -0.599 -0.636  -0.577 -0.707  -0.555 -0.778  -0.533 -0.849  -0.512 -0.920  -0.490 -0.991  -0.468 -1.063  -0.446 -1.134  -0.424 -1.205  -0.402 -1.276  -0.380 -1.347  -0.358 -1.418  -0.337 -1.489  -0.315 -1.560
