1c#apa#apa01#app0125/w  -1.259 0.830  -1.259 1.020  -1.259 0.909  -1.148 0.830  -1.145 0.643  -1.111 0.486  -1.030 0.378  -0.981 0.208  -0.915 0.045  -0.915 -0.145  -0.801 -0.221  -0.801 -0.411  -0.745 -0.546  -0.686 -0.676  -0.686 -0.866  -0.571 -0.942  -0.571 -0.876  -0.571 -0.686  -0.457 -0.611  -0.457 -0.421  -0.371 -0.316  -0.309 -0.169  -0.227 -0.013  -0.192 0.142  -0.113 0.253  0.002 0.328  0.117 0.404  0.117 0.379  0.185 0.257  0.252 0.122  0.346 -0.029  0.364 -0.202  0.461 -0.295  0.515 -0.431  0.575 -0.560  0.666 -0.660  0.690 -0.724  0.805 -0.648  0.805 -0.458  0.919 -0.383  0.928 -0.202  1.034 -0.117  1.034 0.073  1.149 0.148  1.149 0.338  1.191 0.486  1.263 0.604  1.263 0.794  1.378 0.870  1.378 1.060
1c#apa#apa01#app0125/a  0.250 0.028  0.277 0.218  0.440 0.272  0.440 0.488  0.440 0.705  0.440 0.921  0.440 1.138  0.440 1.354  0.226 1.357  0.010 1.357  -0.129 1.279  -0.234 1.167  -0.412 1.074  -0.588 0.977  -0.699 0.872  -0.792 0.694  -0.889 0.517  -0.964 0.332  -1.078 0.163  -1.078 -0.054  -1.078 -0.270  -1.078 -0.487  -0.916 -0.541  -0.889 -0.730  -0.699 -0.757  -0.662 -0.958  -0.508 -1.110  -0.319 -1.083  -0.265 -0.920  -0.049 -0.920  0.060 -0.813  0.155 -0.636  0.250 -0.458  0.250 -0.242  0.250 -0.025  0.250 0.191  0.250 0.408  0.250 0.571  0.250 0.355  0.250 0.138  0.250 -0.078  0.250 -0.295  0.363 -0.464  0.440 -0.649  0.575 -0.731  0.791 -0.731  0.952 -0.864  1.145 -0.920  1.362 -0.920  1.578 -0.920
1c#apa#apa01#app0125/r  -0.684 0.049  -0.630 -0.060  -0.575 -0.169  -0.520 -0.279  -0.466 -0.388  -0.397 -0.487  -0.310 -0.573  -0.224 -0.660  -0.186 -0.767  -0.186 -0.889  -0.186 -1.011  -0.186 -1.133  -0.186 -1.256  -0.186 -1.378  -0.130 -1.444  -0.008 -1.444  0.062 -1.392  0.062 -1.270  0.062 -1.148  0.062 -1.026  0.062 -0.903  0.062 -0.781  0.062 -0.659  0.062 -0.537  0.062 -0.414  0.062 -0.292  0.062 -0.170  0.062 -0.048  0.062 0.075  0.062 0.197  0.048 0.313  -0.039 0.399  -0.125 0.486  -0.186 0.583  -0.186 0.705  -0.186 0.827  -0.186 0.950  -0.160 1.045  -0.038 1.045  0.062 1.067  0.062 1.190  0.080 1.294  0.202 1.294  0.325 1.294  0.447 1.294  0.569 1.294  0.691 1.294  0.814 1.294  0.936 1.294  1.058 1.294
1c#apa#apa01#app0125/m  -1.216 -0.300  -1.091 -0.426  -1.086 -0.601  -0.999 -0.691  -0.956 -0.826  -0.956 -0.901  -0.956 -0.723  -1.059 -0.588  -1.086 -0.422  -1.086 -0.245  -1.086 -0.067  -1.086 0.110  -1.086 0.288  -0.972 0.351  -0.925 0.482  -0.747 0.482  -0.606 0.570  -0.446 0.612  -0.279 0.587  -0.174 0.453  -0.174 0.276  -0.087 0.134  -0.043 -0.025  -0.011 -0.170  0.087 -0.250  0.087 -0.427  0.087 -0.605  0.087 -0.601  0.087 -0.423  0.087 -0.246  0.087 -0.068  0.101 0.104  0.218 0.233  0.218 0.411  0.324 0.482  0.371 0.612  0.549 0.612  0.692 0.695  0.850 0.743  1.000 0.715  1.074 0.612  1.216 0.526  1.260 0.367  1.260 0.189  1.260 0.012  1.350 -0.129  1.391 -0.289  1.427 -0.431  1.521 -0.514  1.521 -0.691
1c#apa#apa01#app0125/c  0.352 0.960  0.352 1.086  0.352 1.213  0.248 1.235  0.121 1.235  -0.006 1.235  -0.132 1.235  -0.200 1.176  -0.247 1.097  -0.337 1.061  -0.363 0.960  -0.475 0.945  -0.478 0.822  -0.605 0.822  -0.613 0.704  -0.613 0.577  -0.709 0.546  -0.751 0.462  -0.751 0.335  -0.751 0.208  -0.751 0.082  -0.751 -0.045  -0.723 -0.143  -0.613 -0.160  -0.608 -0.281  -0.481 -0.281  -0.475 -0.402  -0.475 -0.529  -0.377 -0.557  -0.337 -0.644  -0.262 -0.695  -0.200 -0.759  -0.146 -0.832  -0.020 -0.832  0.107 -0.832  0.234 -0.832  0.352 -0.841  0.352 -0.967  0.476 -0.970  0.490 -0.858  0.591 -0.832  0.717 -0.832  0.844 -0.832  0.903 -0.765  0.959 -0.695  1.041 -0.650  1.075 -0.557  1.179 -0.534  1.190 -0.419  1.317 -0.419
1c#apa#apa01#app0125/u  -1.419 0.905  -1.416 0.762  -1.276 0.755  -1.276 0.608  -1.276 0.461  -1.276 0.315  -1.276 0.168  -1.251 0.046  -1.133 0.017  -1.133 -0.130  -1.107 -0.266  -1.003 -0.369  -0.990 -0.511  -0.859 -0.526  -0.751 -0.622  -0.624 -0.670  -0.477 -0.670  -0.331 -0.670  -0.184 -0.670  -0.037 -0.670  0.013 -0.572  0.113 -0.526  0.156 -0.422  0.264 -0.383  0.299 -0.271  0.299 -0.125  0.418 -0.097  0.442 0.026  0.442 0.173  0.442 0.319  0.442 0.466  0.442 0.613  0.442 0.760  0.442 0.904  0.447 0.762  0.585 0.754  0.585 0.607  0.596 0.465  0.700 0.361  0.728 0.226  0.728 0.079  0.843 0.046  0.872 -0.071  0.872 -0.218  0.997 -0.240  1.015 -0.369  1.147 -0.383  1.294 -0.383  1.441 -0.383  1.587 -0.383
1c#apa#apa01#app0125/p  -0.371 0.916  -0.276 0.803  -0.258 0.611  -0.258 0.402  -0.258 0.193  -0.258 -0.016  -0.258 -0.225  -0.258 -0.434  -0.258 -0.642  -0.258 -0.851  -0.258 -1.060  -0.258 -1.269  -0.258 -1.478  -0.258 -1.686  -0.145 -1.783  -0.145 -1.833  -0.145 -1.625  -0.145 -1.416  -0.145 -1.207  -0.145 -0.998  -0.145 -0.789  -0.145 -0.580  -0.145 -0.371  -0.183 -0.178  -0.258 -0.000  -0.258 0.209  -0.258 0.418  -0.223 0.612  -0.145 0.789  -0.145 0.998  -0.145 1.207  -0.098 1.368  0.069 1.469  0.273 1.481  0.421 1.420  0.565 1.337  0.713 1.189  0.760 1.000  0.760 0.791  0.760 0.582  0.760 0.373  0.760 0.164  0.705 0.011  0.540 -0.096  0.334 -0.102  0.125 -0.102  -0.084 -0.102  -0.180 0.011  -0.258 0.141  -0.258 0.350
1c#apa#apa01#app0125/s  0.259 1.150  0.259 1.011  0.259 1.141  0.129 1.150  -0.011 1.150  -0.150 1.150  -0.289 1.150  -0.428 1.150  -0.567 1.150  -0.602 1.047  -0.702 1.007  -0.746 0.912  -0.810 0.799  -0.890 0.693  -0.890 0.554  -0.890 0.415  -0.890 0.276  -0.881 0.145  -0.746 0.141  -0.746 0.002  -0.607 0.002  -0.468 0.002  -0.329 0.002  -0.190 0.002  -0.051 0.002  0.088 0.002  0.228 0.002  0.367 0.002  0.506 0.002  0.645 0.002  0.756 -0.065  0.855 -0.163  0.953 -0.262  0.977 -0.391  0.977 -0.530  0.977 -0.669  0.911 -0.781  0.833 -0.888  0.809 -1.003  0.676 -1.017  0.577 -1.115  0.451 -1.147  0.312 -1.147  0.173 -1.147  0.034 -1.147  -0.028 -1.069  -0.101 -1.003  -0.220 -0.955  -0.320 -0.859  -0.459 -0.859
1c#apa#apa01#app0125/o  0.334 0.898  0.170 0.898  0.162 1.053  0.015 1.069  -0.149 1.069  -0.182 0.939  -0.304 0.898  -0.468 0.898  -0.525 0.791  -0.623 0.726  -0.760 0.662  -0.869 0.544  -0.870 0.381  -0.986 0.265  -1.040 0.124  -1.040 -0.039  -1.040 -0.203  -0.979 -0.305  -0.869 -0.358  -0.869 -0.522  -0.832 -0.648  -0.697 -0.677  -0.676 -0.820  -0.525 -0.832  -0.521 -0.992  -0.357 -0.992  -0.194 -0.992  -0.030 -0.992  0.133 -0.992  0.297 -0.992  0.460 -0.992  0.624 -0.992  0.677 -0.882  0.779 -0.820  0.849 -0.726  0.909 -0.588  1.021 -0.470  1.021 -0.307  1.021 -0.143  1.021 0.020  0.876 0.039  0.849 0.176  0.849 0.339  0.728 0.382  0.677 0.494  0.573 0.554  0.505 0.650  0.418 0.726  0.277 0.782  0.162 0.898
1c#apa#apa01#app0125/f  -0.223 -1.834  -0.058 -1.822  -0.058 -1.646  -0.058 -1.469  -0.092 -1.307  -0.217 -1.182  -0.223 -1.008  -0.223 -0.831  -0.242 -0.663  -0.367 -0.538  -0.388 -0.370  -0.388 -0.193  -0.388 -0.017  -0.401 0.154  -0.526 0.279  -0.552 0.445  -0.552 0.621  -0.552 0.798  -0.552 0.974  -0.530 1.128  -0.388 1.163  -0.341 1.293  -0.165 1.293  0.012 1.293  0.188 1.293  0.271 1.199  0.377 1.128  0.435 1.010  0.565 0.964  0.742 0.964  0.764 0.810  0.928 0.798  0.803 0.673  0.678 0.549  0.554 0.424  0.429 0.299  0.304 0.174  0.179 0.049  0.054 -0.076  -0.070 -0.200  -0.195 -0.325  -0.320 -0.450  -0.307 -0.518  -0.223 -0.610  -0.118 -0.682  0.058 -0.682  0.106 -0.811  0.247 -0.847  0.423 -0.847  0.600 -0.847
1c#apa#apa01#app0125/b  -0.735 2.053  -0.735 1.871  -0.735 1.688  -0.735 1.506  -0.735 1.323  -0.610 1.266  -0.610 1.083  -0.596 0.904  -0.515 0.741  -0.485 0.565  -0.485 0.383  -0.485 0.200  -0.485 0.018  -0.416 -0.136  -0.361 -0.295  -0.361 -0.478  -0.361 -0.660  -0.236 -0.718  -0.236 -0.900  -0.236 -0.794  -0.314 -0.689  -0.361 -0.553  -0.361 -0.371  -0.236 -0.313  -0.236 -0.131  -0.236 0.052  -0.112 0.183  -0.055 0.308  0.013 0.423  0.186 0.433  0.368 0.433  0.550 0.433  0.733 0.433  0.870 0.324  0.999 0.195  1.010 0.017  1.010 -0.166  1.010 -0.348  1.010 -0.530  0.994 -0.706  0.886 -0.844  0.798 -0.938  0.636 -0.959  0.558 -1.063  0.375 -1.063  0.262 -0.993  0.136 -0.936  0.004 -0.814  -0.111 -0.747  -0.236 -0.689
