3#app#app08#app0880/w  -1.310 0.968  -1.220 0.878  -1.203 0.758  -1.116 0.667  -1.096 0.548  -1.087 0.425  -0.997 0.335  -0.989 0.212  -0.989 0.085  -0.955 -0.028  -0.882 -0.125  -0.882 -0.252  -0.882 -0.379  -0.798 -0.422  -0.775 -0.526  -0.757 -0.635  -0.630 -0.635  -0.520 -0.594  -0.424 -0.513  -0.311 -0.456  -0.241 -0.373  -0.192 -0.266  -0.089 -0.208  -0.027 -0.143  -0.027 -0.186  -0.027 -0.313  -0.027 -0.440  0.000 -0.556  0.094 -0.635  0.221 -0.635  0.349 -0.635  0.476 -0.635  0.575 -0.568  0.685 -0.528  0.772 -0.453  0.842 -0.347  0.913 -0.241  0.996 -0.146  1.042 -0.038  1.100 0.064  1.149 0.171  1.149 0.298  1.149 0.425  1.149 0.552  1.126 0.670  1.042 0.762  1.022 0.881  0.932 0.971  0.842 1.061  0.828 1.182
3#app#app08#app0880/a  0.001 1.519  -0.155 1.519  -0.269 1.417  -0.337 1.289  -0.371 1.147  -0.481 1.037  -0.560 0.904  -0.630 0.764  -0.714 0.634  -0.824 0.524  -0.844 0.376  -0.896 0.232  -0.966 0.092  -1.013 -0.053  -1.013 -0.209  -1.013 -0.365  -1.013 -0.521  -1.013 -0.677  -0.904 -0.788  -0.794 -0.899  -0.683 -1.009  -0.530 -1.017  -0.374 -1.017  -0.218 -1.017  -0.062 -1.017  0.067 -0.952  0.178 -0.841  0.288 -0.731  0.398 -0.620  0.509 -0.510  0.665 -0.510  0.742 -0.381  0.812 -0.242  0.847 -0.094  0.847 0.062  0.847 0.219  0.847 0.375  0.828 0.523  0.717 0.634  0.578 0.673  0.508 0.586  0.508 0.430  0.508 0.274  0.508 0.118  0.534 -0.028  0.644 -0.138  0.678 -0.281  0.745 -0.409  0.860 -0.510  1.016 -0.510
3#app#app08#app0880/s  0.305 0.969  0.223 1.051  0.130 1.105  0.015 1.105  -0.101 1.105  -0.217 1.105  -0.333 1.105  -0.428 1.055  -0.510 0.973  -0.624 0.969  -0.739 0.969  -0.787 0.901  -0.834 0.832  -0.924 0.806  -0.924 0.690  -0.924 0.574  -0.853 0.488  -0.764 0.423  -0.649 0.421  -0.567 0.339  -0.473 0.286  -0.363 0.272  -0.282 0.190  -0.186 0.131  -0.076 0.094  0.034 0.058  0.144 0.021  0.232 -0.051  0.314 -0.132  0.396 -0.214  0.493 -0.260  0.600 -0.281  0.681 -0.363  0.783 -0.397  0.852 -0.444  0.852 -0.560  0.852 -0.676  0.852 -0.792  0.852 -0.907  0.780 -0.979  0.676 -1.031  0.572 -1.080  0.456 -1.080  0.370 -1.151  0.281 -1.216  0.166 -1.216  0.050 -1.216  -0.037 -1.286  -0.125 -1.353  -0.241 -1.353
3#app#app08#app0880/o  -0.143 0.939  -0.260 0.822  -0.377 0.705  -0.493 0.589  -0.590 0.464  -0.621 0.312  -0.738 0.195  -0.739 0.030  -0.761 -0.126  -0.877 -0.243  -0.888 -0.403  -0.888 -0.568  -0.865 -0.724  -0.748 -0.841  -0.631 -0.957  -0.483 -0.998  -0.318 -0.998  -0.153 -0.998  0.012 -0.998  0.177 -0.998  0.342 -0.998  0.491 -0.960  0.610 -0.849  0.768 -0.832  0.885 -0.716  1.002 -0.599  1.049 -0.453  1.130 -0.322  1.198 -0.185  1.198 -0.020  1.198 0.145  1.116 0.276  1.049 0.414  0.988 0.553  0.900 0.682  0.843 0.790  0.678 0.790  0.513 0.790  0.348 0.790  0.182 0.790  0.017 0.790  -0.146 0.787  -0.263 0.670  -0.403 0.585  -0.551 0.511  -0.711 0.492  -0.836 0.395  -0.953 0.278  -1.070 0.161  -1.186 0.045
3#app#app08#app0880/n  -1.180 0.706  -1.077 0.603  -0.975 0.501  -0.890 0.391  -0.865 0.271  -0.745 0.246  -0.745 0.101  -0.745 -0.044  -0.727 -0.182  -0.625 -0.284  -0.600 -0.419  -0.551 -0.552  -0.486 -0.682  -0.456 -0.820  -0.456 -0.965  -0.456 -1.109  -0.456 -1.101  -0.456 -0.956  -0.456 -0.811  -0.456 -0.666  -0.456 -0.521  -0.456 -0.376  -0.456 -0.231  -0.456 -0.086  -0.456 0.059  -0.456 0.204  -0.456 0.349  -0.401 0.471  -0.311 0.579  -0.298 0.718  -0.195 0.821  -0.063 0.850  0.082 0.850  0.216 0.804  0.346 0.740  0.463 0.657  0.568 0.561  0.710 0.554  0.812 0.452  0.915 0.349  1.017 0.247  1.120 0.144  1.222 0.042  1.283 -0.078  1.342 -0.164  1.428 -0.223  1.470 -0.351  1.572 -0.453  1.573 -0.598  1.717 -0.598
3#app#app08#app0880/l  -0.219 1.423  -0.294 1.423  -0.368 1.423  -0.442 1.423  -0.475 1.381  -0.475 1.306  -0.475 1.232  -0.468 1.161  -0.415 1.108  -0.363 1.055  -0.347 0.988  -0.347 0.913  -0.347 0.839  -0.341 0.766  -0.317 0.695  -0.294 0.625  -0.270 0.554  -0.247 0.484  -0.223 0.414  -0.219 0.340  -0.219 0.266  -0.219 0.191  -0.198 0.126  -0.146 0.073  -0.093 0.021  -0.092 -0.053  -0.083 -0.125  -0.050 -0.192  -0.017 -0.258  0.016 -0.325  0.058 -0.385  0.110 -0.438  0.163 -0.490  0.163 -0.564  0.172 -0.636  0.205 -0.703  0.239 -0.769  0.272 -0.836  0.313 -0.896  0.366 -0.949  0.419 -1.001  0.471 -1.054  0.524 -1.106  0.546 -1.171  0.546 -1.246  0.591 -1.301  0.643 -1.354  0.696 -1.406  0.749 -1.459  0.801 -1.511
3#app#app08#app0880/y  -0.522 1.284  -0.534 1.190  -0.617 1.166  -0.617 1.059  -0.583 0.966  -0.522 0.884  -0.522 0.778  -0.490 0.684  -0.415 0.608  -0.339 0.533  -0.235 0.526  -0.129 0.526  -0.024 0.537  0.071 0.585  0.170 0.621  0.265 0.649  0.331 0.728  0.349 0.828  0.424 0.903  0.420 0.993  0.344 0.918  0.292 0.826  0.244 0.730  0.237 0.625  0.237 0.518  0.223 0.417  0.147 0.342  0.142 0.237  0.130 0.135  0.055 0.059  0.047 -0.044  0.047 -0.151  0.047 -0.258  0.047 -0.365  0.047 -0.471  0.047 -0.578  0.047 -0.685  0.047 -0.792  0.047 -0.899  0.047 -1.005  0.047 -1.112  0.047 -1.219  0.047 -1.326  0.047 -1.433  0.047 -1.540  0.047 -1.646  0.116 -1.725  0.142 -1.821  0.225 -1.845  0.237 -1.940
3#app#app08#app0880/t  -0.502 2.142  -0.502 2.008  -0.487 1.877  -0.427 1.757  -0.385 1.633  -0.359 1.505  -0.299 1.385  -0.248 1.262  -0.205 1.135  -0.163 1.007  -0.150 0.875  -0.150 0.741  -0.093 0.621  -0.033 0.501  -0.033 0.367  -0.022 0.234  0.020 0.107  0.063 -0.020  0.084 -0.151  0.104 -0.283  0.137 -0.413  0.169 -0.543  0.202 -0.673  0.202 -0.807  0.202 -0.941  0.238 -1.060  0.319 -1.161  0.289 -1.236  0.182 -1.156  0.075 -1.075  -0.032 -0.995  -0.140 -0.914  -0.247 -0.834  -0.354 -0.753  -0.462 -0.673  -0.569 -0.592  -0.548 -0.555  -0.414 -0.555  -0.291 -0.508  -0.171 -0.448  -0.039 -0.437  0.092 -0.430  0.187 -0.335  0.315 -0.320  0.449 -0.320  0.574 -0.299  0.669 -0.204  0.803 -0.203  0.927 -0.180  1.022 -0.086
3#app#app08#app0880/o  -0.476 0.128  -0.618 0.123  -0.626 -0.021  -0.729 -0.125  -0.759 -0.259  -0.759 -0.406  -0.759 -0.553  -0.759 -0.700  -0.759 -0.847  -0.666 -0.955  -0.540 -1.004  -0.393 -1.004  -0.246 -1.004  -0.099 -1.004  0.048 -1.004  0.164 -0.929  0.278 -0.839  0.409 -0.773  0.544 -0.721  0.681 -0.696  0.785 -0.592  0.889 -0.488  0.939 -0.362  0.996 -0.239  1.081 -0.127  1.081 0.020  1.081 0.167  1.081 0.314  1.059 0.456  0.993 0.587  0.920 0.713  0.816 0.817  0.798 0.956  0.672 0.978  0.525 0.978  0.378 0.978  0.231 0.977  0.127 0.874  0.006 0.794  -0.126 0.728  -0.265 0.695  -0.412 0.695  -0.545 0.649  -0.667 0.568  -0.789 0.486  -0.910 0.403  -1.014 0.299  -1.118 0.195  -1.222 0.091  -1.326 -0.013
3#app#app08#app0880/o  -0.611 0.736  -0.757 0.736  -0.869 0.653  -0.963 0.546  -0.963 0.399  -0.963 0.253  -0.963 0.106  -0.963 -0.040  -0.963 -0.187  -0.963 -0.333  -0.963 -0.480  -0.963 -0.626  -0.893 -0.744  -0.790 -0.847  -0.644 -0.850  -0.498 -0.850  -0.351 -0.850  -0.205 -0.850  -0.059 -0.850  0.088 -0.850  0.234 -0.850  0.381 -0.850  0.527 -0.850  0.659 -0.814  0.763 -0.711  0.866 -0.607  0.970 -0.504  0.976 -0.359  1.052 -0.245  1.152 -0.139  1.152 0.007  1.152 0.154  1.152 0.300  1.152 0.446  1.128 0.583  1.025 0.687  0.898 0.736  0.752 0.736  0.605 0.736  0.459 0.736  0.312 0.736  0.166 0.736  0.020 0.736  -0.127 0.736  -0.269 0.725  -0.373 0.621  -0.476 0.518  -0.580 0.414  -0.683 0.311  -0.787 0.207
3#app#app08#app0880/p  -0.378 1.050  -0.378 0.877  -0.378 0.704  -0.378 0.531  -0.255 0.408  -0.154 0.273  -0.099 0.109  -0.035 -0.051  0.037 -0.208  0.037 -0.381  0.105 -0.538  0.141 -0.703  0.141 -0.876  0.151 -1.046  0.229 -1.201  0.245 -1.371  0.245 -1.544  0.245 -1.717  0.245 -1.823  0.172 -1.680  0.123 -1.527  0.014 -1.395  -0.063 -1.240  -0.067 -1.068  -0.067 -0.895  -0.110 -0.732  -0.171 -0.573  -0.171 -0.400  -0.171 -0.226  -0.171 -0.053  -0.171 0.120  -0.171 0.293  -0.171 0.466  -0.167 0.638  -0.067 0.769  -0.067 0.943  -0.067 1.116  0.029 1.249  0.151 1.372  0.245 1.506  0.349 1.563  0.349 1.390  0.349 1.217  0.344 1.046  0.245 0.913  0.172 0.770  0.050 0.648  -0.067 0.523  -0.144 0.427  -0.274 0.324
