1c#app#app13#app1318/r  -0.005 1.222  -0.005 1.052  -0.005 0.881  -0.005 0.711  -0.005 0.541  -0.005 0.371  -0.005 0.200  -0.005 0.030  -0.005 -0.140  -0.005 -0.310  -0.163 -0.322  -0.225 -0.430  -0.225 -0.601  -0.231 -0.769  -0.351 -0.889  -0.446 -1.020  -0.446 -1.190  -0.446 -1.361  -0.552 -1.425  -0.666 -1.369  -0.666 -1.198  -0.666 -1.028  -0.666 -1.109  -0.666 -1.129  -0.648 -0.966  -0.528 -0.845  -0.446 -0.709  -0.442 -0.542  -0.272 -0.542  -0.225 -0.419  -0.152 -0.322  -0.005 -0.299  -0.005 -0.129  -0.005 0.041  -0.005 0.212  0.038 0.340  0.208 0.340  0.216 0.502  0.216 0.672  0.278 0.781  0.436 0.792  0.436 0.962  0.436 1.133  0.518 1.222  0.688 1.222  0.858 1.222  1.028 1.222  1.199 1.222  1.319 1.172  1.319 1.001
1c#app#app13#app1318/e  -1.011 0.249  -1.011 0.065  -0.932 -0.039  -0.748 -0.039  -0.564 -0.039  -0.380 -0.039  -0.196 -0.039  -0.012 -0.039  0.172 -0.039  0.356 -0.039  0.508 0.037  0.638 0.167  0.719 0.317  0.719 0.501  0.867 0.537  1.008 0.581  1.008 0.765  1.008 0.949  0.990 1.114  0.806 1.114  0.622 1.114  0.438 1.114  0.254 1.114  0.070 1.114  -0.114 1.114  -0.146 0.963  -0.179 0.793  -0.309 0.663  -0.434 0.530  -0.434 0.346  -0.521 0.249  -0.705 0.249  -0.723 0.083  -0.723 -0.101  -0.723 -0.285  -0.723 -0.469  -0.723 -0.653  -0.723 -0.837  -0.607 -0.905  -0.434 -0.916  -0.434 -1.100  -0.344 -1.193  -0.160 -1.193  0.024 -1.193  0.208 -1.193  0.392 -1.193  0.576 -1.193  0.748 -1.165  0.878 -1.035  1.008 -0.905
1c#app#app13#app1318/p  -0.376 0.453  -0.376 0.287  -0.376 0.122  -0.376 -0.044  -0.376 -0.209  -0.376 -0.375  -0.376 -0.540  -0.382 -0.704  -0.456 -0.852  -0.530 -1.000  -0.567 -1.157  -0.567 -1.323  -0.567 -1.488  -0.566 -1.637  -0.553 -1.472  -0.541 -1.307  -0.528 -1.142  -0.515 -0.977  -0.502 -0.812  -0.490 -0.647  -0.477 -0.482  -0.464 -0.317  -0.452 -0.152  -0.439 0.013  -0.426 0.178  -0.414 0.343  -0.401 0.508  -0.388 0.673  -0.373 0.837  -0.256 0.954  -0.120 1.025  0.046 1.025  0.211 1.025  0.377 1.025  0.542 1.025  0.708 1.025  0.873 1.025  0.959 0.946  1.014 0.834  1.150 0.805  1.150 0.640  1.150 0.474  1.150 0.309  1.032 0.262  0.893 0.196  0.776 0.079  0.614 0.071  0.448 0.071  0.313 0.145  0.196 0.262
1c#app#app13#app1318/l  0.233 1.656  0.233 1.584  0.233 1.513  0.233 1.441  0.233 1.370  0.233 1.298  0.233 1.227  0.233 1.155  0.233 1.084  0.212 1.021  0.161 0.970  0.110 0.920  0.060 0.869  0.009 0.818  -0.041 0.768  -0.074 0.710  -0.074 0.639  -0.074 0.567  -0.074 0.496  -0.074 0.424  -0.074 0.353  -0.074 0.281  -0.074 0.210  -0.074 0.138  -0.074 0.067  -0.074 -0.005  -0.074 -0.076  -0.074 -0.148  -0.074 -0.219  -0.074 -0.291  -0.074 -0.362  -0.074 -0.434  -0.074 -0.505  -0.074 -0.577  -0.074 -0.649  -0.074 -0.720  -0.074 -0.792  -0.074 -0.863  -0.074 -0.935  -0.074 -1.006  -0.074 -1.078  -0.074 -1.149  -0.074 -1.221  -0.074 -1.292  -0.074 -1.364  -0.074 -1.435  -0.074 -1.507  -0.074 -1.578  -0.074 -1.650  -0.074 -1.721
1c#app#app13#app1318/i  -0.677 -0.858  -0.677 -0.938  -0.677 -1.018  -0.677 -1.098  -0.622 -1.156  -0.565 -1.213  -0.509 -1.269  -0.452 -1.326  -0.415 -1.295  -0.387 -1.220  -0.360 -1.145  -0.332 -1.069  -0.305 -0.994  -0.278 -0.918  -0.250 -0.843  -0.223 -0.768  -0.195 -0.692  -0.168 -0.617  -0.141 -0.542  -0.113 -0.466  -0.086 -0.391  -0.058 -0.315  -0.031 -0.240  -0.003 -0.165  0.024 -0.089  0.051 -0.014  0.079 0.062  0.106 0.137  0.134 0.212  0.161 0.288  0.188 0.363  0.216 0.438  0.243 0.514  0.271 0.589  0.298 0.665  0.325 0.740  0.353 0.815  0.380 0.891  0.408 0.966  0.435 1.042  0.463 1.117  0.490 1.192  0.517 1.268  0.536 1.337  0.456 1.337  0.376 1.337  0.302 1.337  0.382 1.337  0.462 1.337  0.543 1.337
1c#app#app13#app1318/e  1.218 0.971  1.128 0.971  1.039 0.971  0.949 0.971  0.860 0.971  0.770 0.971  0.681 0.971  0.591 0.971  0.501 0.971  0.412 0.971  0.322 0.971  0.233 0.971  0.192 0.922  0.192 0.833  0.192 0.743  0.192 0.654  0.127 0.629  0.038 0.629  -0.052 0.629  -0.142 0.629  -0.150 0.548  -0.150 0.458  -0.150 0.369  -0.156 0.281  -0.219 0.218  -0.282 0.155  -0.346 0.091  -0.409 0.028  -0.472 -0.035  -0.492 -0.116  -0.492 -0.206  -0.492 -0.296  -0.492 -0.385  -0.492 -0.475  -0.492 -0.564  -0.492 -0.654  -0.492 -0.743  -0.492 -0.833  -0.492 -0.922  -0.492 -1.012  -0.478 -1.096  -0.415 -1.159  -0.352 -1.222  -0.288 -1.286  -0.225 -1.349  -0.162 -1.412  -0.077 -1.424  0.013 -1.424  0.102 -1.424  0.192 -1.424
1c#app#app13#app1318/d  -0.480 0.056  -0.624 0.056  -0.754 0.023  -0.862 -0.065  -0.962 -0.109  -0.962 -0.253  -1.053 -0.305  -1.082 -0.420  -1.179 -0.523  -1.202 -0.658  -1.202 -0.802  -1.164 -0.907  -1.038 -0.951  -0.926 -1.028  -0.782 -1.028  -0.638 -1.028  -0.506 -0.980  -0.377 -0.916  -0.236 -0.904  -0.135 -0.803  -0.033 -0.701  0.069 -0.599  0.153 -0.485  0.217 -0.356  0.304 -0.244  0.363 -0.124  0.400 0.011  0.465 0.139  0.529 0.268  0.593 0.397  0.604 0.538  0.706 0.640  0.724 0.776  0.724 0.920  0.756 1.051  0.844 1.158  0.844 1.302  0.798 1.333  0.724 1.220  0.724 1.076  0.724 0.933  0.675 0.800  0.610 0.672  0.603 0.529  0.589 0.389  0.525 0.260  0.483 0.126  0.483 -0.018  0.483 -0.162  0.483 -0.305
1c#app#app13#app1318/o  -0.248 0.789  -0.248 0.657  -0.327 0.603  -0.459 0.603  -0.592 0.603  -0.620 0.499  -0.620 0.367  -0.620 0.234  -0.750 0.232  -0.806 0.156  -0.806 0.023  -0.806 -0.109  -0.806 -0.242  -0.806 -0.374  -0.806 -0.507  -0.806 -0.639  -0.806 -0.771  -0.806 -0.904  -0.806 -1.036  -0.707 -1.070  -0.575 -1.070  -0.443 -1.070  -0.310 -1.070  -0.178 -1.070  -0.062 -1.053  -0.062 -0.921  0.023 -0.841  0.142 -0.782  0.260 -0.723  0.364 -0.644  0.458 -0.550  0.496 -0.433  0.514 -0.308  0.607 -0.215  0.701 -0.121  0.795 -0.027  0.868 0.075  0.868 0.207  0.868 0.340  0.868 0.472  0.868 0.604  0.868 0.737  0.868 0.869  0.868 1.002  0.868 1.134  0.762 1.161  0.645 1.198  0.552 1.291  0.442 1.347  0.310 1.347
1c#app#app13#app1318/b  -0.264 2.010  -0.435 2.010  -0.483 1.887  -0.430 1.738  -0.309 1.617  -0.264 1.466  -0.264 1.295  -0.264 1.124  -0.264 0.953  -0.264 0.783  -0.264 0.612  -0.264 0.441  -0.264 0.271  -0.264 0.100  -0.264 -0.071  -0.264 -0.241  -0.264 -0.412  -0.264 -0.583  -0.264 -0.753  -0.264 -0.924  -0.264 -1.009  -0.264 -0.839  -0.264 -0.668  -0.264 -0.497  -0.264 -0.327  -0.264 -0.156  -0.264 0.015  -0.264 0.185  -0.264 0.356  -0.264 0.431  -0.264 0.260  -0.093 0.260  0.041 0.173  0.162 0.053  0.328 0.041  0.392 -0.065  0.451 -0.177  0.611 -0.188  0.611 -0.359  0.744 -0.396  0.829 -0.481  0.829 -0.652  0.829 -0.823  0.829 -0.993  0.750 -1.131  0.630 -1.252  0.467 -1.271  0.296 -1.271  0.125 -1.271  -0.045 -1.271
1c#app#app13#app1318/b  -0.487 2.014  -0.307 2.014  -0.247 1.894  -0.247 1.714  -0.247 1.535  -0.247 1.355  -0.247 1.176  -0.247 0.996  -0.247 0.817  -0.247 0.637  -0.247 0.457  -0.247 0.278  -0.248 0.098  -0.375 -0.029  -0.487 -0.162  -0.487 -0.341  -0.487 -0.521  -0.487 -0.700  -0.487 -0.880  -0.487 -1.059  -0.448 -0.962  -0.398 -0.790  -0.349 -0.617  -0.300 -0.444  -0.250 -0.272  -0.201 -0.099  -0.152 0.074  -0.102 0.246  -0.053 0.419  0.007 0.578  0.186 0.578  0.232 0.443  0.306 0.338  0.481 0.328  0.608 0.201  0.726 0.067  0.806 -0.093  0.887 -0.254  0.950 -0.419  0.950 -0.598  0.837 -0.731  0.710 -0.858  0.710 -1.038  0.591 -1.098  0.411 -1.098  0.232 -1.098  0.052 -1.098  -0.127 -1.098  -0.247 -1.038  -0.247 -0.859
1c#app#app13#app1318/e  -0.681 -0.277  -0.522 -0.277  -0.363 -0.277  -0.204 -0.277  -0.045 -0.277  0.114 -0.277  0.273 -0.277  0.432 -0.277  0.583 -0.268  0.583 -0.109  0.590 0.047  0.702 0.159  0.815 0.271  0.899 0.396  0.899 0.555  0.899 0.713  0.899 0.872  0.867 1.018  0.755 1.131  0.643 1.243  0.508 1.303  0.349 1.303  0.267 1.227  0.267 1.068  0.188 0.987  0.029 0.987  -0.049 0.907  -0.049 0.748  -0.107 0.613  -0.220 0.500  -0.332 0.388  -0.478 0.355  -0.637 0.355  -0.681 0.241  -0.681 0.082  -0.681 -0.077  -0.681 -0.236  -0.681 -0.395  -0.681 -0.554  -0.681 -0.713  -0.681 -0.872  -0.681 -1.031  -0.681 -1.190  -0.556 -1.224  -0.397 -1.224  -0.275 -1.314  -0.163 -1.426  -0.050 -1.539  0.108 -1.540  0.267 -1.540
