1c#apa#apa09#app0993/r  -0.934 -0.097  -0.864 -0.167  -0.793 -0.238  -0.723 -0.308  -0.652 -0.379  -0.583 -0.450  -0.583 -0.550  -0.583 -0.649  -0.583 -0.749  -0.583 -0.849  -0.583 -0.949  -0.583 -1.048  -0.583 -1.148  -0.583 -1.057  -0.583 -0.957  -0.583 -0.857  -0.583 -0.757  -0.583 -0.658  -0.583 -0.558  -0.583 -0.458  -0.583 -0.358  -0.583 -0.259  -0.583 -0.159  -0.545 -0.097  -0.445 -0.097  -0.346 -0.097  -0.246 -0.097  -0.171 -0.037  -0.100 0.034  -0.030 0.104  0.041 0.175  0.111 0.245  0.198 0.293  0.287 0.338  0.376 0.383  0.465 0.427  0.555 0.472  0.644 0.516  0.733 0.561  0.822 0.606  0.893 0.676  0.964 0.746  1.034 0.817  1.105 0.887  1.175 0.958  1.246 1.028  1.316 1.099  1.387 1.169  1.457 1.240  1.528 1.310
1c#apa#apa09#app0993/e  -0.827 0.440  -0.827 0.262  -0.788 0.125  -0.611 0.125  -0.433 0.125  -0.256 0.125  -0.079 0.125  0.099 0.125  0.276 0.125  0.451 0.133  0.610 0.213  0.769 0.292  0.927 0.371  1.064 0.464  1.064 0.641  1.001 0.755  0.824 0.755  0.646 0.755  0.469 0.755  0.292 0.755  0.114 0.755  -0.063 0.755  -0.238 0.741  -0.406 0.685  -0.575 0.629  -0.743 0.573  -0.911 0.517  -1.079 0.461  -1.143 0.329  -1.143 0.152  -1.143 -0.025  -1.143 -0.203  -1.143 -0.380  -1.091 -0.506  -0.914 -0.506  -0.741 -0.535  -0.573 -0.591  -0.405 -0.647  -0.237 -0.703  -0.068 -0.759  0.100 -0.815  0.276 -0.821  0.454 -0.821  0.631 -0.821  0.808 -0.821  0.986 -0.821  1.163 -0.821  1.340 -0.821  1.518 -0.821  1.695 -0.821
1c#apa#apa09#app0993/p  0.123 0.743  0.021 0.640  -0.072 0.530  -0.153 0.409  -0.233 0.289  -0.314 0.168  -0.361 0.037  -0.361 -0.108  -0.361 -0.253  -0.361 -0.398  -0.361 -0.543  -0.361 -0.688  -0.361 -0.833  -0.361 -0.978  -0.361 -1.123  -0.361 -1.268  -0.361 -1.413  -0.361 -1.558  -0.361 -1.657  -0.361 -1.512  -0.361 -1.367  -0.361 -1.222  -0.342 -1.078  -0.318 -0.935  -0.294 -0.792  -0.270 -0.649  -0.246 -0.506  -0.222 -0.363  -0.198 -0.220  -0.170 -0.078  -0.142 0.064  -0.113 0.207  -0.085 0.349  -0.056 0.491  -0.014 0.629  0.050 0.758  0.115 0.888  0.180 1.018  0.245 1.147  0.338 1.245  0.475 1.291  0.613 1.337  0.750 1.382  0.769 1.264  0.804 1.124  0.850 0.987  0.895 0.849  0.931 0.710  0.931 0.565  0.931 0.420
1c#apa#apa09#app0993/l  0.177 1.318  0.177 1.390  0.177 1.461  0.172 1.511  0.140 1.447  0.108 1.384  0.076 1.320  0.044 1.256  0.012 1.192  -0.020 1.128  -0.026 1.058  -0.026 0.987  -0.026 0.915  -0.026 0.844  -0.026 0.772  -0.026 0.701  -0.026 0.629  -0.026 0.558  -0.026 0.486  -0.026 0.415  -0.026 0.344  -0.026 0.272  -0.026 0.201  -0.026 0.129  -0.026 0.058  -0.026 -0.014  -0.026 -0.085  -0.026 -0.157  -0.026 -0.228  -0.026 -0.299  -0.026 -0.371  -0.026 -0.442  -0.026 -0.514  -0.026 -0.585  -0.026 -0.657  -0.026 -0.728  -0.026 -0.800  -0.026 -0.871  -0.026 -0.942  -0.026 -1.014  -0.026 -1.085  -0.026 -1.157  -0.026 -1.228  -0.026 -1.300  -0.026 -1.371  -0.026 -1.443  -0.026 -1.514  -0.026 -1.585  -0.026 -1.657  -0.026 -1.728
1c#apa#apa09#app0993/i  -0.077 -0.224  -0.187 -0.224  -0.297 -0.224  -0.407 -0.224  -0.518 -0.224  -0.518 -0.334  -0.518 -0.445  -0.567 -0.543  -0.616 -0.642  -0.666 -0.741  -0.715 -0.839  -0.698 -0.927  -0.620 -1.005  -0.542 -1.083  -0.441 -1.107  -0.331 -1.107  -0.221 -1.107  -0.110 -1.107  -0.008 -1.073  0.091 -1.023  0.189 -0.974  0.288 -0.925  0.365 -0.862  0.365 -0.752  0.365 -0.641  0.365 -0.531  0.365 -0.421  0.365 -0.310  0.365 -0.200  0.365 -0.090  0.365 0.021  0.365 0.131  0.365 0.241  0.365 0.351  0.365 0.462  0.365 0.572  0.365 0.682  0.365 0.793  0.365 0.903  0.365 1.013  0.365 1.124  0.365 1.234  0.345 1.334  0.253 1.395  0.162 1.456  0.070 1.517  -0.022 1.578  -0.114 1.640  -0.205 1.701  -0.297 1.762
1c#apa#apa09#app0993/e  -1.119 -0.449  -1.119 -0.252  -1.119 -0.056  -1.119 0.059  -1.119 -0.137  -0.960 -0.174  -0.763 -0.174  -0.567 -0.174  -0.370 -0.174  -0.173 -0.174  0.018 -0.154  0.194 -0.066  0.370 0.021  0.548 0.100  0.744 0.100  0.941 0.100  1.120 0.144  1.258 0.282  1.321 0.434  1.233 0.610  1.145 0.785  1.034 0.923  0.837 0.923  0.641 0.923  0.444 0.923  0.248 0.923  0.051 0.923  -0.124 0.855  -0.288 0.746  -0.451 0.637  -0.615 0.528  -0.778 0.419  -0.962 0.375  -1.102 0.340  -1.014 0.164  -0.926 -0.012  -0.834 -0.185  -0.695 -0.324  -0.556 -0.463  -0.417 -0.602  -0.278 -0.741  -0.139 -0.880  0.009 -0.997  0.205 -0.997  0.397 -0.961  0.588 -0.914  0.779 -0.866  0.969 -0.818  1.160 -0.771  1.351 -0.723
1c#apa#apa09#app0993/d  -0.133 -0.486  -0.162 -0.342  -0.336 -0.342  -0.510 -0.342  -0.684 -0.342  -0.776 -0.475  -0.854 -0.631  -0.977 -0.754  -0.998 -0.919  -0.921 -1.075  -0.829 -1.208  -0.655 -1.208  -0.481 -1.208  -0.340 -1.127  -0.217 -1.004  -0.094 -0.881  0.018 -0.752  0.060 -0.583  0.102 -0.414  0.144 -0.245  0.196 -0.079  0.251 0.086  0.302 0.252  0.321 0.425  0.341 0.597  0.360 0.770  0.379 0.943  0.398 1.116  0.417 1.289  0.437 1.462  0.445 1.636  0.445 1.810  0.394 1.669  0.338 1.504  0.287 1.338  0.245 1.169  0.203 1.000  0.161 0.831  0.156 0.658  0.156 0.484  0.156 0.310  0.156 0.136  0.156 -0.038  0.159 -0.212  0.193 -0.383  0.227 -0.553  0.261 -0.724  0.295 -0.894  0.367 -1.052  0.445 -1.208
1c#apa#apa09#app0993/o  -0.085 -0.197  -0.085 -0.046  -0.085 0.105  -0.085 0.257  -0.085 0.408  -0.202 0.443  -0.353 0.443  -0.476 0.372  -0.583 0.265  -0.690 0.158  -0.770 0.032  -0.838 -0.103  -0.906 -0.238  -0.973 -0.374  -1.041 -0.509  -1.045 -0.659  -1.045 -0.810  -0.956 -0.925  -0.849 -1.032  -0.743 -1.139  -0.605 -1.117  -0.461 -1.069  -0.318 -1.021  -0.174 -0.973  -0.031 -0.925  0.113 -0.877  0.251 -0.821  0.358 -0.714  0.465 -0.607  0.571 -0.500  0.678 -0.393  0.785 -0.286  0.892 -0.179  0.999 -0.072  1.106 0.035  1.182 0.147  1.114 0.283  1.046 0.418  0.979 0.553  0.911 0.689  0.812 0.793  0.677 0.861  0.542 0.928  0.407 0.996  0.271 1.064  0.136 1.131  0.001 1.199  -0.135 1.267  -0.270 1.334  -0.405 1.402
1c#apa#apa09#app0993/b  0.113 1.117  0.072 1.240  0.031 1.364  -0.010 1.487  -0.051 1.610  -0.067 1.577  -0.081 1.450  -0.139 1.334  -0.197 1.218  -0.252 1.101  -0.293 0.978  -0.334 0.855  -0.375 0.731  -0.416 0.608  -0.458 0.485  -0.499 0.362  -0.540 0.239  -0.581 0.116  -0.606 -0.010  -0.606 -0.139  -0.606 -0.269  -0.606 -0.399  -0.606 -0.529  -0.606 -0.659  -0.606 -0.788  -0.566 -0.901  -0.474 -0.993  -0.367 -1.060  -0.244 -1.101  -0.121 -1.142  0.002 -1.183  0.126 -1.220  0.256 -1.220  0.358 -1.154  0.450 -1.063  0.472 -0.942  0.472 -0.812  0.472 -0.683  0.472 -0.553  0.417 -0.446  0.326 -0.354  0.293 -0.238  0.322 -0.126  0.438 -0.068  0.554 -0.010  0.673 0.039  0.802 0.039  0.932 0.039  1.062 0.039  1.192 0.039
1c#apa#apa09#app0993/b  -0.094 1.903  -0.140 1.812  -0.186 1.721  -0.231 1.629  -0.277 1.538  -0.305 1.443  -0.305 1.341  -0.305 1.238  -0.305 1.136  -0.305 1.034  -0.305 0.932  -0.305 0.830  -0.305 0.728  -0.305 0.626  -0.305 0.524  -0.305 0.422  -0.305 0.319  -0.305 0.217  -0.305 0.115  -0.305 0.013  -0.305 -0.089  -0.305 -0.191  -0.305 -0.293  -0.305 -0.395  -0.305 -0.498  -0.305 -0.600  -0.305 -0.702  -0.305 -0.804  -0.258 -0.886  -0.186 -0.959  -0.114 -1.031  -0.042 -1.103  0.030 -1.175  0.103 -1.248  0.175 -1.203  0.247 -1.131  0.319 -1.059  0.368 -0.970  0.414 -0.878  0.459 -0.787  0.505 -0.696  0.539 -0.601  0.539 -0.499  0.539 -0.397  0.539 -0.295  0.552 -0.206  0.654 -0.206  0.756 -0.206  0.858 -0.206  0.961 -0.206
1c#apa#apa09#app0993/e  -0.438 -0.079  -0.610 -0.079  -0.535 -0.079  -0.384 -0.132  -0.263 -0.254  -0.114 -0.265  0.049 -0.211  0.213 -0.156  0.376 -0.102  0.534 -0.034  0.688 0.043  0.843 0.120  1.010 0.142  1.141 0.209  1.218 0.364  1.295 0.518  1.257 0.653  1.135 0.775  1.013 0.897  0.892 1.019  0.725 0.992  0.556 0.959  0.387 0.925  0.217 0.891  0.048 0.857  -0.121 0.823  -0.283 0.771  -0.438 0.694  -0.592 0.617  -0.746 0.540  -0.900 0.463  -1.054 0.385  -1.100 0.241  -1.100 0.069  -1.100 -0.103  -1.100 -0.276  -1.100 -0.448  -1.029 -0.591  -0.907 -0.713  -0.785 -0.835  -0.664 -0.957  -0.493 -0.962  -0.321 -0.962  -0.148 -0.962  0.024 -0.962  0.196 -0.962  0.369 -0.962  0.541 -0.962  0.714 -0.962  0.886 -0.962
