1b#tos#f1#f1017062/C  0.967 0.986  0.938 0.902  0.855 0.847  0.773 0.792  0.673 0.792  0.574 0.792  0.514 0.832  0.444 0.880  0.350 0.912  0.252 0.921  0.152 0.921  0.053 0.921  -0.046 0.921  -0.146 0.921  -0.245 0.921  -0.344 0.921  -0.428 0.884  -0.498 0.814  -0.585 0.788  -0.585 0.689  -0.585 0.589  -0.604 0.495  -0.648 0.406  -0.649 0.307  -0.649 0.207  -0.649 0.108  -0.649 0.009  -0.649 -0.091  -0.595 -0.167  -0.525 -0.238  -0.455 -0.308  -0.400 -0.391  -0.344 -0.473  -0.326 -0.567  -0.326 -0.666  -0.267 -0.734  -0.184 -0.789  -0.102 -0.844  -0.019 -0.899  0.063 -0.955  0.107 -1.044  0.180 -1.100  0.274 -1.132  0.361 -1.178  0.440 -1.237  0.520 -1.297  0.604 -1.341  0.704 -1.341  0.803 -1.341  0.902 -1.341
1b#tos#f1#f1017062/D  -0.039 0.851  -0.256 0.851  -0.292 1.032  -0.394 0.960  -0.495 0.785  -0.495 0.568  -0.495 0.351  -0.495 0.134  -0.495 -0.083  -0.539 -0.293  -0.546 -0.509  -0.546 -0.727  -0.546 -0.944  -0.546 -1.161  -0.498 -1.330  -0.343 -1.431  -0.338 -1.214  -0.332 -0.997  -0.327 -0.780  -0.321 -0.563  -0.316 -0.345  -0.311 -0.128  -0.305 0.089  -0.300 0.306  -0.294 0.523  -0.428 0.643  -0.636 0.695  -0.610 0.889  -0.452 0.989  -0.244 1.003  -0.027 1.003  0.190 1.003  0.408 1.003  0.624 0.992  0.828 0.940  0.943 0.787  1.127 0.721  1.173 0.511  1.210 0.300  1.229 0.086  1.133 -0.083  0.979 -0.233  0.841 -0.399  0.708 -0.570  0.550 -0.717  0.389 -0.861  0.254 -1.028  0.049 -1.090  -0.130 -1.200  -0.242 -1.330
1b#tos#f1#f1017062/F  -0.245 0.951  -0.385 0.852  -0.444 0.671  -0.462 0.434  -0.494 0.198  -0.494 -0.042  -0.494 -0.281  -0.494 -0.521  -0.494 -0.760  -0.494 -1.000  -0.494 -1.240  -0.494 -1.479  -0.444 -1.711  -0.295 -1.808  -0.300 -1.568  -0.304 -1.328  -0.308 -1.089  -0.313 -0.849  -0.317 -0.610  -0.321 -0.370  -0.325 -0.130  -0.330 0.109  -0.334 0.349  -0.338 0.588  -0.343 0.828  -0.461 0.951  -0.387 1.051  -0.197 1.101  0.042 1.101  0.282 1.101  0.521 1.101  0.755 1.066  0.981 0.986  1.212 0.951  1.367 0.814  1.248 0.673  1.036 0.561  0.824 0.449  0.612 0.337  0.400 0.225  0.188 0.113  -0.023 0.002  -0.235 -0.110  -0.395 -0.254  -0.245 -0.344  -0.005 -0.344  0.235 -0.344  0.433 -0.443  0.673 -0.443  0.900 -0.493
1b#tos#f1#f1017062/G  0.104 1.606  -0.089 1.606  -0.215 1.539  -0.247 1.378  -0.351 1.255  -0.482 1.163  -0.614 1.024  -0.750 0.900  -0.869 0.752  -0.942 0.576  -0.984 0.391  -1.079 0.236  -1.079 0.044  -1.056 -0.145  -1.024 -0.333  -0.963 -0.515  -0.852 -0.648  -0.774 -0.785  -0.591 -0.846  -0.400 -0.850  -0.207 -0.850  -0.014 -0.850  0.168 -0.805  0.352 -0.784  0.362 -0.643  0.238 -0.495  0.114 -0.348  -0.010 -0.201  -0.134 -0.053  -0.258 0.094  -0.324 0.111  -0.137 0.157  0.052 0.194  0.245 0.196  0.437 0.196  0.630 0.196  0.822 0.196  0.996 0.150  1.184 0.123  1.112 0.141  0.927 0.194  0.780 0.150  0.740 -0.002  0.740 -0.195  0.740 -0.388  0.740 -0.580  0.740 -0.773  0.740 -0.966  0.740 -1.158  0.740 -1.351
1b#tos#f1#f1017062/H  -0.738 1.006  -0.821 0.924  -0.943 0.881  -0.943 0.715  -0.943 0.550  -0.943 0.384  -0.943 0.219  -0.943 0.053  -0.943 -0.112  -0.943 -0.278  -0.943 -0.443  -0.943 -0.609  -0.943 -0.774  -0.943 -0.940  -0.919 -0.909  -0.879 -0.748  -0.839 -0.587  -0.799 -0.427  -0.758 -0.266  -0.819 -0.184  -0.779 -0.143  -0.613 -0.143  -0.448 -0.143  -0.287 -0.116  -0.124 -0.102  0.042 -0.102  0.207 -0.102  0.373 -0.102  0.538 -0.102  0.704 -0.102  0.808 -0.018  0.859 0.140  0.909 0.297  0.959 0.455  1.010 0.612  1.060 0.770  1.106 0.924  0.945 0.920  0.912 0.768  0.863 0.623  0.863 0.457  0.863 0.292  0.863 0.126  0.863 -0.039  0.863 -0.205  0.863 -0.370  0.863 -0.536  0.863 -0.701  0.911 -0.847  1.028 -0.964
1b#tos#f1#f1017062/J  -0.195 1.081  -0.221 1.160  -0.153 1.119  -0.057 1.081  0.042 1.076  0.113 1.041  0.218 1.041  0.323 1.041  0.428 1.041  0.533 1.041  0.638 1.041  0.614 1.015  0.517 0.974  0.421 0.932  0.397 0.923  0.292 0.923  0.280 0.830  0.280 0.725  0.280 0.621  0.308 0.520  0.319 0.417  0.319 0.312  0.319 0.207  0.319 0.102  0.319 -0.002  0.319 -0.107  0.319 -0.212  0.319 -0.317  0.319 -0.422  0.319 -0.527  0.314 -0.631  0.280 -0.727  0.256 -0.827  0.209 -0.920  0.129 -0.985  0.038 -1.038  -0.056 -1.085  -0.158 -1.095  -0.263 -1.095  -0.368 -1.095  -0.473 -1.095  -0.578 -1.095  -0.678 -1.066  -0.781 -1.055  -0.869 -1.015  -0.943 -0.940  -1.017 -0.866  -1.082 -0.785  -1.105 -0.686  -1.105 -0.581
1b#tos#f1#f1017062/K  -0.495 1.128  -0.495 1.352  -0.495 1.292  -0.546 1.077  -0.598 0.865  -0.642 0.646  -0.695 0.429  -0.749 0.212  -0.749 -0.012  -0.749 -0.236  -0.749 -0.459  -0.749 -0.683  -0.749 -0.906  -0.749 -1.130  -0.749 -1.354  -0.675 -1.488  -0.536 -1.312  -0.398 -1.136  -0.260 -0.961  -0.121 -0.785  0.017 -0.609  0.155 -0.433  0.294 -0.258  0.432 -0.082  0.570 0.094  0.709 0.269  0.847 0.445  0.985 0.621  1.124 0.796  1.185 0.999  1.040 1.078  0.823 1.066  0.676 0.908  0.496 0.820  0.313 0.715  0.144 0.570  -0.060 0.503  -0.189 0.348  -0.348 0.212  -0.534 0.122  -0.534 -0.048  -0.334 -0.147  -0.139 -0.245  0.010 -0.396  0.223 -0.454  0.428 -0.500  0.605 -0.618  0.809 -0.704  1.020 -0.755  1.185 -0.856
1b#tos#f1#f1017062/R  0.441 1.363  0.193 1.442  -0.018 1.371  -0.076 1.156  -0.156 0.906  -0.186 0.646  -0.275 0.399  -0.329 0.142  -0.373 -0.118  -0.386 -0.381  -0.478 -0.623  -0.478 -0.887  -0.502 -1.146  -0.524 -1.406  -0.522 -1.581  -0.509 -1.317  -0.496 -1.054  -0.482 -0.791  -0.469 -0.527  -0.456 -0.264  -0.443 -0.001  -0.430 0.263  -0.417 0.526  -0.403 0.789  -0.390 1.053  -0.295 1.225  -0.032 1.225  0.232 1.225  0.472 1.149  0.672 0.996  0.855 0.880  0.855 0.616  0.734 0.406  0.627 0.171  0.414 0.070  0.215 -0.094  0.012 -0.262  -0.207 -0.401  -0.455 -0.476  -0.708 -0.465  -0.591 -0.292  -0.327 -0.292  -0.094 -0.370  0.132 -0.434  0.373 -0.537  0.610 -0.644  0.809 -0.786  1.035 -0.910  1.281 -0.982  1.545 -0.982
1b#tos#f1#f1017062/T  -1.252 0.736  -1.211 0.647  -1.081 0.647  -0.952 0.647  -0.822 0.647  -0.693 0.647  -0.563 0.647  -0.437 0.621  -0.312 0.586  -0.187 0.559  -0.057 0.559  0.072 0.559  0.202 0.559  0.331 0.559  0.461 0.559  0.590 0.559  0.720 0.559  0.849 0.559  0.979 0.559  0.999 0.562  0.870 0.568  0.741 0.575  0.611 0.582  0.482 0.589  0.353 0.596  0.223 0.603  0.094 0.603  -0.036 0.603  -0.143 0.581  -0.143 0.451  -0.143 0.322  -0.143 0.192  -0.112 0.068  -0.099 -0.060  -0.073 -0.185  -0.055 -0.312  -0.055 -0.441  -0.055 -0.571  -0.055 -0.700  -0.055 -0.830  -0.055 -0.959  -0.055 -1.089  -0.055 -1.218  -0.015 -1.339  -0.010 -1.467  -0.010 -1.597  -0.010 -1.726  0.067 -1.824  0.129 -1.937  0.167 -2.057
1b#tos#f1#f1017062/U  -0.175 1.191  -0.296 1.191  -0.398 1.148  -0.500 1.105  -0.604 1.065  -0.639 0.954  -0.693 0.846  -0.778 0.761  -0.779 0.642  -0.779 0.521  -0.779 0.401  -0.779 0.281  -0.779 0.161  -0.779 0.041  -0.779 -0.079  -0.779 -0.199  -0.747 -0.306  -0.662 -0.391  -0.650 -0.506  -0.627 -0.624  -0.587 -0.735  -0.520 -0.835  -0.457 -0.934  -0.357 -1.001  -0.244 -1.042  -0.125 -1.050  -0.005 -1.050  0.115 -1.050  0.235 -1.050  0.346 -1.038  0.384 -0.924  0.476 -0.848  0.570 -0.773  0.600 -0.667  0.641 -0.559  0.694 -0.453  0.717 -0.336  0.730 -0.217  0.730 -0.097  0.739 0.022  0.768 0.139  0.773 0.259  0.773 0.379  0.773 0.499  0.825 0.597  0.902 0.686  0.902 0.806  0.902 0.926  0.883 1.038  0.816 1.105
1b#tos#f1#f1017062/V  -0.395 0.998  -0.520 0.998  -0.639 1.004  -0.720 1.048  -0.773 1.120  -0.801 1.024  -0.801 0.899  -0.745 0.791  -0.720 0.674  -0.720 0.549  -0.720 0.424  -0.693 0.308  -0.639 0.199  -0.639 0.074  -0.621 -0.048  -0.598 -0.170  -0.598 -0.295  -0.537 -0.403  -0.476 -0.511  -0.476 -0.636  -0.424 -0.745  -0.395 -0.861  -0.313 -0.952  -0.252 -1.057  -0.187 -1.160  -0.117 -1.235  -0.002 -1.276  0.063 -1.187  0.167 -1.118  0.226 -1.009  0.255 -0.891  0.260 -0.767  0.290 -0.645  0.389 -0.579  0.476 -0.500  0.522 -0.384  0.568 -0.268  0.615 -0.152  0.620 -0.029  0.643 0.087  0.731 0.175  0.814 0.268  0.889 0.368  0.904 0.488  0.932 0.606  0.968 0.725  0.996 0.847  1.020 0.969  1.067 1.076  1.107 1.161
